583    109    983    4:3:1:1:    6:4:4:1:    4:4:4:    N[5,6]-4:N[6]-3:H-1:H-1:    Ni[5,5,6,6]-6:C[5]-4:C[6]-4:H-1:    C[6]-4:C[6]-4:C-4:    C[6](N[5,6]NiCH)(N[6]CC)(H)2    N[5,6](Ni[5,5,6,6]N5)(C[5]CHH)(C[6]HHN)(H)    N[6](C[6]HHN)2(CCHH)    113.4272    0.575    12    113.6552    2.0317    46    113.4352    66.0000    66    113.2915    2.2881    109
583    111    111    3:3:2:2:    4:1:    4:1:    C[6,6]-3:C[6,6]-3:O-2:O-2:    C[6]-4:H-1:    C[6]-4:H-1:    C[6](C[6,6]CN)2(OH)2    O(C[6]CCO)(H)    O(C[6]CCO)(H)    112.8247    0.773    4    112.8247    0.7730    4    112.9873    7.0000    7    110.7089    3.3901    83
583    111    111    3:3:2:2:    4:4:    4:4:    C[6]-3:C[6]-3:O-2:O-2:    C[6]-4:C-4:    C[6]-4:C-4:    C[6](C[6]CC)(C[6]CH)(OC)2    O(C[6]CCO)(CH3)    O(C[6]CCO)(CH3)    102.8364    3.321    7    102.8364    3.3210    7    103.4422    9.0000    9    110.7089    3.3901    83
583    111    111    4:4:2:2:    4:1:    4:1:    C[3x6,7]-4:C[3x6,7]-4:O-2:O-2:    C[6,6]-4:H-1:    C[6,6]-4:H-1:    C[6,6](C[3x6,7]C3)2(OH)2    O(C[6,6]CCO)(H)    O(C[6,6]CCO)(H)    111.6458    2.156    5    111.6458    2.1560    5    110.7385    14.0000    14    110.7089    3.3901    83
583    111    111    4:4:2:2:    4:2:    4:2:    C[6]-4:C[6]-4:O-2:O-2:    C[6]-4:O-2:    C[6]-4:O-2:    C[6](C[6]CHH)2(OO)2    O(C[6]CCO)(OC)    O(C[6]CCO)(OC)    111.8430    1.601    7    111.8430    1.6010    7    111.5325    9.0000    9    110.7089    3.3901    83
583    111    111    4:4:2:2:    4:4:    4:4:    C[6]-4:C[6]-4:O-2:O-2:    C[6]-4:C-4:    C[6]-4:C-4:    C[6](C[6]CHH)2(OC)2    O(C[6]CCO)(CH3)    O(C[6]CCO)(CH3)    110.7025    0.856    5    111.3147    1.0273    11    111.4823    23.0000    23    110.7089    3.3901    83
583    111    147    3:3:4:2:    4:4:    4:3:4:4:    C[5,6,7]-3:C[5,6,7]-3:C[7,7]-4:O-2:    C[6,7,7]-4:C-4:    C[6,7,7]-4:C[5,7,7]-3:C-4:C-4:    C[6,7,7](C[5,6,7]NN)2(C[7,7]C3)(OC)    O(C[6,7,7]C3)(CH3)    C[7,7](C[6,7,7]CCO)(C[5,7,7]CN)(CH3)2    106.1456    0.943    5    106.1456    0.9430    5    106.1456    5.0000    5    107.2468    2.0219    18
583    111    157    4:4:2:1:    4:4:    4:    C[3,6]-4:C[3,6]-4:O-2:O-1:    C[6]-4:C-4:    C[6]-4:    C[6](C[3,6]CHO)2(OC)(O)    O(C[6]CCO)(CH3)    O(C[6]CCO)    112.7786    2.201    2    112.7786    2.2010    2    112.7786    2.2010    2    112.2235    1.8294    3
583    111    165    4:4:3:2:    4:1:    9:3:4:    C[6]-4:C[6]-4:C[3]-3:O-2:    C[6]-4:H-1:    Cu[7x3,4,4]-9:C[3,3]-3:C[6]-4:    C[6](C[6]CHH)2(C[3]CuC)(OH)    O(C[6]C3)(H)    C[3](Cu[7x3,4,4]Au3C5)(C[3,3]AuCu)(C[6]CCO)    109.0016    1.762    3    109.0016    1.7620    3    109.0016    1.7620    3    109.3699    1.3471    5
583    111    237    4:3:4:2:    4:1:    4:4:4:1:    C[4,6,6]-4:C[6,6]-3:C-4:O-2:    C[6,6]-4:H-1:    C[4,6]-4:C[6,6]-4:C[4,6]-4:H-1:    C[6,6](C[4,6,6]CCH)(C[6,6]CN)(CH3)(OH)    O(C[6,6]C3)(H)    C[4,6,6](C[4,6]CHH)(C[6,6]CCO)(C[4,6]C3)(H)    105.6756    1.201    7    105.6756    1.2010    7    105.6756    7.0000    7    108.4097    2.6618    21
583    111    247    3:4:2:1:    4:1:    8:8:4:    S[4,4,6,6]-3:C[6,6]-4:O-2:H-1:    C[6,6]-4:H-1:    Ir[5x3,3x4,6]-8:Ir[5x3,3x4,6]-8:C[6,6]-4:    C[6,6](S[4,4,6,6]Ir2)(C[6,6]CHH)(OH)(H)    O(C[6,6]CHS)(H)    S[4,4,6,6](Ir[5x3,3x4,6]C5SS)2(C[6,6]CHO)    110.3088    0.000    1    110.3088    0.0000    1    110.3088    0.0000    1    110.3088    0.0000    1
583    111    269    4:4:2:2:    4:3:    4:1:    C[6]-4:C[6]-4:N-2:O-2:    C[6]-4:C-3:    C[6]-4:O-1:    C[6](C[6]HHO)2(NO)(OC)    O(C[6]CCN)(CCO)    N(C[6]CCO)(O)    108.1127    4.812    3    108.1127    4.8120    3    108.1127    4.8120    3    110.1718    5.6918    4
583    111    417    3:2:2:2:    4:4:    4:4:    C[6]-3:S[6]-2:O-2:S-2:    C[6]-4:C-4:    C[6]-4:C-4:    C[6](C[6]CN)(S[6]C)(OC)(SC)    O(C[6]CSS)(CH3)    S(C[6]COS)(CH3)    112.1950    0.000    1    112.1950    0.0000    1    112.1950    0.0000    1    112.1950    0.0000    1
