29    29    699    3:2:3:    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]CN)(N[6]C)(CNO)    C[6](C[6]CN)(N[6]C)(CNO)    C(C[6]CN)(NHH)(O)    123.4847    1.738    4    123.1089    1.4446    10    123.1899    1.1825    15    120.6728    2.3595    65794
29    29    699    3:2:3:    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]CN)(N[6]C)(CNO)    C[6](C[6]CN)(N[6]C)(CNO)    C(C[6]CN)(NCH)(O)    122.8584    1.325    6    123.1089    1.4446    10    123.1899    1.1825    15    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:H-1:O-1:    C[6](C[6]CH)(N[6]C)(CHO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(H)(O)    121.2273    1.076    7    121.2472    0.9978    8    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CN)(C[6]CO)(H)    C(C[6]CN)(O)2    124.5762    0.494    4    121.6944    1.6326    102    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CC)(C[6]CN)(H)    C(C[6]CN)(O)2    121.9855    2.202    13    121.6944    1.6326    102    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]N)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(O)2    122.3120    1.796    16    121.6944    1.6326    102    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(O)2    121.3083    1.294    67    121.6944    1.6326    102    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:1:1:    C[6]-3:O[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-1:O-1:    C[6](C[6]CH)(O[6]C)(COO)    C[6](C[6]CO)2(H)    C(C[6]CO)(O)2    124.9236    0.897    13    124.9236    0.8970    13    121.9004    1.8525    133    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[5,6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[5,6]CN)(C[6]CN)(H)    C(C[6]CN)(OMn)(O)    122.3973    0.892    4    122.3973    0.8920    4    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C[6](C[6]CN)(C[6]CO)(H)    C(C[6]CN)(NN)(H)    120.4979    1.983    6    121.4913    1.4434    175    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]N)(CHN)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NC)(H)    121.8940    1.796    17    121.4913    1.4434    175    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NN)(H)    121.5734    1.439    69    121.4913    1.4434    175    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-2:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NC)(H)    121.3820    1.331    78    121.4913    1.4434    175    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(ONp)(O)    121.5582    1.343    4    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OPb)(O)    123.4152    3.273    4    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CI)(C[6]CN)(H)    C(C[6]CN)(OC)(O)    117.3203    0.745    4    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]N)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OH)(O)    121.4439    2.531    4    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]N)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OPb)(O)    121.9445    0.746    4    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CC)(C[6]CN)(H)    C(C[6]CN)(OC)(O)    119.1751    1.950    5    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CN)(C[6]CO)(H)    C(C[6]CN)(OC)(O)    118.2534    3.288    5    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OBi)(O)    121.8442    1.293    6    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]N)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OIn)(O)    121.3870    2.818    7    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CC)(C[6]CN)(H)    C(C[6]CN)(OH)(O)    119.5696    1.558    9    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OSn)(O)    119.9695    0.890    15    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OC)(O)    119.0021    1.914    62    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(N[6]C)(COO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(OH)(O)    120.5928    1.554    66    120.1621    2.1023    224    120.8943    2.0554    438    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:2:1:    C[6]-3:O[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:O-2:O-1:    C[6](C[6]CH)(O[6]C)(COO)    C[6](C[6]CO)2(H)    C(C[6]CO)(OCu)(O)    123.2544    1.172    4    124.1875    1.7302    14    120.8943    2.0554    438    120.6728    2.3595    65794
