981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C[5]-3:N-3:    N-3:    N(CCO)(NC)(H)    N(C[5]CC)(NCH)    H(NCN)    119.0124    1.943    12    119.6736    1.9884    41    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C[5]-3:N-3:    N-3:    N(CNS)(NC)(H)    N(C[5]CC)(NCH)    H(NCN)    119.9457    1.912    24    119.6736    1.9884    41    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C[6]-3:N-3:    N-3:    N(CNS)(NC)(H)    N(C[6]CC)(NCH)    H(NCN)    122.0795    2.765    5    120.6687    2.5595    17    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    C[6]-3:N-3:    N-3:    N(CCO)(NC)(H)    N(C[6]CC)(NCH)    H(NCN)    120.3884    2.347    8    120.6687    2.5595    17    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(COO)(NC)(H)    N(NCH)(CCC)    H(NCN)    119.3206    9.289    6    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CNO)(NC)(H)    N(NCH)(CCC)    H(NCN)    120.6855    3.801    10    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CNO)(NC)(H)    N(NCH)(CCH)    H(NCN)    120.4214    1.387    11    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CNS)(NC)(H)    N(NCH)(CCC)    H(NCN)    121.2510    3.418    21    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CNS)(NC)(H)    N(NCH)(CCH)    H(NCN)    119.5077    3.764    27    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CCO)(NC)(H)    N(NCH)(CCC)    H(NCN)    120.4081    2.952    32    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C-3:N-2:H-1:    N-3:C-3:    N-3:    N(CCO)(NC)(H)    N(NCH)(CCH)    H(NCN)    118.4146    3.110    162    119.2275    3.4791    277    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[5]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[5]NS)(NC)(H)    N(CCC)(NCH)    H(NCN)    122.5277    1.244    6    121.4980    1.5389    19    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[5]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[5]NS)(NC)(H)    N(CCH)(NCH)    H(NCN)    121.1269    1.474    12    121.4980    1.5389    19    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[5]-3:N-2:H-1:    N-3:C-3:    N-3:    N(C[5]NS)(NC)(H)    N(NCH)(CCH)    H(NCN)    119.8651    2.009    5    120.5957    2.2508    8    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CNN)(NCH)    H(NCN)    118.4129    3.425    4    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CN)(NC)(H)    N(CCC)(NCH)    H(NCN)    121.3236    0.240    5    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CClC)(NCH)    H(NCN)    120.7697    1.955    7    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CCS)(NCH)    H(NCN)    120.1399    1.473    8    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CC)(NC)(H)    N(CCN)(NCH)    H(NCN)    118.6869    4.592    10    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
981    269    887    3:2:1:    3:3:    3:    C[6]-3:N-2:H-1:    C-3:N-3:    N-3:    N(C[6]CN)(NC)(H)    N(CCH)(NCH)    H(NCN)    120.4128    1.230    12    120.1895    2.2746    308    120.0117    1897.0000    1897    119.8024    2.8912    2059
