109    887    887    4:4:1:1:    4:    4:    C[5]-4:Zn[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](C[5]CHH)(Zn[5]N3)(H)2    H(N[5]ZnCH)    H(N[5]ZnCH)    109.2003    1.018    4    109.2003    1.0180    4    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[3x5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[3x5]NOO)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    108.6203    0.150    4    108.2385    0.3358    23    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[3x5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[3x5]NOO)(C[5]CCH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    108.1581    0.308    19    108.2385    0.3358    23    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5,6]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5,6]NNO)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    107.4806    3.398    5    107.6171    5.4923    13    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5,6]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5,6]N3)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    107.5082    7.934    6    107.6171    5.4923    13    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5]NOO)(C[5]CCH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    108.3675    10.314    5    108.4278    3.7620    117    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5]ClNN)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    107.8997    0.655    6    108.4278    3.7620    117    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5]NNO)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    108.2273    0.210    7    108.4278    3.7620    117    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Cu[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Cu[5,5]N3)(C[5]CHH)(H)2    H(N[5]CuCH)    H(N[5]CuCH)    108.4406    3.476    95    108.4278    3.7620    117    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Ni[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Ni[5,5]N3)(C[5]CCH)(H)2    H(N[5]NiCH)    H(N[5]NiCH)    107.9317    0.384    9    107.9159    0.8270    25    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Ni[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Ni[5,5]N3)(C[5]CHH)(H)2    H(N[5]NiCH)    H(N[5]NiCH)    107.9100    1.124    13    107.9159    0.8270    25    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Pd[4,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Pd[4,5]Cl2C)(C[5]CCH)(H)2    H(N[5]PdCH)    H(N[5]PdCH)    108.1770    3.112    4    108.1770    3.1120    4    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Pd[5,5,6]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Pd[5,5,6]NSS)(C[5]CHH)(H)2    H(N[5]PdCH)    H(N[5]PdCH)    106.8519    0.857    6    106.8519    0.8570    6    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Pd[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Pd[5,5]ClCN)(C[5]C3)(H)2    H(N[5]PdCH)    H(N[5]PdCH)    108.3663    0.160    4    108.3374    2.2932    44    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Pd[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Pd[5,5]NSS)(C[5]CHH)(H)2    H(N[5]PdCH)    H(N[5]PdCH)    106.6464    0.577    4    108.3374    2.2932    44    108.2054    3.3433    530    108.1312    2.7683    3266
109    887    887    4:4:1:1:    4:    4:    Pd[5,5]-4:C[5]-4:H-1:H-1:    N[5]-4:    N[5]-4:    N[5](Pd[5,5]CNN)(C[5]CHH)(H)2    H(N[5]PdCH)    H(N[5]PdCH)    109.6164    2.226    6    108.3374    2.2932    44    108.2054    3.3433    530    108.1312    2.7683    3266
