673    801    983    4:3:1:1:    4:3:4:1:    4:4:4:    C[5]-4:N[6]-3:H-1:H-1:    C[5]-4:C[5]-3:C-4:H-1:    C[6]-4:C[6]-4:C-4:    C(C[5]CCH)(N[6]CC)(H)2    C[5](C[5]CCH)(C[5]OO)(CHHN)(H)    N[6](C[6]CHH)2(CCHH)    113.5046    0.944    10    113.5046    0.9440    10    113.5046    10.0000    10    113.3210    1.4089    21
673    881    887    4:1:1:1:    7:4:4:4:    4:    P[7]-4:H-1:H-1:H-1:    Ir[5x3,7]-7:C[7]-4:C-4:C-4:    C-4:    C(P[7]IrCC)(H)3    P[7](Ir[5x3,7]C5N)(C[7]HHP)(CH3)2    H(CHHP)    109.4664    0.617    6    109.4655    0.5380    12    109.4655    12.0000    12    107.6845    1.7415    86
673    881    887    4:1:1:1:    7:4:4:4:    4:    P[7]-4:H-1:H-1:H-1:    Ir[5x3,7]-7:C[7]-4:C-4:C-4:    C-4:    C(P[7]IrCC)(H)3    P[7](Ir[5x3,7]C6)(C[7]HHP)(CH3)2    H(CHHP)    109.4647    0.506    6    109.4655    0.5380    12    109.4655    12.0000    12    107.6845    1.7415    86
673    881    887    4:4:1:1:    4:2:4:4:    4:    P[7]-4:C-4:H-1:H-1:    C[7]-4:O[7]-2:C-4:C-4:    C-4:    C(P[7]CCO)(CH3)(H)2    P[7](C[7]CHH)(O[7]Yb)(CCHH)2    H(CCHP)    108.5817    0.387    8    108.5817    0.3870    8    108.5817    8.0000    8    107.6845    1.7415    86
673    881    887    4:4:1:1:    4:4:4:4:    4:    P[7]-4:C-4:H-1:H-1:    Pt[7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]PtCC)(CCHH)(H)2    P[7](Pt[7]Cl2P)(C[7]CHH)(CCHH)2    H(CCHP)    108.6894    0.221    4    108.6894    0.2210    4    108.6894    4.0000    4    107.6845    1.7415    86
673    881    887    4:4:1:1:    5:4:4:4:    4:    P[7]-4:C-4:H-1:H-1:    Ni[5,7]-5:C[7]-4:C-4:C-4:    C-4:    C(P[7]NiCC)(CH3)(H)2    P[7](Ni[5,7]CCPP)(C[7]CHH)(CCHH)2    H(CCHP)    108.5647    0.349    8    108.5647    0.3490    8    108.5647    8.0000    8    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:2:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Pd[7,7]-4:O[7]-2:C-4:C-4:    C-4:    C(P[7]PdCO)(CH3)2(H)    P[7](Pd[7,7]BrCP)(O[7]C)(CCCH)2    H(CCCP)    107.1507    0.941    4    107.0117    0.8538    8    107.0117    8.0000    8    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:2:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Pd[7,7]-4:O[7]-2:C-4:C-4:    C-4:    C(P[7]PdCO)(CH3)2(H)    P[7](Pd[7,7]CIP)(O[7]C)(CCCH)2    H(CCCP)    106.8727    0.874    4    107.0117    0.8538    8    107.0117    8.0000    8    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:4:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Co[7,7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]CoCC)(CH3)2(H)    P[7](Co[7,7]CNP)(C[7]CHH)(CCCH)2    H(CCCP)    107.0163    1.881    4    105.8705    2.8829    12    106.6118    28.0000    28    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:4:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Co[7,7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]CoCC)(CH3)2(H)    P[7](Co[7,7]ClNP)(C[7]CHH)(CCCH)2    H(CCCP)    105.9363    1.837    4    105.8705    2.8829    12    106.6118    28.0000    28    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:4:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Co[7,7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]CoCC)(CH3)2(H)    P[7](Co[7,7]INP)(C[7]CHH)(CCCH)2    H(CCCP)    104.6588    4.455    4    105.8705    2.8829    12    106.6118    28.0000    28    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:4:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Fe[7,7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]FeCC)(CH3)2(H)    P[7](Fe[7,7]NNP)(C[7]CHH)(CCCH)2    H(CCCP)    106.1076    1.493    4    106.1076    1.4930    4    106.6118    28.0000    28    107.6845    1.7415    86
673    881    887    4:4:4:1:    4:4:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Mn[7,7]-4:C[7]-4:C-4:C-4:    C-4:    C(P[7]MnCC)(CH3)2(H)    P[7](Mn[7,7]ClNP)(C[7]CHH)(CCCH)2    H(CCCP)    107.3541    1.517    8    107.3541    1.5170    8    106.6118    28.0000    28    107.6845    1.7415    86
673    881    887    4:4:4:1:    7:3:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Ru[3,3x6,7]-7:N[7]-3:C-4:C-4:    C-4:    C(P[7]RuCN)(CH3)2(H)    P[7](Ru[3,3x6,7]HHN3P)(N[7]CH)(CCCH)2    H(CCCP)    105.7678    0.549    4    105.7678    0.5490    4    105.7678    4.0000    4    107.6845    1.7415    86
673    881    887    4:4:4:1:    9:3:4:4:    4:    P[7]-4:C-4:C-4:H-1:    Ru[5x3,7]-9:N[7]-3:C-4:C-4:    C-4:    C(P[7]RuCN)(CH3)2(H)    P[7](Ru[5x3,7]C5HHP)(N[7]CH)(CCCH)2    H(CCCP)    107.1405    0.512    4    107.1405    0.5120    4    107.1405    4.0000    4    107.6845    1.7415    86
673    887    887    10:1:1:1:    4:    4:    Hf[7x3,4,5]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Hf[7x3,4,5]C9)(H)3    H(CHfHH)    H(CHfHH)    109.4727    0.061    6    109.4727    0.0610    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Ta[5x3,4,6,6]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Ta[5x3,4,6,6]C7NN)(H)3    H(CTaHH)    H(CTaHH)    109.4686    0.062    6    109.4686    0.0620    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Ti[7x3,4,6]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Ti[7x3,4,6]C9)(H)3    H(CTiHH)    H(CTiHH)    109.4822    0.081    6    109.4822    0.0810    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Ti[7x3,5]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Ti[7x3,5]C5NNOO)(H)3    H(CTiHH)    H(CTiHH)    109.4527    0.054    6    109.4527    0.0540    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Ti[7x3]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Ti[7x3]C6NNP)(H)3    H(CTiHH)    H(CTiHH)    109.4579    0.035    6    109.4579    0.0350    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Zr[7x3,4,5]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Zr[7x3,4,5]C8F)(H)3    H(CZrHH)    H(CZrHH)    109.5038    0.106    6    109.4599    0.0698    18    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Zr[7x3,4,5]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Zr[7x3,4,5]C9)(H)3    H(CZrHH)    H(CZrHH)    109.4379    0.032    9    109.4599    0.0698    18    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    10:1:1:1:    4:    4:    Zr[7x3,5,5]-10:H-1:H-1:H-1:    C-4:    C-4:    C(Zr[7x3,5,5]C9)(H)3    H(CZrHH)    H(CZrHH)    109.4934    0.037    6    109.4934    0.0370    6    109.3116    81.0000    81    109.1233    1.6229    845906
673    887    887    1:1:1:1:    4:    4:    Cl-1:Cl-1:H-1:H-1:    C-4:    C-4:    C(Cl)2(H)2    H(CCl2H)    H(CCl2H)    108.0850    2.352    3449    108.0850    2.3520    3449    108.3326    4251.0000    4251    109.1233    1.6229    845906
673    887    887    1:1:1:1:    4:    4:    Cl-1:H-1:H-1:I-1:    C-4:    C-4:    C(Cl)(H)2(I)    H(CClHI)    H(CClHI)    110.3879    6.594    5    110.3879    6.5940    5    108.3326    4251.0000    4251    109.1233    1.6229    845906
673    887    887    1:1:1:1:    4:    4:    H-1:H-1:H-1:H-1:    C-4:    C-4:    C(H)4    H(CH3)    H(CH3)    109.4699    0.495    54    109.4699    0.4950    54    108.3326    4251.0000    4251    109.1233    1.6229    845906
673    887    887    1:1:1:1:    4:    4:    H-1:H-1:H-1:O-1:    C-4:    C-4:    C(H)3(O)    H(CHHO)    H(CHHO)    109.3513    1.274    733    109.3513    1.2740    733    108.3326    4251.0000    4251    109.1233    1.6229    845906
673    887    887    1:1:1:1:    4:    4:    H-1:H-1:I-1:I-1:    C-4:    C-4:    C(H)2(I)2    H(CHII)    H(CHII)    114.9383    11.331    5    114.9383    11.3310    5    108.3326    4251.0000    4251    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    Au-2:H-1:H-1:H-1:    C-4:    C-4:    C(AuC)(H)3    H(CAuHH)    H(CAuHH)    108.7166    0.574    6    109.2240    0.4881    18    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    Au-2:H-1:H-1:H-1:    C-4:    C-4:    C(AuP)(H)3    H(CAuHH)    H(CAuHH)    109.4777    0.088    12    109.2240    0.4881    18    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    C-2:H-1:H-1:H-1:    C-4:    C-4:    C(CO)(H)3    H(CCHH)    H(CCHH)    109.3889    0.221    36    109.3614    2.2727    10413    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    C-2:H-1:H-1:H-1:    C-4:    C-4:    C(CC)(H)3    H(CCHH)    H(CCHH)    109.1788    1.629    294    109.3614    2.2727    10413    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    C-2:H-1:H-1:H-1:    C-4:    C-4:    C(CN)(H)3    H(CCHH)    H(CCHH)    109.3664    2.293    10068    109.3614    2.2727    10413    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    Hg-2:H-1:H-1:H-1:    C-4:    C-4:    C(HgS)(H)3    H(CHgHH)    H(CHgHH)    109.4752    0.089    21    109.4752    0.0890    21    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    N-2:H-1:H-1:H-1:    C-4:    C-4:    C(NSi)(H)3    H(CHHN)    H(CHHN)    109.4471    0.058    12    109.4872    0.0917    188    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    N-2:H-1:H-1:H-1:    C-4:    C-4:    C(NC)(H)3    H(CHHN)    H(CHHN)    109.4905    0.094    170    109.4872    0.0917    188    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OCr)(H)3    H(CHHO)    H(CHHO)    109.4458    0.042    6    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OMg)(H)3    H(CHHO)    H(CHHO)    109.4976    0.058    6    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OTi)(H)3    H(CHHO)    H(CHHO)    109.4435    0.050    6    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OCd)(H)3    H(CHHO)    H(CHHO)    109.4629    0.073    9    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OGd)(H)3    H(CHHO)    H(CHHO)    109.4306    0.125    9    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OTb)(H)3    H(CHHO)    H(CHHO)    109.4673    0.103    9    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OTh)(H)3    H(CHHO)    H(CHHO)    109.4371    0.092    9    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OAl)(H)3    H(CHHO)    H(CHHO)    109.4570    0.043    12    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OO)(H)3    H(CHHO)    H(CHHO)    109.4593    0.168    12    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(ORh)(H)3    H(CHHO)    H(CHHO)    109.6040    4.015    12    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OZr)(H)3    H(CHHO)    H(CHHO)    109.0961    1.507    12    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OAg)(H)3    H(CHHO)    H(CHHO)    109.4670    0.070    15    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OI)(H)3    H(CHHO)    H(CHHO)    110.3624    5.856    15    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OU)(H)3    H(CHHO)    H(CHHO)    106.0798    9.813    15    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(ORu)(H)3    H(CHHO)    H(CHHO)    107.8617    4.351    18    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(OTa)(H)3    H(CHHO)    H(CHHO)    109.4368    0.164    18    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
673    887    887    2:1:1:1:    4:    4:    O-2:H-1:H-1:H-1:    C-4:    C-4:    C(ORe)(H)3    H(CHHO)    H(CHHO)    109.4513    0.103    21    109.4986    2.1870    35556    109.4671    49351.0000    49351    109.1233    1.6229    845906
