909    583    673    4:4:4:4:    4:3:1:1:    4:4:4:4:    Ni[4x6]-4:C[6]-4:C[6]-4:C-4:    P[6,6]-4:N[6]-3:H-1:H-1:    P[6,6]-4:C-4:C-4:C-4:    P[6,6](Ni[4x6]P3)(C[6]HHN)2(CC3)    C[6](P[6,6]NiCC)(N[6]CC)(H)2    C(P[6,6]NiCC)(CH3)3    100.3788    0.915    8    100.3788    0.9150    8    102.1016    28.0000    28    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:3:1:1:    4:4:4:4:    Pd[6,6]-4:C[6]-4:C-4:C-4:    P[6]-4:C[6,6]-3:H-1:H-1:    P[6]-4:C-4:C-4:C-4:    P[6](Pd[6,6]OOP)(C[6]CHH)(CC3)2    C[6](P[6]PdCC)(C[6,6]CC)(H)2    C(P[6]PdCC)(CH3)3    103.9040    0.610    4    103.9040    0.6100    4    102.1016    28.0000    28    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:1:1:1:    Pd[6,6]-4:C[6]-4:C-4:C-4:    P[6]-4:C[6]-4:H-1:H-1:    P[6]-4:H-1:H-1:H-1:    P[6](Pd[6,6]NNP)(C[6]CHH)(CH3)2    C[6](P[6]PdCC)(C[6]CHH)(H)2    C(P[6]PdCC)(H)3    103.8485    4.001    4    103.8485    4.0010    4    103.8485    4.0000    4    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:3:1:1:    C[6]-4:C[6]-4:C-4:C-4:    C[6]-4:P[6]-4:H-1:H-1:    P[6]-4:C[6]-3:H-1:H-1:    P[6](C[6]CHH)2(CCHH)2    C[6](C[6]HHP)(P[6]C3)(H)2    C(P[6]C3)(C[6]CC)(H)2    109.0453    3.240    4    109.0453    3.2400    4    109.0453    4.0000    4    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:1:1:    C[6,6]-4:Fe[3x6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C[6]-4:H-1:H-1:    P[6,6](C[6,6]BHH)(Fe[3x6]P3)(CCHH)2    C[6,6](P[6,6]FeCC)(B[3x6]C3)(H)2    C(P[6,6]FeCC)(C[6]CCH)(H)2    104.2117    3.053    6    104.2117    3.0530    6    104.4094    12.0000    12    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:1:1:    Fe[3x6]-4:C[6,6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C[6]-4:H-1:H-1:    P[6,6](Fe[3x6]ClPP)(C[6,6]BHH)(CCHH)2    C[6,6](P[6,6]FeCC)(B[3x6]C3)(H)2    C(P[6,6]FeCC)(C[6]CCH)(H)2    104.6072    2.339    6    104.6072    2.3390    6    104.4094    12.0000    12    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:4:1:    C[6,6]-4:Fe[3x6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C-4:C-4:H-1:    P[6,6](C[6,6]BHH)(Fe[3x6]P3)(CCCH)2    C[6,6](P[6,6]FeCC)(B[3x6]C3)(H)2    C(P[6,6]FeCC)(CH3)2(H)    104.8741    2.338    12    104.8741    2.3380    12    105.7257    36.0000    36    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:4:1:    C[6,6]-4:Rh[3x6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C-4:C-4:H-1:    P[6,6](C[6,6]BHH)(Rh[3x6]P3)(CCCH)2    C[6,6](P[6,6]RhCC)(B[3x6]C3)(H)2    C(P[6,6]RhCC)(CH3)2(H)    104.7607    2.295    6    104.7607    2.2950    6    105.7257    36.0000    36    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:4:1:    Co[3x6]-4:C[6,6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C-4:C-4:H-1:    P[6,6](Co[3x6]PPS)(C[6,6]BHH)(CCCH)2    C[6,6](P[6,6]CoCC)(B[3x6]C3)(H)2    C(P[6,6]CoCC)(CH3)2(H)    106.3731    2.102    6    106.3731    2.1020    6    105.7257    36.0000    36    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:4:1:    Fe[3x6]-4:C[6,6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C-4:C-4:H-1:    P[6,6](Fe[3x6]CPP)(C[6,6]BHH)(CCCH)2    C[6,6](P[6,6]FeCC)(B[3x6]C3)(H)2    C(P[6,6]FeCC)(CH3)2(H)    107.1640    2.264    6    107.1640    2.2640    6    105.7257    36.0000    36    103.5933    3.7781    637
909    583    673    4:4:4:4:    4:4:1:1:    4:4:4:1:    Ni[3x6]-4:C[6,6]-4:C-4:C-4:    P[6,6]-4:B[3x6]-4:H-1:H-1:    P[6,6]-4:C-4:C-4:H-1:    P[6,6](Ni[3x6]ClPP)(C[6,6]BHH)(CCCH)2    C[6,6](P[6,6]NiCC)(B[3x6]C3)(H)2    C(P[6,6]NiCC)(CH3)2(H)    106.3082    1.461    6    106.3082    1.4610    6    105.7257    36.0000    36    103.5933    3.7781    637
