109    673    887    4:4:4:1:    4:4:1:1:    4:    C[5]-4:C[5]-4:C-4:H-1:    N[5]-4:C-4:H-1:H-1:    N[5]-4:    N[5](C[5]CHH)2(CCHH)(H)    C(N[5]CCH)(CHHO)(H)2    H(N[5]C3)    110.7621    1.728    5    109.0606    2.4428    12    107.9209    44.0000    44    106.5376    3.3650    611
109    673    887    4:4:4:1:    4:4:1:1:    4:    Zn[5,5]-4:C[5]-4:C-4:H-1:    N[5]-4:C-4:H-1:H-1:    N[5]-4:    N[5](Zn[5,5]N3)(C[5]CHH)(CCHH)(H)    C(N[5]ZnCH)(CHHO)(H)2    H(N[5]ZnCC)    106.3949    1.529    4    106.3949    1.5290    4    107.9209    44.0000    44    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:1:1:1:    4:    Cu[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:H-1:H-1:H-1:    N[5]-4:    N[5](Cu[3x5]N3S)(C[5]CHH)(CH3)(H)    C(N[5]CuCH)(H)3    H(N[5]CuCC)    105.5425    5.150    12    105.5425    5.1500    12    106.0410    20.0000    20    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Co[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Co[3x5]BrN3)(C[5]CHH)(CCHH)(H)    C(N[5]CoCH)(C[6]CC)(H)2    H(N[5]CoCC)    105.7024    0.284    5    105.7092    0.2223    11    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Co[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Co[3x5]ClN3)(C[5]CHH)(CCHH)(H)    C(N[5]CoCH)(C[6]CC)(H)2    H(N[5]CoCC)    105.7148    0.185    6    105.7092    0.2223    11    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Cu[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Cu[3x5]N3O)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(C[6]CC)(H)2    H(N[5]CuCC)    107.2897    1.941    12    107.3411    1.5885    18    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]Cl2NN)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(C[6]CC)(H)2    H(N[5]CuCC)    106.1573    2.309    4    105.5749    2.2321    31    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]ClNOO)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(C[6]CC)(H)2    H(N[5]CuCC)    105.5485    0.376    4    105.5749    2.2321    31    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]NNOO)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(C[6]CC)(H)2    H(N[5]CuCC)    105.7942    2.477    16    105.5749    2.2321    31    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:3:1:1:    4:    Zn[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:C[6]-3:H-1:H-1:    N[5]-4:    N[5](Zn[3x5]N3O)(C[5]CHH)(CCHH)(H)    C(N[5]ZnCH)(C[6]CC)(H)2    H(N[5]ZnCC)    106.6608    1.783    10    106.4067    1.7762    12    106.2279    85.0000    85    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:4:1:1:    4:    Cu[3x5]-5:C[5]-4:C-4:H-1:    N[5]-4:C-4:H-1:H-1:    N[5]-4:    N[5](Cu[3x5]N3O)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(CCHH)(H)2    H(N[5]CuCC)    106.0579    1.555    6    106.4830    1.8111    7    107.0381    71.0000    71    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:4:1:1:    4:    Cu[5,5,6]-5:C[5]-4:C-4:H-1:    N[5]-4:C-4:H-1:H-1:    N[5]-4:    N[5](Cu[5,5,6]NNOO)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(CCHH)(H)2    H(N[5]CuCC)    105.7587    0.480    4    105.8621    0.4756    5    107.0381    71.0000    71    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:4:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    C[3,3,5]-4:N[5]-4:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]NNOO)(C[5]CCH)(CCHH)(H)    C(C[3,3,5]FeCC)(N[5]CuCH)(H)2    H(N[5]CuCC)    107.9725    2.279    4    107.8103    2.0003    8    107.0381    71.0000    71    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:4:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    C[3,3,5]-4:N[5]-4:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]NO3)(C[5]CCH)(CCHH)(H)    C(C[3,3,5]FeCC)(N[5]CuCH)(H)2    H(N[5]CuCC)    107.6482    2.018    4    107.8103    2.0003    8    107.0381    71.0000    71    106.5376    3.3650    611
109    673    887    5:4:4:1:    4:4:1:1:    4:    Cu[5,5]-5:C[5]-4:C-4:H-1:    N[5]-4:C-4:H-1:H-1:    N[5]-4:    N[5](Cu[5,5]ClNNO)(C[5]CHH)(CCHH)(H)    C(N[5]CuCH)(CHHN)(H)2    H(N[5]CuCC)    109.0621    8.590    4    106.7674    5.2743    26    107.0381    71.0000    71    106.5376    3.3650    611
