983    29    983    3:3:4:    3:3:1:    4:3:1:    N[6]-3:C[6]-3:C-4:    N[6]-3:N[6]-3:S-1:    C[6]-4:N[6]-3:H-1:    N[6](N[6]CH)(C[6]NS)(CH3)    C[6](N[6]CN)(N[6]CN)(S)    N[6](C[6]CHN)(N[6]CC)(H)    122.9281    0.402    4    122.6171    0.8170    12    122.5528    0.8670    20
983    29    983    3:3:4:    3:3:1:    4:3:1:    N[6]-3:C[6]-3:C-4:    N[6]-3:N[6]-3:S-1:    C[6]-4:N[6]-3:H-1:    N[6](N[6]CH)(C[6]NS)(CH3)    C[6](N[6]CN)2(S)    N[6](C[6]CHN)(N[6]CC)(H)    122.4616    0.947    8    122.6171    0.8170    12    122.5528    0.8670    20
983    29    983    4:3:3:    3:3:1:    3:4:4:    Cu[3x6]-4:N[6]-3:C[6]-3:    N[6,6]-3:C[6,6]-3:H-1:    N[6,6]-3:P[6,6]-4:C-4:    N[6,6](Cu[3x6]NOO)(N[6]CP)(C[6]CH)    C[6](N[6,6]CuN)(C[6,6]CC)(H)    N[6](N[6,6]CuC)(P[6,6]N3)(CH3)    114.5319    2.006    4    114.5319    2.0060    4    114.5319    2.0060    4
983    29    983    4:3:3:    3:3:1:    4:3:3:    Ag[4,6]-4:N[6,6]-3:C[6]-3:    N[6,6]-3:C[6]-3:H-1:    Ag[4,6]-4:N[6,6]-3:C[6]-3:    N[6,6](Ag[4,6]AgNN)(N[6,6]AgC)(C[6]CH)    C[6](N[6,6]AgN)(C[6]CH)(H)    N[6,6](Ag[4,6]AgNN)(N[6,6]AgC)(C[6]CH)    119.3468    0.542    4    119.3468    0.5420    4    119.3209    0.4729    5
983    29    983    5:3:3:    3:4:4:    4:3:1:    Cu[5,5x6]-5:N[6,6]-3:C[6]-3:    N[3x6]-3:C[6]-4:C-4:    C[3x6]-4:N[3x6]-3:H-1:    N[3x6](Cu[5,5x6]N4)(N[6,6]CH)(C[6]CC)    C[6](N[3x6]CuN)(C[6]CHH)(CH3)    N[6,6](C[3x6]CHN)(N[3x6]CuC)(H)    117.7536    2.098    4    117.7536    2.0980    4    117.9674    1.6998    6
983    29    983    6:3:3:    3:3:1:    6:3:3:    Co[6x6]-6:N[3x6]-3:C[6]-3:    N[3x6]-3:C[6,6]-3:H-1:    Co[6x6]-6:N[3x6]-3:C[6]-3:    N[3x6](Co[6x6]NNO3)(N[3x6]CoC)(C[6]CH)    C[6](N[3x6]CoN)(C[6,6]CC)(H)    N[3x6](Co[6x6]NNO3)(N[3x6]CoC)(C[6]CH)    117.8552    0.892    4    117.8552    0.8920    4    117.2048    0.9842    10
983    29    983    6:3:3:    3:3:1:    6:3:3:    Fe[6x6]-6:N[3x6]-3:C[6]-3:    N[3x6]-3:C[6,6]-3:H-1:    Fe[6x6]-6:N[3x6]-3:C[6]-3:    N[3x6](Fe[6x6]NNO3)(N[3x6]FeC)(C[6]CH)    C[6](N[3x6]FeN)(C[6,6]CC)(H)    N[3x6](Fe[6x6]NNO3)(N[3x6]FeC)(C[6]CH)    116.7712    0.838    6    116.7712    0.8380    6    117.2048    0.9842    10
983    29    983    7:3:3:    3:3:1:    4:3:4:    Mn[3x3,6x6]-7:N[6,6]-3:C[6]-3:    N[3x6]-3:C[6,6]-3:H-1:    P[3x6]-4:N[3x6]-3:C-4:    N[3x6](Mn[3x3,6x6]EuNNO3)(N[6,6]CP)(C[6]CH)    C[6](N[3x6]MnN)(C[6,6]CC)(H)    N[6,6](P[3x6]NNS)(N[3x6]MnC)(CH3)    113.5646    0.451    5    113.0854    0.7783    10    113.2827    0.9201    13
983    41    511    2:2:2:    3:2:    3:2:    C[6]-2:C[6]-2:C-2:    N[6]-3:C-2:    N[6]-3:C[6]-2:    N[6](C[6]C)2(CC)    C(N[6]CC)(CC)    C[6](N[6]CC)(C[6]C)    117.4679    4.166    6    115.7737    5.0495    8    115.7737    5.0495    8
983    41    511    2:2:2:    3:4:    3:2:    C[6]-2:C[6]-2:C-2:    N[6]-3:P-4:    N[6]-3:C[6]-2:    N[6](C[6]C)2(CP)    C(N[6]CC)(PO3)    C[6](N[6]CC)(C[6]C)    108.7883    2.626    4    108.7883    2.6260    4    108.7883    2.6260    4
