653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6]ClC)(N[5]O)    105.4156    0.076    4    105.2313    0.2778    16    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5,6]-3:O[5]-2:    N[5]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(O[5]N)    O[5](N[5]CO)(N[5]C)    C[5,6](C[5,6]CN)(C[6]CN)(N[5]O)    105.1205    0.366    5    105.2313    0.2778    16    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5]-3:O[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5,6]CC)(N[5]C)    C[5](C[5,6]CC)(C[6]CC)(N[5]O)    105.9288    0.965    4    106.1835    0.7741    13    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5]-3:O[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5,6]CO)(N[5]C)    C[5](C[5,6]CC)(C[6]CC)(N[5]O)    106.2967    0.709    9    106.1835    0.7741    13    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CH)(N[5]C)    C[5](C[5]CC)(C[6]CC)(N[5]O)    105.1223    0.459    7    105.5643    0.5110    48    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CC)(C[6]CC)(N[5]O)    105.6035    0.323    10    105.5643    0.5110    48    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:3:2:    C[5]-3:O[5]-2:    C[5]-3:N[5]-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5]CC)(N[5]C)    C[5](C[5]CH)(C[6]CC)(N[5]O)    105.6389    0.342    27    105.5643    0.5110    48    105.4130    1.5479    97
653    407    563    3:2:    3:2:    3:4:2:    C[5]-3:O[5]-2:    C[5,6]-3:N[5]-2:    C[5,6]-3:C[6]-4:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5,6]CC)(N[5]C)    C[5](C[5,6]CC)(C[6]CCH)(N[5]O)    106.9944    0.231    5    106.9944    0.2310    5    106.1575    1.3150    10
653    407    563    3:2:    4:2:    3:3:2:    C[5]-3:O[5]-2:    C[5,7]-4:N[5]-2:    N[5,7]-3:C[6]-3:N[5]-2:    N[5](C[5]CN)(O[5]C)    O[5](C[5,7]CCN)(N[5]C)    C[5](N[5,7]CC)(C[6]CC)(N[5]O)    106.2961    0.453    4    106.3176    0.3952    5    105.7192    1.2342    12
653    407    563    3:2:    4:2:    4:3:2:    C[5]-3:O[5]-2:    C[5,5]-4:N[5]-2:    C[5]-4:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5,5]C3)(N[5]C)    C[5](C[5]CCH)(C[6]CC)(N[5]O)    109.2374    0.247    4    109.1570    0.2356    8    109.4799    0.5795    48
653    407    563    3:2:    4:2:    4:3:2:    C[5]-3:O[5]-2:    C[5,7]-4:N[5]-2:    C[5]-4:C[6]-3:N[5]-2:    N[5](C[5]CC)(O[5]C)    O[5](C[5,7]C3)(N[5]C)    C[5](C[5]CCH)(C[6]CC)(N[5]O)    109.1858    0.441    6    109.1858    0.4410    6    109.4799    0.5795    48
