583    29    563    3:3:3:1:    4:3:3:    4:3:2:    C[5]-3:C[6]-3:C[6]-3:H-1:    C[6]-4:C[6]-3:C-3:    C[6]-4:C[5]-3:O[5]-2:    C[6](C[5]CO)(C[6]CC)2(H)    C[6](C[6]CCH)(C[6]CN)(COO)    C[5](C[6]CCH)(C[5]CH)(O[5]C)    110.9119    2.226    5    110.5219    1.9365    7    110.5677    20.0000    20    110.2332    3.7789    384
583    29    563    3:3:3:1:    4:3:3:    4:3:2:    C[5]-3:C[6]-3:C[6]-3:H-1:    C[6]-4:C[6]-3:C-3:    C[6]-4:C[5]-3:S[5]-2:    C[6](C[5]CS)(C[6]CC)2(H)    C[6](C[6]CCH)(C[6]CN)(COO)    C[5](C[6]CCH)(C[5]CH)(S[5]C)    110.4458    1.076    6    110.4117    1.2178    9    110.5677    20.0000    20    110.2332    3.7789    384
583    29    563    3:3:3:1:    4:3:3:    4:3:3:    C[5]-3:C[6]-3:C[6]-3:H-1:    C[6]-4:C[6]-3:C-3:    C[6]-4:C[5]-3:C[5]-3:    C[6](C[5]CC)(C[6]CC)2(H)    C[6](C[6]CCH)(C[6]CN)(COO)    C[5](C[6]CCH)(C[5]CN)(C[5]HN)    110.8832    1.992    6    110.8832    1.9920    6    111.6762    11.0000    11    110.2332    3.7789    384
583    29    563    3:3:3:3:    4:3:3:    3:4:3:    C[5,6]-3:C[5,6]-3:C[6]-3:C[6]-3:    C[6]-4:C[6]-3:C[6]-3:    N[5,5,6]-3:C[6]-4:C[5]-3:    C[6](C[5,6]CN)(C[5,6]CN)(C[6]CC)2    C[6](C[6]C3)(C[6]CH)2    C[5,6](N[5,5,6]PdC)(C[6]C3)(C[5]CH)    107.2888    1.514    4    107.6011    1.3542    8    108.3126    14.0000    14    110.2332    3.7789    384
583    29    563    3:3:3:3:    4:3:3:    3:4:3:    C[5,6]-3:C[5,6]-3:C[6]-3:C[6]-3:    C[6]-4:C[6]-3:C[6]-3:    N[5,5,6]-3:C[6]-4:C[5]-3:    C[6](C[5,6]CN)2(C[6]CC)2    C[6](C[6]C3)(C[6]CH)2    C[5,6](N[5,5,6]PdC)(C[6]C3)(C[5]CH)    107.9135    1.314    4    107.6011    1.3542    8    108.3126    14.0000    14    110.2332    3.7789    384
583    29    563    3:3:3:3:    4:3:3:    3:4:3:    C[5,6]-3:C[5,6]-3:C[6]-3:C[6]-3:    C[6]-4:C[6]-3:C[6]-3:    N[5,6,6]-3:C[6]-4:C[5]-3:    C[6](C[5,6]CN)2(C[6]CC)2    C[6](C[6]C3)(C[6]CH)2    C[5,6](N[5,6,6]CP)(C[6]C3)(C[5]CH)    109.0877    1.650    4    109.0877    1.6500    4    108.3126    14.0000    14    110.2332    3.7789    384
583    29    563    3:3:3:3:    4:3:3:    4:3:3:    C[3x6]-3:C[3x6]-3:C[3x6]-3:C[5]-3:    C[3x6]-4:C[3x6]-3:C[6]-3:    C[3x6]-4:C[5,6]-3:C[5]-3:    C[3x6](C[3x6]CC)3(C[5]CC)    C[3x6](C[3x6]C3)(C[3x6]CC)(C[6]CH)    C[5](C[3x6]C3)(C[5,6]CC)(C[5]CH)    114.2477    5.483    6    114.2477    5.4830    6    114.2477    6.0000    6    110.2332    3.7789    384
583    29    563    3:4:3:1:    4:3:1:    3:4:3:    C[5,6,6]-3:C[6,6]-4:C[6,6]-3:H-1:    C[3x6]-4:C[6,6]-3:H-1:    C[5,6,6]-3:C[3x6]-4:C[5,6]-3:    C[3x6](C[5,6,6]CC)(C[6,6]CHH)(C[6,6]CH)(H)    C[6,6](C[3x6]CCH)(C[6,6]CH)(H)    C[5,6,6](C[5,6,6]CC)(C[3x6]CCH)(C[5,6]CN)    104.8577    1.450    8    104.8577    1.4500    8    106.4658    20.0000    20    110.2332    3.7789    384
583    29    563    3:4:3:1:    4:3:1:    3:4:3:    C[5,6,6]-3:C[6,6]-4:C[6,6]-3:H-1:    C[3x6]-4:C[6,6]-3:H-1:    C[5,6,6]-3:C[3x6]-4:C[5]-3:    C[3x6](C[5,6,6]CC)(C[6,6]CHH)(C[6,6]CH)(H)    C[6,6](C[3x6]CCH)(C[6,6]CH)(H)    C[5,6,6](C[5,6,6]CC)(C[3x6]CCH)(C[5]CN)    106.1244    0.977    8    106.1244    0.9770    8    106.4658    20.0000    20    110.2332    3.7789    384
583    29    563    3:4:3:1:    4:3:1:    3:4:3:    C[5,6]-3:C[6]-4:C[6]-3:H-1:    C[6]-4:C[6]-3:H-1:    C[5,6,6]-3:C[6]-4:C[5]-3:    C[6](C[5,6]CC)(C[6]CCH)(C[6]CH)(H)    C[6](C[6]CCH)(C[6]CH)(H)    C[5,6](C[5,6,6]CC)(C[6]CCH)(C[5]CH)    110.3648    0.364    4    110.3648    0.3640    4    106.4658    20.0000    20    110.2332    3.7789    384
583    29    563    3:4:3:1:    4:3:3:    3:4:3:    C[5,6]-3:C[6]-4:C[6]-3:H-1:    C[6]-4:C[6]-3:C[6]-3:    C[5,6]-3:C[6]-4:C[5]-3:    C[6](C[5,6]CC)(C[6]CHH)(C[6]CC)(H)    C[6](C[6]CCH)(C[6]CH)2    C[5,6](C[5,6]NN)(C[6]CCH)(C[5]CN)    113.0621    0.928    6    113.4320    1.0242    15    112.0965    20.0000    20    110.2332    3.7789    384
583    29    563    4:4:3:3:    4:3:3:    4:3:3:    C[6]-4:C[6]-4:C[5]-3:C[6]-3:    C[6]-4:C[6]-3:C[6]-3:    C[6]-4:C[5]-3:C[5]-3:    C[6](C[6]CHH)2(C[5]CC)(C[6]CC)    C[6](C[6]C3)(C[6]CH)2    C[5](C[6]C3)(C[5]CH)2    108.3266    1.685    4    108.1526    1.5102    5    108.1526    5.0000    5    110.2332    3.7789    384
583    29    583    3:3:4:1:    3:4:3:    3:3:4:1:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6,6]-3:C[6]-4:C[6]-3:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6](C[6,6]CC)2(C[6]CCH)(H)    C[6,6](C[6,6]CC)(C[6]CCH)(C[6]CN)    C[6](C[6,6]CC)2(C[6]CCH)(H)    110.7999    1.634    4    111.5202    1.3984    44    111.4663    46.0000    46    111.4402    2.9032    16538
583    29    583    3:3:4:1:    3:4:3:    3:3:4:1:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6,6]-3:C[6]-4:C[6]-3:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6](C[6,6]CC)2(C[6]CCH)(H)    C[6,6](C[6,6]CC)(C[6]CCH)(C[6]CC)    C[6](C[6,6]CC)2(C[6]CCH)(H)    111.8006    2.449    8    111.5202    1.3984    44    111.4663    46.0000    46    111.4402    2.9032    16538
583    29    583    3:3:4:1:    3:4:3:    3:3:4:1:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6,6]-3:C[6]-4:C[6]-3:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6](C[6,6]CC)2(C[6]CCH)(H)    C[6,6](C[6,6]CC)(C[6]CCH)(C[6]CH)    C[6](C[6,6]CC)2(C[6]CCH)(H)    111.7570    0.924    27    111.5202    1.3984    44    111.4663    46.0000    46    111.4402    2.9032    16538
583    29    583    3:3:4:1:    3:4:3:    3:3:4:3:    C[6,6]-3:C[6,6]-3:C[6]-4:H-1:    C[6,6]-3:C[6]-4:C[6]-3:    C[6,6]-3:C[6,6]-3:C[6]-4:C-3:    C[6](C[6,6]CC)2(C[6]C3)(H)    C[6,6](C[6,6]CC)(C[6]CCH)(C[6]CH)    C[6](C[6,6]CC)2(C[6]CCH)(COO)    112.4878    0.486    8    112.3513    0.5162    10    112.3513    10.0000    10    111.4402    2.9032    16538
