801    29    976    3:3:3:1:    4:3:3:    4:4:4:    N[3,5]-3:N[5,7]-3:C[6]-3:H-1:    C[5]-4:C[6]-3:C[6]-3:    C[3,5]-4:C[3]-4:C[5]-4:    C[5](N[3,5]CC)(N[5,7]CC)(C[6]CC)(H)    C[6](C[5]HNN)(C[6]CH)2    N[3,5](C[3,5]C3)(C[3]CHH)(C[5]CHN)    109.8071    0.000    1    110.0201    0.0000    1    109.9136    0.1506    2    109.9136    0.1506    2
801    29    981    3:3:3:3:    4:3:3:    4:4:1:    C[5,6]-3:C[5]-3:C[6]-3:N-3:    C[5]-4:C[6]-3:C[6]-3:    C[5]-4:S-4:H-1:    C[5](C[5,6]CC)(C[5]CI)(C[6]CC)(NHS)    C[6](C[5]CCN)(C[6]CH)2    N(C[5]C3)(SCOO)(H)    107.5670    0.967    3    107.5670    0.9670    3    107.9615    1.1163    4    109.3751    2.1359    13
801    29    983    4:3:3:4:    4:3:3:    4:4:3:    C[5,6]-4:N[6,6]-3:C[6,6]-3:C[5]-4:    C[5,6,6]-4:C[6,6]-3:C[6]-3:    C[5,6,6]-4:C[6]-4:C[6]-3:    C[5,6,6](C[5,6]CCH)(N[6,6]CC)(C[6,6]CC)(C[5]CHH)    C[6,6](C[5,6,6]CCN)(C[6,6]CC)(C[6]CH)    N[6,6](C[5,6,6]C3)(C[6]CCH)(C[6]CO)    110.0498    0.284    3    110.0498    0.2840    3    110.1010    0.2535    4    110.5447    1.3998    18
801    29    983    4:4:3:3:    4:3:1:    4:3:1:    C[5]-4:C[5]-4:C[6]-3:N[6]-3:    C[5,6]-4:N[6]-3:O-1:    C[5,6]-4:C[6]-3:H-1:    C[5,6](C[5]CHH)2(C[6]NO)(N[6]CH)    C[6](C[5,6]CCN)(N[6]CH)(O)    N[6](C[5,6]C3)(C[6]CO)(H)    111.5391    0.699    4    111.5391    0.6990    4    111.5391    4.0000    4    110.5447    1.3998    18
801    29    996    3:4:3:2:    4:3:3:    6:6:4:    S[3,5,5]-3:C[5,5]-4:C[6]-3:O-2:    C[5,5]-4:C[6]-3:C[6]-3:    Fe[3,3,5]-6:Fe[3,3,5]-6:C[5,5]-4:    C[5,5](S[3,5,5]Fe2)(C[5,5]COS)(C[6]CC)(OH)    C[6](C[5,5]COS)(C[6]CH)2    S[3,5,5](Fe[3,3,5]FeC3S)2(C[5,5]CCO)    108.9891    0.764    2    108.9891    0.7640    2    108.9891    0.7640    2    108.9891    0.7640    2
801    29    997    3:4:3:1:    4:3:3:    9:4:3:    N[4,5]-3:C[5]-4:C[6]-3:H-1:    C[5]-4:C[6]-3:C[6]-3:    Hf[5x3,4,5]-9:C[5]-4:C[4]-3:    C[5](N[4,5]HfC)(C[5]HHO)(C[6]CC)(H)    C[6](C[5]CHN)(C[6]CH)2    N[4,5](Hf[5x3,4,5]C5NNO)(C[5]CCH)(C[4]NN)    116.3707    0.000    1    116.3707    0.0000    1    116.3707    0.0000    1    113.8469    3.5691    2
801    41    41    3:4:2:2:    4:1:    4:1:    C[5]-3:C[5]-4:C-2:C-2:    C[5]-4:N-1:    C[5]-4:N-1:    C[5](C[5]PtN)(C[5]C3)(CN)2    C(C[5]C3)(N)    C(C[5]C3)(N)    109.5086    0.522    4    109.5086    0.5220    4    108.2504    8.0000    8    107.8679    1.9137    41
801    41    41    4:2:2:2:    4:1:    4:1:    C[5,5]-4:O[5]-2:C-2:C-2:    C[5]-4:N-1:    C[5]-4:N-1:    C[5](C[5,5]CCO)(O[5]C)(CN)2    C(C[5]CCO)(N)    C(C[5]CCO)(N)    108.7142    0.533    6    108.7142    0.5330    6    108.6317    8.0000    8    107.8679    1.9137    41
801    41    41    4:4:2:2:    4:1:    4:1:    C[5,5,6]-4:C[5,6]-4:C-2:C-2:    C[5,6]-4:N-1:    C[5,6]-4:N-1:    C[5,6](C[5,5,6]CCH)(C[5,6]C3)(CN)2    C(C[5,6]C3)(N)    C(C[5,6]C3)(N)    108.1531    2.103    6    108.1531    2.1030    6    107.3886    14.0000    14    107.8679    1.9137    41
801    41    41    4:4:2:2:    4:1:    4:1:    C[5,5]-4:C[5]-4:C-2:C-2:    C[5]-4:N-1:    C[5]-4:N-1:    C[5](C[5,5]C3)(C[5]CHN)(CN)2    C(C[5]C3)(N)    C(C[5]C3)(N)    106.6832    0.859    4    106.3064    1.1240    5    107.3886    14.0000    14    107.8679    1.9137    41
