237    237    951    4:4:4:1:    4:4:1:1:    9:4:4:4:    P[4,6]-4:C[4]-4:C-4:H-1:    C[4]-4:C[4]-4:H-1:H-1:    Ru[6x3,6]-9:C[4]-4:C[4]-4:C[6]-4:    C[4](P[4,6]RuCC)(C[4]CHH)(CCCH)(H)    C[4](C[4]CHP)2(H)2    P[4,6](Ru[6x3,6]ClC6N)(C[4]CCH)2(C[6]CHH)    88.5320    0.414    4    88.5320    0.4140    4    88.3970    0.4533    6
237    237    963    4:4:3:1:    4:4:1:1:    4:3:1:    C[4,6]-4:C[4]-4:S-3:H-1:    C[4,6]-4:C[4]-4:H-1:H-1:    C[4]-4:C[6]-3:O-1:    C[4](C[4,6]CCO)(C[4]CHH)(SCO)(H)    C[4](C[4,6]CCH)(C[4]CHS)(H)2    S(C[4]CCH)(C[6]CC)(O)    115.1192    2.736    6    115.1192    2.7360    6    115.9831    2.8911    8
237    237    963    4:4:3:1:    4:4:4:1:    4:3:1:    C[4,6]-4:C[4]-4:S-3:H-1:    C[4,6]-4:C[4]-4:C[6]-4:O-1:    C[4]-4:C[6]-3:O-1:    C[4](C[4,6]CCO)(C[4]CHH)(SCO)(H)    C[4,6](C[4,6]CCH)(C[4]CHS)(C[6]CHH)(O)    S(C[4]CCH)(C[6]CC)(O)    112.8303    3.996    5    112.8303    3.9960    5    112.8303    3.9960    5
237    237    973    4:2:1:1:    4:4:4:4:    4:4:    C[4,4]-4:S[4]-2:H-1:H-1:    C[4]-4:C[4]-4:C[4]-4:C[4]-4:    C[4]-4:C[4]-4:    C[4](C[4,4]C3)(S[4]C)(H)2    C[4,4](C[4]HHS)4    S[4](C[4]CHH)2    90.8680    0.506    4    90.8680    0.5060    4    90.8680    0.5060    4
237    237    979    4:4:4:1:    4:4:4:1:    4:3:3:1:    C[4]-4:C[4]-4:P-4:H-1:    C[4]-4:C[4]-4:P-4:H-1:    C[4]-4:C[6]-3:C[6]-3:O-1:    C[4](C[4]CHP)2(PCCO)(H)    C[4](C[4]CHP)2(PCCO)(H)    P(C[4]CCH)(C[6]CC)2(O)    118.7459    6.760    16    118.7459    6.7600    16    119.4720    6.4883    26
237    237    979    4:4:4:1:    4:4:4:1:    4:3:3:1:    C[4]-4:C[4]-4:P-4:H-1:    C[4]-4:C[4]-4:P-4:H-1:    C[4]-4:C[6]-3:C[6]-3:S-1:    C[4](C[4]CHP)2(PCCS)(H)    C[4](C[4]CHP)2(PCCS)(H)    P(C[4]CCH)(C[6]CC)2(S)    120.6338    6.192    10    120.6338    6.1920    10    119.4720    6.4883    26
237    237    981    4:4:3:1:    4:4:1:1:    4:1:1:    C[4]-4:C[4]-4:N-3:H-1:    C[4]-4:C[4]-4:H-1:H-1:    C[4]-4:H-1:H-1:    C[4](C[4]CHH)2(NHH)(H)    C[4](C[4]CHH)(C[4]CHN)(H)2    N(C[4]CCH)(H)2    120.1697    2.405    4    120.3609    2.5154    6    120.3609    2.5154    6
237    237    981    4:4:3:1:    4:4:1:1:    4:3:1:    C[4]-4:C[4]-4:N-3:H-1:    C[4,4]-4:C[4]-4:H-1:H-1:    C[4]-4:C-3:H-1:    C[4](C[4]CHH)2(NCH)(H)    C[4](C[4,4]C3)(C[4]CHN)(H)2    N(C[4]CCH)(CCO)(H)    117.9747    2.060    4    118.2944    1.7556    6    118.0211    1.8308    29
237    237    981    4:4:3:1:    4:4:1:1:    4:3:1:    C[4]-4:C[4]-4:N-3:H-1:    C[4]-4:C[4]-4:H-1:H-1:    C[4]-4:C-3:H-1:    C[4](C[4]CHH)2(NCH)(H)    C[4](C[4]CHN)2(H)2    N(C[4]CCH)(COO)(H)    117.5385    2.648    4    118.1779    1.6536    19    118.0211    1.8308    29
237    237    981    4:4:3:1:    4:4:1:1:    4:3:1:    C[4]-4:C[4]-4:N-3:H-1:    C[4]-4:C[4]-4:H-1:H-1:    C[4]-4:C-3:H-1:    C[4](C[4]CCH)(C[4]CHH)(NCH)(H)    C[4](C[4]CHH)(C[4]CHN)(H)2    N(C[4]CCH)(CCO)(H)    118.8173    1.081    8    118.1779    1.6536    19    118.0211    1.8308    29
