801    801    801    3:4:4:1:    4:2:1:1:    4:3:1:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:O[5]-2:H-1:H-1:    C[5,5]-4:C[5,6]-3:H-1:H-1:    C[5,5](N[5,5]CP)(C[5]CHH)(C[5]HHO)(H)    C[5](C[5,5]CHN)(O[5]P)(H)2    C[5](C[5,5]CHN)(C[5,6]CC)(H)2    117.0575    0.954    4    117.0575    0.9540    4    116.1361    3.0565    11
801    801    801    3:4:4:1:    4:2:1:1:    4:3:1:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:O[5]-2:H-1:H-1:    C[5,5]-4:O[5,5]-3:H-1:H-1:    C[5,5](N[5,5]CdC)(C[5]HHO)2(H)    C[5](C[5,5]CHN)(O[5]C)(H)2    C[5](C[5,5]CHN)(O[5,5]CdC)(H)2    114.5734    1.327    4    114.2655    1.3769    6    116.1361    3.0565    11
801    801    801    3:4:4:1:    4:2:1:1:    4:4:1:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:O[5]-2:H-1:H-1:    C[5,5]-4:C[5]-4:H-1:H-1:    C[5,5](N[5,5]CC)(C[5]CHH)(C[5]HHO)(H)    C[5](C[5,5]CHN)(O[5]C)(H)2    C[5](C[5,5]CHN)(C[5]C3)(H)2    119.6973    1.266    4    120.0903    1.6703    7    117.0594    3.6254    17
801    801    801    3:4:4:1:    4:2:1:1:    4:4:1:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:S[5]-2:H-1:H-1:    C[5,5]-4:C[5,5]-4:H-1:H-1:    C[5,5](N[5,5]CC)(C[5]CHH)(C[5]HHS)(H)    C[5](C[5,5]CHN)(S[5]C)(H)2    C[5](C[5,5]CCH)(C[5,5]CHN)(H)2    113.9189    0.793    7    113.9189    0.7930    7    117.0594    3.6254    17
801    801    801    3:4:4:1:    4:2:1:1:    4:4:3:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:S[5]-2:H-1:H-1:    C[5,5]-4:C[5,5]-4:C[6]-3:H-1:    C[5,5](N[5,5]CC)(C[5]CCH)(C[5]HHS)(H)    C[5](C[5,5]CHN)(S[5]C)(H)2    C[5](C[5,5]CHN)(C[5,5]C3)(C[6]CC)(H)    114.9859    0.938    5    114.9859    0.9380    5    115.6888    2.1956    13
801    801    801    3:4:4:1:    4:2:1:1:    4:4:3:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:S[5]-2:H-1:H-1:    C[5,5]-4:C[5,6]-4:C[6]-3:H-1:    C[5,5](N[5,5]CC)(C[5]CCH)(C[5]HHS)(H)    C[5](C[5,5]CHN)(S[5]C)(H)2    C[5](C[5,5]CHN)(C[5,6]C3)(C[6]CC)(H)    117.0722    3.057    5    117.0722    3.0570    5    115.6888    2.1956    13
801    801    801    3:4:4:1:    4:3:1:1:    3:4:4:1:    C[5,6]-3:C[5]-4:C[5]-4:H-1:    C[5]-4:C[5]-3:H-1:H-1:    C[5,6]-3:C[5]-4:C[5]-4:H-1:    C[5](C[5,6]CC)(C[5]CCH)(C[5]CHH)(H)    C[5](C[5]CCH)(C[5]CO)(H)2    C[5](C[5,6]CC)(C[5]CCH)(C[5]CHH)(H)    112.3597    2.521    4    112.3597    2.5210    4    112.3597    2.5210    4
801    801    801    3:4:4:1:    4:3:1:1:    4:3:1:1:    O[3,5,5]-3:C[5,7]-4:C[5,7]-4:H-1:    C[5,5,7]-4:N[5,6,7]-3:H-1:H-1:    C[5,5,7]-4:N[5,6,7]-3:H-1:H-1:    C[5,5,7](O[3,5,5]Cu2)(C[5,7]HHN)2(H)    C[5,7](C[5,5,7]CHO)(N[5,6,7]CuC)(H)2    C[5,7](C[5,5,7]CHO)(N[5,6,7]CuC)(H)2    112.8672    1.002    5    114.5806    4.6749    9    114.2957    3.9995    32
801    801    801    3:4:4:1:    4:3:1:1:    4:3:1:1:    O[5,5,6]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:N[5,6]-3:H-1:H-1:    C[5,5]-4:N[5,6]-3:H-1:H-1:    C[5,5](O[5,5,6]Cu2)(C[5]HHN)2(H)    C[5](C[5,5]CHO)(N[5,6]CuC)(H)2    C[5](C[5,5]CHO)(N[5,6]CuC)(H)2    117.5058    4.344    7    117.5058    4.3440    7    114.2957    3.9995    32
801    801    801    3:4:4:1:    4:3:1:1:    4:4:1:1:    N[5,5]-3:C[5]-4:C[5]-4:H-1:    C[5,5]-4:N[5]-3:H-1:H-1:    C[5,5]-4:C[5]-4:H-1:H-1:    C[5,5](N[5,5]CP)(C[5]CHH)(C[5]HHN)(H)    C[5](C[5,5]CHN)(N[5]CP)(H)2    C[5](C[5,5]CHN)(C[5]CHH)(H)2    117.0999    1.414    5    117.5573    1.6896    6    117.1644    3.9215    15
