29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-3:H-1:    C[6](C[6]HN)(N[6]C)(CCH)    C(C[6]CN)(CCH)(H)    1.4524    0.009    12    1.4663    0.0293    93    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-3:H-1:    C[6](C[6]CH)(N[6]C)(CCH)    C(C[6]CN)(CCH)(H)    1.4697    0.034    64    1.4663    0.0293    93    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C(C[6]CN)(CCH)(O)    1.5034    0.011    18    1.5014    0.0120    20    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C(C[6]CC)(C[6]CN)(O)    1.5032    0.012    16    1.5027    0.0110    21    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C(C[6]CN)(NHH)(O)    1.5070    0.019    13    1.5018    0.0238    555    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C(C[6]CN)(NHN)(O)    1.4965    0.005    20    1.5018    0.0238    555    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C(C[6]CN)(NCC)(O)    1.5096    0.005    22    1.5018    0.0238    555    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]HN)(N[6]C)(CNO)    C(C[6]CN)(NCH)(O)    1.4991    0.013    29    1.5018    0.0238    555    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C(C[6]CN)(NHN)(O)    1.4989    0.006    36    1.5018    0.0238    555    1.4924    0.0350    803
29    699    3:2:3:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C(C[6]CN)(NCH)(O)    1.5020    0.027    401    1.5018    0.0238    555    1.4924    0.0350    803
