455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Co[10x3]-10:C-3:    C[3,3,5]-4:N-3:O-1:    C[3,3,5](C[3,3,5]CoCH)2(Co[10x3]C9)(CNO)    C(C[3,3,5]CoCC)(NCH)(O)    1.4920    0.015    5    1.4946    0.0117    9    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-3:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCH)    C(C[3,3,5]FeCC)(CCN)(H)    1.4675    0.025    18    1.4572    0.0223    84    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-3:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCH)    C(C[3,3,5]FeCC)(CCH)(H)    1.4593    0.022    42    1.4572    0.0223    84    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-3:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCO)    C(C[3,3,5]FeCC)(CCH)(O)    1.4730    0.012    31    1.4727    0.0119    32    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C[5]-3:H-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCH)    C(C[3,3,5]FeCC)(C[5]CC)(H)    1.4511    0.007    8    1.4476    0.0087    14    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C[6]-3:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCO)    C(C[3,3,5]FeCC)(C[6]CC)(O)    1.4723    0.017    11    1.4761    0.0172    16    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:N-3:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CNO)    C(C[3,3,5]FeCC)(NCH)(O)    1.4787    0.016    105    1.4801    0.0161    121    1.4697    0.0211    314
455    699    4:4:10:3:    4:3:2:    C[3,3,5]-4:C[3,3,5]-4:Ru[10x3]-10:C-3:    C[3,3,5]-4:C[6]-3:N-2:    C[3,3,5](C[3,3,5]RuCC)(C[3,3,5]RuCH)(Ru[10x3]C9)(CCN)    C(C[3,3,5]RuCC)(C[6]CC)(NC)    1.4808    0.007    17    1.4808    0.0070    17    1.4767    0.0096    24
455    699    4:4:10:3:    4:3:3:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C[6]-3:C-3:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCC)    C(C[3,3,5]FeCC)(C[6]CC)(CCC)    1.4845    0.014    8    1.4845    0.0140    8    1.4715    0.0174    24
455    699    4:4:10:3:    4:4:1:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-4:O-1:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCO)    C(C[3,3,5]FeCC)(CCHH)(O)    1.4713    0.024    22    1.4705    0.0165    50    1.4708    0.0189    58
455    699    4:4:10:3:    4:4:2:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-4:N-2:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCN)    C(C[3,3,5]FeCC)(CH3)(NN)    1.4644    0.014    15    1.4644    0.0138    18    1.4675    0.0132    26
455    699    4:4:10:3:    4:4:3:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:C-3:    C[3,3,5]-4:C-4:C-3:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(CCC)    C(C[3,3,5]FeCC)(CH3)(CCH)    1.4724    0.008    5    1.4734    0.0061    9    1.4734    0.0061    9
455    699    4:4:2:3:    4:4:1:    C[3,5]-4:C[5,6]-4:O[3]-2:C-3:    C[3,5]-4:C-4:O-1:    C[3,5](C[3,5]CHO)(C[5,6]C3)(O[3]C)(CCO)    C(C[3,5]CCO)(CH3)(O)    1.4953    0.005    9    1.4952    0.0047    10    1.4992    0.0081    14
455    699    4:4:3:1:    4:1:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:O-1:O-1:    C[3](C[3]CCH)(C[3]C3)(COO)(H)    C(C[3]CCH)(O)2    1.4976    0.009    8    1.4976    0.0090    8    1.4897    0.0156    12
455    699    4:4:3:1:    4:2:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:O-2:O-1:    C[3](C[3]CCH)(C[3]C3)(COO)(H)    C(C[3]CCH)(OC)(O)    1.4731    0.021    27    1.4747    0.0189    40    1.4751    0.0182    69
455    699    4:4:3:1:    4:3:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:C-3:H-1:    C[3](C[3]CCH)(C[3]C3)(CCH)(H)    C(C[3]CCH)(CCC)(H)    1.4644    0.015    10    1.4677    0.0110    34    1.4748    0.0173    111
455    699    4:4:3:1:    4:3:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:C-3:H-1:    C[3](C[3]CCH)(C[3]C3)(CCH)(H)    C(C[3]CCH)(CClC)(H)    1.4694    0.009    10    1.4677    0.0110    34    1.4748    0.0173    111
455    699    4:4:3:1:    4:3:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:C[6]-3:O-1:    C[3](C[3]CHH)(C[3]C3)(CCO)(H)    C(C[3]CCH)(C[6]CC)(O)    1.4750    0.018    11    1.4813    0.0181    20    1.4748    0.0173    111
455    699    4:4:3:1:    4:3:1:    C[3]-4:C[3]-4:C-3:H-1:    C[3]-4:N-3:O-1:    C[3](C[3]CCH)(C[3]C3)(CNO)(H)    C(C[3]CCH)(NCH)(O)    1.4882    0.008    10    1.4845    0.0124    27    1.4748    0.0173    111
455    699    4:4:3:1:    4:3:1:    C[3]-4:Pd[3]-4:C-3:H-1:    C[3]-4:C-3:O-1:    C[3](C[3]PdCH)(Pd[3]CPP)(CCO)(H)    C(C[3]PdCH)(CCH)(O)    1.4455    0.024    5    1.4455    0.0240    5    1.4748    0.0173    111
455    699    4:4:3:3:    4:2:1:    C[3,5,6,6]-4:C[3,5,6,6]-4:C-3:C-3:    C[3]-4:O-2:O-1:    C[3](C[3,5,6,6]C3)2(COO)2    C(C[3]C3)(OC)(O)    1.5134    0.015    15    1.5134    0.0150    15    1.4984    0.0166    77
455    699    4:4:3:3:    4:2:1:    C[3]-4:C[3]-4:C-3:C-3:    C[3]-4:O-2:O-1:    C[3](C[3]CCH)(C[3]CHH)(COO)2    C(C[3]C3)(OC)(O)    1.4859    0.007    6    1.4938    0.0107    20    1.4984    0.0166    77
455    699    4:4:3:3:    4:2:1:    C[3]-4:Pd[3]-4:C-3:C-3:    C[3]-4:O-2:O-1:    C[3](C[3]PdCC)(Pd[3]CNN)(COO)2    C(C[3]PdCC)(OC)(O)    1.4975    0.024    8    1.4975    0.0240    8    1.4984    0.0166    77
455    699    4:4:4:3:    4:2:1:    C[3,5]-4:C[3,5]-4:C[3]-4:C-3:    C[3,5]-4:O-2:O-1:    C[3,5](C[3,5]PdCC)(C[3,5]C3)(C[3]C3)(COO)    C(C[3,5]C3)(OC)(O)    1.4885    0.003    8    1.4885    0.0030    8    1.4898    0.0140    33
455    699    4:4:4:3:    4:3:1:    C[3,5,5]-4:C[3,4,5]-4:C[3,4,5]-4:C-3:    C[3,4,5]-4:N-3:O-1:    C[3,4,5](C[3,5,5]CCH)(C[3,4,5]C3)2(CNO)    C(C[3,4,5]C3)(NCH)(O)    1.4979    0.003    12    1.4979    0.0030    12    1.5003    0.0090    36
455    699    4:4:9:3:    4:2:1:    C[3,3,5]-4:C[3,3,5]-4:Co[9x3]-9:C-3:    C[3,3,5]-4:O-2:O-1:    C[3,3,5](C[3,3,5]CoCH)2(Co[9x3]C8)(COO)    C(C[3,3,5]CoCC)(OC)(O)    1.4691    0.007    10    1.4703    0.0070    14    1.4849    0.0194    33
455    699    4:4:9:3:    4:2:1:    C[3,3,6]-4:C[3,3,6]-4:Cr[6x3]-9:C-3:    C[3,3,6]-4:O-2:O-1:    C[3,3,6](C[3,3,6]CrCH)2(Cr[6x3]C8)(COO)    C(C[3,3,6]CrCC)(OH)(O)    1.4918    0.021    9    1.4985    0.0186    16    1.4849    0.0194    33
455    699    4:4:9:3:    4:3:1:    C[3,3,6]-4:C[3,3,6]-4:Cr[6x3]-9:C-3:    C[3,3,6]-4:C-3:H-1:    C[3,3,6](C[3,3,6]CrCH)2(Cr[6x3]C8)(CCH)    C(C[3,3,6]CrCC)(CCH)(H)    1.4688    0.009    8    1.4688    0.0090    8    1.4687    0.0179    12
455    699    6:6:4:3:    4:3:1:    Co[3x3]-6:Co[3x3]-6:C[3x3]-4:C-3:    C[3x3]-4:C-3:F-1:    C[3x3](Co[3x3]CoC4)2(C[3x3]Co2C)(CCF)    C(C[3x3]Co2C)(CFN)(F)    1.4357    0.015    5    1.4357    0.0150    5    1.4444    0.0251    6
455    715    8:3:2:4:    8:7:4:    Ni[4x3,5,5,6]-8:O[3,3]-3:O[3]-2:C-4:    Ni[4x3,5,5,6]-8:Ni[3,3,5,6,6]-7:C[3,3]-4:    C[3,3](Ni[4x3,5,5,6]NiNNO4)(O[3,3]Ni2)(O[3]Ni)(CH3)    O[3,3](Ni[4x3,5,5,6]NiCNNO3)(Ni[3,3,5,6,6]NiN3OO)(C[3,3]NiCO)    1.2833    0.003    5    1.2833    0.0030    5    1.2817    0.0062    9
455    757    4:4:4:1:    4:1:1:1:    C[3]-4:C[3]-4:N-4:H-1:    C[3]-4:H-1:H-1:H-1:    C[3](C[3]CHH)2(NH3)(H)    N(C[3]CCH)(H)3    1.4681    0.016    12    1.4681    0.0160    12    1.4681    0.0160    12
455    767    4:4:10:3:    4:3:3:    C[3,3,5]-4:C[3,3,5]-4:Fe[10x3]-10:N[5]-3:    C[3,3,5]-4:C[5,6]-3:C[5]-3:    C[3,3,5](C[3,3,5]FeCH)2(Fe[10x3]C9)(N[5]CC)    N[5](C[3,3,5]FeCC)(C[5,6]CC)(C[5]IrN)    1.4287    0.007    7    1.4284    0.0055    12    1.4323    0.0162    22
455    801    10:4:4:1:    4:4:1:1:    Ir[7x3,5,5]-10:C[3,5]-4:C[5]-4:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](Ir[7x3,5,5]C8H)(C[3,5]IrCH)(C[5]CHH)(H)    C[5](C[3,5]IrCH)(C[5]CHH)(H)2    1.5058    0.013    8    1.5058    0.0130    8    1.5152    0.0266    99
455    801    10:4:4:1:    4:4:1:1:    Rh[8x3,5,5]-10:C[3,5]-4:C[5]-4:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](Rh[8x3,5,5]C9)(C[3,5]RhCH)(C[5]CHH)(H)    C[5](C[3,5]RhCH)(C[5]CHH)(H)2    1.5205    0.047    19    1.5205    0.0470    19    1.5152    0.0266    99
455    801    10:4:4:1:    4:4:1:1:    Rh[8x3,9x5,24x6,4x7]-10:C[3,5]-4:C[5]-4:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](Rh[8x3,9x5,24x6,4x7]B4C5)(C[3,5]RhCH)(C[5]CHH)(H)    C[5](C[3,5]RhCH)(C[5]CHH)(H)2    1.5194    0.006    12    1.5194    0.0060    12    1.5152    0.0266    99
455    801    10:4:4:1:    4:4:1:1:    Ru[7x3,5,5,6,6]-10:C[3,5]-4:C[5]-4:H-1:    C[3,5]-4:C[5]-4:H-1:H-1:    C[3,5](Ru[7x3,5,5,6,6]C9)(C[3,5]RuCH)(C[5]CHH)(H)    C[5](C[3,5]RuCH)(C[5]CHH)(H)2    1.5164    0.012    8    1.5164    0.0120    8    1.5152    0.0266    99
