29    997    3:3:3:    3:3:3:    N[4]-3:C[6]-3:C[6]-3:    Ga[4]-3:C[4]-3:C[6]-3:    C[6](N[4]GaC)(C[6]CC)2    N[4](Ga[4]PtN)(C[4]NN)(C[6]CC)    1.4304    0.005    8    1.4293    0.0050    12    1.4307    0.0134    89
29    997    3:3:3:    3:3:3:    N[4]-3:C[6]-3:C[6]-3:    Sn[4]-3:C[4]-3:C[6]-3:    C[6](N[4]SnC)(C[6]CC)2    N[4](Sn[4]ClN)(C[4]CN)(C[6]CC)    1.4250    0.005    5    1.4264    0.0087    19    1.4307    0.0134    89
29    997    3:3:3:    3:4:3:    N[4]-3:C[6]-3:C[6]-3:    C[4,6]-3:Co[4]-4:C[6]-3:    C[6](N[4]CoC)(C[6]CH)2    N[4](C[4,6]CN)(Co[4]N3)(C[6]CC)    1.4267    0.011    9    1.4267    0.0110    9    1.4084    0.0411    13
29    997    3:3:3:    4:3:3:    C[6]-3:C[6]-3:N[4]-3:    C[4]-4:C[4]-3:C[6]-3:    C[6](C[6]CH)2(N[4]CC)    N[4](C[4]CCH)(C[4]CO)(C[6]CC)    1.4102    0.006    19    1.4112    0.0091    34    1.4185    0.0147    167
29    997    3:3:3:    4:3:3:    N[4]-3:C[6]-3:C[6]-3:    C[4]-4:C[4]-3:C[6]-3:    C[6](N[4]CC)(C[6]CH)2    N[4](C[4]CCH)(C[4]CO)(C[6]CC)    1.4101    0.005    14    1.4144    0.0104    24    1.4185    0.0147    167
29    997    3:3:3:    4:3:3:    N[4]-3:C[6]-3:C[6]-3:    Ga[4]-4:C[4]-3:C[6]-3:    C[6](N[4]GaC)(C[6]CC)2    N[4](Ga[4]GaIN)(C[4]CN)(C[6]CC)    1.4320    0.016    6    1.4333    0.0150    7    1.4185    0.0147    167
29    997    3:3:3:    4:3:3:    N[4]-3:C[6]-3:C[6]-3:    Sn[4,4]-4:C[4]-3:C[6]-3:    C[6](N[4]SnC)(C[6]CH)2    N[4](Sn[4,4]N3)(C[4]NN)(C[6]CC)    1.4125    0.003    8    1.4203    0.0103    16    1.4185    0.0147    167
29    997    3:3:3:    5:3:2:    N[4]-3:C[6]-3:C[6]-3:    Al[4,4]-5:C[6]-3:N[4]-2:    C[6](N[4]AlN)(C[6]CC)2    N[4](Al[4,4]HN3)(C[6]CC)(N[4]N)    1.4259    0.008    5    1.4238    0.0089    6    1.4241    0.0083    8
29    997    3:3:3:    5:3:3:    N[4]-3:C[6]-3:C[6]-3:    Co[4,4]-5:C[4,6]-3:C[6]-3:    C[6](N[4]CoC)(C[6]CH)2    N[4](Co[4,4]N4)(C[4,6]CN)(C[6]CC)    1.4208    0.017    10    1.4208    0.0170    10    1.4145    0.0307    50
29    997    3:3:4:    4:3:3:    N[4,6]-3:C[6]-3:C-4:    Zn[4,4]-4:C[4,6]-3:C[6]-3:    C[6](N[4,6]ZnC)(C[6]CH)(CC3)    N[4,6](Zn[4,4]N3)(C[4,6]CN)(C[6]CC)    1.3395    0.030    12    1.3395    0.0300    12    1.3412    0.0269    15
29    997    3:4:3:    3:4:3:    N[4,6]-3:C[6]-4:N-3:    C[4,6]-3:Co[4]-4:C[6]-3:    C[6](N[4,6]CoC)(C[6]CHH)(NCoC)    N[4,6](C[4,6]CN)(Co[4]N3)(C[6]CN)    1.3546    0.010    9    1.3546    0.0100    9    1.3546    0.0100    9
29    997    3:4:3:    5:3:3:    N[4,6]-3:C[6]-4:N-3:    Co[4,4]-5:C[4,6]-3:C[6]-3:    C[6](N[4,6]CoC)(C[6]CHH)(NCoC)    N[4,6](Co[4,4]N4)(C[4,6]CN)(C[6]CN)    1.3545    0.009    10    1.3545    0.0090    10    1.3545    0.0090    10
41    41    2:1:    2:1:    C-2:C-1:    C-2:C-1:    C(CC)(C)    C(CC)(C)    1.4727    0.172    10    1.4727    0.1720    10    1.4592    0.1422    59
41    41    2:1:    2:1:    C-2:Cl-1:    C-2:Cl-1:    C(CCl)(Cl)    C(CCl)(Cl)    1.4161    0.177    6    1.4161    0.1770    6    1.4592    0.1422    59
41    41    2:1:    2:1:    C-2:H-1:    C-2:H-1:    C(CH)(H)    C(CH)(H)    1.2326    0.128    7    1.2326    0.1280    7    1.4592    0.1422    59
41    41    2:1:    2:1:    C-2:N-1:    C-2:C-1:    C(CC)(N)    C(CN)(C)    1.4782    0.069    17    1.4782    0.0690    17    1.4592    0.1422    59
41    41    2:1:    2:1:    C-2:N-1:    C-2:N-1:    C(CN)(N)    C(CN)(N)    1.5411    0.066    6    1.5411    0.0660    6    1.4592    0.1422    59
41    41    2:1:    2:1:    C-2:O-1:    C-2:O-1:    C(CO)(O)    C(CO)(O)    1.5328    0.071    10    1.5328    0.0710    10    1.4592    0.1422    59
41    41    2:1:    2:2:    C-2:C-1:    C-2:C-2:    C(CC)(C)    C(CC)(CN)    1.5507    0.052    112    1.5405    0.0823    122    1.4617    0.1547    236
41    41    2:1:    2:2:    C-2:C-1:    C-2:O-2:    C(CO)(C)    C(CC)(OC)    1.5129    0.093    10    1.5129    0.0930    10    1.4617    0.1547    236
41    41    2:1:    2:2:    C-2:H-1:    C-2:C-2:    C(CC)(H)    C(CC)(CH)    1.1885    0.037    39    1.1882    0.0366    40    1.4617    0.1547    236
41    41    2:1:    2:2:    C-2:N-1:    C-2:C-2:    C(CC)(N)    C(CC)(CN)    1.4692    0.122    36    1.4692    0.1220    36    1.4617    0.1547    236
41    41    2:1:    2:2:    C-2:N-1:    C-2:N-2:    C(CN)(N)    C(CN)(NC)    1.5169    0.017    10    1.5169    0.0170    10    1.4617    0.1547    236
41    41    2:1:    2:2:    C-2:O-1:    C-2:O-2:    C(CO)(O)    C(CO)(OC)    1.4753    0.208    5    1.4755    0.1860    6    1.4617    0.1547    236
41    41    2:1:    3:2:    C-2:C-1:    C-3:C-2:    C(CC)(C)    C(CCC)(CC)    1.3699    0.143    7    1.3821    0.1221    11    1.2432    0.1224    295
41    41    2:1:    3:2:    C-2:H-1:    C-3:C-2:    C(CC)(H)    C(COO)(CH)    1.3562    0.074    15    1.3196    0.1083    29    1.2432    0.1224    295
41    41    2:1:    3:2:    C-2:H-1:    C[4]-3:C-2:    C(CC)(H)    C(C[4]OO)(CH)    1.3945    0.020    8    1.3945    0.0200    8    1.2432    0.1224    295
41    41    2:1:    3:2:    C-2:H-1:    C[5]-3:C-2:    C(CC)(H)    C(C[5]CS)(CH)    1.1669    0.013    8    1.1908    0.0725    18    1.2432    0.1224    295
41    41    2:1:    3:2:    C-2:H-1:    C[6]-3:C-2:    C(CC)(H)    C(C[6]CN)(CH)    1.2226    0.089    11    1.1838    0.0467    187    1.2432    0.1224    295
