956	762	893	0:SP2_SP2_SP3	N	C[6]	O	3:2:1:	3:4:3:	3:1:	C[6]-3:O-2:O-1:	C[6]-3:C[6]-4:N-3:	N-3:H-1:	N(C[6]C[6]2)(OH)(O)	C[6](C[6]N[5,6]N)(C[6]C[6]CC)(NOO)	O(NC[6]O)(H)	N(C[6]C[6]2)(OH)(O)	C[6](C[6]N[5,6]N)(C[6]C[6]CC)(NOO){2|C<4>,2|H<1>}	O(NC[6]O)(H)	122.0250	0.000	1	122.0250	0.000	1	122.0250	0.000	1	122.0250	0.000	1	116.4683	23.247	3	116.4683	23.247	3
956	762	893	0:SP2_SP2_SP3	N	C[6]	O	3:2:1:	4:4:3:	3:1:	C[6]-3:O-2:H-1:	C[5,6]-4:C[6]-4:N-3:	N-3:H-1:	N(C[6]C[5,6]C[6])(OH)(H)	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(NHO)	O(NC[6]H)(H)	N(C[6]C[5,6]C[6])(OH)(H)	C[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(NHO){2|C<3>,2|C<4>,4|H<1>}	O(NC[6]H)(H)	113.6900	0.424	2	113.6900	0.180	2	113.6900	0.180	2	113.6900	0.180	2	116.4683	23.247	3	116.4683	23.247	3
956	762	899	0:SP2_SP-NON_SP2	N	C[6]	C	3:1:1:	2:2:3:	3:	C[6]-3:C-1:C-1:	C[6]-2:C[6]-2:N-3:	N-3:	N(C[6]C[6]2)(C)2	C[6](C[6]C[6])2(NCC)	C(NC[6]C)	N(C[6]C[6]2)(C)2	C[6](C[6]C[6])2(NCC){1|C<3>}	C(NC[6]C)	122.0810	1.623	8	122.0810	2.635	8	122.0810	2.635	8	122.0810	2.635	8	122.0810	2.635	8	122.0810	2.635	8
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:2:1:	C[6]-3:C-3:H-1:	N[6]-2:S[6]-2:N-3:	N-3:O-2:O-1:	N(C[6]N[6]S[6])(COO)(H)	C[6](N[6]C[5,6])(S[6]C[6])(NCH)	C(NC[6]H)(OC)(O)	N(C[6]N[6]S[6])(COO)(H)	C[6](N[6]C[5,6])(S[6]C[6])(NCH){1|C<3>,1|C<4>,1|O<2>,2|H<1>}	C(NC[6]H)(OC)(O)	127.0870	0.052	2	127.0870	0.003	2	127.0870	0.003	2	127.0870	0.003	2	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:3:1:	C[6]-3:C-3:H-1:	N[6]-2:N[6]-2:N-3:	N-3:C-3:H-1:	N(C[6]N[6]2)(CCH)(H)	C[6](N[6]C[6])2(NCH)	C(NC[6]H)(CCN)(H)	N(C[6]N[6]2)(CCH)(H)	C[6](N[6]C[6])2(NCH){1|C<4>,2|C<3>}	C(NC[6]H)(CCN)(H)	123.5360	0.000	1	123.5360	0.000	1	123.5360	0.000	1	125.2585	4.653	4	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:3:1:	C[6]-3:C-3:H-1:	N[6]-2:S[6]-2:N-3:	C[6a]-3:N-3:O-1:	N(C[6]N[6]S[6])(CC[6a]O)(H)	C[6](N[6]C[6,6a])(S[6]C[6])(NCH)	C(C[6a]C[6a]2)(NC[6]H)(O)	N(C[6]N[6]S[6])(CC[6a]O)(H)	C[6](N[6]C[6,6a])(S[6]C[6])(NCH){2|C<3>,2|H<1>}	C(C[6a]C[6a]2)(NC[6]H)(O)	124.5660	0.612	2	125.8327	5.001	3	125.8327	5.001	3	125.2585	4.653	4	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:3:1:	C[6]-3:C-3:H-1:	N[6]-2:S[6]-2:N-3:	C[6a]-3:N-3:O-1:	N(C[6]N[6]S[6])(CC[6a]O)(H)	C[6](N[6]C[6,6a])(S[6]C[6])(NCH)	C(C[6a]C[6a]2)(NC[6]H)(O)	N(C[6]N[6]S[6])(CC[6a]O)(H)	C[6](N[6]C[6,6a])(S[6]C[6])(NCH){3|C<3>}	C(C[6a]C[6a]2)(NC[6]H)(O)	128.3660	0.000	1	125.8327	5.001	3	125.8327	5.001	3	125.2585	4.653	4	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:4:1:	C[6]-3:C-3:H-1:	N[6]-2:N[6]-2:N-3:	N-3:C-4:O-1:	N(C[6]N[6]2)(CCO)(H)	C[6](N[6]C[5,6])(N[6]C[6])(NCH)	C(NC[6]H)(CC3)(O)	N(C[6]N[6]2)(CCO)(H)	C[6](N[6]C[5,6])(N[6]C[6])(NCH){1|C<3>,1|N<2>,1|O<1>}	C(NC[6]H)(CC3)(O)	126.6290	0.000	1	126.6290	0.000	1	126.7335	0.022	2	126.2272	1.552	5	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:4:1:	C[6]-3:C-3:H-1:	N[6]-2:N[6]-2:N-3:	N-3:C-4:O-1:	N(C[6]N[6]2)(CCO)(H)	C[6](N[6]C[5a,6])(N[6]C[6])(NCH)	C(NC[6]H)(CH3)(O)	N(C[6]N[6]2)(CCO)(H)	C[6](N[6]C[5a,6])(N[6]C[6])(NCH){1|C<3>,1|N<3>,1|O<1>}	C(NC[6]H)(CH3)(O)	126.8380	0.000	1	126.8380	0.000	1	126.7335	0.022	2	126.2272	1.552	5	125.5641	9.683	408	125.5641	9.683	408
956	762	930	0:SP2_SP2_SP2	N	C[6]	C	3:3:1:	2:2:3:	3:4:1:	C[6]-3:C-3:H-1:	N[6]-2:S[6]-2:N-3:	N-3:C-4:O-1:	N(C[6]N[6]S[6])(CCO)(H)	C[6](N[6]N[6])(S[6]C[6])(NCH)	C(NC[6]H)(CCHN)(O)	N(C[6]N[6]S[6])(CCO)(H)	C[6](N[6]N[6])(S[6]C[6])(NCH){1|C<3>,2|H<1>}	C(NC[6]H)(CCHN)(O)	125.8897	1.633	3	125.8897	2.665	3	125.8897	2.665	3	126.2272	1.552	5	125.5641	9.683	408	125.5641	9.683	408
