930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|C<3>,1|C<4>,1|H<1>}	117.1982	0.702	15	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|C<3>,2|H<1>}	117.5901	0.969	12	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cd<6>,1|C<3>,1|H<1>}	118.3100	0.472	2	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Co<5>,1|C<3>,1|H<1>}	117.7260	0.000	1	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Co<6>,1|C<3>,1|H<1>}	117.7596	0.473	13	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<4>,1|C<3>,1|H<1>}	116.9570	0.000	1	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<5>,1|C<3>,1|H<1>}	117.5092	0.909	9	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<6>,1|C<3>,1|H<1>}	117.9945	0.796	8	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Cu<8>,1|C<3>,1|H<1>}	117.9350	0.000	1	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Mn<6>,1|C<3>,1|H<1>}	118.3380	0.515	2	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ni<5>,1|C<3>,1|H<1>}	117.4780	0.000	1	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ni<6>,1|C<3>,1|H<1>}	117.6242	0.376	6	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Pt<4>,1|C<3>,1|H<1>}	117.2420	0.658	4	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ru<6>,1|C<3>,1|H<1>}	117.2130	0.350	4	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Zn<4>,1|C<3>,1|H<1>}	117.2453	0.995	3	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Zn<6>,1|C<3>,1|H<1>}	117.8860	0.130	2	117.5706	0.729	84	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO){1|C<3>,2|H<1>}	118.3950	0.000	1	117.4836	0.798	53	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)2(CNO){1|N<3>,2|H<1>}	117.4661	0.796	52	117.4836	0.798	53	117.5641	0.814	139	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-3:N[6]-3:C-3:	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(N[6]C[6]H)(CNO)	C(C[6]C[6]N[6])(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6]H)(N[6]C[6]H)(CNO){1|C<3>,2|H<1>}	116.7650	1.170	2	116.7650	1.170	2	116.7650	1.170	2	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	3:3:3:	C[6]-3:N-3:S-1:	C-3:H-1:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(S)	N(CC[6]S)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNS)	C(C[6]C[6]2)(NHH)(S)	N(CC[6]S)(H)2	C[6](C[6]C[6]H)(C[6]N[6]H)(CNS){1|C<3>,2|H<1>}	116.2940	0.000	1	116.2940	0.000	1	116.2940	0.000	1	117.6196	1.222	143	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:1:1:	4:3:3:	C[6]-3:N-3:O-1:	C-3:H-1:H-1:	C[6]-4:C[6]-3:C-3:	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6a]C[6]H)(C[6]N[6]N)(CNO)	C(C[6]C[6]2)(NHH)(O)	N(CC[6]O)(H)2	C[6](C[6]C[6a]C[6]H)(C[6]N[6]N)(CNO){5|C<3>}	118.1360	0.000	1	118.1360	0.000	1	118.1360	0.000	1	118.1360	0.000	1	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:2:1:	3:2:3:	C[6]-3:N-3:O-1:	C-3:O-2:H-1:	C[6]-3:O[6]-2:C-3:	C(C[6]C[6]O[6])(NHO)(O)	N(CC[6]O)(OC)(H)	C[6](C[6]C[6]C)(O[6]C[6])(CNO)	C(C[6]C[6]O[6])(NHO)(O)	N(CC[6]O)(OC)(H)	C[6](C[6]C[6]C)(O[6]C[6])(CNO){1|O<2>,2|C<4>,2|H<1>}	113.3810	0.000	1	113.3810	0.000	1	113.3810	0.000	1	113.3810	0.000	1	118.8646	3.425	815	116.9749	2.574	5815
930	670	762	0:SP2_SP2_SP2	C	N	C[6]	3:3:1:	3:2:1:	3:3:3:	C[6]-3:N-3:O-1:	C-3:N-2:H-1:	C[6]-3:C[6]-3:C-3:	C(C[6]C[6]2)(NHN)(O)	N(CC[6]O)(NC)(H)	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO)	C(C[6]C[6]2)(NHN)(O)	N(CC[6]O)(NC)(H)	C[6](C[6]C[6]H)(C[6]N[6]H)(CNO){1|Ag<4>,1|C<3>,1|H<1>}	115.4540	0.000	1	115.6636	0.610	8	116.0056	0.913	21	115.8336	1.042	23	118.8646	3.425	815	116.9749	2.574	5815
