818	358	914	3:2:2:	3:3:	3:3:	C[5a,6a]-3:N[6a]-2:O[5a]-2:	C[5a,6a]-3:C[5a]-3:	C[5a,6a]-3:C[6a]-3:	C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]C[5a])	O[5a](C[5a,6a]C[5a,6a]N[6a])(C[5a]C[5a]C[6a])	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]O)	C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]C[5a]){1|C<3>,1|N<3>,1|O<1>,2|H<1>}	O[5a](C[5a,6a]C[5a,6a]N[6a])(C[5a]C[5a]C[6a]){1|H<1>,1|N<2>,3|C<3>}	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]O){1|C<4>,3|C<3>}	121.5890	0.000	1	121.9080	0.451	2     120.2683       1.480      9      120.5578     1.851     17
818	358	914	3:2:2:	3:3:	3:3:	C[5a,6a]-3:N[6a]-2:O[5a]-2:	C[5a,6a]-3:C[5a]-3:	C[5a,6a]-3:C[6a]-3:	C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]C[5a])	O[5a](C[5a,6a]C[5a,6a]N[6a])(C[5a]C[5a]C[6a])	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]O)	C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]C[5a]){1|C<3>,1|N<3>,1|O<1>,2|H<1>}	O[5a](C[5a,6a]C[5a,6a]N[6a])(C[5a]C[5a]C[6a]){1|H<1>,4|C<3>}	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]O){1|C<4>,3|C<3>}	122.2270	0.000	1	121.9080	0.451	2     120.2683       1.480      9      120.5578     1.851     17
818	358	914	3:2:2:	3:3:	3:3:	C[5a,6a]-3:O[5a]-2:N[6a]-2:	C[5a,6a]-3:C[5a,6a]-3:	C[5a,6a]-3:C[6a]-3:	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(O[5a]C[5a,6a])(N[6a]C[6a])	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6a]C[5a,6a]N[6a])	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]N)	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(O[5a]C[5a,6a])(N[6a]C[6a]){1|N<2>,1|N<3>,3|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6a]C[5a,6a]N[6a]){1|H<1>,4|C<3>}	N[6a](C[5a,6a]C[5a,6a]O[5a])(C[6a]N[6a]N){3|C<3>}	119.1120	0.000	1	119.1120	0.000	1     119.1120       0.000      1      120.5578     1.851     17
818	358	914	3:2:2:	3:3:	3:3:	N[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5]-3:	C[5,6a]-3:C[6a]-3:	C[5,6a](N[5,6a]C[6a]C[5])(N[6a]C[6a])(O[5]C[5])	O[5](C[5,6a]N[5,6a]N[6a])(C[5]C[6a]C[5])	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]C)	C[5,6a](N[5,6a]C[6a]C[5])(N[6a]C[6a])(O[5]C[5]){1|H<1>,2|C<3>,2|C<4>}	O[5](C[5,6a]N[5,6a]N[6a])(C[5]C[6a]C[5]){1|H<1>,4|C<3>}	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]C){1|H<1>,3|C<3>}	122.9270	0.000	1	122.9270	0.000	1     123.5785       0.921      2      120.5578     1.851     17
818	358	914	3:2:2:	3:3:	3:3:	N[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5]-3:	C[5,6a]-3:C[6a]-3:	C[5,6a](N[5,6a]C[6a]C[5])(N[6a]C[6a])(O[5]C[5])	O[5](C[5,6a]N[5,6a]N[6a])(C[5]C[6a]C[5])	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]H)	C[5,6a](N[5,6a]C[6a]C[5])(N[6a]C[6a])(O[5]C[5]){2|C<3>,3|H<1>}	O[5](C[5,6a]N[5,6a]N[6a])(C[5]C[6a]C[5]){1|H<1>,4|C<3>}	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]H){1|H<1>,3|C<3>}	124.2300	0.000	1	124.2300	0.000	1     123.5785       0.921      2      120.5578     1.851     17
818	358	914	3:2:2:	3:4:	3:3:	C[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5,5]-4:	C[5,6a]-3:C[6a]-3:	C[5,6a](C[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5])	O[5](C[5,6a]C[5,6a]N[6a])(C[5,5]C[5,5]C[5]H)	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]N[6a]O)	C[5,6a](C[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5]){1|C<4>,1|N<3>,1|O<1>,1|O<2>,3|H<1>}	O[5](C[5,6a]C[5,6a]N[6a])(C[5,5]C[5,5]C[5]H){1|C<4>,2|C<3>,2|H<1>,2|O<2>}	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]N[6a]O){1|C<3>,1|H<1>,2|C<4>}	119.9070	0.148	2	119.9070	0.148	2     119.9070       0.148      2      119.9328     1.455     5
818	358	914	3:2:2:	3:4:	3:3:	C[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5]-4:	C[5,6a]-3:C[6a]-3:	C[5,6a](C[5,6a]C[6a,6a]C[5])(N[6a]C[6a])(O[5]C[5])	O[5](C[5,6a]C[5,6a]N[6a])(C[5]C[5]HH)	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]C[6a,6a]N)	C[5,6a](C[5,6a]C[6a,6a]C[5])(N[6a]C[6a])(O[5]C[5]){1|N<3>,2|C<3>,4|H<1>}	O[5](C[5,6a]C[5,6a]N[6a])(C[5]C[5]HH){2|C<3>,2|H<1>}	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]C[6a,6a]N){2|C<3>,2|C<4>}	117.6050	0.000	1	117.6050	0.000	1     117.6050       0.000      1      119.9328     1.455     5
818	358	914	3:2:2:	3:4:	3:3:	N[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5,5]-4:	C[5,6a]-3:C[6a]-3:	C[5,6a](N[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5])	O[5](C[5,6a]N[5,6a]N[6a])(C[5,5]C[5,5]C[5]C)	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]O)	C[5,6a](N[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5]){1|C<3>,1|O<1>,1|O<2>,2|C<4>,2|H<1>}	O[5](C[5,6a]N[5,6a]N[6a])(C[5,5]C[5,5]C[5]C){1|C<4>,2|C<3>,2|H<1>,2|O<2>}	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]O){1|C<3>,1|H<1>,2|C<4>}	121.4340	0.000	1	121.4340	0.000	1     121.1225       0.441      2      119.9328     1.455     5
818	358	914	3:2:2:	3:4:	3:3:	N[5,6a]-3:N[6a]-2:O[5]-2:	C[5,6a]-3:C[5,5]-4:	C[5,6a]-3:C[6a]-3:	C[5,6a](N[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5])	O[5](C[5,6a]N[5,6a]N[6a])(C[5,5]C[5,5]C[5]H)	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]O)	C[5,6a](N[5,6a]C[5,5]C[6a])(N[6a]C[6a])(O[5]C[5,5]){1|C<3>,1|O<1>,2|C<4>,3|H<1>}	O[5](C[5,6a]N[5,6a]N[6a])(C[5,5]C[5,5]C[5]H){1|C<4>,2|C<3>,2|H<1>,2|O<2>}	N[6a](C[5,6a]N[5,6a]O[5])(C[6a]C[6a]O){1|C<3>,3|C<4>}	120.8110	0.000	1	120.8110	0.000	1     121.1225       0.441      2      119.9328     1.455     5
818	358	914	3:2:2:	4:3:	3:3:	C[5,6a]-3:O[5]-2:N[6a]-2:	C[4,5,5]-4:C[5,6a]-3:	C[5,6a]-3:C[6a]-3:	C[5,6a](C[5,6a]C[5,5]C[6a])(O[5]C[4,5,5])(N[6a]C[6a])	O[5](C[4,5,5]C[4,5]C[5,5]C[4])(C[5,6a]C[5,6a]N[6a])	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]C[6a]Cl)	C[5,6a](C[5,6a]C[5,5]C[6a])(O[5]C[4,5,5])(N[6a]C[6a]){1|Cl<1>,2|C<3>,2|C<4>,2|H<1>}	O[5](C[4,5,5]C[4,5]C[5,5]C[4])(C[5,6a]C[5,6a]N[6a]){1|C<4>,1|N<3>,3|C<3>,4|H<1>}	N[6a](C[5,6a]C[5,6a]O[5])(C[6a]C[6a]Cl){1|C<3>,1|H<1>,2|C<4>}	120.0630	0.000	1	120.0630	0.000	1     120.0630       0.000      1      120.0630     0.000     1
818	358	914	4:2:2:	3:3:	3:3:	C[5,6]-4:N[6]-2:O[5]-2:	C[5,6]-3:C[5]-3:	C[5,6]-3:C[6]-3:	C[5,6](C[5,6]C[6a]C[6]N[5])(N[6]C[6])(O[5]C[5])	O[5](C[5,6]C[5,6]N[6])(C[5]N[5]C)	N[6](C[5,6]C[5,6]O[5])(C[6]C[6a]C[6])	C[5,6](C[5,6]C[6a]C[6]N[5])(N[6]C[6])(O[5]C[5]){1|C<4>,1|H<1>,5|C<3>}	O[5](C[5,6]C[5,6]N[6])(C[5]N[5]C){1|C<4>,2|C<3>}	N[6](C[5,6]C[5,6]O[5])(C[6]C[6a]C[6]){1|C<4>,1|H<1>,1|N<2>,4|C<3>}	121.5270	0.000	1	121.5270	0.000	1     121.5270       0.000      1      121.5270     0.000     1
818	358	914	4:2:2:	3:4:	3:3:	C[5,6]-4:N[6]-2:O[5]-2:	C[5,6]-3:C[5]-4:	C[5,6]-3:N[6]-3:	C[5,6](C[5,6]C[5]C[6]H)(N[6]N[6])(O[5]C[5])	O[5](C[5,6]C[5,6]N[6])(C[5]C[5]HH)	N[6](C[5,6]C[5,6]O[5])(N[6]C[6]C)	C[5,6](C[5,6]C[5]C[6]H)(N[6]N[6])(O[5]C[5]){1|C<3>,1|C<4>,1|N<3>,5|H<1>}	O[5](C[5,6]C[5,6]N[6])(C[5]C[5]HH){1|C<4>,2|H<1>,2|N<3>}	N[6](C[5,6]C[5,6]O[5])(N[6]C[6]C){1|H<1>,1|O<1>,3|C<4>}	119.4450	0.000	1	119.4450	0.000	1     119.4450       0.000      1      119.4450     0.000     1
818	358	930	2:2:3:	3:2:	3:2:3:	N[5a]-2:O[5a]-2:C-3:	C[5a]-3:N[5a]-2:	C[5a]-3:O-2:C-3:	C[5a](N[5a]C[5a])(O[5a]N[5a])(CCO)	O[5a](C[5a]N[5a]C)(N[5a]C[5a])	C(C[5a]N[5a]O[5a])(OC[6a])(CHN)	C[5a](N[5a]C[5a])(O[5a]N[5a])(CCO){1|C<3>}	O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}	C(C[5a]N[5a]O[5a])(OC[6a])(CHN)	117.6070	1.038	6	117.6070	1.038	6     117.6070       1.038      6      117.6070     1.038     6
