818	358	930	3:2:3:	3:3:	3:3:3:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-3:C[6a]-3:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[6a]C)	O[5a](C[5a]C[5a]C)2	C(C[5a]C[5a]O[5a])(CC[5a]C[6a])(C[6a]C[6a]2)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[6a]C){1|C<3>,1|C<4>}	O[5a](C[5a]C[5a]C)2{1|C<3>,1|H<1>}	C(C[5a]C[5a]O[5a])(CC[5a]C[6a])(C[6a]C[6a]2)	118.1630	0.000	1	118.1630	0.000	1     118.1630       0.000      1      117.8899     2.475     11
818	358	930	3:2:3:	3:3:	3:3:3:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C[5]-3:N-3:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]N)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(C[5]C[5]2)(NCH)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]N){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(C[5]C[5]2)(NCH)	117.8638	1.630	4	117.8638	1.630	4     117.3304       1.848      5      117.8899     2.475     11
818	358	930	3:2:3:	3:3:	3:3:3:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C[5]-3:N-3:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]N)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(C[5]C[5]2)(NC[6a]H)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]N){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(C[5]C[5]2)(NC[6a]H)	115.1970	0.000	1	115.1970	0.000	1     117.3304       1.848      5      117.8899     2.475     11
818	358	930	3:2:3:	3:3:	3:3:4:	C[5a,6a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C[6a]-3:C-4:	C[5a](C[5a,6a]C[5a,6a]C[6a])(O[5a]C[5a])(CC[6a]C)	O[5a](C[5a]C[5a,6a]C)(C[5a]C[5a,6a]N)	C(C[5a]C[5a,6a]O[5a])(C[6a]C[6a]2)(CCHH)	C[5a](C[5a,6a]C[5a,6a]C[6a])(O[5a]C[5a])(CC[6a]C){1|H<1>,1|N<2>,2|C<3>}	O[5a](C[5a]C[5a,6a]C)(C[5a]C[5a,6a]N){2|C<3>}	C(C[5a]C[5a,6a]O[5a])(C[6a]C[6a]2)(CCHH)	119.9970	0.000	1	119.9970	0.000	1     119.9970       0.000      1      116.9690     4.282     2
818	358	930	3:2:3:	3:3:	3:3:4:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	N[5]-3:C[5a]-3:C-4:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CN[5]C)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(N[5]C[5,5,6]N[5])(C[5a]C[5a]O[5a])(CH3)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CN[5]C){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(N[5]C[5,5,6]N[5])(C[5a]C[5a]O[5a])(CH3)	113.9410	0.000	1	113.9410	0.000	1     113.9410       0.000      1      116.9690     4.282     2
818	358	930	3:2:3:	3:3:	3:4:1:	C[5,6]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:H-1:	C[5](C[5,6]C[5,6]O[6])(O[5]C[5])(CCH)	O[5](C[5]C[5,6]C)(C[5]C[5,6]O)	C(C[5]C[5,6]O[5])(CHHN)(H)	C[5](C[5,6]C[5,6]O[6])(O[5]C[5])(CCH){1|C<4>,1|O<1>,1|O<2>}	O[5](C[5]C[5,6]C)(C[5]C[5,6]O){2|O<2>}	C(C[5]C[5,6]O[5])(CHHN)(H)	122.4660	0.000	1	122.4660	0.000	1     122.4660       0.000      1      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5,6a]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:H-1:	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CCH)	O[5](C[5]C[5,6a]C)(C[5]C[5,6a]O)	C(C[5]C[5,6a]O[5])(CH3)(H)	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CCH){1|H<1>,1|O<1>,2|C<3>}	O[5](C[5]C[5,6a]C)(C[5]C[5,6a]O){2|C<3>}	C(C[5]C[5,6a]O[5])(CH3)(H)	120.7470	0.000	1	120.7470	0.000	1     120.7470       0.000      1      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5]-3:O[5]-2:C-3:	C[5,6a]-3:C[5]-3:	C[5]-3:C[5]-4:H-1:	C[5](C[5]C[5,6a]O)(O[5]C[5,6a])(CC[5]H)	O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]C)	C(C[5]C[5]O[5])(C[5]C[5]2Fe)(H)	C[5](C[5]C[5,6a]O)(O[5]C[5,6a])(CC[5]H){2|C<3>}	O[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]C){1|H<1>,1|O<1>,2|C<3>}	C(C[5]C[5]O[5])(C[5]C[5]2Fe)(H)	123.0420	0.000	2	123.0420	0.000	2     123.0420       0.000      2      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:H-1:	C[5](C[5]C[5]H)(O[5]C[5])(CCH)	O[5](C[5]C[5]C)(C[5]C[5]O)	C(C[5]C[5]O[5])(CCCH)(H)	C[5](C[5]C[5]H)(O[5]C[5])(CCH){1|C<4>,1|O<1>}	O[5](C[5]C[5]C)(C[5]C[5]O){1|C<4>,1|H<1>}	C(C[5]C[5]O[5])(CCCH)(H)	119.1745	1.046	2	119.1745	1.046	2     120.7137       1.114      8      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:H-1:	C[5](C[5]C[5]H)(O[5]C[5])(CCH)	O[5](C[5]C[5]C)(C[5]C[5]O)	C(C[5]C[5]O[5])(CC[5,5]CH)(H)	C[5](C[5]C[5]H)(O[5]C[5])(CCH){1|C<4>,1|O<1>}	O[5](C[5]C[5]C)(C[5]C[5]O){1|C<4>,1|H<1>}	C(C[5]C[5]O[5])(CC[5,5]CH)(H)	121.2268	0.505	6	121.2268	0.505	6     120.7137       1.114      8      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCO)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCO){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){2|C<3>,2|H<1>}	C(C[5a]C[5a]O[5a])(CH3)(O)	116.6600	0.000	1	116.6600	0.000	1     118.2522       1.752      6      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCO)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CHHS)(O)	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCO){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){2|C<3>,2|H<1>}	C(C[5a]C[5a]O[5a])(CHHS)(O)	115.5150	0.000	1	115.5150	0.000	1     118.2522       1.752      6      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CC[6a]HH)(O)	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){1|H<1>,1|N<3>,2|C<3>}	C(C[5a]C[5a]O[5a])(CC[6a]HH)(O)	119.3850	0.000	1	119.3850	0.000	1     118.2522       1.752      6      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){1|H<1>,1|N<3>,2|C<3>}	C(C[5a]C[5a]O[5a])(CH3)(O)	119.9620	0.000	1	119.3177	0.558	3     118.2522       1.752      6      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a,6a]N)(O[5a]C[5a,6a])(CCO){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){1|N<3>,1|O<2>,2|C<3>}	C(C[5a]C[5a]O[5a])(CH3)(O)	118.9955	0.016	2	119.3177	0.558	3     118.2522       1.752      6      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C[4]-4:O-1:	C[5a](C[5a]C[5a,6a]C)(O[5a]C[5a,6a])(CC[4]O)	O[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(C[4]C[4]2H)(O)	C[5a](C[5a]C[5a,6a]C)(O[5a]C[5a,6a])(CC[4]O){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[5a]C){1|C<4>,3|C<3>}	C(C[5a]C[5a]O[5a])(C[4]C[4]2H)(O)	115.9060	0.000	1	115.9060	0.000	1     116.4543       0.677      3      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C[4]-4:O-1:	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CC[4]O)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(C[4]C[4]2H)(O)	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CC[4]O){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){2|C<3>,2|H<1>}	C(C[5a]C[5a]O[5a])(C[4]C[4]2H)(O)	116.7285	0.682	2	116.7285	0.682	2     116.4543       0.677      3      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]2)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a]2)(O[5a]C[5a])(CCO){1|C<3>,1|N<3>,2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){1|C<3>,1|H<1>}	C(C[5a]C[5a]O[5a])(CH3)(O)	114.9905	0.196	2	114.9905	0.196	2     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]O)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(CCO){1|H<1>,1|O<2>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]O){1|C<4>,1|H<1>}	C(C[5a]C[5a]O[5a])(CH3)(O)	116.7445	0.252	2	116.7445	0.252	2     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(O)	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(CCO){1|C<3>,1|O<2>}	O[5a](C[5a]C[5a]C[6a])(C[5a]C[5a]C){1|O<2>,3|C<3>}	C(C[5a]C[5a]O[5a])(CH3)(O)	117.1130	0.000	1	117.1130	0.000	1     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CCHH)(O)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CCHH)(O)	117.4123	1.836	4	117.4123	1.836	4     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CC[6a]CO)(O)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CC[6a]CO)(O)	114.8290	0.000	1	114.8290	0.000	1     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CHHS)(O)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CHHS)(O)	116.0950	0.000	1	116.0950	0.000	1     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CN[5a]HH)(O)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCO){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CN[5a]HH)(O)	116.7685	1.199	2	116.7685	1.199	2     116.5149       1.388      13      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:1:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C[5]-4:O-1:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]O)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(C[5]C[5]N[5]H)(O)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CC[5]O){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(C[5]C[5]N[5]H)(O)	116.5610	0.000	1	116.5610	0.000	1     116.5610       0.000      1      118.4325     2.527     35
818	358	930	3:2:3:	3:3:	3:4:2:	C[5,6a]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:O-2:	C[5](C[5,6a]C[6a,6a]C[5,6a])(O[5]C[5])(CCO)	O[5](C[5]C[5,6a]C)(C[5]C[5,6a]O)	C(C[5]C[5,6a]O[5])(CHOO)(OC)	C[5](C[5,6a]C[6a,6a]C[5,6a])(O[5]C[5])(CCO){1|O<1>,3|C<3>}	O[5](C[5]C[5,6a]C)(C[5]C[5,6a]O){2|C<3>}	C(C[5]C[5,6a]O[5])(CHOO)(OC)	121.5240	0.000	1	121.5240	0.000	1     121.5240       0.000      1      115.9969     2.438     12
818	358	930	3:2:3:	3:3:	3:4:2:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:N-2:	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCN)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(NO)	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCN){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){2|C<3>,2|H<1>}	C(C[5a]C[5a]O[5a])(CH3)(NO)	115.8547	2.531	3	115.8547	2.531	3     115.8547       2.531      3      115.9969     2.438     12
818	358	930	3:2:3:	3:3:	3:4:2:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:N-2:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CH3)(NN)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CH3)(NN)	117.2743	0.596	3	117.2743	0.596	3     115.3594       1.635      8      115.9969     2.438     12
818	358	930	3:2:3:	3:3:	3:4:2:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:N-2:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CHHN)(NO)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CHHN)(NO)	113.8780	0.000	1	113.8780	0.000	1     115.3594       1.635      8      115.9969     2.438     12
818	358	930	3:2:3:	3:3:	3:4:2:	C[5a]-3:O[5a]-2:C-3:	C[5a]-3:C[5a]-3:	C[5a]-3:C-4:N-2:	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN)	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H)	C(C[5a]C[5a]O[5a])(CN[5a]HH)(NO)	C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CCN){2|H<1>}	O[5a](C[5a]C[5a]C)(C[5a]C[5a]H){2|H<1>}	C(C[5a]C[5a]O[5a])(CN[5a]HH)(NO)	114.2935	0.291	4	114.2935	0.291	4     115.3594       1.635      8      115.9969     2.438     12
818	358	930	3:2:3:	3:3:	3:4:3:	C[5a]-3:O[5a]-2:C-3:	C[5a,6a]-3:C[5a]-3:	C[5a]-3:C-4:C-3:	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCC)	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C)	C(C[5a]C[5a]O[5a])(CH3)(CCH)	C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(CCC){2|C<3>}	O[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[5a]C){1|H<1>,1|O<2>,2|C<3>}	C(C[5a]C[5a]O[5a])(CH3)(CCH)	117.8590	0.000	1	117.8590	0.000	1     117.8590       0.000      1      117.8590     0.000     1
818	358	930	3:2:3:	3:3:	3:4:4:	C[5]-3:O[5]-2:C-3:	C[5]-3:C[5]-3:	C[5]-3:C-4:C-4:	C[5](C[5]C[5]H)(O[5]C[5])(CCC)	O[5](C[5]C[5]C)(C[5]C[5]O)	C(C[5]C[5]O[5])(CCHH)(CC3)	C[5](C[5]C[5]H)(O[5]C[5])(CCC){1|H<1>,1|O<1>}	O[5](C[5]C[5]C)(C[5]C[5]O){2|H<1>}	C(C[5]C[5]O[5])(CCHH)(CC3)	122.1170	0.000	1	122.1170	0.000	1     122.1170       0.000      1      122.1170     0.000     1
818	358	930	3:2:3:	4:3:	3:2:1:	C[5]-3:O[5]-2:C-3:	C[5,6]-4:C[5]-3:	C[5]-3:O-2:O-1:	C[5](C[5]C[5,6]C)(O[5]C[5,6])(COO)	O[5](C[5,6]C[6,6a]C[5,6]H)(C[5]C[5]C)	C(C[5]C[5]O[5])(OC)(O)	C[5](C[5]C[5,6]C)(O[5]C[5,6])(COO){2|C<3>,2|H<1>}	O[5](C[5,6]C[6,6a]C[5,6]H)(C[5]C[5]C){1|H<1>,4|C<3>}	C(C[5]C[5]O[5])(OC)(O)	113.3390	0.000	1	113.3390	0.000	1     113.3390       0.000      1      113.3390     0.000     1
818	358	930	3:2:3:	4:3:	3:2:2:	C[5]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C-2:C-2:	C[5](C[5]C[5]C)(O[5]C[5])(CCC)	O[5](C[5]C[5]CC)(C[5]C[5]C)	C(C[5]C[5]O[5])(CN)2	C[5](C[5]C[5]C)(O[5]C[5])(CCC){1|C<3>,2|C<4>}	O[5](C[5]C[5]CC)(C[5]C[5]C){1|C<2>,1|C<3>}	C(C[5]C[5]O[5])(CN)2	117.1020	0.000	1	117.1020	0.000	1     117.1020       0.000      1      117.1020     0.000     1
818	358	930	3:2:3:	4:3:	3:3:1:	C[5,6a]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C-3:H-1:	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CCH)	O[5](C[5]C[5,6a]HH)(C[5]C[5,6a]C)	C(C[5]C[5,6a]O[5])(COO)(H)	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CCH){2|C<3>,3|H<1>}	O[5](C[5]C[5,6a]HH)(C[5]C[5,6a]C){2|C<3>}	C(C[5]C[5,6a]O[5])(COO)(H)	124.5300	0.000	1	124.5300	0.000	1     124.5300       0.000      1      122.2727     2.993     14
818	358	930	3:2:3:	4:3:	3:3:1:	C[5,6a]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C[6a]-3:I-1:	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CC[6a]I)	O[5](C[5]C[5,6a]CC)(C[5]C[5,6a]C)	C(C[5]C[5,6a]O[5])(C[6a]C[6a]2)(I)	C[5](C[5,6a]C[5,6a]C[6a])(O[5]C[5])(CC[6a]I){1|H<1>,2|C<3>,2|C<4>}	O[5](C[5]C[5,6a]CC)(C[5]C[5,6a]C){2|C<3>}	C(C[5]C[5,6a]O[5])(C[6a]C[6a]2)(I)	121.2270	0.000	1	121.2270	0.000	1     121.2270       0.000      1      122.2727     2.993     14
818	358	930	3:2:3:	4:3:	3:3:1:	C[5]-3:O[5]-2:C-3:	B[5]-4:C[5]-3:	C[5]-3:C[6a]-3:H-1:	C[5](C[5]N[5]H)(O[5]B[5])(CC[6a]H)	O[5](B[5]N[5]FF)(C[5]C[5]C)	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	C[5](C[5]N[5]H)(O[5]B[5])(CC[6a]H){1|C<4>,2|F<1>}	O[5](B[5]N[5]FF)(C[5]C[5]C){1|C<4>,1|H<1>}	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	126.9160	0.033	2	126.9160	0.033	2     126.9160       0.033      2      122.2727     2.993     14
818	358	930	3:2:3:	4:3:	3:3:1:	C[5]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C-3:H-1:	C[5](C[5]C[5]C)(O[5]C[5])(CCH)	O[5](C[5]C[5]HH)(C[5]C[5]C)	C(C[5]C[5]O[5])(CC[6a]H)(H)	C[5](C[5]C[5]C)(O[5]C[5])(CCH){4|H<1>}	O[5](C[5]C[5]HH)(C[5]C[5]C){1|C<3>,2|H<1>}	C(C[5]C[5]O[5])(CC[6a]H)(H)	115.5780	0.000	1	115.5780	0.000	1     115.5780       0.000      1      122.2727     2.993     14
818	358	930	3:2:3:	4:3:	3:3:1:	C[5]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C[6a]-3:H-1:	C[5](C[5]C[5]H)(O[5]C[5])(CC[6a]H)	O[5](C[5]C[5]CC)(C[5]C[5]C)	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	C[5](C[5]C[5]H)(O[5]C[5])(CC[6a]H){1|C<3>,2|C<4>}	O[5](C[5]C[5]CC)(C[5]C[5]C){1|C<3>,1|H<1>}	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	123.4620	0.000	1	123.4620	0.000	1     123.5595       0.138      2      122.2727     2.993     14
818	358	930	3:2:3:	4:3:	3:3:1:	C[5]-3:O[5]-2:C-3:	C[5]-4:C[5]-3:	C[5]-3:C[6a]-3:H-1:	C[5](C[5]C[6a]C[5])(O[5]C[5])(CC[6a]H)	O[5](C[5]C[6a]C[5]C)(C[5]C[5]C)	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	C[5](C[5]C[6a]C[5])(O[5]C[5])(CC[6a]H){1|C<4>,4|C<3>}	O[5](C[5]C[6a]C[5]C)(C[5]C[5]C){4|C<3>}	C(C[5]C[5]O[5])(C[6a]C[6a]2)(H)	123.6570	0.000	1	123.6570	0.000	1     123.5595       0.138      2      122.2727     2.993     14
