466	690	710	4:4:1:1:	4:	4:	C[5,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[5,6]O[5,6]O[5]H)(C[6]C[6]HO)(H)(I)	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	C[6](C[5,6]O[5,6]O[5]H)(C[6]C[6]HO)(H)(I){1|H<1>,1|O<2>,2|C<4>}	H(C[6]C[5,6]C[6]I)	I(C[6]C[5,6]C[6]H)	108.1910	0.000	1	108.1910	0.000	1     108.2390       0.751      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6,6]-4:C[6,6]-4:H-1:I-1:	C[6,6]-4:	C[6,6]-4:	C[6,6](C[6,6]N[6]O[6]H)(C[6,6]C[6]2H)(H)(I)	H(C[6,6]C[6,6]2I)	I(C[6,6]C[6,6]2H)	C[6,6](C[6,6]N[6]O[6]H)(C[6,6]C[6]2H)(H)(I){2|H<1>,4|C<3>}	H(C[6,6]C[6,6]2I)	I(C[6,6]C[6,6]2H)	108.2600	0.000	1	108.2600	0.000	1     108.2600       0.000      1      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6,6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6,6]C[4,6,6]O[6]H)(C[6]C[6]HH)(H)(I)	H(C[6]C[6,6]C[6]I)	I(C[6]C[6,6]C[6]H)	C[6](C[6,6]C[4,6,6]O[6]H)(C[6]C[6]HH)(H)(I){1|C<3>,2|C<4>,3|H<1>}	H(C[6]C[6,6]C[6]I)	I(C[6]C[6,6]C[6]H)	107.9725	0.426	2	107.9725	0.426	2     107.9725       0.426      2      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(I){1|O<2>,4|C<4>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	108.4870	0.254	3	108.4870	0.254	3     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6,6a]HH)(C[6]C[6]HO)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6,6a]HH)(C[6]C[6]HO)(H)(I){2|C<3>,2|H<1>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	108.1320	0.000	1	108.1320	0.000	1     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HH)(C[6]C[6]HO)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HH)(C[6]C[6]HO)(H)(I){1|C<4>,1|N<3>,3|H<1>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	107.9375	0.059	2	107.9375	0.059	2     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HH)(C[6]O[6]CC)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HH)(C[6]O[6]CC)(H)(I){1|C<3>,1|C<4>,1|H<1>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	107.4240	0.000	1	107.4240	0.000	1     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]CH)(H)(I){1|C<4>,1|H<1>,1|N<2>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	107.5350	0.000	1	107.5350	0.000	1     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(I){1|C<4>,1|H<1>,1|O<2>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	109.0500	0.000	1	109.0500	0.000	1     107.9992       0.523      13      108.0991     0.612     30
466	690	710	4:4:1:1:	4:	4:	C[6]-4:C[6]-4:H-1:I-1:	C[6]-4:	C[6]-4:	C[6](C[6]C[6]HO)2(H)(I)	H(C[6]C[6]2I)	I(C[6]C[6]2H)	C[6](C[6]C[6]HO)2(H)(I){1|Br<1>,1|C<3>,1|H<1>,1|O<2>}	H(C[6]C[6]2I)	I(C[6]C[6]2H)	107.6280	0.260	4	107.6280	0.260	4     107.9992       0.523      13      108.0991     0.612     30
