818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:2:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:O-2:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHO)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(ON)(H)2	C[5](N[5]C[6a]C[5])2(BHHO){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(ON)(H)2	127.4435	0.424	2	127.4435	0.424	2	127.4435	0.424	2	127.3132	0.552	8	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:B-3:Cl-1:Cl-1:	C[5](N[5]C[6a]C[5])2(BCl2B)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(BC[6a]2)(Cl)2	C[5](N[5]C[6a]C[5])2(BCl2B){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(BC[6a]2)(Cl)2	126.9230	1.252	2	126.9230	1.252	2	126.9230	1.252	2	127.3684	1.137	16	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:N-3:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BHHN)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(NOO)(H)2	C[5](N[5]C[6a]C[5])2(BHHN){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(NOO)(H)2	127.3660	1.670	2	127.3660	1.670	2	127.3660	1.670	2	127.3684	1.137	16	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	N[5]-3:C[5]-3:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BN[5]HH)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(N[5]C[5,5]N[5])(C[5]N[5]2)(H)2	C[5](N[5]C[6a]C[5])2(BN[5]HH){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(N[5]C[5,5]N[5])(C[5]N[5]2)(H)2	127.5565	0.356	4	127.5565	0.356	4	127.5565	0.356	4	127.3684	1.137	16	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	N[5a]-3:C[5]-3:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BN[5a]HH)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(N[5a]C[5a]N[5a])(C[5]N[5]2)(H)2	C[5](N[5]C[6a]C[5])2(BN[5a]HH){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(N[5a]C[5a]N[5a])(C[5]N[5]2)(H)2	127.3863	1.420	8	127.3863	1.420	8	127.3863	1.420	8	127.3684	1.137	16	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:3:3:	N[5]-3:C[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C[6a]-3:C[6a]-3:C[6a]-3:	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC[6a]3)	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]H)	B(C[5]C[5]N[5])(C[6a]C[6a]2)3	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC[6a]3){1|H<1>,3|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]B)(C[5]N[5]H){1|H<1>,2|C<4>,3|C<3>}	B(C[5]C[5]N[5])(C[6a]C[6a]2)3	132.8110	0.000	1	132.8110	0.000	1	129.7935	4.267	2	129.4300	3.612	5	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:3:3:	N[5]-3:C[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C[6a]-3:C[6a]-3:C[6a]-3:	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC[6a]3)	N[5](C[6a]C[6a]2)(C[5]N[5]Li)(C[5]C[5]B)	B(C[5]C[5]N[5])(C[6a]C[6a]2)3	C[5](N[5]C[6a]C[5])(C[5]N[5]H)(BC[6a]3){1|Li<4>,3|C<3>}	N[5](C[6a]C[6a]2)(C[5]N[5]Li)(C[5]C[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]C[5]N[5])(C[6a]C[6a]2)3	126.7760	0.000	1	126.7760	0.000	1	129.7935	4.267	2	129.4300	3.612	5	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:3:3:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[6a]-3:C[6a]-3:C[6a]-3:C[5]-3:	C[5](N[5]C[6a]C[5])(N[5]C[5]C)(BC[6a]3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[6a]C[6a]2)3(C[5]N[5]2)	C[5](N[5]C[6a]C[5])(N[5]C[5]C)(BC[6a]3){2|C<3>,2|H<1>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<3>,3|C<4>}	B(C[6a]C[6a]2)3(C[5]N[5]2)	131.4920	0.000	1	131.4920	0.000	1	129.1877	4.096	3	129.4300	3.612	5	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:3:3:3:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[6a]-3:C[6a]-3:C[6a]-3:C[5]-3:	C[5](N[5]C[6a]C[5])2(BC[6a]3)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[6a]C[6a]2)3(C[5]N[5]2)	C[5](N[5]C[6a]C[5])2(BC[6a]3){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[6a]C[6a]2)3(C[5]N[5]2)	128.0355	5.058	2	128.0355	5.058	2	129.1877	4.096	3	129.4300	3.612	5	127.5331	2.435	128	127.4367	2.547	130
818	542	610	0:SP2_SP2_SP3	C[5]	N[5]	B	3:3:4:	3:3:3:	3:4:1:1:	N[5]-3:N[5]-3:B-4:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:B-4:H-1:H-1:	C[5](N[5]C[6a]C[5])2(BBHH)	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B)	B(C[5]N[5]2)(BC[5]HH)(H)2	C[5](N[5]C[6a]C[5])2(BBHH){2|H<1>,4|C<3>}	N[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]N[5]B){1|H<1>,2|C<4>,3|C<3>}	B(C[5]N[5]2)(BC[5]HH)(H)2	128.1045	0.706	4	128.1045	0.706	4	128.1045	0.706	4	127.7295	0.842	8	127.5331	2.435	128	127.4367	2.547	130
