979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-2:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(SC){1|C<3>,1|N<3>}	100.6710	0.000	1	100.9280	0.363	2     100.7301       0.679      6      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	2:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	N[5a]-2:N[5a]-2:S-2:	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a])(N[5a]N[5a])(SC)	S(C[5a]N[5a]2)(CH3)	C(SC[5a])(H)3	C[5a](N[5a]C[5a])(N[5a]N[5a])(SC){1|C<3>,1|N<3>}	100.7790	0.000	1	100.7790	0.000	1     100.7301       0.679      6      100.8469     1.116     17
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]C)(S[5]S[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]C)(S[5]S[5])(SC){1|C<3>}	104.7390	0.000	1	104.7390	0.000	1     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]C[5])(SC){1|O<1>,2|H<1>}	101.9370	0.000	1	102.6130	0.956	2     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]C[5])(SC){1|Si<4>,1|C<3>}	103.2890	0.000	1	102.6130	0.956	2     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]S[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]C[5]H)(S[5]S[5])(SC){1|S<1>}	103.1720	0.000	1	103.1720	0.000	1     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]N[5]C)(S[5]N[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]N[5]C)(S[5]N[5])(SC){}	101.3825	0.021	2	101.3825	0.021	2     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]C)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]C)(S[5]C[5])(SC){1|C<3>}	103.1817	0.978	4	103.1817	0.978	4     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]H)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]H)(S[5]C[5])(SC){1|C<3>}	101.5230	0.000	1	101.5230	0.000	1     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC){1|Br<1>}	101.3680	0.788	2	101.9645	1.271	141     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC){1|C<3>}	101.9663	1.282	137	101.9645	1.271	141     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:S[5]-2:S-2:	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	C[5](C[5]S[5]S)(S[5]C[5])(SC){1|S<3>}	102.4405	0.991	2	101.9645	1.271	141     102.0207       1.277      152      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	C[5]-3:Se[5]-2:S-2:	S(C[5]Se[5]C[5])(CH3)	C(SC[5])(H)3	C[5](C[5]Se[5]S)(Se[5]C[5])(SC)	S(C[5]Se[5]C[5])(CH3)	C(SC[5])(H)3	C[5](C[5]Se[5]S)(Se[5]C[5])(SC){1|C<3>}	100.4957	3.021	2	100.4957	3.021	2     100.4957       3.021      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-3:N[5]-2:S-2:	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[5]C)(N[5]C[5])(SC)	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[5]C)(N[5]C[5])(SC){1|C<3>,1|O<1>}	99.1775	0.000	1	99.1775	0.000	1     98.7561       0.318      4      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-3:N[5]-2:S-2:	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[6a]C[5])(N[5]C[5])(SC)	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[6a]C[5])(N[5]C[5])(SC){1|O<1>,3|C<3>}	98.7212	0.011	2	98.7212	0.011	2     98.7561       0.318      4      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-3:N[5]-2:S-2:	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[6a]N[5])(N[5]N[5])(SC)	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	C[5](N[5]C[6a]N[5])(N[5]N[5])(SC){1|C<4>,2|C<3>}	98.4045	0.000	1	98.4045	0.000	1     98.7561       0.318      4      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5]-3:C-4:	S-2:H-1:H-1:H-1:	N[5]-3:S[5]-2:S-2:	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]C[5]Pt)(S[5]C[5])(SC)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	C[5](N[5]C[5]Pt)(S[5]C[5])(SC){4|H<1>}	103.8910	0.776	2	103.8910	0.776	2     103.8910       0.776      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a,6]-3:N[5a]-2:S-2:	S(C[5a]C[5a,6]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6]C[5a,6]C[6])(N[5a]N[5a])(SC)	S(C[5a]C[5a,6]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6]C[5a,6]C[6])(N[5a]N[5a])(SC){1|C<3>,1|C<4>,1|O<1>,1|O<2>}	101.0370	0.732	3	101.0370	0.732	3     101.0370       0.732      3      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a,6a]-3:N[5a]-2:S-2:	S(C[5a]C[5a,6a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6a]C[5a,6a]2)(N[5a]N[5a])(SC)	S(C[5a]C[5a,6a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6a]C[5a,6a]2)(N[5a]N[5a])(SC){1|C<4>,1|N<3>,2|N<2>}	102.0520	0.000	1	102.0520	0.000	1     101.2355       1.155      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a,6a]-3:N[5a]-2:S-2:	S(C[5a]C[5a,6a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(SC)	S(C[5a]C[5a,6a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(SC){1|C<3>,1|N<2>,1|N<3>,1|O<1>}	100.4190	0.000	1	100.4190	0.000	1     101.2355       1.155      2      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a,5a]C)(N[5a]N[5a,5a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a,5a]C)(N[5a]N[5a,5a])(SC){1|C<3>,1|N<3>}	100.5820	0.000	1	100.5820	0.000	1     100.5381       0.456      7      101.7069     1.494     189
979	490	818	3:4:	2:1:1:1:	3:2:2:	C[5a]-3:C-4:	S-2:H-1:H-1:H-1:	C[5a]-3:N[5a]-2:S-2:	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a,6a]C)(N[5a]N[5a,6a])(SC)	S(C[5a]C[5a]N[5a])(CH3)	C(SC[5a])(H)3	C[5a](C[5a]C[5a,6a]C)(N[5a]N[5a,6a])(SC){1|C<3>,1|N<2>}	100.8925	0.508	2	100.8925	0.508	2     100.5381       0.456      7      101.7069     1.494     189
