542	502	818	3:3:4:	3:3:3:1:	3:3:3:	C[5a,6]-3:C[5a,6]-3:P[6,6]-4:	N[5a,6]-3:N[5a,6]-3:N[5a,6,6]-3:O-1:	N[5a,6,6]-3:C[6]-3:C[5a]-3:	N[5a,6,6](C[5a,6]C[5a]C[6])2(P[6,6]N[5a,6]2O)	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O)	C[5a,6](N[5a,6,6]C[5a,6]P[6,6])(C[6]C[5a,6]C[6a])(C[5a]C[5a]H)	N[5a,6,6](C[5a,6]C[5a]C[6])2(P[6,6]N[5a,6]2O){2|H<1>,6|C<3>}	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O){1|N<3>,9|C<3>}	C[5a,6](N[5a,6,6]C[5a,6]P[6,6])(C[6]C[5a,6]C[6a])(C[5a]C[5a]H){1|H<1>,1|O<1>,2|N<3>,4|C<3>}	124.5280	2.256	2	124.5280	2.256	2     124.5280       2.256      2      124.5280     2.256     2
542	502	818	3:4:2:	3:2:2:1:	3:3:3:	C[5a]-3:P[6]-4:N[5a]-2:	N[5a]-3:O[6]-2:O[6]-2:O-1:	N[5a]-3:C[5a]-3:N-3:	N[5a](C[5a]C[5a]N)(P[6]O[6]2O)(N[5a]C[5a])	P[6](N[5a]C[5a]N[5a])(O[6]C[6])2(O)	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]C)(NHH)	N[5a](C[5a]C[5a]N)(P[6]O[6]2O)(N[5a]C[5a]){1|C<3>,1|N<3>,2|C<4>}	P[6](N[5a]C[5a]N[5a])(O[6]C[6])2(O){1|C<4>,1|N<3>,3|C<3>,3|H<1>}	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]C)(NHH){1|N<3>,1|O<1>,2|O<2>}	130.6135	0.472	2	130.6135	0.472	2     130.6135       0.472      2      130.6135     0.472     2
542	502	818	3:4:2:	3:2:2:1:	3:3:4:	C[5a]-3:P[6]-4:N[5a]-2:	N[5a]-3:N[6]-2:N[6]-2:O-1:	N[5a]-3:C[5a]-3:C-4:	N[5a](C[5a]C[5a]C)(P[6]N[6]2O)(N[5a]C[5a])	P[6](N[5a]C[5a]N[5a])(N[6]C[6])2(O)	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3)	N[5a](C[5a]C[5a]C)(P[6]N[6]2O)(N[5a]C[5a]){1|C<4>,1|H<1>,2|C<3>}	P[6](N[5a]C[5a]N[5a])(N[6]C[6])2(O){1|C<4>,2|C<3>,3|N<3>}	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3){1|C<4>,1|O<1>,2|N<2>}	132.9910	0.000	1	132.9910	0.000	1     132.9910       0.000      1      132.9910     0.000     1
542	502	818	3:4:3:	3:3:1:1:	3:3:3:	C[5a,6]-3:P[6]-4:C[5a]-3:	N[5a,6]-3:N[5a,6]-3:O-1:O-1:	C[6]-3:N[5a,6]-3:C[5a]-3:	N[5a,6](C[5a,6]C[5a]C[6])(P[6]N[5a,6]OO)(C[5a]C[5a]2)	P[6](N[5a,6]C[5a,6]C[5a])2(O)2	C[5a,6](C[6]C[5a,6]C[6a])(N[5a,6]C[5a]P[6])(C[5a]C[5a]H)	N[5a,6](C[5a,6]C[5a]C[6])(P[6]N[5a,6]OO)(C[5a]C[5a]2){1|N<3>,2|H<1>,4|C<3>}	P[6](N[5a,6]C[5a,6]C[5a])2(O)2{7|C<3>}	C[5a,6](C[6]C[5a,6]C[6a])(N[5a,6]C[5a]P[6])(C[5a]C[5a]H){1|H<1>,1|N<3>,2|O<1>,4|C<3>}	115.2050	0.143	2	115.2050	0.143	2     115.2050       0.143      2      123.8713     10.031     4
542	502	818	3:4:3:	3:3:1:1:	3:3:3:	C[5a,6]-3:P[6]-4:C[5a]-3:	N[5a,6]-3:N[5a,6]-3:O-1:O-1:	N[5a,6]-3:C[5a]-3:C[5a]-3:	N[5a,6](C[5a,6]C[5a]C[6])(P[6]N[5a,6]OO)(C[5a]C[5a]2)	P[6](N[5a,6]C[5a,6]C[5a])2(O)2	C[5a](N[5a,6]C[5a,6]P[6])(C[5a]C[5a]N[5a])(C[5a]C[5a]H)	N[5a,6](C[5a,6]C[5a]C[6])(P[6]N[5a,6]OO)(C[5a]C[5a]2){1|N<3>,2|H<1>,4|C<3>}	P[6](N[5a,6]C[5a,6]C[5a])2(O)2{7|C<3>}	C[5a](N[5a,6]C[5a,6]P[6])(C[5a]C[5a]N[5a])(C[5a]C[5a]H){1|N<3>,2|O<1>,3|C<3>,3|H<1>}	132.5375	1.193	2	132.5375	1.193	2     132.5375       1.193      2      123.8713     10.031     4
542	502	818	3:4:3:	3:3:3:1:	3:3:3:	C[5a,5a]-3:P[6,6]-4:C[5a,6]-3:	N[5a,6]-3:N[5a,6]-3:N[5a,6,6]-3:O-1:	N[5a,5a]-3:N[5a,6]-3:C[5a,5a]-3:	N[5a,6](C[5a,5a]C[5a,5a]N[5a,5a])(P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O)	C[5a,5a](N[5a,5a]C[5a,5a]C[5a])(N[5a,6]C[5a,6]P[6,6])(C[5a,5a]C[5a]2)	N[5a,6](C[5a,5a]C[5a,5a]N[5a,5a])(P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6]){1|H<1>,8|C<3>}	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O){1|N<3>,9|C<3>}	C[5a,5a](N[5a,5a]C[5a,5a]C[5a])(N[5a,6]C[5a,6]P[6,6])(C[5a,5a]C[5a]2){1|H<1>,1|O<1>,2|N<3>,5|C<3>}	124.4610	0.000	1	124.4610	0.000	1     124.4610       0.000      1      122.8250     2.314     2
542	502	818	3:4:3:	3:3:3:1:	3:3:3:	C[5a,5a]-3:P[6,6]-4:C[5a,6]-3:	N[5a,6]-3:N[5a,6]-3:N[5a,6,6]-3:O-1:	N[5a,6]-3:C[6]-3:C[5a]-3:	N[5a,6](C[5a,5a]C[5a,5a]N[5a,5a])(P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O)	C[5a,6](N[5a,6]C[5a,5a]P[6,6])(C[6]C[5a,6]C[6a])(C[5a]C[5a,5a]H)	N[5a,6](C[5a,5a]C[5a,5a]N[5a,5a])(P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6]){1|H<1>,8|C<3>}	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O){1|N<3>,9|C<3>}	C[5a,6](N[5a,6]C[5a,5a]P[6,6])(C[6]C[5a,6]C[6a])(C[5a]C[5a,5a]H){1|O<1>,3|N<3>,4|C<3>}	121.1890	0.000	1	121.1890	0.000	1     121.1890       0.000      1      122.8250     2.314     2
542	502	818	4:3:2:	3:3:2:2:	3:3:4:	P[6]-4:C[5a]-3:N[5a]-2:	N[5a]-3:N[5a]-3:N[6]-2:N[6]-2:	N[5a]-3:C[5a]-3:C-4:	N[5a](P[6]N[5a]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a])	P[6](N[5a]C[5a]N[5a])2(N[6]C[6])2	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3)	N[5a](P[6]N[5a]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a]){1|C<4>,1|H<1>,1|N<2>,3|C<3>}	P[6](N[5a]C[5a]N[5a])2(N[6]C[6])2{1|N<2>,2|C<4>,2|N<3>,4|C<3>}	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3){1|C<4>,1|N<3>,2|N<2>}	128.5335	1.179	4	128.5335	1.179	4     128.5335       1.179      4      128.5335     1.179     4
542	502	818	4:3:2:	3:3:3:2:	3:3:4:	P[6]-4:C[5a]-3:N[5a]-2:	N[5a]-3:N[5]-3:N[6]-3:N[6]-2:	N[5a]-3:C[5a]-3:C-4:	N[5a](P[6]N[5]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a])	P[6](N[5a]C[5a]N[5a])(N[5]C[5]N[5])(N[6]P[6]Zn)(N[6]P[6])	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3)	N[5a](P[6]N[5]N[6]2)(C[5a]C[5a]C)(N[5a]C[5a]){1|Zn<5>,1|C<3>,1|C<4>,1|H<1>,1|N<3>,2|P<4>}	P[6](N[5a]C[5a]N[5a])(N[5]C[5]N[5])(N[6]P[6]Zn)(N[6]P[6]){1|N<2>,2|C<4>,4|C<3>,4|N<3>}	C[5a](N[5a]N[5a]P[6])(C[5a]C[5a]H)(CH3){1|C<4>,1|N<2>,2|N<3>}	132.1545	3.710	2	132.1545	3.710	2     132.1545       3.710      2      132.1545     3.710     2
542	502	818	4:3:3:	3:3:3:1:	3:3:3:	P[6,6]-4:C[5a,6]-3:C[5a]-3:	N[5a,6]-3:N[5a,6]-3:N[5a,6,6]-3:O-1:	N[5a,6]-3:C-3:C[5a]-3:	N[5a,6](P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])(C[5a]C[5a]C)	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O)	C[5a](N[5a,6]C[5a,6]P[6,6])(CC[5a]C[6a])(C[5a]C[5a]H)	N[5a,6](P[6,6]N[5a,6,6]N[5a,6]O)(C[5a,6]C[5a]C[6])(C[5a]C[5a]C){2|H<1>,5|C<3>}	P[6,6](N[5a,6]C[5a,5a]C[5a,6])(N[5a,6]C[5a,6]C[5a])(N[5a,6,6]C[5a,6]2)(O){1|N<3>,9|C<3>}	C[5a](N[5a,6]C[5a,6]P[6,6])(CC[5a]C[6a])(C[5a]C[5a]H){1|C<3>,1|H<1>,1|O<1>,2|N<3>}	129.6960	0.000	1	129.6960	0.000	1     129.6960       0.000      1      125.0485     6.573     2
