727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:1:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F)	C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F)	F(C[5a]C[5a]2)	C[5a](C[5a]N[5a]C[6])(C[5a]C[5a]F)(F){1|H<1>,1|O<2>,2|C<3>}	C[5a](C[5a]C[6a]N[5a])(C[5a]C[5a]F)(F){1|H<1>,3|C<3>}	F(C[5a]C[5a]2)	125.2790	0.654	3	125.2790	0.654	3	125.5179	0.670	14	126.0477	1.710	25	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:1:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[5a]-3:H-1:	C[5a]-3:	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(H)	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F){3|C<3>}	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(H){3|C<3>}	F(C[5a]C[5a]2)	124.7910	0.000	1	124.7910	0.000	1	124.7910	0.000	1	126.0477	1.710	25	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:1:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:N[5a]-3:H-1:	C[5a]-3:	C[5a](C[5a]C[5a]F)(C[5a]N[5a]H)(F)	C[5a](C[5a]C[5a]F)(N[5a]C[5a]H)(H)	F(C[5a]C[5a]2)	C[5a](C[5a]C[5a]F)(C[5a]N[5a]H)(F){1|C<3>,1|H<1>}	C[5a](C[5a]C[5a]F)(N[5a]C[5a]H)(H){1|C<3>,1|F<1>}	F(C[5a]C[5a]2)	126.2850	0.244	4	126.2850	0.244	4	126.2850	0.244	4	126.0477	1.710	25	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:1:	3:	C[5a]-3:N[5a]-3:F-1:	C[5a]-3:C[5a]-3:H-1:	C[5a]-3:	C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F)	C[5a](C[5a]C[5a]C)(C[5a]N[5a]F)(H)	F(C[5a]C[5a]N[5a])	C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F){1|C<3>,1|C<4>}	C[5a](C[5a]C[5a]C)(C[5a]N[5a]F)(H){1|C<4>,1|H<1>}	F(C[5a]C[5a]N[5a])	131.1990	0.533	2	131.1990	0.533	2	131.1990	0.533	2	126.0477	1.710	25	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:2:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[5a]-3:C-2:	C[5a]-3:	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(CC)	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F){3|C<3>}	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]F)(CC){3|C<3>}	F(C[5a]C[5a]2)	123.8920	0.000	1	123.8920	0.000	1	123.8920	0.000	1	125.3216	1.259	5	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:2:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[6a]-3:O[5a]-2:	C[5a]-3:	C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F)	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a])	F(C[5a]C[5a]2)	C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F){5|C<3>}	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a]){2|H<1>,4|C<3>}	F(C[5a]C[5a]2)	124.9970	0.000	1	124.9970	0.000	1	125.6790	1.123	4	125.3216	1.259	5	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:2:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[6a]-3:O[5a]-2:	C[5a]-3:	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]Br)(F)	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a])	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]Br)(F){3|C<3>}	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a]){1|Br<1>,2|H<1>,3|C<3>}	F(C[5a]C[5a]2)	127.1320	0.000	1	127.1320	0.000	1	125.6790	1.123	4	125.3216	1.259	5	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:2:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[6a]-3:O[5a]-2:	C[5a]-3:	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F)	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a])	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F){3|C<3>}	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a]){1|C<2>,2|H<1>,3|C<3>}	F(C[5a]C[5a]2)	125.9690	0.000	1	125.9690	0.000	1	125.6790	1.123	4	125.3216	1.259	5	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:2:	3:	C[5a]-3:C[5a]-3:F-1:	C[5a]-3:C[6a]-3:O[5a]-2:	C[5a]-3:	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F)	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a])	F(C[5a]C[5a]2)	C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]H)(F){3|C<3>}	C[5a](C[5a]C[5a]F)(C[6a]C[6a]2)(O[5a]C[5a]){3|C<3>,3|H<1>}	F(C[5a]C[5a]2)	124.6180	0.000	1	124.6180	0.000	1	125.6790	1.123	4	125.3216	1.259	5	126.0687	1.688	44	125.9487	1.697	47
727	727	830	0:SP2_SP-NON_SP2	C[5a]	C[5a]	F	3:3:1:	3:3:3:	3:	C[5a]-3:C[5a]-3:F-1:	C[5]-3:C[5a]-3:N[5a]-3:	C[5a]-3:	C[5a](C[5a]N[5a]C[5])(C[5a]C[5a]F)(F)	C[5a](C[5]C[5]N[5])(C[5a]C[5a]F)(N[5a]C[5a]H)	F(C[5a]C[5a]2)	C[5a](C[5a]N[5a]C[5])(C[5a]C[5a]F)(F){1|C<3>,1|N<3>,2|H<1>}	C[5a](C[5]C[5]N[5])(C[5a]C[5a]F)(N[5a]C[5a]H){1|C<3>,1|F<1>,1|N<3>,3|H<1>}	F(C[5a]C[5a]2)	125.3740	0.146	2	125.3740	0.146	2	125.3740	0.146	2	125.9810	0.767	11	126.0687	1.688	44	125.9487	1.697	47
