490	310	988	4:4:1:1:	4:1:1:1:	4:4:2:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-2:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OMn)(O)	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OMn)(O)	112.8600	0.007	2	112.8600	0.007	2     112.5979       0.204      13      112.5979     0.204     13
490	310	988	4:4:1:1:	4:1:1:1:	4:4:2:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-2:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(ONi)(O)	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(ONi)(O)	112.5680	0.098	2	112.5680	0.098	2     112.5979       0.204      13      112.5979     0.204     13
490	310	988	4:4:1:1:	4:1:1:1:	4:4:2:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:O-2:O-1:	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OZn)(O)	C(PCOO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)2(OZn)(O)	112.4835	0.252	2	112.4835	0.252	2     112.5979       0.204      13      112.5979     0.204     13
490	310	988	4:4:1:1:	4:1:1:1:	4:4:4:1:	P-4:N-4:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:C-4:C-4:O-1:	C(PCCO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)(CH3)2(O)	C(PCCO)(NH3)(H)2	N(CHHP)(H)3	P(CHHN)(CH3)2(O)	113.1230	0.000	1	113.1230	0.000	1     113.1230       0.000      1      113.1230     0.000     1
490	310	988	4:4:1:1:	4:4:1:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OCo)3	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OCo)3	112.6330	0.000	1	112.6330	0.000	1     111.9143       1.177      4      111.9143     1.177     4
490	310	988	4:4:1:1:	4:4:1:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OMn)3	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OMn)3	110.2180	0.000	1	110.2180	0.000	1     111.9143       1.177      4      111.9143     1.177     4
490	310	988	4:4:1:1:	4:4:1:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OZn)3	C(NCHH)(PO3)(H)2	N(CC[6a]HH)(CHHP)(H)2	P(CHHN)(OZn)3	112.0280	0.000	1	112.0280	0.000	1     111.9143       1.177      4      111.9143     1.177     4
490	310	988	4:4:1:1:	4:4:1:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CHHP)2(H)2	P(CHHN)(OCu)3	C(NCHH)(PO3)(H)2	N(CHHP)2(H)2	P(CHHN)(OCu)3	112.7780	0.000	1	112.7780	0.000	1     111.9143       1.177      4      111.9143     1.177     4
490	310	988	4:4:1:1:	4:4:1:1:	4:3:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-3:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CCHH)(CHHP)(H)2	P(CHHN)(ONa2)(ONa)(OH)	C(NCHH)(PO3)(H)2	N(CCHH)(CHHP)(H)2	P(CHHN)(ONa2)(ONa)(OH)	112.6910	0.000	1	112.6910	0.000	1     114.1680       2.089      2      114.1680     2.089     2
490	310	988	4:4:1:1:	4:4:1:1:	4:3:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:H-1:H-1:	C-4:O-3:O-2:O-2:	C(NCHH)(PO3)(H)2	N(CHHP)2(H)2	P(CHHN)(OCu2)(OCu)2	C(NCHH)(PO3)(H)2	N(CHHP)2(H)2	P(CHHN)(OCu2)(OCu)2	115.6450	0.000	1	115.6450	0.000	1     114.1680       2.089      2      114.1680     2.089     2
490	310	988	4:4:1:1:	4:4:4:1:	3:4:1:1:	P-4:N-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C[6a]-3:C-4:O-1:O-1:	C(PC[6a]OO)(NCCH)(H)2	N(CCHH)2(CHHP)(H)	P(C[6a]C[6a]2)(CHHN)(O)2	C(PC[6a]OO)(NCCH)(H)2	N(CCHH)2(CHHP)(H)	P(C[6a]C[6a]2)(CHHN)(O)2	113.5643	0.557	3	113.5643	0.557	3     113.5643       0.557      3      113.5643     0.557     3
