490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5,6]N[5,6]C[5])(H)3	C[5,6](C[5,6]C[5,6a]C[6])(N[5,6]C[5,6]C[5])(C[5]C[5,6a]HO)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6]N[5,6]C[5])(H)3	C[5,6](C[5,6]C[5,6a]C[6])(N[5,6]C[5,6]C[5])(C[5]C[5,6a]HO)(CH3){1|C<4>,1|O<1>,5|C<3>}	H(CC[5,6]HH)	109.4767	0.033	3	109.4690	0.030	5     109.4690       0.030      5      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5,6]N[5,6]C[5])(H)3	C[5,6](C[5,6]C[5,6a]C[6])(N[5,6]C[5,6]C[5])(C[5]C[5,6a]HO)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6]N[5,6]C[5])(H)3	C[5,6](C[5,6]C[5,6a]C[6])(N[5,6]C[5,6]C[5])(C[5]C[5,6a]HO)(CH3){1|H<1>,1|O<1>,5|C<3>}	H(CC[5,6]HH)	109.4575	0.029	2	109.4690	0.030	5     109.4690       0.030      5      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-3:N[6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5,6]C[5]N[6])(H)3	C[5,6](C[5,6]C[5]C[6])(N[6]C[6,6a]H)(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6]C[5]N[6])(H)3	C[5,6](C[5,6]C[5]C[6])(N[6]C[6,6a]H)(C[5]C[5]HH)(CH3){2|C<3>,5|H<1>}	H(CC[5,6]HH)	109.4400	0.016	3	109.4400	0.016	3     109.4400       0.016      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6]-3:C[5,6]-4:C-4:	C-4:	C(C[5,6]C[5,6a]C[5,6]2)(H)3	C[5,6](C[5,6a]C[5,6a,6a]C[5,6a])(C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5]H)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6a]C[5,6]2)(H)3	C[5,6](C[5,6a]C[5,6a,6a]C[5,6a])(C[5,6]C[5,6a]C[5,6])(C[5,6]C[5,6]C[5]H)(CH3){1|O<2>,2|C<4>,3|H<1>,5|C<3>}	H(CC[5,6]HH)	109.4927	0.021	3	109.4927	0.021	3     109.4927       0.021      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6]-3:C[6]-4:C-4:	C-4:	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a,6a]C[5,6a])(C[5,6]C[5,6a]C[5,6])(C[6]C[6]CH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a,6a]C[5,6a])(C[5,6]C[5,6a]C[5,6])(C[6]C[6]CH)(CH3){1|H<1>,2|C<4>,5|C<3>}	H(CC[5,6]HH)	109.4933	0.031	8	109.4933	0.031	8     109.4879       0.031      13      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6]-3:C[6]-4:C-4:	C-4:	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6])(C[6]C[6]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5]C[6])(C[6]C[6]HH)(CH3){4|C<3>,4|H<1>}	H(CC[5,6]HH)	109.4630	0.007	2	109.4630	0.007	2     109.4879       0.031      13      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6]-3:C[6]-4:C-4:	C-4:	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]N[5])(C[6]C[6]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6a]C[5,6]C[6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]N[5])(C[6]C[6]HH)(CH3){1|C<4>,2|C<3>,5|H<1>}	H(CC[5,6]HH)	109.4900	0.041	3	109.4900	0.041	3     109.4879       0.031      13      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5a,6]-3:C[5,6]-4:C-4:	C-4:	C(C[5,6]C[5,6a]C[5a,6]C[5,6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5a,6]C[5a,6]C[5a])(C[5,6]C[5a,6]N[5]H)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5,6a]C[5a,6]C[5,6])(H)3	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5a,6]C[5a,6]C[5a])(C[5,6]C[5a,6]N[5]H)(CH3){1|C<4>,2|H<1>,2|N<3>,4|C<3>}	H(CC[5,6]HH)	109.4840	0.006	2	109.4840	0.006	2     109.4840       0.006      2      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5a,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[5]C[6])(C[5]C[5]CH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[5]C[6])(C[5]C[5]CH)(CH3){1|C<4>,1|O<1>,2|C<3>,5|H<1>}	H(CC[5,6]HH)	109.8090	0.675	3	109.6694	0.515	5     109.5381       0.326      20      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5a,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[5]C[6])(C[5]C[5]CH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[5]C[6])(C[5]C[5]CH)(CH3){1|C<4>,3|C<3>,5|H<1>}	H(CC[5,6]HH)	109.4600	0.014	2	109.6694	0.515	5     109.5381       0.326      20      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5a,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[6]S[5])(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]C[5a,6]N[5a])(N[5,6]C[6]S[5])(C[5]C[5]HH)(CH3){2|C<3>,2|C<4>,2|O<1>,4|H<1>}	H(CC[5,6]HH)	109.5277	0.406	6	109.5277	0.406	6     109.5381       0.326      20      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[5a,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]N[5a,6]C[5a])(N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[5a,6]N[5,6]C[5])(H)3	C[5,6](C[5a,6]N[5a,6]C[5a])(N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(CH3){4|C<3>,5|H<1>}	H(CC[5,6]HH)	109.4721	0.028	9	109.4721	0.028	9     109.5381       0.326      20      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	C[6,6a]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]C[6,6a]N[5,6]C[5])(H)3	C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,6]C[5]C[6])(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]C[6,6a]N[5,6]C[5])(H)3	C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,6]C[5]C[6])(C[5]C[5]HH)(CH3){1|O<1>,2|C<3>,2|C<4>,4|H<1>}	H(CC[5,6]HH)	109.4784	0.024	7	109.4784	0.024	7     109.4784       0.024      7      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	N[5,6]-3:C[6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]N[5,6]C[5]C[6])(H)3	C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]N[5,6]C[5]C[6])(H)3	C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(CH3){1|O<1>,2|C<4>,4|H<1>}	H(CC[5,6]HH)	108.8010	1.309	3	108.8010	1.309	3     108.8010       1.309      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	N[5,6]-3:N[5]-3:C[6]-4:C-4:	C-4:	C(C[5,6]N[5,6]C[6]N[5])(H)3	C[5,6](N[5,6]C[5,6a]C[6])(N[5]C[5,6a]H)(C[6]C[6]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]N[5,6]C[6]N[5])(H)3	C[5,6](N[5,6]C[5,6a]C[6])(N[5]C[5,6a]H)(C[6]C[6]HH)(CH3){1|C<4>,1|O<1>,2|C<3>,2|H<1>}	H(CC[5,6]HH)	109.4897	0.018	3	109.4897	0.018	3     109.4897       0.018      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	N[5,6]-3:N[6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]N[5,6]C[5]N[6])(H)3	C[5,6](N[5,6]C[5]C[6])(N[6]C[6,6a]H)(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]N[5,6]C[5]N[6])(H)3	C[5,6](N[5,6]C[5]C[6])(N[6]C[6,6a]H)(C[5]C[5]HH)(CH3){1|O<1>,2|C<3>,4|H<1>}	H(CC[5,6]HH)	109.4755	0.028	2	109.4755	0.028	2     109.4552       0.024      5      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	N[5,6]-3:N[6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]N[5,6]C[5]N[6])(H)3	C[5,6](N[5,6]C[6,6a]C[5])(N[6]C[6,6a]C)(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]N[5,6]C[5]N[6])(H)3	C[5,6](N[5,6]C[6,6a]C[5])(N[6]C[6,6a]C)(C[5]C[5]HH)(CH3){1|C<4>,3|C<3>,3|H<1>}	H(CC[5,6]HH)	109.4417	0.011	3	109.4417	0.011	3     109.4552       0.024      5      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5,6]-4:H-1:H-1:H-1:	N[5a,6]-3:N[5,6]-3:C[5]-4:C-4:	C-4:	C(C[5,6]N[5a,6]N[5,6]C[5])(H)3	C[5,6](N[5a,6]C[5a,6a]C[5a,6])(N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(CH3)	H(CC[5,6]HH)	C(C[5,6]N[5a,6]N[5,6]C[5])(H)3	C[5,6](N[5a,6]C[5a,6a]C[5a,6])(N[5,6]C[6,6a]C[5])(C[5]C[5]HH)(CH3){1|N<2>,1|O<1>,2|H<1>,4|C<3>}	H(CC[5,6]HH)	109.4827	0.012	3	109.4827	0.012	3     109.4827       0.012      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:Cl-1:H-1:H-1:	N[5]-3:N[5]-3:C-4:C-4:	C-4:	C(C[5]N[5]2C)(Cl)(H)2	C[5](N[5]C[5,6a]H)2(CClHH)2	H(CC[5]ClH)	C(C[5]N[5]2C)(Cl)(H)2	C[5](N[5]C[5,6a]H)2(CClHH)2{2|C<3>}	H(CC[5]ClH)	109.3603	0.110	3	109.3603	0.110	3     109.3603       0.110      3      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5]-3:C[5,5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5]2C)(H)3	C[5](C[5,5]C[5,5]N[5])2(CH3)2	H(CC[5]HH)	C(C[5]C[5,5]2C)(H)3	C[5](C[5,5]C[5,5]N[5])2(CH3)2{4|C<3>}	H(CC[5]HH)	109.4622	0.029	4	109.4622	0.029	4     109.4622       0.029      4      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5]C[5]C)(H)3	C[5](C[5,5]C[5,6a]C[5,5])(C[5]N[5]O)(CH3)2	H(CC[5]HH)	C(C[5]C[5,5]C[5]C)(H)3	C[5](C[5,5]C[5,6a]C[5,5])(C[5]N[5]O)(CH3)2{1|C<4>,3|C<3>}	H(CC[5]HH)	109.4810	0.043	9	109.4810	0.043	9     109.4810       0.043      9      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5]-3:N[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5]N[5]C)(H)3	C[5](C[5,5]C[5,5]C[5])(N[5]C[5]O)(CH3)2	H(CC[5]HH)	C(C[5]C[5,5]N[5]C)(H)3	C[5](C[5,5]C[5,5]C[5])(N[5]C[5]O)(CH3)2{1|C<3>,1|H<1>,1|S<2>,2|C<4>}	H(CC[5]HH)	109.4620	0.050	5	109.4620	0.050	5     109.4907       0.054      9      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5]-3:N[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5]N[5]C)(H)3	C[5](C[5,5]C[5,5]S[5])(N[5]C[5]O)(CH3)2	H(CC[5]HH)	C(C[5]C[5,5]N[5]C)(H)3	C[5](C[5,5]C[5,5]S[5])(N[5]C[5]O)(CH3)2{2|C<3>,2|C<4>}	H(CC[5]HH)	109.5265	0.037	4	109.5265	0.037	4     109.4907       0.054      9      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5a]C[5]C)(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]H)(CH3)2	H(CC[5]HH)	C(C[5]C[5,5a]C[5]C)(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]H)(CH3)2{1|S<4>,3|C<3>}	H(CC[5]HH)	109.4753	0.042	4	109.4753	0.042	4     109.4728       0.031      10      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,5a]C[5]C)(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]O)(CH3)2	H(CC[5]HH)	C(C[5]C[5,5a]C[5]C)(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5]C[5]O)(CH3)2{1|H<1>,1|O<1>,2|C<3>}	H(CC[5]HH)	109.4712	0.026	6	109.4712	0.026	6     109.4728       0.031      10      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5a]-3:C[5a]-3:C[5]-4:C-4:	C-4:	C(C[5]C[5,5a]C[5a]C[5])(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5a]C[5a,6a]C[5a])(C[5]C[5]HH)(CH3)	H(CC[5]HH)	C(C[5]C[5,5a]C[5a]C[5])(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5a]C[5a,6a]C[5a])(C[5]C[5]HH)(CH3){1|H<1>,1|N<3>,1|S<4>,2|C<4>,4|C<3>}	H(CC[5]HH)	106.8567	3.626	3	107.8792	3.245	6     107.8792       3.245      6      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,5a]-3:C[5a]-3:C[5]-4:C-4:	C-4:	C(C[5]C[5,5a]C[5a]C[5])(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5a]C[5a,6a]C[5a])(C[5]C[5]HH)(CH3)	H(CC[5]HH)	C(C[5]C[5,5a]C[5a]C[5])(H)3	C[5](C[5,5a]C[5,5a]N[5a])(C[5a]C[5a,6a]C[5a])(C[5]C[5]HH)(CH3){1|H<1>,1|N<3>,3|C<4>,4|C<3>}	H(CC[5]HH)	108.9017	3.168	3	107.8792	3.245	6     107.8792       3.245      6      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5,5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5,5]C[5])(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5,5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5,5]C[5])(CH3)2{1|H<1>,2|C<4>,4|C<3>}	H(CC[5]HH)	109.4863	0.041	6	109.4863	0.041	6     109.4863       0.041      6      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5,6]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,6]C[6])(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5,6]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,6]C[6])(CH3)2{2|H<1>,4|C<3>}	H(CC[5]HH)	109.4695	0.052	11	109.4695	0.052	11     109.4695       0.052      11      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CC[5]HH)(CH3)	H(CC[5]HH)	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CC[5]HH)(CH3){2|H<1>,4|C<3>}	H(CC[5]HH)	109.4659	0.025	8	109.4659	0.025	8     109.4672       0.048      128      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CC[6a]HH)(CH3)	H(CC[5]HH)	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CC[6a]HH)(CH3){2|H<1>,4|C<3>}	H(CC[5]HH)	109.4700	0.043	3	109.4700	0.043	3     109.4672       0.048      128      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CH3)2{2|H<1>,4|C<3>}	H(CC[5]HH)	109.4665	0.050	111	109.4665	0.050	111     109.4672       0.048      128      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[6a,6a]C[5,6a])(C[5,6a]C[5,6a]C[6a])(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]2C)(H)3	C[5](C[5,6a]C[6a,6a]C[5,6a])(C[5,6a]C[5,6a]C[6a])(CH3)2{1|H<1>,5|C<3>}	H(CC[5]HH)	109.4797	0.030	6	109.4797	0.030	6     109.4672       0.048      128      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C-4:P-4:	C-4:	C(C[5]C[5,6a]2P)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CH3)(PO3)	H(CC[5]HH)	C(C[5]C[5,6a]2P)(H)3	C[5](C[5,6a]C[5,6a]C[6a])2(CH3)(PO3){2|H<1>,4|C<3>}	H(CC[5]HH)	109.4765	0.058	4	109.4765	0.058	4     109.4765       0.058      4      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]2)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]2)(CH3)2{1|C<4>,1|H<1>,4|C<3>}	H(CC[5]HH)	109.4686	0.035	5	109.4686	0.035	5     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]H)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]H)(CH3)2{1|H<1>,3|C<3>}	H(CC[5]HH)	109.4694	0.049	13	109.4694	0.049	13     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5a]N[5])(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5a]N[5])(CH3)2{1|H<1>,4|C<3>}	H(CC[5]HH)	109.4820	0.025	4	109.4820	0.025	4     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2{1|C<4>,1|H<1>,2|C<3>}	H(CC[5]HH)	109.4635	0.064	72	109.4671	0.050	158     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2{1|Cl<1>,1|H<1>,2|C<3>}	H(CC[5]HH)	109.4950	0.034	3	109.4671	0.050	158     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2{1|H<1>,2|C<3>}	H(CC[5]HH)	109.4692	0.037	55	109.4671	0.050	158     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2{1|Pd<4>,1|H<1>,2|C<3>}	H(CC[5]HH)	109.4558	0.033	9	109.4671	0.050	158     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]C)(CH3)2{2|C<3>,2|H<1>}	H(CC[5]HH)	109.4753	0.027	19	109.4671	0.050	158     109.4577       1.357      255      109.4650     0.756     1026
490	474	690	4:1:1:1:	3:3:4:4:	4:	C[5]-4:H-1:H-1:H-1:	C[5,6a]-3:C[5]-3:C-4:C-4:	C-4:	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]H)(CH3)2	H(CC[5]HH)	C(C[5]C[5,6a]C[5]C)(H)3	C[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]H)(CH3)2{1|H<1>,1|O<1>,2|C<3>}	H(CC[5]HH)	108.9607	9.653	6	108.9607	9.653	6     109.4577       1.357      255      109.4650     0.756     1026
