490	474	542	3:4:1:1:	4:2:4:1:	3:3:4:	N[5]-3:C[5]-4:H-1:H-1:	C[5]-4:O[5]-2:C-4:H-1:	C[5,6a]-3:C[5]-3:C-4:	C(N[5]C[5,6a]C[5])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]CH)(O[5]C[5])(CN[5]HH)(H)	N[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]S)(CC[5]HH)	C(N[5]C[5,6a]C[5])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]CH)(O[5]C[5])(CN[5]HH)(H){2|C<4>}	N[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]S)(CC[5]HH){1|C<4>,1|H<1>,2|C<3>}	113.6420	0.311	2	113.6420	0.311	2     113.6420       0.311      2      113.6420     0.311     2
490	474	542	3:4:1:1:	4:4:2:1:	3:2:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5]-4:C-4:O[5]-2:H-1:	C[5a]-3:N[5a]-2:C-4:	C(N[5a]C[5a]N[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]HH)(CN[5a]HH)(O[5]C[5])(H)	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CC[5]HH)	C(N[5a]C[5a]N[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]HH)(CN[5a]HH)(O[5]C[5])(H){1|C<3>,1|C<4>}	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CC[5]HH){1|H<1>}	112.7570	0.000	1	112.7570	0.000	1     112.7570       0.000      1      112.7570     0.000     1
490	474	542	3:4:1:1:	4:4:2:1:	3:3:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5]-4:C-4:O[5]-2:H-1:	C[5a,6a]-3:C[5a]-3:C-4:	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]C[5]HH)(CN[5a]HH)(O[5]N[5])(H)	N[5a](C[5a,6a]C[5a,6a]C[6,6a])(C[5a]N[5a]O)(CC[5]HH)	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]C[5]HH)(CN[5a]HH)(O[5]N[5])(H){1|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6,6a])(C[5a]N[5a]O)(CC[5]HH){1|C<4>,3|C<3>}	112.4660	0.000	1	112.4660	0.000	1     112.4170       1.150      4      112.4170     1.150     4
490	474	542	3:4:1:1:	4:4:2:1:	3:3:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5]-4:C-4:O[5]-2:H-1:	C[5a,6a]-3:C[5a]-3:C-4:	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]C[5]HH)(CN[5a]HH)(O[5]N[5])(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]O)(CC[5]HH)	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]C[5]HH)(CN[5a]HH)(O[5]N[5])(H){1|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]O)(CC[5]HH){1|C<4>,1|H<1>,2|C<3>}	111.6140	0.000	1	111.6140	0.000	1     112.4170       1.150      4      112.4170     1.150     4
490	474	542	3:4:1:1:	4:4:2:1:	3:3:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5]-4:C-4:O[5]-2:H-1:	C[5a,6a]-3:C[5a]-3:C-4:	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]HH)(CN[5a]HH)(O[5]C[5])(H)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(CC[5]HH)	C(N[5a]C[5a,6a]C[5a])(C[5]C[5]O[5]H)(H)2	C[5](C[5]O[5]HH)(CN[5a]HH)(O[5]C[5])(H){1|C<3>,1|C<4>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(CC[5]HH){1|H<1>,2|C<3>}	112.7940	1.742	2	112.7940	1.742	2     112.4170       1.150      4      112.4170     1.150     4
490	474	542	3:4:1:1:	4:4:4:3:	3:3:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5,5]-4:C[5]-4:C-4:C-3:	C[5a,6a]-3:C[5a]-3:C-4:	C(N[5a]C[5a,6a]C[5a])(C[5]C[5,5]C[5]C)(H)2	C[5](C[5,5]C[5,6a]C[5]N[5])(C[5]C[6a]C[5]H)(CN[5a]HH)(COO)	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(CC[5]HH)	C(N[5a]C[5a,6a]C[5a])(C[5]C[5,5]C[5]C)(H)2	C[5](C[5,5]C[5,6a]C[5]N[5])(C[5]C[6a]C[5]H)(CN[5a]HH)(COO){1|C<4>,1|N<3>,1|O<1>,2|H<1>,4|C<3>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(CC[5]HH){1|H<1>,2|C<3>}	116.0450	0.000	1	116.0450	0.000	1     116.0450       0.000      1      116.0450     0.000     1
490	474	542	3:4:1:1:	4:4:4:4:	3:2:4:	N[5a]-3:C[5]-4:H-1:H-1:	C[5]-4:S[5]-4:C-4:C-4:	C[5a]-3:N[5a]-2:C-4:	C(N[5a]C[5a]N[5a])(C[5]C[5]S[5]C)(H)2	C[5](C[5]N[4,5]CH)(S[5]C[4,5]OO)(CN[5a]HH)(CH3)	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[5]HH)	C(N[5a]C[5a]N[5a])(C[5]C[5]S[5]C)(H)2	C[5](C[5]N[4,5]CH)(S[5]C[4,5]OO)(CN[5a]HH)(CH3){1|C<3>,1|C<4>,1|H<1>}	N[5a](C[5a]C[5a]H)(N[5a]N[5a])(CC[5]HH){1|H<1>}	113.4760	0.000	1	113.4760	0.000	1     113.4760       0.000      1      113.4760     0.000     1
490	474	542	4:3:1:1:	3:2:2:4:	3:2:4:	C[5]-4:N[5]-3:H-1:H-1:	C[6a]-3:O[5]-2:O[5]-2:C-4:	C[5]-3:N[5]-2:C-4:	C(C[5]C[6a]O[5]2)(N[5]C[5]N[5])(H)2	C[5](C[6a]C[6a]2)(O[5]C[5])2(CN[5]HH)	N[5](C[5]N[5]H)(N[5]C[5])(CC[5]HH)	C(C[5]C[6a]O[5]2)(N[5]C[5]N[5])(H)2	C[5](C[6a]C[6a]2)(O[5]C[5])2(CN[5]HH){1|Cl<1>,2|C<3>,5|H<1>}	N[5](C[5]N[5]H)(N[5]C[5])(CC[5]HH){1|Zn<4>,1|H<1>}	111.8030	0.000	1	111.8030	0.000	1     111.8030       0.000      1      111.8030     0.000     1
490	474	542	4:3:1:1:	3:3:4:2:	3:2:4:	C[5]-4:N[5a]-3:H-1:H-1:	C[6a]-3:N[5]-3:C-4:O[5]-2:	C[5a]-3:N[5a]-2:C-4:	C(C[5]C[6a]N[5]O[5])(N[5a]C[5a]N[5a])(H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(CN[5a]HH)(O[5]C[5])	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CC[5]HH)	C(C[5]C[6a]N[5]O[5])(N[5a]C[5a]N[5a])(H)2	C[5](C[6a]C[6a]2)(N[5]N[5]C)(CN[5a]HH)(O[5]C[5]){2|H<1>,3|C<3>}	N[5a](C[5a]N[5a]H)(N[5a]C[5a])(CC[5]HH){1|H<1>}	111.8300	0.000	1	111.8300	0.000	1     111.8300       0.000      1      111.8300     0.000     1
490	474	542	4:3:1:1:	3:4:2:2:	3:3:4:	C[5]-4:N[5a]-3:H-1:H-1:	C[6a]-3:C-4:O[5]-2:O[5]-2:	C[5a]-3:C[5a]-3:C-4:	C(C[5]C[6a]O[5]2)(N[5a]C[5a]2)(H)2	C[5](C[6a]C[6a]2)(CN[5a]HH)(O[5]C[5])2	N[5a](C[5a]C[5a]H)(C[5a]N[5a]H)(CC[5]HH)	C(C[5]C[6a]O[5]2)(N[5a]C[5a]2)(H)2	C[5](C[6a]C[6a]2)(CN[5a]HH)(O[5]C[5])2{1|Cl<1>,1|C<4>,2|C<3>,4|H<1>}	N[5a](C[5a]C[5a]H)(C[5a]N[5a]H)(CC[5]HH){1|H<1>}	113.5643	0.589	3	113.5643	0.589	3     113.5643       0.589      3      113.5643     0.589     3
