893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:4:3:2:	2:	C[3x5]-4:H-1:	C[5,5,6]-4:C[5,5]-4:N[5,5]-3:O-2:	O-2:	O(C[3x5]C[5,5,6]C[5,5]N[5,5])(H)	C[3x5](C[5,5,6]C[5,5,6]C[5,6]H)(C[5,5]C[5]O[5]O)(N[5,5]C[5]2)(OH)	H(OC[3x5])	O(C[3x5]C[5,5,6]C[5,5]N[5,5])(H)	C[3x5](C[5,5,6]C[5,5,6]C[5,6]H)(C[5,5]C[5]O[5]O)(N[5,5]C[5]2)(OH){1|O<1>,1|O<2>,2|C<3>,2|H<1>,3|C<4>}	H(OC[3x5])	109.5110	0.000	1	109.4895	0.001	2	109.4895	0.001	2	108.3809	1.477	8	109.1340	5.364	10	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:4:3:2:	2:	C[3x5]-4:H-1:	C[5,5]-4:C[5,5]-4:N[5,5]-3:O-2:	O-2:	O(C[3x5]C[5,5]2N[5,5])(H)	C[3x5](C[5,5]C[5]O[5]H)(C[5,5]C[5]2H)(N[5,5]C[5]2)(OH)	H(OC[3x5])	O(C[3x5]C[5,5]2N[5,5])(H)	C[3x5](C[5,5]C[5]O[5]H)(C[5,5]C[5]2H)(N[5,5]C[5]2)(OH){1|Br<1>,1|C<3>,2|O<1>,4|H<1>}	H(OC[3x5])	107.9170	1.644	3	108.0113	1.412	6	108.0113	1.412	6	108.3809	1.477	8	109.1340	5.364	10	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:4:3:2:	2:	C[3x5]-4:H-1:	C[5,5]-4:C[5,5]-4:N[5,5]-3:O-2:	O-2:	O(C[3x5]C[5,5]2N[5,5])(H)	C[3x5](C[5,5]C[5]O[5]H)(C[5,5]C[5]2H)(N[5,5]C[5]2)(OH)	H(OC[3x5])	O(C[3x5]C[5,5]2N[5,5])(H)	C[3x5](C[5,5]C[5]O[5]H)(C[5,5]C[5]2H)(N[5,5]C[5]2)(OH){1|C<3>,1|O<2>,2|O<1>,4|H<1>}	H(OC[3x5])	108.1057	0.895	3	108.0113	1.412	6	108.0113	1.412	6	108.3809	1.477	8	109.1340	5.364	10	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[3x5]	H	4:1:	4:4:4:2:	2:	C[3x5]-4:H-1:	C[5,5,6]-4:C[5,5]-4:C[5,5]-4:O-2:	O-2:	O(C[3x5]C[5,5,6]C[5,5]2)(H)	C[3x5](C[5,5,6]C[5,6]C[6]O[5])(C[5,5]C[5]2O)(C[5,5]O[5]2H)(OH)	H(OC[3x5])	O(C[3x5]C[5,5,6]C[5,5]2)(H)	C[3x5](C[5,5,6]C[5,6]C[6]O[5])(C[5,5]C[5]2O)(C[5,5]O[5]2H)(OH){1|C<3>,1|O<1>,2|C<4>,3|H<1>}	H(OC[3x5])	114.9080	0.000	1	114.9080	0.000	1	114.9080	0.000	1	114.9080	0.000	1	109.1340	5.364	10	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[4x5]	H	4:1:	4:4:2:2:	2:	C[4x5]-4:H-1:	C[3x5,6,6]-4:C[3x5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6,6a]C[6])(C[3x5,6]C[3,5,5,6]C[5,6,6a]H)(O[5,5]C[3,5,5])(OH)	H(OC[4x5])	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6,6a]C[6])(C[3x5,6]C[3,5,5,6]C[5,6,6a]H)(O[5,5]C[3,5,5])(OH){1|Sn<4>,1|C<4>,3|C<3>,3|H<1>}	H(OC[4x5])	106.6025	0.317	2	107.6883	3.588	3	108.9480	5.411	6	108.9480	5.411	6	108.9480	5.411	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[4x5]	H	4:1:	4:4:2:2:	2:	C[4x5]-4:H-1:	C[3x5,6,6]-4:C[3x5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6,6a]C[6])(C[3x5,6]C[3,5,5,6]C[5,6,6a]H)(O[5,5]C[3,5,5])(OH)	H(OC[4x5])	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6,6a]C[6])(C[3x5,6]C[3,5,5,6]C[5,6,6a]H)(O[5,5]C[3,5,5])(OH){1|Sn<4>,2|C<3>,2|C<4>,3|H<1>}	H(OC[4x5])	109.8600	0.000	1	107.6883	3.588	3	108.9480	5.411	6	108.9480	5.411	6	108.9480	5.411	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[4x5]	H	4:1:	4:4:2:2:	2:	C[4x5]-4:H-1:	C[3x5,6,6]-4:C[3x5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6]C[6])(C[3x5,6]C[3,5,5,6]C[5,6]H)(O[5,5]C[3,5,5])(OH)	H(OC[4x5])	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6]C[6])(C[3x5,6]C[3,5,5,6]C[5,6]H)(O[5,5]C[3,5,5])(OH){1|Sn<4>,1|C<3>,1|C<4>,5|H<1>}	H(OC[4x5])	111.5215	0.022	2	110.2077	5.179	3	108.9480	5.411	6	108.9480	5.411	6	108.9480	5.411	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[4x5]	H	4:1:	4:4:2:2:	2:	C[4x5]-4:H-1:	C[3x5,6,6]-4:C[3x5,6]-4:O[5,5]-2:O-2:	O-2:	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6]C[6])(C[3x5,6]C[3,5,5,6]C[5,6]H)(O[5,5]C[3,5,5])(OH)	H(OC[4x5])	O(C[4x5]C[3x5,6,6]C[3x5,6]O[5,5])(H)	C[4x5](C[3x5,6,6]C[3,5,5,6,6]C[5,6]C[6])(C[3x5,6]C[3,5,5,6]C[5,6]H)(O[5,5]C[3,5,5])(OH){1|Sn<4>,2|C<4>,5|H<1>}	H(OC[4x5])	107.5800	0.000	1	110.2077	5.179	3	108.9480	5.411	6	108.9480	5.411	6	108.9480	5.411	6	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	3:4:4:2:	2:	C[5,3x6]-4:H-1:	C[5,6,6a]-3:C[5,6,6]-4:C[4x6]-4:O-2:	O-2:	O(C[5,3x6]C[5,6,6a]C[5,6,6]C[4x6])(H)	C[5,3x6](C[5,6,6a]C[5,6a]C[6,6a])(C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,6,6a]C[5,6,6]C[4x6])(H)	C[5,3x6](C[5,6,6a]C[5,6a]C[6,6a])(C[5,6,6]C[3x6]C[5]H)(C[4x6]C[6,6]2C[6])(OH){1|O<1>,1|O<2>,2|C<3>,3|C<4>,6|H<1>}	H(OC[5,3x6])	109.4400	0.000	1	109.4400	0.000	1	109.4400	0.000	1	109.4400	0.000	1	112.3823	148.951	18	108.9912	10.377	3916
893	474	951	0:SP3_SP-NON_SP3	O	C[5,3x6]	H	4:1:	4:4:2:2:	2:	C[5,3x6]-4:H-1:	C[5,3x6]-4:C[5,6,6]-4:O[6,6]-2:O-2:	O-2:	O(C[5,3x6]C[5,3x6]C[5,6,6]O[6,6])(H)	C[5,3x6](C[5,3x6]C[3x6]C[5]C[6])(C[5,6,6]C[3x6]O[5]H)(O[6,6]C[6,6])(OH)	H(OC[5,3x6])	O(C[5,3x6]C[5,3x6]C[5,6,6]O[6,6])(H)	C[5,3x6](C[5,3x6]C[3x6]C[5]C[6])(C[5,6,6]C[3x6]O[5]H)(O[6,6]C[6,6])(OH){1|O<1>,1|O<2>,4|C<4>,5|H<1>}	H(OC[5,3x6])	122.3970	25.918	4	122.3970	671.744	4	122.3970	671.744	4	119.8124	537.208	5	112.3823	148.951	18	108.9912	10.377	3916
