490	670	818	3:3:1:1:	3:4:3:	3:3:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-3:	N[5a]-3:C[5a]-3:C-4:	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CNO)	C[5a](N[5a]C[5a]Al)(C[5a]C[5a]H)(CHHN)	C(C[5a]C[5a]N[5a])(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CNO)	C[5a](N[5a]C[5a]Al)(C[5a]C[5a]H)(CHHN){2|H<1>}	113.3760	0.000	1	113.3760	0.000	1     113.3760       0.000      1      113.3760     0.000     1
490	670	818	3:3:1:1:	3:4:4:	3:2:4:	C[5a]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5a]-3:N[5a]-2:C-4:	C(C[5a]N[5a]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[5]HH)	C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(CHHN)	C(C[5a]N[5a]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[5]HH)	C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(CHHN){2|C<3>}	112.5540	0.000	1	112.5540	0.000	1     112.5540       0.000      1      112.5540     0.000     1
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5]-3:N[5]-3:C-4:	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN)	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN){1|Cu<4>,1|C<4>,2|C<3>}	111.3143	0.550	3	111.3905	0.474	4     112.2215       1.293      10      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5]-3:N[5]-3:C-4:	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN)	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN){1|Cu<5>,1|C<4>,2|C<3>}	111.6190	0.000	1	111.3905	0.474	4     112.2215       1.293      10      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5]-3:N[5]-3:C-4:	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6a,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN)	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6a,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN){1|Cu<4>,1|C<4>,2|C<3>}	112.4527	0.125	3	112.7755	1.397	6     112.2215       1.293      10      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	C[5]-3:N[5]-3:C-4:	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6a,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN)	C(C[5]C[5]N[5])(NC[6a]C)(H)2	N(C[6a]C[6a,6a]C[6a])(CC[5]HH)(CH3)	C[5](C[5]C[6a]C[5])(N[5]N[5]Cu)(CHHN){1|Cu<5>,1|C<4>,2|C<3>}	113.0983	2.133	3	112.7755	1.397	6     112.2215       1.293      10      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5]-3:N[5]-3:C-4:	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Ag)(N[5]C[5,6a]C)(CHHN)	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Ag)(N[5]C[5,6a]C)(CHHN){2|C<3>}	112.9713	2.019	12	112.9713	2.019	12     112.7236       1.880      21      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5]-3:N[5]-3:C-4:	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Ag)(N[5]C[5,6a]H)(CHHN)	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Ag)(N[5]C[5,6a]H)(CHHN){2|C<3>}	113.1185	1.691	4	113.1185	1.691	4     112.7236       1.880      21      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5]-3:N[5]-3:C-4:	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Co)(N[5]C[5,6a]H)(CHHN)	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5]HH)2	C[5](N[5]C[5,6a]Co)(N[5]C[5,6a]H)(CHHN){2|C<3>}	111.7212	1.967	4	111.7212	1.967	4     112.7236       1.880      21      112.5722     1.790     39
490	670	818	3:3:1:1:	3:4:4:	3:3:4:	C[5]-3:N-3:H-1:H-1:	C[6a]-3:C-4:C-4:	N[5]-3:N[5]-3:C-4:	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[5]HH)	C[5](N[5]C[5,6a]C)(N[5]C[5,6a]H)(CHHN)	C(C[5]N[5]2)(NC[6a]C)(H)2	N(C[6a]C[6a]2)(CC[5a]HH)(CC[5]HH)	C[5](N[5]C[5,6a]C)(N[5]C[5,6a]H)(CHHN){2|C<3>}	112.1820	0.000	1	112.1820	0.000	1     112.7236       1.880      21      112.5722     1.790     39
