930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:3:3:1:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-3:C-3:H-1:	C-3:H-1:H-1:H-1:	C(NC[6a])(CCCH)(CH3)	C(CC[6a]CO)(CCN)2(H)	C(CCN)(H)3	C(NC[6a])(CCCH)(CH3)	C(CC[6a]CO)(CCN)2(H)	C(CCN)(H)3	119.4860	0.055	2	119.4860	0.055	2	119.7632	0.580	4	119.7632	0.580	4	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:3:3:1:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-3:C-3:H-1:	C-3:H-1:H-1:H-1:	C(NN[5a])(CCCH)(CH3)	C(CCHH)(CCN)(CNO)(H)	C(CCN)(H)3	C(NN[5a])(CCCH)(CH3)	C(CCHH)(CCN)(CNO)(H)	C(CCN)(H)3	120.6320	0.000	1	120.6320	0.000	1	119.7632	0.580	4	119.7632	0.580	4	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:3:3:1:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-3:C-3:H-1:	C-3:H-1:H-1:H-1:	C(NN[5a])(CCCH)(CH3)	C(CH3)(CCN)(CNO)(H)	C(CCN)(H)3	C(NN[5a])(CCCH)(CH3)	C(CH3)(CCN)(CNO)(H)	C(CCN)(H)3	119.4490	0.000	1	119.4490	0.000	1	119.7632	0.580	4	119.7632	0.580	4	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:3:1:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-4:C-3:H-1:	C-3:H-1:H-1:H-1:	C(NN[5])(CCCH)(CH3)	C(CC[6a]HH)(CCHH)(CCN)(H)	C(CCN)(H)3	C(NN[5])(CCCH)(CH3)	C(CC[6a]HH)(CCHH)(CCN)(H)	C(CCN)(H)3	117.8260	0.000	1	117.8260	0.000	1	117.8260	0.000	1	116.9970	0.721	3	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:3:1:	3:1:1:1:	N-2:C-4:C-4:	N-4:C-4:C-3:H-1:	C-3:H-1:H-1:H-1:	C(NC[6a])(CCHN)(CH3)	C(NC[6a]HH)(CH3)(CCN)(H)	C(CCN)(H)3	C(NC[6a])(CCHN)(CH3)	C(NC[6a]HH)(CH3)(CCN)(H)	C(CCN)(H)3	116.5825	0.097	2	116.5825	0.097	2	116.5825	0.097	2	116.9970	0.721	3	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:3:1:	4:3:1:1:	N-2:C-4:C-4:	C-4:C-4:C-3:H-1:	C-4:C-3:H-1:H-1:	C(NN[5])(CCCH)(CCHH)	C(CC[6a]HH)(CH3)(CCN)(H)	C(CH3)(CCN)(H)2	C(NN[5])(CCCH)(CCHH)	C(CC[6a]HH)(CH3)(CCN)(H)	C(CH3)(CCN)(H)2	116.5220	0.000	1	116.5220	0.000	1	117.4720	1.344	2	117.4720	1.344	2	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:3:1:	4:3:1:1:	N-2:C-4:C-4:	C-4:C-4:C-3:H-1:	C-4:C-3:H-1:H-1:	C(NN[5])(CCCH)(CCHH)	C(CC[6a]HO)(CH3)(CCN)(H)	C(CH3)(CCN)(H)2	C(NN[5])(CCCH)(CCHH)	C(CC[6a]HO)(CH3)(CCN)(H)	C(CH3)(CCN)(H)2	118.4220	0.000	1	118.4220	0.000	1	117.4720	1.344	2	117.4720	1.344	2	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:3:3:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-4:C-3:C-3:	C-3:H-1:H-1:H-1:	C(NN[5a])(CC3)(CH3)	C(CCHH)2(CCN)(CNO)	C(CCN)(H)3	C(NN[5a])(CC3)(CH3)	C(CCHH)2(CCN)(CNO)	C(CCN)(H)3	120.5110	0.000	1	120.5110	0.000	1	120.5110	0.000	1	120.5110	0.000	1	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:4:3:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-4:C-4:C-3:	C-3:H-1:H-1:H-1:	C(NC[5a])(CC3)(CH3)	C(CH3)3(CCN)	C(CCN)(H)3	C(NC[5a])(CC3)(CH3)	C(CH3)3(CCN)	C(CCN)(H)3	116.9090	0.000	1	116.9090	0.000	1	117.2275	0.450	2	117.2275	0.450	2	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	2:4:4:	4:4:4:3:	3:1:1:1:	N-2:C-4:C-4:	C-4:C-4:C-4:C-3:	C-3:H-1:H-1:H-1:	C(NC[6a])(CC3)(CH3)	C(CCHN)(CH3)2(CCN)	C(CCN)(H)3	C(NC[6a])(CC3)(CH3)	C(CCHN)(CH3)2(CCN)	C(CCN)(H)3	117.5460	0.000	1	117.5460	0.000	1	117.2275	0.450	2	117.2275	0.450	2	116.7117	2.571	2420	116.7117	2.571	2420
