762	914	930	2:2:3:	3:3:	3:3:4:	N[6a]-2:O[6a]-2:C-3:	C[6a]-3:C[6a]-3:	C[6a]-3:C-3:C-4:	C[6a](N[6a]C[6a])(O[6a]C[6a])(CCC)	N[6a](C[6a]C[6a]2)(C[6a]O[6a]C)	C(C[6a]N[6a]O[6a])(CC[6a]N)(CH3)	C[6a](N[6a]C[6a])(O[6a]C[6a])(CCC){1|O<1>,2|C<3>}	N[6a](C[6a]C[6a]2)(C[6a]O[6a]C){1|C<4>,3|C<3>}	C(C[6a]N[6a]O[6a])(CC[6a]N)(CH3)	125.4560	0.000	1	125.4560	0.000	1     125.4560       0.000      1      125.4560     0.000     1
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:H-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(H)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|C<4>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C){1|H<1>,4|C<3>}	C(C[6a]C[6a]N[6a])(H)(O)	114.1560	0.000	1	114.2205	0.091	2     114.5490       0.899      6      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:H-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(H)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]2)(C[6a]C[6a]C){1|H<1>,4|C<3>}	C(C[6a]C[6a]N[6a])(H)(O)	114.2850	0.000	1	114.2205	0.091	2     114.5490       0.899      6      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:H-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(H)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){1|H<1>,1|O<2>,3|C<3>}	C(C[6a]C[6a]N[6a])(H)(O)	114.1710	0.000	1	114.1870	0.438	3     114.5490       0.899      6      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:H-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(H)(O)	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CHO){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(H)(O)	114.1950	0.619	2	114.1870	0.438	3     114.5490       0.899      6      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:H-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHO)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(H)(O)	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CHO){2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){1|H<1>,1|N<3>,1|O<1>,2|N<2>}	C(C[6a]C[6a]N[6a])(H)(O)	116.2920	0.000	1	116.2920	0.000	1     114.5490       0.899      6      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:O-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(O)2	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|H<1>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(O)2	117.4970	0.212	2	117.4157	0.206	3     117.5935       0.393      4      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:O-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO)	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(O)2	C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|O<2>,2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]C){2|H<1>,3|C<3>}	C(C[6a]C[6a]N[6a])(O)2	117.2530	0.000	1	117.4157	0.206	3     117.5935       0.393      4      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:1:1:	N[6a]-2:C[6a]-3:C-3:	C[6a,6a]-3:C[6a]-3:	C[6a]-3:O-1:O-1:	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO)	N[6a](C[6a,6a]C[6a,6a]C[6,6a])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(O)2	C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO){2|C<3>}	N[6a](C[6a,6a]C[6a,6a]C[6,6a])(C[6a]C[6a]C){1|N<2>,4|C<3>}	C(C[6a]C[6a]N[6a])(O)2	118.1270	0.000	1	118.1270	0.000	1     117.5935       0.393      4      115.7668     1.724     10
762	914	930	2:3:3:	3:3:	3:2:1:	N[6a]-2:C[6a]-3:C-3:	C[5,6a]-3:C[6a]-3:	C[6a]-3:O-2:O-1:	C[6a](N[6a]C[5,6a])(C[6a]C[6a]C)(COO)	N[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]C)	C(C[6a]C[6a]N[6a])(OC)(O)	C[6a](N[6a]C[5,6a])(C[6a]C[6a]C)(COO){1|C<3>,1|H<1>,1|N<2>}	N[6a](C[5,6a]C[5,6a]N[5])(C[6a]C[6a]C){1|S<2>,3|C<3>}	C(C[6a]C[6a]N[6a])(OC)(O)	116.2810	0.000	1	116.2810	0.000	1     116.2810       0.000      1      116.1687     1.376     82
