466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:3:1:1:  4:4:3:2:  4:  C[5,6]-4:C[6]-3:Cl-1:H-1:  C[5,6]-4:C[6]-4:C[5]-3:O-2:  C[6]-4:  449_4033_1  414_2909_1  458_495_0  110.6780  0.000  1  110.6780  0.000  1  110.6780  0.000  1  110.6780  0.000  1  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  3:4:2:2:  4:  C[5,6]-4:C[6]-4:Cl-1:Cl-1:  C[5,6a]-3:C[6]-4:O[5]-2:O[6]-2:  C[6]-4:  449_5134_1  414_6683_1  458_494_0  109.1250  1.025  2  109.1250  1.051  2  109.1250  1.051  2  109.1367  0.526  3  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  3:4:2:2:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[6,6a]-3:C[6]-4:O[5]-2:O[5]-2:  C[6]-4:  449_5475_1  414_7735_1  458_495_0  109.1600  0.000  1  109.1600  0.000  1  109.1600  0.000  1  109.1367  0.526  3  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  3:4:4:2:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[6,6a]-3:C[6]-4:C[5]-4:O[5]-2:  C[6]-4:  449_5466_1  414_7734_1  458_495_0  110.8710  0.000  1  110.8710  0.000  1  110.8710  0.000  1  110.8710  0.000  1  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  3:4:4:4:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6a]-3:C[5,6]-4:C[6]-4:C-4:  C[6]-4:  449_4809_1  414_6466_1  458_495_0  110.3120  0.000  1  110.3120  0.000  1  110.3120  0.000  1  110.3120  0.000  1  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:3:4:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:N[5]-3:C[6]-4:H-1:  C[6]-4:  449_4298_1  414_3994_1  458_495_0  108.4820  0.000  1  108.4820  0.000  1  108.4820  0.000  1  108.4820  0.000  1  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:2:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[6]-4:O[5]-2:H-1:  C[6]-4:  449_4501_1  414_4455_1  458_495_0  106.4750  0.106  2  106.4750  0.011  2  106.4750  0.011  2  106.4750  0.011  2  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:3:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[6]-4:C[5]-3:H-1:  C[6]-4:  449_3846_1  414_3548_1  458_495_0  110.8310  0.000  1  110.8310  0.000  1  110.8310  0.000  1  110.8310  0.000  1  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:4:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[5]-4:C[6]-4:H-1:  C[6]-4:  449_3846_4  414_5677_1  458_495_0  108.0800  0.000  1  108.0800  0.000  1  108.0800  0.000  1  107.2485  1.126  4  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:4:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[6]-4:C[5]-4:H-1:  C[6]-4:  449_3846_3  414_5692_1  458_495_0  106.6880  0.000  1  106.6880  0.000  1  107.4410  1.134  2  107.2485  1.126  4  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:4:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[6]-4:C[5]-4:H-1:  C[6]-4:  449_3846_2  414_5693_1  458_495_0  108.1940  0.000  1  108.1940  0.000  1  107.4410  1.134  2  107.2485  1.126  4  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:1:1:  4:4:4:1:  4:  C[5,6]-4:C[6]-4:Cl-1:H-1:  C[5,6]-4:C[6]-4:N[5]-4:H-1:  C[6]-4:  449_4298_2  414_6026_1  458_495_0  106.0320  0.000  1  106.0320  0.000  1  106.0320  0.000  1  107.2485  1.126  4  108.9008  3.138  29  109.2077  3.595  39  
466  474  790  0:SP3_SP-NON_SP3  C[6]  C[5,6]  Cl  4:4:4:1:  4:4:4:1:  4:  C[5,6]-4:C[6]-4:C-4:Cl-1:  C[5,6]-4:C[5]-4:C[6]-4:H-1:  C[6]-4:  449_3831_1  414_5679_1  458_493_0  105.1290  0.503  2  105.1290  0.253  2  105.1290  0.253  2  105.1290  0.253  2  108.9008  3.138  29  109.2077  3.595  39  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  3:4:2:1:  4:4:2:1:  3:4:3:  N[5a]-3:C[5,6]-4:O[6]-2:H-1:  C[5,6]-4:C[6]-4:O[5]-2:H-1:  C[5a,6a]-3:C[6]-4:C[5a]-3:  449_31520_1  414_4926_1  655_1604_2  113.3390  0.000  1  113.3390  0.000  1  113.3390  0.000  1  113.3390  0.000  1  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  3:4:3:1:  4:4:4:1:  4:3:2:  C[6,6a]-3:C[5,6]-4:N[5a]-3:H-1:  C[6]-4:C[5,6]-4:C[5]-4:H-1:  C[6]-4:C[5a]-3:N[5a]-2:  449_11520_1  414_8020_1  655_3693_1  111.8210  0.180  2  112.2553  0.582  3  112.2553  0.582  3  112.2553  0.582  3  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  3:4:3:1:  4:4:4:1:  4:3:2:  C[6,6a]-3:C[5,6]-4:N[5a]-3:H-1:  C[6]-4:C[5,6]-4:C[5]-4:H-1:  C[6]-4:C[5a]-3:N[5a]-2:  449_11520_1  414_8020_1  655_3693_2  113.1240  0.000  1  112.2553  0.582  3  112.2553  0.582  3  112.2553  0.582  3  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  4:3:2:1:  3:4:2:1:  3:4:3:  C[5,6]-4:N[5a]-3:O[6]-2:H-1:  N[5,5,6]-3:C[6]-4:O[5]-2:H-1:  C[5a,6a]-3:C[6]-4:C[5a]-3:  449_5571_1  414_8177_1  655_1604_1  111.6840  1.410  2  111.6840  1.988  2  111.6840  1.988  2  111.6840  1.988  2  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  4:3:4:1:  4:2:4:1:  4:2:2:  C[5,6]-4:N[5a]-3:C[6]-4:H-1:  C[6]-4:O[5,6]-2:C[5]-4:H-1:  C[6]-4:N[5a]-2:N[5a]-2:  449_5896_1  414_8150_3  655_3690_1  109.4530  0.624  3  109.4530  0.389  3  109.4530  0.389  3  109.4530  0.389  3  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  4:3:4:1:  4:2:4:1:  4:3:2:  C[5,6]-4:N[5a]-3:C[6]-4:H-1:  C[6]-4:O[5,6]-2:C[5]-4:H-1:  C[6]-4:C[5a]-3:N[5a]-2:  449_5895_1  414_8150_1  655_3688_2  107.7770  0.000  1  110.2225  11.961  2  110.2225  11.961  2  110.2225  11.961  2  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  4:3:4:1:  4:2:4:1:  4:3:2:  C[5,6]-4:N[5a]-3:C[6]-4:H-1:  C[6]-4:O[5,6]-2:C[5]-4:H-1:  C[6]-4:C[5a]-3:N[5a]-2:  449_5895_2  414_8150_2  655_3688_1  112.6680  0.000  1  110.2225  11.961  2  110.2225  11.961  2  110.2225  11.961  2  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  0:SP3_SP2_SP3  C[6]  C[5,6]  N[5a]  4:4:3:1:  4:4:2:1:  4:3:3:  C[5,6]-4:C[6]-4:N[5a]-3:H-1:  C[5,6]-4:C[6]-4:O[5]-2:H-1:  C[6]-4:C[5a]-3:N[5a]-3:  449_4450_1  414_2799_1  655_3689_1  112.2670  0.000  1  112.2670  0.000  1  112.2670  0.000  1  112.2670  0.000  1  111.2120  3.316  12  111.2120  3.316  12  
466  474  813  6:SP3_SP2_SP3  C[6]  C[5,6]  N[5a,6]  3:4:1:1:  3:4:4:1:  3:4:2:  N[5a,6]-3:C[5,6]-4:H-1:H-1:  N[5,6]-3:C[6]-4:C[5]-4:H-1:  C[5a,6]-3:C[6]-4:N[5a]-2:  449_31363_1  414_8559_1  652_311_1  106.4690  0.000  1  106.4690  0.000  1  106.4690  0.000  1  106.4690  0.000  1  107.9513  3.877  9  107.9513  3.877  9  
466  474  813  6:SP3_SP2_SP3  C[6]  C[5,6]  N[5a,6]  3:4:1:1:  4:4:2:2:  3:4:3:  N[5a,6]-3:C[5,6]-4:H-1:H-1:  C[6]-4:C[5]-4:O[5]-2:O[6]-2:  C[5a,6]-3:C[6]-4:C[5a]-3:  449_31312_1  414_8149_1  652_216_1  110.2130  0.000  1  110.2130  0.000  1  110.2130  0.000  1  110.2130  0.000  1  107.9513  3.877  9  107.9513  3.877  9  
466  474  813  6:SP3_SP2_SP3  C[6]  C[5,6]  N[5a,6]  3:4:1:1:  4:4:4:1:  3:3:4:  N[5a,6]-3:C[5,6]-4:H-1:H-1:  C[5,6]-4:C[6]-4:C[5]-4:H-1:  C[5a,6a]-3:C[5a,6]-3:C[6]-4:  449_31414_1  414_4825_1  652_369_1  111.2090  0.000  1  111.2090  0.000  1  111.2090  0.000  1  111.2090  0.000  1  107.9513  3.877  9  107.9513  3.877  9  
