972	466	474	4:4:3:	3:3:1:1:	4:3:3:3:	C[5,6]-4:C[6]-4:C[6a]-3:	C[6,6a]-3:N[6]-3:H-1:H-1:	C[5]-4:N[5]-3:N[6]-3:C[6]-3:	N[6](C[5,6]C[5]C[6]N[5])(C[6]C[6,6a]HH)(C[6a]C[6a]2)	C[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5,6]C[6a])(H)2	C[5,6](C[5]C[6a]C[5]H)(N[5]C[6a]N[5])(N[6]C[6a]C[6])(C[6]C[6,6a]O)	N[6](C[5,6]C[5]C[6]N[5])(C[6]C[6,6a]HH)(C[6a]C[6a]2){1|N<2>,1|O<1>,3|H<1>,7|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5,6]C[6a])(H)2{1|C<4>,1|H<1>,1|N<3>,5|C<3>}	C[5,6](C[5]C[6a]C[5]H)(N[5]C[6a]N[5])(N[6]C[6a]C[6])(C[6]C[6,6a]O){2|H<1>,9|C<3>}	113.7030	0.000	1	113.7030	0.000	1     113.7030       0.000      1      113.7030     0.000     1
972	466	474	4:4:3:	3:3:4:1:	4:3:3:4:	C[5,6]-4:C[6]-4:C-3:	C[6,6a]-3:N[6]-3:C-4:H-1:	C[5,6]-4:C[5,6a]-3:N[6]-3:C-4:	N[6](C[5,6]C[5,6a]C[5,6]C)(C[6]C[6,6a]CH)(COO)	C[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5,6]C)(CCHH)(H)	C[5,6](C[5,6]C[6,6a]C[5]Br)(C[5,6a]C[5,6a]C[6a])(N[6]C[6]C)(CH3)	N[6](C[5,6]C[5,6a]C[5,6]C)(C[6]C[6,6a]CH)(COO){1|Br<1>,1|C<4>,4|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5,6]C)(CCHH)(H){1|H<1>,2|C<4>,3|C<3>}	C[5,6](C[5,6]C[6,6a]C[5]Br)(C[5,6a]C[5,6a]C[6a])(N[6]C[6]C)(CH3){1|C<4>,1|O<2>,3|H<1>,4|C<3>}	122.7010	0.000	1	122.7010	0.000	1     122.7010       0.000      1      122.7010     0.000     1
972	466	474	4:4:3:	3:4:1:1:	3:3:4:3:	C[5,6,6]-4:C[6]-4:C[6]-3:	N[6,6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:N[6,6]-3:C[5]-4:N[6]-3:	N[6,6](C[5,6,6]N[5,6]C[5]N[6])(C[6]C[6]HH)(C[6]N[6]O)	C[6](N[6,6]C[5,6,6]C[6])(C[6]C[6]HH)(H)2	C[5,6,6](N[5,6]C[5]C[6])(N[6,6]C[6]2)(C[5]C[5]HH)(N[6]C[6]C)	N[6,6](C[5,6,6]N[5,6]C[5]N[6])(C[6]C[6]HH)(C[6]N[6]O){1|C<3>,4|H<1>,5|C<4>}	C[6](N[6,6]C[5,6,6]C[6])(C[6]C[6]HH)(H)2{1|C<4>,1|O<1>,2|H<1>,3|N<3>}	C[5,6,6](N[5,6]C[5]C[6])(N[6,6]C[6]2)(C[5]C[5]HH)(N[6]C[6]C){1|C<4>,1|N<3>,2|O<1>,8|H<1>}	114.3960	0.286	6	114.3960	0.286	6     114.3960       0.286      6      114.3960     0.286     6
972	466	474	4:4:3:	3:4:1:1:	3:4:3:1:	C[5,6]-4:C[6]-4:C-3:	N[6]-3:C[6]-4:H-1:H-1:	C[5,6]-3:C[5]-4:N[6]-3:H-1:	N[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(COO)	C[6](N[6]C[5,6]C)(C[6]C[6]HO)(H)2	C[5,6](C[5,6]C[5,6a]C[6])(C[5]C[5,6a]HH)(N[6]C[6]C)(H)	N[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(COO){1|O<2>,3|C<3>,3|H<1>}	C[6](N[6]C[5,6]C)(C[6]C[6]HO)(H)2{1|C<3>,1|C<4>,2|H<1>}	C[5,6](C[5,6]C[5,6a]C[6])(C[5]C[5,6a]HH)(N[6]C[6]C)(H){1|C<4>,2|C<3>,3|H<1>}	119.7700	0.000	1	119.7700	0.000	1     119.7700       0.000      1      119.7700     0.000     1
972	466	474	4:4:3:	3:4:1:1:	3:4:3:3:	C[5,6,6]-4:C[6]-4:C-3:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:C[6,6]-4:C[5]-3:N[6]-3:	N[6](C[5,6,6]C[6,6]N[5,6]C[5])(C[6]C[6]HH)(CCO)	C[6](N[6]C[5,6,6]C)(C[6]C[6]HH)(H)2	C[5,6,6](N[5,6]C[5,6a]C[6])(C[6,6]C[6]2C)(C[5]C[5,6a]O)(N[6]C[6]C)	N[6](C[5,6,6]C[6,6]N[5,6]C[5])(C[6]C[6]HH)(CCO){1|O<1>,2|H<1>,3|C<3>,3|C<4>}	C[6](N[6]C[5,6,6]C)(C[6]C[6]HH)(H)2{1|C<3>,1|C<4>,1|N<3>,2|H<1>}	C[5,6,6](N[5,6]C[5,6a]C[6])(C[6,6]C[6]2C)(C[5]C[5,6a]O)(N[6]C[6]C){1|O<1>,2|C<3>,2|C<4>,6|H<1>}	119.6120	0.000	1	119.6120	0.000	1     119.6120       0.000      1      119.6120     0.000     1
972	466	474	4:4:3:	3:4:1:1:	3:4:3:4:	C[5,6]-4:C[6]-4:C-3:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:C[5]-4:N[6]-3:C-4:	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO)	C[6](N[6]C[5,6]C)(C[6]C[6]CC)(H)2	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HH)(N[6]C[6]C)(CH3)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO){1|C<3>,2|H<1>,4|C<4>}	C[6](N[6]C[5,6]C)(C[6]C[6]CC)(H)2{1|N<3>,2|C<4>,2|H<1>}	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HH)(N[6]C[6]C)(CH3){1|C<4>,1|O<1>,6|H<1>}	116.5290	0.000	1	116.5290	0.000	1     116.8815       0.499      2      116.8815     0.499     2
972	466	474	4:4:3:	3:4:1:1:	3:4:3:4:	C[5,6]-4:C[6]-4:C-3:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:C[5]-4:N[6]-3:C-4:	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO)	C[6](N[6]C[5,6]C)(C[6]C[6]HH)(H)2	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HH)(N[6]C[6]C)(CH3)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO){1|C<3>,2|C<4>,4|H<1>}	C[6](N[6]C[5,6]C)(C[6]C[6]HH)(H)2{1|N<3>,2|C<4>,2|H<1>}	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HH)(N[6]C[6]C)(CH3){1|C<4>,1|O<1>,6|H<1>}	117.2340	0.000	1	117.2340	0.000	1     116.8815       0.499      2      116.8815     0.499     2
972	466	474	4:4:3:	3:4:1:1:	4:3:2:3:	C[5]-4:C[6]-4:C[6]-3:	N[6]-3:C[6]-4:H-1:H-1:	C[5]-4:N[6]-3:O[5]-2:C-3:	N[6](C[5]C[5]O[5]C)(C[6]C[6]HH)(C[6]C[6]O)	C[6](N[6]C[5]C[6])(C[6]C[6]HH)(H)2	C[5](C[5]C[5]HH)(N[6]C[6]2)(O[5]C[5])(COO)	N[6](C[5]C[5]O[5]C)(C[6]C[6]HH)(C[6]C[6]O){1|C<3>,2|C<4>,6|H<1>}	C[6](N[6]C[5]C[6])(C[6]C[6]HH)(H)2{1|C<3>,1|O<1>,1|O<2>,2|C<4>,2|H<1>}	C[5](C[5]C[5]HH)(N[6]C[6]2)(O[5]C[5])(COO){2|C<4>,2|O<1>,4|H<1>}	118.9020	0.000	1	118.9020	0.000	1     118.9020       0.000      1      118.9020     0.000     1
972	466	474	4:4:3:	3:4:1:1:	4:3:3:1:	C[5,6]-4:C[6]-4:N-3:	N[6]-3:C[6]-4:H-1:H-1:	C[5,6]-4:N[5]-3:N[6]-3:H-1:	N[6](C[5,6]C[5,6]N[5]H)(C[6]C[6]HH)(NOO)	C[6](N[6]C[5,6]N)(C[6]N[6]HH)(H)2	C[5,6](C[5,6]N[5]N[6]H)(N[5]C[5]H)(N[6]C[6]N)(H)	N[6](C[5,6]C[5,6]N[5]H)(C[6]C[6]HH)(NOO){1|C<3>,2|N<3>,4|H<1>}	C[6](N[6]C[5,6]N)(C[6]N[6]HH)(H)2{1|C<4>,1|H<1>,2|N<3>}	C[5,6](C[5,6]N[5]N[6]H)(N[5]C[5]H)(N[6]C[6]N)(H){1|C<4>,1|O<1>,2|H<1>,2|N<3>}	116.9270	0.000	1	116.9270	0.000	1     120.2105       4.644      2      120.2105     4.644     2
972	466	474	4:4:3:	3:4:1:1:	4:3:3:1:	C[5,6]-4:C[6]-4:N-3:	N[6]-3:C[6]-4:H-1:H-1:	C[5,6]-4:N[5]-3:N[6]-3:H-1:	N[6](C[5,6]C[5,6]N[5]H)(C[6]C[6]HH)(NOO)	C[6](N[6]C[5,6]N)(C[6]N[6]HH)(H)2	C[5,6](C[5,6]N[5]N[6]H)(N[5]C[5]N)(N[6]C[6]N)(H)	N[6](C[5,6]C[5,6]N[5]H)(C[6]C[6]HH)(NOO){1|C<3>,3|H<1>,3|N<3>}	C[6](N[6]C[5,6]N)(C[6]N[6]HH)(H)2{1|C<4>,1|H<1>,2|N<3>}	C[5,6](C[5,6]N[5]N[6]H)(N[5]C[5]N)(N[6]C[6]N)(H){1|C<4>,1|N<3>,1|O<1>,3|H<1>}	123.4940	0.000	1	123.4940	0.000	1     120.2105       4.644      2      120.2105     4.644     2
972	466	474	4:4:3:	3:4:1:1:	4:4:3:1:	C[5,3x6]-4:C[6,6]-4:C-3:	N[6,6]-3:C[3x6]-4:H-1:H-1:	C[5,6,6]-4:C[5,6,6]-4:N[6,6]-3:H-1:	N[6,6](C[5,3x6]C[5,6,6]2H)(C[6,6]C[3x6]HH)(COO)	C[6,6](N[6,6]C[5,3x6]C)(C[3x6]C[6,6]2H)(H)2	C[5,3x6](C[5,6,6]C[6,6]C[5]H)(C[5,6,6]C[6,6]O[5]H)(N[6,6]C[6,6]C)(H)	N[6,6](C[5,3x6]C[5,6,6]2H)(C[6,6]C[3x6]HH)(COO){1|C<3>,1|O<2>,2|C<4>,3|H<1>}	C[6,6](N[6,6]C[5,3x6]C)(C[3x6]C[6,6]2H)(H)2{1|Br<1>,2|C<4>,4|H<1>}	C[5,3x6](C[5,6,6]C[6,6]C[5]H)(C[5,6,6]C[6,6]O[5]H)(N[6,6]C[6,6]C)(H){1|Br<1>,1|C<4>,1|O<1>,5|H<1>}	116.1500	0.000	1	116.1500	0.000	1     116.1500       0.000      1      116.8392     4.127     5
