762  856  951  0:SP2_SP-NON_SP2  C[6]  N[3x6]  H  3:3:1:  6:4:3:  3:  C[6,6a]-3:N[3x6]-3:H-1:  Ga[6x6]-6:C[6,6]-4:C[6]-3:  C[6]-3:  449_12730_1  616_95_1  567_6347_0  117.4037  0.185  3  117.4037  0.034  3  117.4037  0.034  3  117.0348  0.274  5  118.1346  1.287  14  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[3x6]  H  3:3:1:  6:4:3:  3:  C[6,6a]-3:N[3x6]-3:H-1:  In[6x6]-6:C[6,6]-4:C[6]-3:  C[6]-3:  449_12731_1  616_97_1  567_6347_0  116.4815  0.088  2  116.4815  0.008  2  116.4815  0.008  2  117.0348  0.274  5  118.1346  1.287  14  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[3x6]  H  3:3:1:  7:3:3:  3:  N[3x6]-3:C[6]-3:H-1:  Nb[3,3,3x6]-7:C[3x6]-3:C[6]-3:  C[6]-3:  449_30639_1  616_98_1  567_6486_0  118.1060  0.204  4  118.1060  0.042  4  118.1060  0.042  4  118.1060  0.042  4  118.1346  1.287  14  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[5a,6,6]-3:C[6]-3:C[6]-3:  C[6]-3:  449_31652_1  658_190_1  567_6557_0  117.6610  0.000  1  117.6610  0.000  1  117.6610  0.000  1  117.6610  0.000  1  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:4:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[6,6]-3:B[6]-4:C[6]-3:  C[6]-3:  449_31682_1  658_393_1  567_6557_0  116.4970  0.000  1  116.8877  0.102  7  116.8877  0.102  7  116.5355  1.080  8  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:4:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[6,6]-3:B[6]-4:C[6]-3:  C[6]-3:  449_31682_1  658_393_2  567_6557_0  117.1322  0.128  4  116.8877  0.102  7  116.8877  0.102  7  116.5355  1.080  8  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:4:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[6,6]-3:B[6]-4:C[6]-3:  C[6]-3:  449_31682_2  658_393_1  567_6557_0  116.5780  0.000  1  116.8877  0.102  7  116.8877  0.102  7  116.5355  1.080  8  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:4:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[6,6]-3:B[6]-4:C[6]-3:  C[6]-3:  449_31682_3  658_393_1  567_6557_0  116.6100  0.000  1  116.8877  0.102  7  116.8877  0.102  7  116.5355  1.080  8  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  3:4:3:  3:  N[6,6]-3:N[6]-2:H-1:  C[6,6]-3:C[6]-4:C[6]-3:  C[6]-3:  449_31770_1  658_274_1  567_6557_0  114.0700  0.000  1  114.0700  0.000  1  114.0700  0.000  1  116.5355  1.080  8  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_6  658_25_1  567_6557_0  116.7516  0.111  5  116.7516  0.012  5  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_4  658_28_1  567_6557_0  116.6645  0.132  2  116.4762  0.054  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_2  658_28_1  567_6557_0  116.3250  0.000  1  116.4762  0.054  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_5  658_28_1  567_6557_0  116.2510  0.000  1  116.4762  0.054  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_4  658_34_1  567_6557_0  116.9710  0.000  1  116.5658  0.081  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_2  658_34_1  567_6557_0  116.4255  0.156  2  116.5658  0.081  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
762  856  951  0:SP2_SP-NON_SP2  C[6]  N[6,6]  H  3:2:1:  4:3:3:  3:  N[6,6]-3:N[6]-2:H-1:  B[6]-4:C[6,6]-3:C[6]-3:  C[6]-3:  449_31682_5  658_34_1  567_6557_0  116.4410  0.000  1  116.5658  0.081  4  116.6097  0.053  13  116.6097  0.053  13  118.4918  2.453  311  119.1973  2.651  12865  
