486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:1:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:H-1:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CH3)2	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CH3)2{1|C<4>,2|O<2>}	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	114.0870	0.000	1	114.0870	0.000	1	115.0341	0.677	8	114.9051	0.742	9	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:1:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:H-1:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]C[6,6]O[3]H)(O[3]C[3])(CH3)2	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]C[6,6]O[3]H)(O[3]C[3])(CH3)2{1|H<1>,2|C<4>}	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	115.0480	0.000	1	115.0480	0.000	1	115.0341	0.677	8	114.9051	0.742	9	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:1:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:H-1:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]O[3]CC)(O[3]C[3])(CH3)2	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]O[3]CC)(O[3]C[3])(CH3)2{}	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	113.9020	0.000	1	113.9020	0.000	1	115.0341	0.677	8	114.9051	0.742	9	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:1:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:H-1:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]O[3]CH)(O[3]C[3])(CH3)2	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]O[3]CH)(O[3]C[3])(CH3)2{}	C(C[3]C[3]O[3]C)(H)3	C(C[3]C[3]O[3]C)(H)3	115.4472	0.207	5	115.4472	0.207	5	115.0341	0.677	8	114.9051	0.742	9	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:2:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:O-2:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CHHO)(CH3)	C(C[3]C[3]O[3]C)(OH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CHHO)(CH3){1|C<4>,1|H<1>,1|N<3>}	C(C[3]C[3]O[3]C)(OH)(H)2	C(C[3]C[3]O[3]C)(H)3	117.0570	0.000	1	117.0570	0.000	1	117.0570	0.000	1	117.0570	0.000	1	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3,5]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3,5]C[5]2O[3])(O[3]C[3,5])(CCHH)(CH3)	C(C[3]C[3,5]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3,5]O[3]C)(H)3	C[3](C[3,5]C[5]2O[3])(O[3]C[3,5])(CCHH)(CH3){1|C<4>,2|C<3>,2|H<1>}	C(C[3]C[3,5]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3,5]O[3]C)(H)3	111.3394	0.460	5	111.5500	0.660	6	111.5500	0.660	6	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3,5]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3,5]C[5]2O[3])(O[3]C[3,5])(CCHH)(CH3)	C(C[3]C[3,5]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3,5]O[3]C)(H)3	C[3](C[3,5]C[5]2O[3])(O[3]C[3,5])(CCHH)(CH3){3|C<4>,3|H<1>}	C(C[3]C[3,5]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3,5]O[3]C)(H)3	112.6030	0.000	1	111.5500	0.660	6	111.5500	0.660	6	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3,6]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3,6]C[6]2O[3])(O[3]C[3,6])(CCHH)(CH3)	C(C[3]C[3,6]O[3]C)(CCHH)(H)2	C(C[3]C[3,6]O[3]C)(H)3	C[3](C[3,6]C[6]2O[3])(O[3]C[3,6])(CCHH)(CH3){3|C<4>,3|H<1>}	C(C[3]C[3,6]O[3]C)(CCHH)(H)2	C(C[3]C[3,6]O[3]C)(H)3	113.1440	2.116	3	113.1440	2.116	3	113.1440	2.116	3	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CCHH)(CH3)	C(C[3]C[3]O[3]C)(CCHH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CCHH)(CH3){1|C<4>,1|H<1>,1|O<2>}	C(C[3]C[3]O[3]C)(CCHH)(H)2	C(C[3]C[3]O[3]C)(H)3	116.3331	0.480	18	116.3331	0.480	18	116.1080	0.928	62	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CCHH)(CH3)	C(C[3]C[3]O[3]C)(CC[3]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]C[5]O[3]H)(O[3]C[3])(CCHH)(CH3){1|C<4>,1|H<1>,1|O<2>}	C(C[3]C[3]O[3]C)(CC[3]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	116.8674	0.400	8	116.8674	0.400	8	116.1080	0.928	62	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3)	C(C[3]C[3]O[3]C)(CCHH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3){}	C(C[3]C[3]O[3]C)(CCHH)(H)2	C(C[3]C[3]O[3]C)(H)3	115.3894	1.142	13	115.3894	1.142	13	116.1080	0.928	62	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3)	C(C[3]C[3]O[3]C)(CC[3]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3){}	C(C[3]C[3]O[3]C)(CC[3]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	115.6883	0.599	17	115.6883	0.599	17	116.1080	0.928	62	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
486	490	490	0:SP3_SP3_SP3	C[3]	C	C	4:2:4:4:	4:4:1:1:	4:1:1:1:	C[3]-4:O[3]-2:C-4:C-4:	C[3]-4:C-4:H-1:H-1:	C[3]-4:H-1:H-1:H-1:	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3)	C(C[3]C[3]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	C[3](C[3]O[3]CH)(O[3]C[3])(CCHH)(CH3){}	C(C[3]C[3]O[3]C)(CC[5]HH)(H)2	C(C[3]C[3]O[3]C)(H)3	117.5557	0.744	3	117.5557	0.744	3	116.1080	0.928	62	115.6799	1.661	80	114.5092	1.765	280	114.5092	1.765	280
