991	963	974	3:3:1:1:	4:	3:3:4:	C[6a]-3:N[6a]-3:O-1:O-1:	S-4:	C[6a]-3:C[6a]-3:S-4:	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]H)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6a]C[6a]2)(O)2	O(SC[6a]N[6a]O)	N[6a](C[6a]C[6a,6a]O)(C[6a]N[6a]H)(SC[6a]OO){2|C<3>}	105.1745	1.049	2	105.1745	1.049	2     105.7443       1.619      6      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[5a,6]-3:C[6,6a]-3:S-4:	S(N[6]C[5a,6]C[6,6a])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6a]C[6,6a]C[6a])(SC[6a]OO)	S(N[6]C[5a,6]C[6,6a])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6a]C[6,6a]C[6a])(SC[6a]OO){1|C<4>,2|H<1>,4|C<3>}	106.2845	1.515	2	106.2845	1.515	2     106.2845       1.515      2      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[5,6]-3:S-4:	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO)	S(N[6]C[6,6a]C[5,6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[3,5,6]N[5])(SC[6a]OO){1|H<1>,2|C<4>,4|C<3>}	106.2945	0.566	2	106.2945	0.566	2     106.2945       0.566      2      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-3:S-4:	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(SC[6a]OO)	S(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(SC[6a]OO){1|N<3>,2|C<3>,3|H<1>}	106.6422	0.659	10	106.6422	0.659	10     106.6422       0.659      10      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:3:4:	N[6a]-3:C-3:O-1:O-1:	S-4:	C[6a]-3:C[6a]-3:S-4:	S(N[6a]C[6a]2)(CCH)(O)2	O(SN[6a]CO)	N[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(SCOO)	S(N[6a]C[6a]2)(CCH)(O)2	O(SN[6a]CO)	N[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(SCOO){1|C<3>,2|H<1>}	105.0850	1.871	2	105.0850	1.871	2     105.0850       1.871      2      106.1997     1.369     38
991	963	974	3:3:1:1:	4:	3:4:2:	N[6]-3:C[6a]-3:O-1:O-1:	S-4:	C[6]-3:S-4:N[6]-2:	S(N[6]C[6]N[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(SC[6a]OO)(N[6]C[6])	S(N[6]C[6]N[6])(C[6a]C[6a]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6a]N[6])(SC[6a]OO)(N[6]C[6]){1|N<3>,3|C<3>}	106.4023	1.697	6	106.4023	1.697	6     106.4023       1.697      6      106.4023     1.697     6
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(C[6a]C[6a,6a]C[6a])(N[6]C[6,6a]C[6])(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a,6a]C[6a])(N[6]C[6,6a]C[6])(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(SC[6a]OO){1|C<4>,1|O<2>,2|C<3>,2|H<1>}	108.1175	0.500	2	108.0326	0.972	8     108.0326       0.972      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6,6a]-3:C[6]-4:S-4:	S(C[6a]C[6a,6a]C[6a])(N[6]C[6,6a]C[6])(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a,6a]C[6a])(N[6]C[6,6a]C[6])(O)2	O(SC[6a]N[6]O)	N[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(SC[6a]OO){1|Si<4>,1|C<4>,2|C<3>,2|H<1>}	108.0043	1.127	6	108.0326	0.972	8     108.0326       0.972      8      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[5,6,6]H)(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[5,6,6]H)(C[6]C[6]HH)(SC[6a]OO){2|C<4>,2|H<1>}	107.1555	0.315	2	107.1555	0.315	2     106.7673       1.521      12      106.8291     1.211     132
991	963	974	3:3:1:1:	4:	3:4:4:	C[6a]-3:N[6]-3:O-1:O-1:	S-4:	C[6]-3:C[6]-4:S-4:	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]C[6a])(C[6]C[6]HH)(SC[6a]OO)	S(C[6a]C[6a]2)(N[6]C[6]2)(O)2	O(SC[6a]N[6]O)	N[6](C[6]C[6,6]C[6a])(C[6]C[6]HH)(SC[6a]OO){1|C<4>,2|H<1>,3|C<3>}	107.7630	2.285	2	107.7630	2.285	2     106.7673       1.521      12      106.8291     1.211     132
