818	466	542	3:3:4:	3:2:1:1:	3:3:4:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[5a,6]-3:C[6]-4:	C[5a,6](N[5a,6]C[5a,6]C[6])(C[5a]C[5a,6]H)(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2	N[5a,6](C[5a,6]C[5a,6]C[6,6a])(C[5a,6]C[5a]C[6])(C[6]C[6]HH)	C[5a,6](N[5a,6]C[5a,6]C[6])(C[5a]C[5a,6]H)(C[6]O[6]HH){1|C<3>,2|C<4>,2|H<1>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2{1|C<4>,2|C<3>,3|H<1>}	N[5a,6](C[5a,6]C[5a,6]C[6,6a])(C[5a,6]C[5a]C[6])(C[6]C[6]HH){1|C<4>,1|O<2>,2|C<3>,5|H<1>}	120.2760	0.000	1	120.2760	0.000	1     120.2760       0.000      1      124.5690     3.730     3
818	466	542	3:3:4:	3:2:1:1:	3:4:2:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[6]-4:N[5a]-2:	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[5a]H)(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]HH)(N[5a]C[5a])	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[5a]H)(C[6]O[6]HH){1|C<3>,1|C<4>,2|H<1>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2{1|C<4>,1|N<2>,2|C<3>,2|H<1>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]HH)(N[5a]C[5a]){1|O<2>,2|C<3>,4|H<1>}	119.3570	0.000	1	119.3570	0.000	1     118.9140       0.586      5      118.9140     0.586     5
818	466	542	3:3:4:	3:2:1:1:	3:4:2:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[6]-4:N[5a]-2:	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6a]C[6]H)(N[5a]N[5a])	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]HH){1|C<4>,1|H<1>,3|C<3>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2{1|C<3>,1|C<4>,2|H<1>,2|N<2>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6a]C[6]H)(N[5a]N[5a]){1|O<2>,3|C<3>,4|H<1>}	119.1680	0.000	1	118.9560	0.300	2     118.9140       0.586      5      118.9140     0.586     5
818	466	542	3:3:4:	3:2:1:1:	3:4:2:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[6]-4:N[5a]-2:	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6a]C[6]H)(N[5a]N[5a])	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]HH){1|C<4>,1|H<1>,3|C<3>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2{1|C<4>,1|H<1>,2|C<3>,2|N<2>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6a]C[6]H)(N[5a]N[5a]){1|O<2>,3|H<1>,4|C<3>}	118.7440	0.000	1	118.9560	0.300	2     118.9140       0.586      5      118.9140     0.586     5
818	466	542	3:3:4:	3:2:1:1:	3:4:2:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[6]-4:N[5a]-2:	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]N[5a]H)(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]HH)(N[5a]N[5a])	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]N[5a]H)(C[6]O[6]HH){1|C<4>,2|H<1>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(H)2{2|C<4>,2|H<1>,2|N<2>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]HH)(N[5a]N[5a]){1|C<4>,1|O<2>,4|H<1>}	118.6505	0.972	2	118.6505	0.972	2     118.9140       0.586      5      118.9140     0.586     5
818	466	542	3:3:4:	3:2:1:1:	3:4:3:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:H-1:H-1:	C[5a,6]-3:C[6]-4:C[5a]-3:	C[5a,6](N[5a,6]C[5a]C[6])(C[5a]C[5a]H)(C[6]O[6]HH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[5,6])(H)2	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[5,6]HH)(C[5a]C[5a]C)	C[5a,6](N[5a,6]C[5a]C[6])(C[5a]C[5a]H)(C[6]O[6]HH){1|C<3>,1|C<4>,3|H<1>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[5,6])(H)2{1|H<1>,1|O<2>,2|C<3>,2|C<4>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[5,6]HH)(C[5a]C[5a]C){1|C<4>,2|O<2>,4|H<1>}	119.6665	0.306	2	119.6665	0.306	2     119.6665       0.306      2      119.6665     0.306     2
818	466	542	3:3:4:	3:2:4:1:	3:4:2:	N[5a,6]-3:C[5a]-3:C[6]-4:	C[5a,6]-3:O[6]-2:C-4:H-1:	C[5a,6]-3:C[6]-4:N[5a]-2:	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]CH)	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(CCCH)(H)	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]CH)(N[5a]N[5a])	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]C[6a]N[5a])(C[6]O[6]CH){1|C<4>,1|H<1>,3|C<3>}	C[6](C[5a,6]N[5a,6]C[5a])(O[6]C[6])(CCCH)(H){1|C<3>,1|C<4>,2|H<1>,2|N<2>}	N[5a,6](C[5a,6]C[5a]C[6])(C[6]C[6]CH)(N[5a]N[5a]){1|C<3>,1|C<4>,1|O<2>,3|H<1>}	120.6570	0.330	2	120.6570	0.330	2     120.6570       0.330      2      120.6570     0.330     2
818	466	542	3:3:4:	3:3:1:1:	3:3:1:	C[5a,6]-3:N[5a]-3:C[6]-4:	C[5a,6]-3:C[6]-3:H-1:H-1:	C[5a,6]-3:C[5a]-3:H-1:	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[5a]H)(C[6]C[6]HH)	C[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6]H)(H)2	N[5a](C[5a,6]C[5a,6]C[6])(C[5a]C[5a]C)(H)	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[5a]H)(C[6]C[6]HH){1|C<3>,1|C<4>,4|H<1>}	C[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6]H)(H)2{1|C<4>,2|C<3>,2|H<1>}	N[5a](C[5a,6]C[5a,6]C[6])(C[5a]C[5a]C)(H){1|C<3>,1|C<4>,3|H<1>}	126.0750	0.000	1	126.0750	0.000	1     126.0750       0.000      1      126.0750     0.000     1
818	466	542	3:3:4:	3:3:1:1:	3:3:3:	N[5a,6a]-3:C[5a,6]-3:C[6]-4:	C[5a,6]-3:C[6,6a]-3:H-1:H-1:	C[5a,6a]-3:C[5a,6]-3:C[6a]-3:	C[5a,6](N[5a,6a]C[5a,6a]C[6a])(C[5a,6]N[5a]O[6])(C[6]C[6,6a]HH)	C[6](C[5a,6]N[5a,6a]C[5a,6])(C[6,6a]C[6,6a]C[6a])(H)2	N[5a,6a](C[5a,6a]C[6a,6a]N[5a])(C[5a,6]C[5a,6]C[6])(C[6a]C[6a]H)	C[5a,6](N[5a,6a]C[5a,6a]C[6a])(C[5a,6]N[5a]O[6])(C[6]C[6,6a]HH){1|H<1>,4|C<3>}	C[6](C[5a,6]N[5a,6a]C[5a,6])(C[6,6a]C[6,6a]C[6a])(H)2{1|H<1>,1|N<2>,1|O<2>,4|C<3>}	N[5a,6a](C[5a,6a]C[6a,6a]N[5a])(C[5a,6]C[5a,6]C[6])(C[6a]C[6a]H){1|O<2>,3|C<3>,3|H<1>}	130.0180	0.000	1	130.0180	0.000	1     130.0180       0.000      1      130.0180     0.000     1
818	466	542	3:3:4:	3:3:1:1:	3:3:4:	C[5a,6]-3:N[5a]-3:C[6]-4:	C[5a,6]-3:C[6]-3:H-1:H-1:	C[5a,6a]-3:C[5a,6]-3:C-4:	C[5a,6](C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C)(C[6]C[6]HH)	C[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6]H)(H)2	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6])(CH3)	C[5a,6](C[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a]C)(C[6]C[6]HH){2|H<1>,4|C<3>}	C[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6]H)(H)2{1|H<1>,2|C<3>,2|C<4>}	N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6]C[5a,6]C[6])(CH3){1|C<4>,3|C<3>,3|H<1>}	123.7960	0.000	1	123.7960	0.000	1     123.7960       0.000      1      124.4180     1.302     6
