310	690	930	3:3:1:1:	4:	4:4:3:	C[6a]-3:C-3:H-1:H-1:	N-4:	N-4:C-4:C-3:	N(C[6a]C[6a]2)(CCC)(H)2	H(NC[6a]CH)	C(NC[6a]HH)(CH3)(CHH)	N(C[6a]C[6a]2)(CCC)(H)2	H(NC[6a]CH)	C(NC[6a]HH)(CH3)(CHH)	108.3040	0.000	1	108.3040	0.000	1     108.3040       0.000      1      108.3040     0.000     1
310	690	930	3:4:1:1:	4:	3:3:4:	C-3:C-4:H-1:H-1:	N-4:	C[6a]-3:C-3:N-4:	N(CC[6a]C)(CC3)(H)2	H(NCCH)	C(C[6a]C[6a]2)(CC[6a]2)(NCHH)	N(CC[6a]C)(CC3)(H)2	H(NCCH)	C(C[6a]C[6a]2)(CC[6a]2)(NCHH)	110.1325	1.080	2	110.1325	1.080	2     110.1325       1.080      2      110.1325     1.080     2
310	690	930	3:4:1:1:	4:	3:4:1:	C-3:C-4:H-1:H-1:	N-4:	C[6a]-3:N-4:H-1:	N(CC[6a]H)(CCHH)(H)2	H(NCCH)	C(C[6a]C[6a]2)(NCHH)(H)	N(CC[6a]H)(CCHH)(H)2	H(NCCH)	C(C[6a]C[6a]2)(NCHH)(H)	105.7855	0.057	2	105.7855	0.057	2     105.7855       0.057      2      105.7855     0.057     2
310	690	930	4:3:1:1:	4:	3:4:1:	C-4:C-3:H-1:H-1:	N-4:	C[5a]-3:N-4:O-1:	N(CC[5]HH)(CC[5a]O)(H)2	H(NCCH)	C(C[5a]C[5a]N[5a])(NCHH)(O)	N(CC[5]HH)(CC[5a]O)(H)2	H(NCCH)	C(C[5a]C[5a]N[5a])(NCHH)(O)	106.5645	0.021	2	106.5645	0.021	2     106.5645       0.021      2      106.5645     0.021     2
310	690	930	4:4:3:1:	4:	4:1:1:	C-4:C-4:C-3:H-1:	N-4:	N-4:H-1:H-1:	N(CCHH)2(CHH)(H)	H(NC3)	C(NCCH)(H)2	N(CCHH)2(CHH)(H)	H(NC3)	C(NCCH)(H)2	98.1332	0.000	1	98.1332	0.000	1     98.1332       0.000      1      98.1332     0.000     1
310	690	930	4:4:3:1:	4:	4:3:1:	C-4:C-4:C-3:H-1:	N-4:	N-4:N-3:O-1:	N(CCHH)2(CNO)(H)	H(NC3)	C(NCCH)(NCC)(O)	N(CCHH)2(CNO)(H)	H(NC3)	C(NCCH)(NCC)(O)	112.7990	0.000	1	112.7990	0.000	1     112.7990       0.000      1      112.7990     0.000     1
310	690	964	4:2:1:1:	4:	2:4:	C-4:H-2:H-1:H-1:	N-4:	O-2:N-4:	N(CCHH)(HO)(H)2	H(NCHH)	H(OC[6a])(NCHH)	N(CCHH)(HO)(H)2	H(NCHH)	H(OC[6a])(NCHH)	106.0277	2.799	4	106.0277	2.799	4     106.0277       2.799      4      106.0277     2.799     4
310	690	964	4:2:1:1:	4:	4:3:	C-4:H-2:H-1:H-1:	N-4:	N-4:O-3:	N(CCCH)(HO)(H)2	H(NCHH)	H(NCHH)(OHH)	N(CCCH)(HO)(H)2	H(NCHH)	H(NCHH)(OHH)	107.2970	6.590	2	107.2970	6.590	2     107.2970       6.590      2      107.2970     6.590     2
310	690	964	4:2:2:1:	4:	3:4:	C-4:H-2:H-2:H-1:	N-4:	O-3:N-4:	N(CCHH)(HO)2(H)	H(NCHH)	H(OC[6a]H)(NCHH)	N(CCHH)(HO)2(H)	H(NCHH)	H(OC[6a]H)(NCHH)	107.5060	1.764	2	107.5060	1.764	2     107.5060       1.764      2      107.5060     1.764     2
310	690	964	4:4:2:1:	4:	2:4:	C-4:C-4:H-2:H-1:	N-4:	O-2:N-4:	N(CCHH)2(HO)(H)	H(NCCH)	H(OC[6])(NCCH)	N(CCHH)2(HO)(H)	H(NCCH)	H(OC[6])(NCCH)	112.6110	0.000	1	112.6110	0.000	1     112.7000       0.126      2      112.7000     0.126     2
310	690	964	4:4:2:1:	4:	2:4:	C-4:C-4:H-2:H-1:	N-4:	O-2:N-4:	N(CCHH)2(HO)(H)	H(NCCH)	H(OC[6a])(NCCH)	N(CCHH)2(HO)(H)	H(NCCH)	H(OC[6a])(NCCH)	112.7890	0.000	1	112.7890	0.000	1     112.7000       0.126      2      112.7000     0.126     2
310	690	964	4:4:2:1:	4:	4:2:	C-4:C-4:H-2:H-1:	N-4:	N-4:O-2:	N(CCHH)2(HO)(H)	H(NCCH)	H(NCCH)(OP)	N(CCHH)2(HO)(H)	H(NCCH)	H(NCCH)(OP)	103.9440	0.000	1	103.9440	0.000	1     105.3026       2.553      5      105.3026     2.553     5
310	690	964	4:4:2:1:	4:	4:2:	C-4:C-4:H-2:H-1:	N-4:	N-4:O-2:	N(CC[6a]HH)2(HO)(H)	H(NCCH)	H(NCCH)(OC)	N(CC[6a]HH)2(HO)(H)	H(NCCH)	H(NCCH)(OC)	105.6423	2.814	4	105.6423	2.814	4     105.3026       2.553      5      105.3026     2.553     5
310	690	964	4:4:2:1:	4:	4:3:	C-4:C-4:H-2:H-1:	N-4:	N-4:O-3:	N(CCHH)2(HO)(H)	H(NCCH)	H(NCCH)(OHH)	N(CCHH)2(HO)(H)	H(NCCH)	H(NCCH)(OHH)	110.1750	0.000	1	110.1750	0.000	1     110.1750       0.000      1      110.1750     0.000     1
310	690	971	2:1:1:1:	4:	4:1:	O-2:H-1:H-1:H-1:	N-4:	N-4:H-1:	N(OH)(H)3	H(NHHO)	O(NH3)(H)	N(OH)(H)3	H(NHHO)	O(NH3)(H)	109.4520	0.485	34	109.4520	0.485	34     109.4520       0.485      34      109.4520     0.485     34
310	690	971	2:1:1:1:	4:	4:4:	O-2:H-1:H-1:H-1:	N-4:	C-4:N-4:	N(OC)(H)3	H(NHHO)	O(CC[6a]HH)(NH3)	N(OC)(H)3	H(NHHO)	O(CC[6a]HH)(NH3)	106.9013	2.885	3	106.9013	2.885	3     106.9013       2.885      3      106.9013     2.885     3
310	690	971	4:2:1:1:	4:	4:1:	C-4:O-2:H-1:H-1:	N-4:	N-4:H-1:	N(CH3)(OH)(H)2	H(NCHO)	O(NCHH)(H)	N(CH3)(OH)(H)2	H(NCHO)	O(NCHH)(H)	110.8240	0.000	1	110.8240	0.000	1     110.8240       0.000      1      109.6490     1.867     3
310	690	971	4:2:1:1:	4:	4:1:	C[6]-4:O-2:H-1:H-1:	N-4:	N-4:H-1:	N(C[6]C[6]2C)(OH)(H)2	H(NC[6]HO)	O(NC[6]HH)(H)	N(C[6]C[6]2C)(OH)(H)2	H(NC[6]HO)	O(NC[6]HH)(H)	109.0615	2.214	2	109.0615	2.214	2     109.0615       2.214      2      109.6490     1.867     3
310	690	971	4:2:1:1:	4:	4:4:	C-4:O-2:H-1:H-1:	N-4:	C-4:N-4:	N(CCHH)(OC)(H)2	H(NCHO)	O(CCHH)(NCHH)	N(CCHH)(OC)(H)2	H(NCHO)	O(CCHH)(NCHH)	110.2175	0.117	11	110.2175	0.117	11     110.2175       0.117      11      109.9439     0.676     13
310	690	971	4:2:1:1:	4:	4:4:	C[6]-4:O-2:H-1:H-1:	N-4:	B[6]-4:N-4:	N(C[6]C[6]2H)(OB[6])(H)2	H(NC[6]HO)	O(B[6]C[6a]O[6]2)(NC[6]HH)	N(C[6]C[6]2H)(OB[6])(H)2	H(NC[6]HO)	O(B[6]C[6a]O[6]2)(NC[6]HH)	108.4390	0.033	2	108.4390	0.033	2     108.4390       0.033      2      109.9439     0.676     13
310	690	971	4:4:2:1:	4:	4:1:	C-4:C-4:O-2:H-1:	N-4:	N-4:H-1:	N(CCHH)2(OH)(H)	H(NCCO)	O(NCCH)(H)	N(CCHH)2(OH)(H)	H(NCCO)	O(NCCH)(H)	108.3930	0.000	1	108.3930	0.000	1     108.3930       0.000      1      108.3930     0.000     1
310	690	972	3:1:1:1:	4:	4:4:4:	N[6]-3:H-1:H-1:H-1:	N-4:	C[6]-4:C[6]-4:N-4:	N(N[6]C[6]2)(H)3	H(NN[6]HH)	N[6](C[6]C[6]HH)2(NH3)	N(N[6]C[6]2)(H)3	H(NN[6]HH)	N[6](C[6]C[6]HH)2(NH3){1|N<4>,4|H<1>}	109.4640	0.007	2	109.4640	0.007	2     109.4640       0.007      2      109.4640     0.007     2
310	690	991	4:1:1:1:	4:	4:1:1:1:	S-4:H-1:H-1:H-1:	N-4:	N-4:O-1:O-1:O-1:	N(SO3)(H)3	H(NHHS)	S(NH3)(O)3	N(SO3)(H)3	H(NHHS)	S(NH3)(O)3	109.5010	0.018	2	109.5010	0.018	2     109.5010       0.018      2      109.5010     0.018     2
310	690	991	4:4:1:1:	4:	3:4:1:1:	C-4:S-4:H-1:H-1:	N-4:	C[6a]-3:N-4:O-1:O-1:	N(CC[6a]CH)(SC[6a]OO)(H)2	H(NCHS)	S(C[6a]C[6a]2)(NCHH)(O)2	N(CC[6a]CH)(SC[6a]OO)(H)2	H(NCHS)	S(C[6a]C[6a]2)(NCHH)(O)2	107.0740	0.017	2	107.0740	0.017	2     107.0740       0.017      2      107.0740     0.017     2
310	690	991	4:4:1:1:	4:	4:1:1:1:	C[6]-4:S-4:H-1:H-1:	N-4:	N-4:O-1:O-1:O-1:	N(C[6]C[6]2H)(SO3)(H)2	H(NC[6]HS)	S(NC[6]HH)(O)3	N(C[6]C[6]2H)(SO3)(H)2	H(NC[6]HS)	S(NC[6]HH)(O)3	105.5340	0.322	2	105.5340	0.322	2     105.5340       0.322      2      105.5340     0.322     2
310	690	996	2:1:1:1:	4:	4:2:	C-2:H-1:H-1:H-1:	N-4:	N-4:C-2:	N(CC)(H)3	H(NCHH)	C(NH3)(CC)	N(CC)(H)3	H(NCHH)	C(NH3)(CC)	104.4414	8.919	3	104.4414	8.919	3     104.4414       8.919      3      104.4414     8.919     3
310	762	762	3:3:1:1:	3:2:4:	3:2:4:	C[6a]-3:C[6a]-3:H-1:H-1:	C[6a]-3:N[6a]-2:N-4:	C[6a]-3:N[6a]-2:N-4:	N(C[6a]C[6a]N[6a])2(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(NC[6a]HH)	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(NC[6a]HH)	N(C[6a]C[6a]N[6a])2(H)2	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(NC[6a]HH){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]H)(N[6a]C[6a])(NC[6a]HH){1|C<3>,2|H<1>}	131.2520	0.000	1	131.2520	0.000	1     131.2520       0.000      1      131.2520     0.000     1
