474	490	622	3:4:2:4:	4:1:1:1:	4:4:	N[5,5]-3:C[5,6]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6,6]-4:	C[5,6](N[5,5]C[5,5,6]C[5])(C[5,6]C[5,6,6]HH)(O[6]C[6,6])(CH3)	C(C[5,6]C[5,6]N[5,5]O[6])(H)3	O[6](C[5,6]C[5,6]N[5,5]C)(C[6,6]C[5,6]C[6,6]C)	C[5,6](N[5,5]C[5,5,6]C[5])(C[5,6]C[5,6,6]HH)(O[6]C[6,6])(CH3){1|C<3>,3|H<1>,5|C<4>}	C(C[5,6]C[5,6]N[5,5]O[6])(H)3	O[6](C[5,6]C[5,6]N[5,5]C)(C[6,6]C[5,6]C[6,6]C){1|N<3>,1|O<2>,4|C<4>,4|H<1>}	104.4345	0.363	2	104.4345	0.363	2     104.4345       0.363      2      106.2753     3.199     3
474	490	622	3:4:2:4:	4:1:1:1:	4:4:	N[5,6]-3:C[5]-4:O[6]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6]-4:	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]CC)(O[6]C[6])(CH3)	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]CC)(O[6]C[6])(CH3){1|C<4>,2|C<3>,4|H<1>}	C(C[5,6]N[5,6]C[5]O[6])(H)3	O[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH){2|C<3>,2|H<1>,3|C<4>}	109.9570	0.000	1	109.9570	0.000	1     109.9570       0.000      1      106.2753     3.199     3
474	490	622	3:4:2:4:	4:2:1:1:	4:3:	C[5,6a]-3:C[5,6]-4:O[6]-2:C-4:	C[5,6]-4:O-2:H-1:H-1:	C[5,6]-4:C[6,6a]-3:	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]O[5]H)(O[6]C[6,6a])(CHHO)	C(C[5,6]C[5,6a]C[5,6]O[6])(OH)(H)2	O[6](C[5,6]C[5,6a]C[5,6]C)(C[6,6a]C[6,6a]C[6a])	C[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]O[5]H)(O[6]C[6,6a])(CHHO){1|C<4>,2|H<1>,4|C<3>}	C(C[5,6]C[5,6a]C[5,6]O[6])(OH)(H)2	O[6](C[5,6]C[5,6a]C[5,6]C)(C[6,6a]C[6,6a]C[6a]){1|C<4>,1|O<2>,2|H<1>,4|C<3>}	104.6880	0.000	1	104.6880	0.000	1     104.6880       0.000      1      104.6880     0.000     1
474	490	622	4:2:2:4:	4:1:1:1:	3:4:	C[5,6]-4:O[6]-2:O[5]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[6,6a]-3:C[5,6]-4:	C[5,6](C[5,6]C[5]C[6]H)(O[6]C[6,6a])(O[5]C[5])(CH3)	C(C[5,6]C[5,6]O[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]O[5]C)	C[5,6](C[5,6]C[5]C[6]H)(O[6]C[6,6a])(O[5]C[5])(CH3){1|C<4>,2|C<3>,5|H<1>}	C(C[5,6]C[5,6]O[5]O[6])(H)3	O[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]O[5]C){2|C<3>,2|H<1>,3|C<4>}	107.8140	2.195	2	107.8140	2.195	2     107.8140       2.195      2      107.8140     2.195     2
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,3x6]-4:O[6,6]-2:O[5]-2:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:C[3x6]-4:	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]C)(O[6,6]C[3x6])(O[5]O[5])(CH3)	C(C[5,6,6]C[5,3x6]O[6,6]O[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]O[5]C)(C[3x6]C[6,6]O[6,6]C)	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]C)(O[6,6]C[3x6])(O[5]O[5])(CH3){1|O<2>,2|H<1>,3|C<4>}	C(C[5,6,6]C[5,3x6]O[6,6]O[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]O[5]C)(C[3x6]C[6,6]O[6,6]C){1|O<2>,2|H<1>,3|C<4>}	108.0680	0.074	2	108.0680	0.074	2     108.3217       0.442      3      107.0101     1.404     10
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,3x6]-4:O[6,6]-2:O[5]-2:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:C[3x6]-4:	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[3x6])(O[5]O[5])(CH3)	C(C[5,6,6]C[5,3x6]O[6,6]O[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]O[5]C)(C[3x6]C[6,6]O[6,6]C)	C[5,6,6](C[5,3x6]C[5,6,6]C[6,6]H)(O[6,6]C[3x6])(O[5]O[5])(CH3){1|C<3>,1|O<2>,2|C<4>,2|H<1>}	C(C[5,6,6]C[5,3x6]O[6,6]O[5])(H)3	O[6,6](C[5,6,6]C[5,3x6]O[5]C)(C[3x6]C[6,6]O[6,6]C){1|O<2>,2|C<4>,3|H<1>}	108.8290	0.000	1	108.8290	0.000	1     108.3217       0.442      3      107.0101     1.404     10
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,5,6]-4:O[6]-2:O[5]-2:C-4:	C[5,6]-4:H-1:H-1:H-1:	C[5,6]-4:C[6,6]-4:	C[5,6](C[5,5,6]C[5,5,6,6]C[5]2)(O[6]C[6,6])(O[5]C[5])(CH3)	C(C[5,6]C[5,5,6]O[5]O[6])(H)3	O[6](C[5,6]C[5,5,6]O[5]C)(C[6,6]C[6,6]C[6]O)	C[5,6](C[5,5,6]C[5,5,6,6]C[5]2)(O[6]C[6,6])(O[5]C[5])(CH3){1|O<1>,1|O<2>,4|H<1>,5|C<4>}	C(C[5,6]C[5,5,6]O[5]O[6])(H)3	O[6](C[5,6]C[5,5,6]O[5]C)(C[6,6]C[6,6]C[6]O){1|C<3>,4|C<4>,4|H<1>}	105.1080	0.580	2	105.1080	0.580	2     105.1080       0.580      2      107.0101     1.404     10
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,6]-4:O[5,6]-2:O[6,6]-2:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:C[6,6]-4:	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3)	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C)	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3){1|Cl<1>,1|O<2>,4|C<4>}	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C){1|H<1>,1|O<2>,2|C<3>,2|C<4>}	107.4580	0.000	1	106.8220	1.167	4     106.8220       1.167      4      107.0101     1.404     10
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,6]-4:O[5,6]-2:O[6,6]-2:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:C[6,6]-4:	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3)	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C)	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3){1|H<1>,1|O<2>,4|C<4>}	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C){1|C<3>,1|H<1>,1|O<2>,3|C<4>}	106.0810	1.368	2	106.8220	1.167	4     106.8220       1.167      4      107.0101     1.404     10
474	490	622	4:2:2:4:	4:1:1:1:	4:4:	C[5,6]-4:O[5,6]-2:O[6,6]-2:C-4:	C[5,6,6]-4:H-1:H-1:H-1:	C[5,6,6]-4:C[6,6]-4:	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3)	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C)	C[5,6,6](C[5,6]C[6]O[5]C)(O[5,6]C[5,6])(O[6,6]C[6,6])(CH3){2|O<2>,4|C<4>}	C(C[5,6,6]C[5,6]O[5,6]O[6,6])(H)3	O[6,6](C[5,6,6]C[5,6]O[5,6]C)(C[6,6]C[6]O[6]C){1|H<1>,1|O<2>,2|C<3>,2|C<4>}	107.6680	0.000	1	106.8220	1.167	4     106.8220       1.167      4      107.0101     1.404     10
