490	690	979	3:4:1:1:	4:	4:4:4:	Se-3:C-4:H-1:H-1:	C-4:	C-4:C-4:C-4:	C(SeCC)(CH3)(H)2	H(CSeCH)	Se(CCHH)3	C(SeCC)(CH3)(H)2	H(CSeCH)	Se(CCHH)3	111.3695	0.026	2	111.3695	0.026	2     111.3695       0.026      2      111.3695     0.026     2
490	690	979	4:3:1:1:	4:	4:2:1:	C[6]-4:Se-3:H-1:H-1:	C-4:	C-4:O-2:O-1:	C(C[6]C[6]O[6]H)(SeOO)(H)2	H(CC[6]SeH)	Se(CC[6]HH)(OH)(O)	C(C[6]C[6]O[6]H)(SeOO)(H)2	H(CC[6]SeH)	Se(CC[6]HH)(OH)(O)	109.5340	0.031	2	109.5340	0.031	2     109.5340       0.031      2      109.5340     0.031     2
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[5,6]O)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[5,6]O)(CH3)	109.4575	0.025	2	109.4575	0.025	2     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[5]C)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[5]C)(CH3)	109.4813	0.043	3	109.4813	0.043	3     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[5]S)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[5]S)(CH3)	109.4579	0.046	19	109.4579	0.046	19     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[5a]C)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[5a]C)(CH3)	109.4313	0.028	3	109.4313	0.028	3     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[6]N)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[6]N)(CH3)	109.4756	0.026	5	109.4756	0.026	5     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[6]S)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[6]S)(CH3)	109.4903	0.029	3	109.4903	0.029	3     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[6a]C)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[6a]C)(CH3)	109.4652	0.032	6	109.4652	0.032	6     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[6a]N)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[6a]N)(CH3)	109.4627	3.434	3	109.4627	3.434	3     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CC[6a]O)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[6a]O)(CH3)	109.4785	0.028	2	109.4785	0.028	2     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CClO)(CH3)	C(SC)(H)3	H(CHHS)	S(CClO)(CH3)	108.5235	2.292	2	108.5235	2.292	2     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CFeS)(CH3)	C(SC)(H)3	H(CHHS)	S(CFeS)(CH3)	109.4785	0.006	2	109.4785	0.006	2     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CIrC)(CH3)	C(SC)(H)3	H(CHHS)	S(CIrC)(CH3)	109.5017	0.056	3	109.5017	0.056	3     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CN[5]S)(CH3)	C(SC)(H)3	H(CHHS)	S(CN[5]S)(CH3)	109.4598	0.028	6	109.4598	0.028	6     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(COsC)(CH3)	C(SC)(H)3	H(CHHS)	S(COsC)(CH3)	109.4822	0.035	8	109.4822	0.035	8     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C-3:C-4:	C(SC)(H)3	H(CHHS)	S(CSnC)(CH3)	C(SC)(H)3	H(CHHS)	S(CSnC)(CH3)	109.4675	0.037	6	109.4675	0.037	6     109.4420       0.653      73      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[3]-3:C-4:	C(SC[3])(H)3	H(CHHS)	S(C[3]C[3]2)(CH3)	C(SC[3])(H)3	H(CHHS)	S(C[3]C[3]2)(CH3)	109.4811	0.028	11	109.4811	0.028	11     109.4811       0.028      11      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]C[5]N[5])(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]C[5]N[5])(CH3)	109.7649	0.633	20	109.7649	0.633	20     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]C[5]S[5])(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]C[5]S[5])(CH3)	109.4705	0.054	348	109.4705	0.054	348     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]2)(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]2)(CH3)	109.4591	0.036	15	109.4591	0.036	15     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]O[5])(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]O[5])(CH3)	109.4600	0.021	3	109.4600	0.021	3     109.4844       0.158      417      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[5]-3:C-4:	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]S[5])(CH3)	C(SC[5])(H)3	H(CHHS)	S(C[5]N[5]S[5])(CH3)	109.4718	0.044	24	109.4718	0.044	24     109.4844       0.158      417      109.4671     0.269     1640
