818	486	960	5:SP2_SP2_SP3	C[5]	C[3,5]	N[5]	4:3:2:	4:3:4:4:	3:2:	C[3,5]-4:C[6a]-3:N[5]-2:	C[5]-4:C[5]-3:C[3]-4:C[3]-4:	C[5]-3:O[5]-2:	C[5](C[3,5]C[3]2C[5])(C[6a]C[6a]2)(N[5]O[5])	C[3,5](C[5]C[6a]O[5]H)(C[5]C[6a]N[5])(C[3]C[3]HH)2	N[5](C[5]C[3,5]C[6a])(O[5]C[5])	C[5](C[3,5]C[3]2C[5])(C[6a]C[6a]2)(N[5]O[5]){1|N<3>,3|C<3>,6|H<1>}	C[3,5](C[5]C[6a]O[5]H)(C[5]C[6a]N[5])(C[3]C[3]HH)2{4|C<3>}	N[5](C[5]C[3,5]C[6a])(O[5]C[5]){1|H<1>,2|C<4>,3|C<3>}	113.6680	0.000	1	113.6680	0.000	1	113.6680	0.000	1	113.6680	0.000	1	113.5627	4.225	19	113.6502	4.156	20
818	486	960	5:SP2_SP2_SP3	C[5]	C[3,5]	N[5]	4:3:2:	4:4:3:3:	3:4:	C[3,5]-4:C[6a]-3:N[5]-2:	C[3]-4:C[3,5]-4:C[5]-3:C-3:	C[5]-3:C[5]-4:	C[5](C[3,5]C[3,5]C[3]C)(C[6a]C[6a]2)(N[5]C[5])	C[3,5](C[3]C[3,5]C[6a]H)(C[3,5]C[3]C[5]H)(C[5]C[6a]N[5])(COO)	N[5](C[5]C[3,5]C[6a])(C[5]C[3,5]HH)	C[5](C[3,5]C[3,5]C[3]C)(C[6a]C[6a]2)(N[5]C[5]){3|C<3>,6|H<1>}	C[3,5](C[3]C[3,5]C[6a]H)(C[3,5]C[3]C[5]H)(C[5]C[6a]N[5])(COO){2|H<1>,4|C<3>}	N[5](C[5]C[3,5]C[6a])(C[5]C[3,5]HH){1|C<4>,1|H<1>,3|C<3>}	114.7555	0.359	2	114.7555	0.129	2	114.7555	0.129	2	114.7555	0.129	2	113.5627	4.225	19	113.6502	4.156	20
818	486	960	5:SP2_SP2_SP3	C[5]	C[3,5]	N[5]	4:3:2:	4:4:3:3:	4:3:	C[3,5]-4:C[6a]-3:N[5]-2:	C[3,5]-4:C[3]-4:C[5]-3:C[6a]-3:	C[5,5]-4:C[5]-3:	C[5](C[3,5]C[3,5]C[6a]C[3])(C[6a]C[6a]2)(N[5]C[5,5])	C[3,5](C[3,5]C[5,5]C[6a]C[3])(C[3]C[3,5]C[6a]H)(C[5]C[6a]N[5])(C[6a]C[6a]2)	N[5](C[5,5]C[5,6a]2C[3,5])(C[5]C[3,5]C[6a])	C[5](C[3,5]C[3,5]C[6a]C[3])(C[6a]C[6a]2)(N[5]C[5,5]){3|H<1>,8|C<3>}	C[3,5](C[3,5]C[5,5]C[6a]C[3])(C[3]C[3,5]C[6a]H)(C[5]C[6a]N[5])(C[6a]C[6a]2){10|C<3>,2|H<1>}	N[5](C[5,5]C[5,6a]2C[3,5])(C[5]C[3,5]C[6a]){1|C<4>,1|N<2>,7|C<3>}	116.1060	0.185	2	116.1060	0.034	2	116.1060	0.034	2	116.1060	0.034	2	113.5627	4.225	19	113.6502	4.156	20
818	486	976	0:SP2_SP2_SP3	C[5]	C[3]	O[5]	4:3:2:	3:3:4:4:	4:3:	C[3]-4:N[5]-3:O[5]-2:	C[5]-3:C[5]-3:C[3]-4:C[3]-4:	C[5,5]-4:C[5]-3:	C[5](C[3]C[3]2C[5])(N[5]C[5,5]Ni)(O[5]C[5,5])	C[3](C[5]N[5]O[5])2(C[3]C[3]HH)2	O[5](C[5,5]C[5,5]C[5]H)(C[5]C[3]N[5])	C[5](C[3]C[3]2C[5])(N[5]C[5,5]Ni)(O[5]C[5,5]){1|C<3>,1|C<4>,1|N<3>,1|O<2>,6|H<1>}	C[3](C[5]N[5]O[5])2(C[3]C[3]HH)2{1|Ni<4>,4|C<4>}	O[5](C[5,5]C[5,5]C[5]H)(C[5]C[3]N[5]){1|Ni<4>,2|C<4>,3|C<3>,3|H<1>}	114.8328	0.356	4	114.8328	0.127	4	114.8328	0.127	4	114.8328	0.127	4	114.8908	0.112	5	114.8908	0.112	5
818	486	976	0:SP2_SP2_SP3	C[5]	C[3]	O[5]	4:3:2:	3:4:4:4:	3:4:	C[3]-4:N[5]-3:O[5]-2:	C[5]-3:C[3]-4:C[3]-4:C-4:	C[5]-3:C[5]-4:	C[5](C[3]C[3]2C)(N[5]C[5]Pd)(O[5]C[5])	C[3](C[5]N[5]O[5])(C[3]C[3]HH)(C[3]C[3]HP)(CH3)	O[5](C[5]C[3]N[5])(C[5]C[5]HH)	C[5](C[3]C[3]2C)(N[5]C[5]Pd)(O[5]C[5]){1|C<3>,1|P<4>,6|H<1>}	C[3](C[5]N[5]O[5])(C[3]C[3]HH)(C[3]C[3]HP)(CH3){1|Pd<4>,2|C<4>}	O[5](C[5]C[3]N[5])(C[5]C[5]HH){1|Pd<4>,1|C<3>,1|H<1>,3|C<4>}	115.1230	0.000	1	115.1230	0.000	1	115.1230	0.000	1	115.1230	0.000	1	114.8908	0.112	5	114.8908	0.112	5
818	486	976	5:SP2_SP2_SP3	C[5]	C[3,3x5]	O[5]	4:2:1:	4:4:4:3:	3:4:	C[3,3x5]-4:O[5]-2:O-1:	C[3,5]-4:C[3,5]-4:C[3x5]-4:C[5]-3:	C[5]-3:C[5]-4:	C[5](C[3,3x5]C[3,5]2C[3x5])(O[5]C[5])(O)	C[3,3x5](C[3,5]C[5,6a]C[3,5]C)(C[3,5]C[5,6a]C[3,5]H)(C[3x5]C[5,6a]2C[5])(C[5]O[5]O)	O[5](C[5]C[3,3x5]O)(C[5]C[3x5]CH)	C[5](C[3,3x5]C[3,5]2C[3x5])(O[5]C[5])(O){1|C<4>,2|H<1>,5|C<3>}	C[3,3x5](C[3,5]C[5,6a]C[3,5]C)(C[3,5]C[5,6a]C[3,5]H)(C[3x5]C[5,6a]2C[5])(C[5]O[5]O){1|C<4>,1|H<1>,4|C<3>}	O[5](C[5]C[3,3x5]O)(C[5]C[3x5]CH){2|C<3>,2|C<4>}	108.1300	0.000	1	108.1300	0.000	1	108.1300	0.000	1	108.1300	0.000	1	108.1300	0.000	1	109.6231	0.955	47
818	486	976	5:SP2_SP2_SP3	C[5]	C[3,5,5]	O[5]	4:2:1:	4:4:2:3:	4:3:	C[3,5,5]-4:O[5]-2:O-1:	C[5,5,6]-4:C[3,5]-4:O[3]-2:C[5]-3:	C[5,6]-4:C[5]-3:	C[5](C[3,5,5]C[5,5,6]C[3,5]O[3])(O[5]C[5,6])(O)	C[3,5,5](C[5,5,6]C[5,6]2C)(C[3,5]C[5]O[3]H)(O[3]C[3,5])(C[5]O[5]O)	O[5](C[5,6]C[5,5,6]C[5,6]H)(C[5]C[3,5,5]O)	C[5](C[3,5,5]C[5,5,6]C[3,5]O[3])(O[5]C[5,6])(O){2|H<1>,4|C<4>}	C[3,5,5](C[5,5,6]C[5,6]2C)(C[3,5]C[5]O[3]H)(O[3]C[3,5])(C[5]O[5]O){1|O<2>,2|C<4>,3|H<1>}	O[5](C[5,6]C[5,5,6]C[5,6]H)(C[5]C[3,5,5]O){1|H<1>,2|O<2>,4|C<4>}	107.4000	0.112	2	107.4000	0.012	2	107.4000	0.012	2	107.4000	0.012	2	107.4000	0.012	2	109.6231	0.955	47
818	486	976	5:SP2_SP2_SP3	C[5]	C[3,5,6]	O[5]	4:2:1:	4:3:4:3:	4:3:	C[3,5,6]-4:O[5]-2:O-1:	C[3,5,6]-4:C[5,6]-3:C[3]-4:C[5]-3:	C[5]-4:C[5]-3:	C[5](C[3,5,6]C[3,5,6]C[5,6]C[3])(O[5]C[5])(O)	C[3,5,6](C[3,5,6]C[3]C[5]C[6])(C[5,6]C[5,6]C[5])(C[3]C[3,5,6]HH)(C[5]O[5]O)	O[5](C[5]C[3,5,6]C[5a]H)(C[5]C[3,5,6]O)	C[5](C[3,5,6]C[3,5,6]C[5,6]C[3])(O[5]C[5])(O){2|C<3>,2|C<4>,3|H<1>}	C[3,5,6](C[3,5,6]C[3]C[5]C[6])(C[5,6]C[5,6]C[5])(C[3]C[3,5,6]HH)(C[5]O[5]O){1|C<3>,1|O<2>,2|C<4>,5|H<1>}	O[5](C[5]C[3,5,6]C[5a]H)(C[5]C[3,5,6]O){2|C<4>,3|C<3>}	110.5805	0.194	2	110.5805	0.038	2	110.5805	0.038	2	110.5805	0.038	2	110.5493	0.022	3	109.6231	0.955	47
818	486	976	5:SP2_SP2_SP3	C[5]	C[3,5,6]	O[5]	4:2:1:	4:4:4:3:	4:3:	C[3,5,6]-4:O[5]-2:O-1:	C[3,5,6]-4:C[5,6]-4:C[3]-4:C[5]-3:	C[5]-4:C[5]-3:	C[5](C[3,5,6]C[3,5,6]C[5,6]C[3])(O[5]C[5])(O)	C[3,5,6](C[3,5,6]C[3]C[5]C[6])(C[5,6]C[5,6]C[5]O)(C[3]C[3,5,6]HH)(C[5]O[5]O)	O[5](C[5]C[3,5,6]C[5a]H)(C[5]C[3,5,6]O)	C[5](C[3,5,6]C[3,5,6]C[5,6]C[3])(O[5]C[5])(O){1|C<3>,1|O<2>,3|C<4>,3|H<1>}	C[3,5,6](C[3,5,6]C[3]C[5]C[6])(C[5,6]C[5,6]C[5]O)(C[3]C[3,5,6]HH)(C[5]O[5]O){1|C<3>,1|O<2>,2|C<4>,6|H<1>}	O[5](C[5]C[3,5,6]C[5a]H)(C[5]C[3,5,6]O){2|C<3>,3|C<4>}	110.4870	0.000	1	110.4870	0.000	1	110.4870	0.000	1	110.4870	0.000	1	110.5493	0.022	3	109.6231	0.955	47
818	486	976	5:SP2_SP2_SP3	C[5]	C[3,5]	O[5]	4:2:1:	3:4:4:3:	3:3:	C[3,5]-4:O[5]-2:O-1:	C[5]-3:C[3]-4:C[3]-4:C[5]-3:	C[5]-3:C[5]-3:	C[5](C[3,5]C[3]2C[5])(O[5]C[5])(O)	C[3,5](C[5]C[6a]C[5])(C[3]C[3]HH)2(C[5]O[5]O)	O[5](C[5]C[6a]C[5])(C[5]C[3,5]O)	C[5](C[3,5]C[3]2C[5])(O[5]C[5])(O){2|C<3>,4|H<1>}	C[3,5](C[5]C[6a]C[5])(C[3]C[3]HH)2(C[5]O[5]O){3|C<3>}	O[5](C[5]C[6a]C[5])(C[5]C[3,5]O){2|C<4>,3|C<3>}	107.5350	0.000	1	107.5350	0.000	1	107.5350	0.000	1	107.5350	0.000	1	109.7002	0.724	41	109.6231	0.955	47
