974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:C[6,6]-4:H-1:H-1:	C[5a,6]-3:N[5a]-3:N[6]-3:	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6,6]HH)(H)	C[6](N[6]C[5a,6]H)(C[6,6]C[6]3)(H)2	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H)	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[6,6]HH)(H){1|C<4>,1|N<2>,4|C<3>}	C[6](N[6]C[5a,6]H)(C[6,6]C[6]3)(H)2{1|C<3>,1|N<3>,2|C<4>,2|H<1>,2|O<1>}	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H){2|C<3>,2|C<4>,4|H<1>}	111.0940	0.000	1	111.0940	0.000	1     111.0940       0.000      1      118.8276     4.619     5
974	466	818	3:4:1:	3:4:1:1:	3:3:3:	C[5a,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	N[5a,6]-3:C[5a]-3:N[6]-3:	N[6](C[5a,6]N[5a,6]C[5a])(C[6]C[6]HH)(H)	C[6](N[6]C[5a,6]H)(C[6]C[6]HH)(H)2	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]N[5a]C)(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]C[5a])(C[6]C[6]HH)(H){1|C<3>,1|C<4>,2|H<1>,2|N<2>}	C[6](N[6]C[5a,6]H)(C[6]C[6]HH)(H)2{1|C<3>,1|N<3>,2|H<1>}	C[5a,6](N[5a,6]N[5a]C[6])(C[5a]N[5a]C)(N[6]C[6]H){1|C<4>,4|H<1>}	119.4540	0.000	1	119.4540	0.000	1     119.4540       0.000      1      118.8276     4.619     5
974	466	818	3:4:1:	3:4:1:1:	3:4:3:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	N[5,6]-3:C[5]-4:N[6]-3:	N[6](C[5,6]N[5,6]C[5])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HP)(N[6]C[6]H)	N[6](C[5,6]N[5,6]C[5])(C[6]C[6]HH)(H){1|P<3>,3|C<4>,3|H<1>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{1|C<4>,1|N<3>,2|H<1>}	C[5,6](N[5,6]C[5]C[6])(C[5]C[5]HP)(N[6]C[6]H){1|C<4>,8|H<1>}	119.4370	0.000	1	119.4370	0.000	1     119.4370       0.000      1      119.4370     0.000     1
974	466	818	3:4:1:	3:4:1:1:	4:3:2:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:H-1:H-1:	C[5,6]-4:N[6]-3:N[5]-2:	N[6](C[5,6]C[5,6]N[5])(C[6]C[6]HH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2	C[5,6](C[5,6]C[5]C[6]C)(N[6]C[6]H)(N[5]C[5])	N[6](C[5,6]C[5,6]N[5])(C[6]C[6]HH)(H){1|C<2>,2|H<1>,3|C<4>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(H)2{1|C<4>,1|N<2>,2|H<1>}	C[5,6](C[5,6]C[5]C[6]C)(N[6]C[6]H)(N[5]C[5]){2|C<4>,7|H<1>}	119.6330	0.000	1	119.6330	0.000	1     119.6330       0.000      1      119.6330     0.000     1
974	466	818	3:4:1:	3:4:4:1:	3:3:3:	C[5,6]-3:C[6]-4:H-1:	N[6]-3:C[6]-4:C-4:H-1:	N[5,6]-3:N[5]-3:N[6]-3:	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]CH)(H)	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(CH3)(H)	C[5,6](N[5,6]C[6]N[5])(N[5]C[5]C)(N[6]C[6]H)	N[6](C[5,6]N[5,6]N[5])(C[6]C[6]CH)(H){1|C<3>,1|N<2>,2|C<4>,2|H<1>}	C[6](N[6]C[5,6]H)(C[6]C[6]HH)(CH3)(H){1|C<3>,1|H<1>,2|N<3>}	C[5,6](N[5,6]C[6]N[5])(N[5]C[5]C)(N[6]C[6]H){1|C<3>,1|N<3>,2|C<4>,2|H<1>}	116.3740	0.000	1	116.3740	0.000	1     116.3740       0.000      1      116.3740     0.000     1
974	466	818	3:4:1:	3:4:4:3:	3:3:4:	C[5,6]-3:C[6,6]-4:H-1:	N[6]-3:C[6]-4:C[6]-4:N[6]-3:	C[5,6]-3:N[6]-3:C[5]-4:	N[6](C[5,6]C[5,6]C[5])(C[6,6]C[6]2N[6])(H)	C[6,6](N[6]C[5,6]H)(C[6]C[6]HH)2(N[6]C[6]H)	C[5,6](C[5,6]C[5]C[6])(N[6]C[6,6]H)(C[5]C[5]HH)	N[6](C[5,6]C[5,6]C[5])(C[6,6]C[6]2N[6])(H){1|C<3>,4|C<4>,7|H<1>}	C[6,6](N[6]C[5,6]H)(C[6]C[6]HH)2(N[6]C[6]H){1|C<3>,1|O<1>,2|C<4>,4|H<1>}	C[5,6](C[5,6]C[5]C[6])(N[6]C[6,6]H)(C[5]C[5]HH){1|N<3>,1|O<1>,2|C<4>,4|H<1>}	117.3560	0.000	1	117.3560	0.000	1     117.3560       0.000      1      117.3560     0.000     1
974	466	818	3:4:1:	4:3:1:1:	3:3:3:	C[5a,6]-3:C[6]-4:H-1:	C[5,6]-4:N[6]-3:H-1:H-1:	N[5a,6]-3:C[5a]-3:N[6]-3:	N[6](C[5a,6]N[5a,6]C[5a])(C[6]C[5,6]HH)(H)	C[6](C[5,6]C[5,6]O[5]H)(N[6]C[5a,6]H)(H)2	C[5a,6](N[5a,6]C[5,6]C[5a])(C[5a]N[5a]C)(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]C[5a])(C[6]C[5,6]HH)(H){1|C<4>,1|H<1>,1|N<2>,1|O<2>,2|C<3>}	C[6](C[5,6]C[5,6]O[5]H)(N[6]C[5a,6]H)(H)2{1|H<1>,1|N<2>,1|N<3>,2|C<3>}	C[5a,6](N[5a,6]C[5,6]C[5a])(C[5a]N[5a]C)(N[6]C[6]H){1|C<4>,1|N<2>,4|H<1>}	115.7560	0.000	1	115.7560	0.000	1     115.7560       0.000      1      115.7560     0.000     1
974	466	818	3:4:1:	4:3:3:1:	3:2:3:	C[5a,6]-3:C[6]-4:H-1:	C[6]-4:N[6]-3:C[6a]-3:H-1:	N[5a,6]-3:N[5a]-2:N[6]-3:	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)	C[6](C[6]C[6,6]HH)(N[6]C[5a,6]H)(C[6a]C[6a]2)(H)	C[5a,6](N[5a,6]C[6,6]N[5a])(N[5a]C[5a])(N[6]C[6]H)	N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){1|C<4>,1|N<2>,2|H<1>,3|C<3>}	C[6](C[6]C[6,6]HH)(N[6]C[5a,6]H)(C[6a]C[6a]2)(H){1|H<1>,1|N<2>,1|N<3>,2|O<2>,3|C<3>}	C[5a,6](N[5a,6]C[6,6]N[5a])(N[5a]C[5a])(N[6]C[6]H){1|C<4>,1|O<2>,2|C<3>,2|H<1>}	116.5800	0.000	1	116.5800	0.000	1     116.5800       0.000      1      116.5800     0.000     1
974	466	818	3:4:1:	4:3:3:1:	3:3:3:	C[5a,6]-3:C[6]-4:H-1:	C[5,6]-4:N[6]-3:C[6a]-3:H-1:	C[5a,6]-3:N[5a]-3:N[6]-3:	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[5,6]C[6a]H)(H)	C[6](C[5,6]C[5]2C[6])(N[6]C[5a,6]H)(C[6a]C[6a]2)(H)	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H)	N[6](C[5a,6]C[5a,6]N[5a])(C[6]C[5,6]C[6a]H)(H){1|C<4>,1|N<2>,6|C<3>}	C[6](C[5,6]C[5]2C[6])(N[6]C[5a,6]H)(C[6a]C[6a]2)(H){1|N<3>,2|C<4>,2|O<1>,3|C<3>,4|H<1>}	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]H){1|H<1>,1|O<1>,2|C<4>,3|C<3>}	116.9960	0.000	1	116.9960	0.000	1     116.9960       0.000      1      116.9960     0.000     1
974	466	818	3:4:1:	4:3:4:1:	3:3:3:	C[5a,6]-3:C[6,6]-4:H-1:	C[6,6]-4:N[6]-3:C[6]-4:H-1:	C[5a,6]-3:N[5a]-3:N[6]-3:	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6,6]C[6]H)(H)	C[6,6](C[6,6]C[6,6]C[6]C)(N[6]C[5a,6]H)(C[6]C[6]HH)(H)	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6,6]H)	N[6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6,6]C[6]H)(H){1|N<2>,2|C<3>,2|H<1>,4|C<4>}	C[6,6](C[6,6]C[6,6]C[6]C)(N[6]C[5a,6]H)(C[6]C[6]HH)(H){1|C<3>,1|N<3>,2|C<4>,5|H<1>}	C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6,6]H){2|C<3>,2|C<4>,4|H<1>}	112.0410	0.014	2	112.0410	0.014	2     112.0410       0.014      2      114.4945     2.077     11
