762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OSn)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,1|C<4>,1|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OSn)2	121.8070	0.000	1	120.6517	1.153	3     119.2937       1.686      12      119.2937     1.686     12
762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OSn)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OSn)2	120.0740	0.810	2	120.6517	1.153	3     119.2937       1.686      12      119.2937     1.686     12
762	762	979	3:3:3:	3:3:1:	3:2:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:O-2:O-2:	C[6a](C[6a]C[6a]H)2(SeOO)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)(OTe)2	C[6a](C[6a]C[6a]H)2(SeOO){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)(OTe)2	118.9163	2.054	6	118.9163	2.054	6     119.2937       1.686      12      119.2937     1.686     12
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:Br-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]Br)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]Br){1|H<1>,1|S<2>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H){1|H<1>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	119.0780	0.000	1	119.0780	0.000	1     119.0780       0.000      1      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O){1|Br<1>,1|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H){1|H<1>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	111.6000	0.000	1	113.9005	3.253	2     113.9005       3.253      2      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a,6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O)	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a,6a]C[6a,6a]C[6a])(C[6a]C[6a]H)(SeC[6a]O){2|H<1>,3|C<3>}	C[6a](C[6a]C[6a,6a]Se)(C[6a]C[6a]H)(H){1|H<1>,2|C<3>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	116.2010	0.000	1	113.9005	3.253	2     113.9005       3.253      2      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:Br-1:	C[6a](C[6a]C[6a]H)2(SeC[6a]Br)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](C[6a]C[6a]H)2(SeC[6a]Br){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(Br)	118.6470	3.483	2	118.6470	3.483	2     118.6470       3.483      2      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a]C[6a]H)2(SeC[6a]O)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a]C[6a]H)2(SeC[6a]O){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|H<1>,1|O<2>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	119.7735	3.980	2	119.5060	2.544	4     119.5060       2.544      4      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:1:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:O-1:	C[6a](C[6a]C[6a]H)2(SeC[6a]O)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	C[6a](C[6a]C[6a]H)2(SeC[6a]O){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(O)	119.2385	1.811	2	119.5060	2.544	4     119.5060       2.544      4      118.0219     3.294     9
762	762	979	3:3:3:	3:3:1:	3:3:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:I-2:	C[6a](C[6a]C[6a]H)2(SeC[6a]I)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(II)	C[6a](C[6a]C[6a]H)2(SeC[6a]I){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a,6a]C[6a])(C[6a]C[6a]2)(II)	119.7325	2.961	2	119.7325	2.961	2     119.7325       2.961      2      119.0464     1.501     22
762	762	979	3:3:3:	3:3:1:	3:3:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-2:	C[6a](C[6a]C[6a]H)2(SeC[6a]N)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)2(NS)	C[6a](C[6a]C[6a]H)2(SeC[6a]N){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)2(NS)	119.0925	1.545	2	119.0925	1.545	2     118.9706       1.454      18      119.0464     1.501     22
762	762	979	3:3:3:	3:3:1:	3:3:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:N-2:	C[6a](C[6a]C[6a]H)2(SeC[6a]N)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)2(NSe)	C[6a](C[6a]C[6a]H)2(SeC[6a]N){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,2|H<1>}	Se(C[6a]C[6a]2)2(NSe)	118.9554	1.495	16	118.9554	1.495	16     118.9706       1.454      18      119.0464     1.501     22
762	762	979	3:3:3:	3:3:1:	3:3:2:	C[6a]-3:C[6a]-3:Se-3:	C[6a]-3:C[6a]-3:H-1:	C[6a]-3:C[6a]-3:O-2:	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeC[6a]O)	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H)	Se(C[6a]C[6a]2)2(OH)	C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(SeC[6a]O){1|C<3>,2|H<1>}	C[6a](C[6a]C[6a]Se)(C[6a]C[6a]H)(H){1|C<3>,1|C<4>,1|H<1>}	Se(C[6a]C[6a]2)2(OH)	119.0420	1.237	2	119.0420	1.237	2     119.0420       1.237      2      119.0464     1.501     22
