762	490	818	3:2:4:	3:1:1:1:	3:3:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:C[5a,6a]-3:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]2)(N[6a]C[6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6a]C[6a]N[5a])(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]2)(N[6a]C[6a])(CH3){1|N<3>,4|C<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(C[5a,6a]C[6a]N[5a])(C[6a]N[6a]C){1|C<4>,2|H<1>,3|C<3>}	122.2470	0.000	1	122.2470	0.000	1     122.2470       0.000      1      121.9473     1.048     7
762	490	818	3:2:4:	3:1:1:1:	3:3:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5a,6a]-3:C[6a]-3:N[5a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a,6a])(CH3)	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[6a,6a]C[5a])(C[6a]N[6a]C)(N[5a]C[5a]H)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a,6a])(CH3){1|H<1>,4|C<3>}	C(C[6a]C[5a,6a]N[6a])(H)3	C[5a,6a](C[5a,6a]C[6a,6a]C[5a])(C[6a]N[6a]C)(N[5a]C[5a]H){2|C<3>,2|H<1>}	121.4065	0.329	2	121.4065	0.329	2     121.4065       0.329      2      121.9473     1.048     7
762	490	818	3:2:4:	3:1:1:1:	3:3:4:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[5a,6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]N[5a,6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[5a,6a])(CH3){1|C<3>,1|N<3>,2|C<4>,2|H<1>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]N[5a,6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH){1|C<3>,1|N<2>,4|H<1>}	120.1037	0.494	6	120.1037	0.494	6     120.4835       0.821      8      120.4835     0.821     8
762	490	818	3:2:4:	3:1:1:1:	3:3:4:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]N[6a]C)(C[5]N[5]HH)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CH3){1|C<3>,1|C<4>,2|H<1>,2|N<3>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]C[6a]C[5])(C[6a]N[6a]C)(C[5]N[5]HH){1|S<4>,2|C<3>,2|H<1>}	121.7560	0.000	1	121.7560	0.000	1     120.4835       0.821      8      120.4835     0.821     8
762	490	818	3:2:4:	3:1:1:1:	3:3:4:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CH3)	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]N[6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CH3){1|N<2>,1|N<3>,2|C<4>,2|H<1>}	C(C[6a]C[5,6a]N[6a])(H)3	C[5,6a](C[5,6a]N[6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH){2|H<1>,3|C<3>}	121.4900	0.000	1	121.4900	0.000	1     120.4835       0.821      8      120.4835     0.821     8
762	490	818	3:2:4:	3:1:1:1:	3:4:3:	C[5,6]-3:S[6]-2:C-4:	C[6]-3:H-1:H-1:H-1:	C[5,6]-3:C[5]-4:C[6]-3:	C[6](C[5,6]C[5,6]C[5])(S[6]C[6])(CH3)	C(C[6]C[5,6]S[6])(H)3	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(C[6]S[6]C)	C[6](C[5,6]C[5,6]C[5])(S[6]C[6])(CH3){1|C<3>,1|N<2>,2|C<4>,2|H<1>}	C(C[6]C[5,6]S[6])(H)3	C[5,6](C[5,6]C[5]C[6])(C[5]C[5]HH)(C[6]S[6]C){3|C<3>,3|H<1>}	125.4960	0.113	2	125.4960	0.113	2     125.4960       0.113      2      125.4960     0.113     2
762	490	818	3:2:4:	3:3:1:1:	3:3:3:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:C[6a]-3:H-1:H-1:	C[5,6a]-3:C[5,6a]-3:C[6a]-3:	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CC[6a]HH)	C(C[6a]C[5,6a]N[6a])(C[6a]C[6a]2)(H)2	C[5,6a](C[5,6a]C[5,6a,6a]C[6a])(C[5,6a]C[5,6a]C[6a])(C[6a]N[6a]C)	C[6a](C[5,6a]C[5,6a]2)(N[6a]N[6a])(CC[6a]HH){4|C<3>}	C(C[6a]C[5,6a]N[6a])(C[6a]C[6a]2)(H)2	C[5,6a](C[5,6a]C[5,6a,6a]C[6a])(C[5,6a]C[5,6a]C[6a])(C[6a]N[6a]C){1|C<4>,1|H<1>,1|N<2>,3|C<3>}	123.5805	0.173	2	123.5805	0.173	2     123.5805       0.173      2      123.5805     0.173     2
762	490	818	3:2:4:	3:3:2:1:	3:3:3:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:C[6a]-3:O-2:H-1:	C[5,6a]-3:C[6a]-3:C[5]-3:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CC[6a]HO)	C(C[6a]C[5,6a]N[6a])(C[6a]C[6a]2)(OH)(H)	C[5,6a](C[5,6a]N[6a]S[5])(C[6a]N[6a]C)(C[5]C[5]H)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a])(CC[6a]HO){1|C<3>,1|N<2>,1|S<2>,2|H<1>}	C(C[6a]C[5,6a]N[6a])(C[6a]C[6a]2)(OH)(H)	C[5,6a](C[5,6a]N[6a]S[5])(C[6a]N[6a]C)(C[5]C[5]H){2|C<3>}	122.3990	0.000	1	122.3990	0.000	1     122.3990       0.000      1      122.3990     0.000     1
762	490	818	3:2:4:	3:4:1:1:	3:3:2:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:C-4:H-1:H-1:	C[5a,6a]-3:C[6a]-3:N[5a]-2:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH)	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]N[5a]N[6a])(C[6a]N[6a]C)(N[5a]C[5a])	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH){1|C<3>,1|H<1>,1|N<2>,1|N<3>}	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]N[5a]N[6a])(C[6a]N[6a]C)(N[5a]C[5a]){1|C<3>,1|C<4>,1|H<1>}	124.0680	0.000	1	124.0680	0.000	1     124.0680       0.000      1      124.0680     0.000     1
762	490	818	3:2:4:	3:4:1:1:	3:3:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:C-4:H-1:H-1:	C[5a,6a]-3:N[5a]-3:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH)	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH){2|H<1>,3|C<3>}	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C){1|H<1>,3|C<3>}	123.8010	0.000	1	123.3175	0.684	2     123.3175       0.684      2      123.3175     0.684     2
762	490	818	3:2:4:	3:4:1:1:	3:3:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:C-4:H-1:H-1:	C[5a,6a]-3:N[5a]-3:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH)	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHH){2|H<1>,3|C<3>}	C(C[6a]C[5a,6a]N[6a])(CCHH)(H)2	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C){1|O<2>,3|C<3>}	122.8340	0.000	1	123.3175	0.684	2     123.3175       0.684      2      123.3175     0.684     2
762	490	818	3:2:4:	3:4:1:1:	3:3:4:	C[5,6a]-3:N[6a]-2:C-4:	C[6a]-3:C-4:H-1:H-1:	C[5,6a]-3:C[6a]-3:C[5]-4:	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a,6a])(CCHH)	C(C[6a]C[5,6a]N[6a])(CCHH)(H)2	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH)	C[6a](C[5,6a]C[5,6a]C[5])(N[6a]C[6a,6a])(CCHH){2|C<3>,2|C<4>,2|H<1>}	C(C[6a]C[5,6a]N[6a])(CCHH)(H)2	C[5,6a](C[5,6a]C[6a,6a]C[5])(C[6a]N[6a]C)(C[5]C[5]HH){2|C<3>,4|H<1>}	122.0900	0.000	1	122.0900	0.000	1     122.0900       0.000      1      122.0900     0.000     1
762	490	818	3:2:4:	3:4:2:1:	3:3:3:	C[5a,6a]-3:N[6a]-2:C-4:	C[6a]-3:C-4:O-2:H-1:	C[5a,6a]-3:N[5a]-3:C[6a]-3:	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHO)	C(C[6a]C[5a,6a]N[6a])(CCHH)(OH)(H)	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C)	C[6a](C[5a,6a]C[5a,6a]N[5a])(N[6a]C[6a])(CCHO){2|H<1>,3|C<3>}	C(C[6a]C[5a,6a]N[6a])(CCHH)(OH)(H)	C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a]H)(C[6a]N[6a]C){1|H<1>,3|C<3>}	121.6300	0.000	1	121.6300	0.000	1     121.6300       0.000      1      121.6300     0.000     1
762	490	818	3:3:4:	3:1:1:1:	3:2:3:	C[5,6a]-3:C[6a]-3:C-4:	C[6a]-3:H-1:H-1:H-1:	C[5,6a]-3:O[5]-2:C[6a]-3:	C[6a](C[5,6a]C[5,6a]O[5])(C[6a]O[6a]C)(CH3)	C(C[6a]C[5,6a]C[6a])(H)3	C[5,6a](C[5,6a]C[5,5]C[6a])(O[5]C[5,5,6])(C[6a]C[6a]C)	C[6a](C[5,6a]C[5,6a]O[5])(C[6a]O[6a]C)(CH3){1|C<3>,2|C<4>}	C(C[6a]C[5,6a]C[6a])(H)3	C[5,6a](C[5,6a]C[5,5]C[6a])(O[5]C[5,5,6])(C[6a]C[6a]C){1|C<3>,1|H<1>,1|O<1>,2|C<4>,2|O<2>}	120.7110	0.000	1	120.7110	0.000	1     120.7110       0.000      1      119.4330     1.734     3
762	490	818	3:3:4:	3:1:1:1:	3:2:3:	C[5a,6]-3:C[6]-3:C-4:	C[6]-3:H-1:H-1:H-1:	N[5a,6]-3:O[5a]-2:C[6]-3:	C[6](C[5a,6]N[5a,6]O[5a])(C[6]C[6]H)(CH3)	C(C[6]C[5a,6]C[6])(H)3	C[5a,6](N[5a,6]C[5a]C[6])(O[5a]C[5a])(C[6]C[6]C)	C[6](C[5a,6]N[5a,6]O[5a])(C[6]C[6]H)(CH3){1|H<1>,3|C<3>}	C(C[6]C[5a,6]C[6])(H)3	C[5a,6](N[5a,6]C[5a]C[6])(O[5a]C[5a])(C[6]C[6]C){1|N<2>,2|C<3>,2|H<1>}	120.1290	0.000	1	120.1290	0.000	1     120.1290       0.000      1      119.4330     1.734     3
762	490	818	3:3:4:	3:1:1:1:	3:2:3:	C[5a,6a]-3:C[6a]-3:C-4:	C[6a]-3:H-1:H-1:H-1:	N[5a,6a]-3:N[5a]-2:C[6a]-3:	C[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(CH3)	C(C[6a]C[5a,6a]C[6a])(H)3	C[5a,6a](N[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a])(C[6a]C[6a]C)	C[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(CH3){1|C<4>,3|C<3>}	C(C[6a]C[5a,6a]C[6a])(H)3	C[5a,6a](N[5a,6a]C[5a,6a]C[6a])(N[5a]C[5a,6a])(C[6a]C[6a]C){1|H<1>,4|C<3>}	117.4590	0.000	1	117.4590	0.000	1     117.4590       0.000      1      119.4330     1.734     3
762	490	818	3:3:4:	3:1:1:1:	3:3:2:	C[5,6]-3:C[5,6]-3:C-4:	C[6]-3:H-1:H-1:H-1:	C[5,6]-3:C[6]-3:S[5]-2:	C[6](C[5,6]C[5,6]S[5])2(CH3)	C(C[6]C[5,6]2)(H)3	C[5,6](C[5,6]C[6]N[5])(C[6]C[5,6]C)(S[5]S[5])	C[6](C[5,6]C[5,6]S[5])2(CH3){1|C<3>,2|N<2>,2|S<2>}	C(C[6]C[5,6]2)(H)3	C[5,6](C[5,6]C[6]N[5])(C[6]C[5,6]C)(S[5]S[5]){1|C<3>,1|O<1>,1|S<2>}	121.6275	0.354	2	121.6275	0.354	2     121.8764       0.674      5      121.8384     0.977     120
