988	138	138	3:3:3:1:	4:4:4:	4:4:4:	N[3]-3:N[3]-3:N-3:O-1:	C[3]-4:C[3]-4:P-4:	C[3]-4:C[3]-4:P-4:	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO)	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO){}	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO){}	97.5128	0.000	1	97.5128	0.000	1     97.5128       0.000      1      97.5128     0.000     1
988	138	670	3:3:3:1:	4:4:4:	4:1:1:	N[3]-3:N[3]-3:N-3:O-1:	C[3]-4:C[3]-4:P-4:	P-4:H-1:H-1:	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO)	N(PN[3]2O)(H)2	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO){}	N(PN[3]2O)(H)2	110.1330	9.427	2	110.1330	9.427	2     110.1330       9.427      2      110.1330     9.427     2
988	138	762	3:3:3:1:	4:4:2:	4:3:3:	N[3]-3:C[6a]-3:C[6a]-3:O-1:	C[3]-4:P-4:O[3]-2:	P-4:C[6a]-3:C[6a]-3:	P(N[3]C[3]O[3])(C[6a]C[6a]2)2(O)	N[3](C[3]O[3]CC)(PC[6a]2O)(O[3]C[3])	C[6a](PC[6a]N[3]O)(C[6a]C[6a]H)2	P(N[3]C[3]O[3])(C[6a]C[6a]2)2(O)	N[3](C[3]O[3]CC)(PC[6a]2O)(O[3]C[3]){}	C[6a](PC[6a]N[3]O)(C[6a]C[6a]H)2{1|C<3>,2|H<1>}	99.4279	2.683	2	99.4279	2.683	2     99.4279       2.683      2      99.4279     2.683     2
988	138	963	3:3:3:1:	4:4:2:	4:	N[3]-3:C[6a]-3:C[6a]-3:O-1:	C[3]-4:P-4:O[3]-2:	P-4:	P(N[3]C[3]O[3])(C[6a]C[6a]2)2(O)	N[3](C[3]O[3]CC)(PC[6a]2O)(O[3]C[3])	O(PC[6a]2N[3])	P(N[3]C[3]O[3])(C[6a]C[6a]2)2(O)	N[3](C[3]O[3]CC)(PC[6a]2O)(O[3]C[3]){}	O(PC[6a]2N[3])	121.9290	0.000	1	121.9290	0.000	1     121.9290       0.000      1      121.9290     0.000     1
988	138	963	3:3:3:1:	4:4:4:	4:	N[3]-3:N[3]-3:N-3:O-1:	C[3]-4:C[3]-4:P-4:	P-4:	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO)	O(PN[3]2N)	P(N[3]C[3]2)2(NHH)(O)	N[3](C[3]C[3]CC)(C[3]C[3]HH)(PN[3]NO){}	O(PN[3]2N)	114.2000	7.300	2	114.2000	7.300	2     114.2000       7.300      2      114.2000     7.300     2
988	210	210	2:2:1:1:	3:4:	3:4:	N-2:N-2:Cl-1:Cl-1:	C-3:P-4:	C-3:P-4:	P(NC)2(Cl)2	N(CC[6a]N)(PCl2N)	N(CC[6a]N)(PCl2N)	P(NC)2(Cl)2	N(CC[6a]N)(PCl2N)	N(CC[6a]N)(PCl2N)	129.4570	0.000	1	129.4570	0.000	1     129.4570       0.000      1      129.4570     0.000     1
988	210	210	2:2:1:1:	4:3:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:C-3:	P-4:P-4:	P(NC)(NP)(Cl)2	N(PCl2N)(CClN)	N(PCl2N)2	P(NC)(NP)(Cl)2	N(PCl2N)(CClN)	N(PCl2N)2	116.6875	5.274	2	116.6875	5.274	2     116.6875       5.274      2      116.6875     5.274     2
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PC[6a]3)(PCl2N)	N(PC[6a]3)(PCl2N)	P(NP)2(Cl)2	N(PC[6a]3)(PCl2N)	N(PC[6a]3)(PCl2N)	117.3600	0.000	1	117.3600	0.000	1     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PC[6a]3)(PCl2N)	N(PCl2N)(PCl3)	P(NP)2(Cl)2	N(PC[6a]3)(PCl2N)	N(PCl2N)(PCl3)	116.9020	0.000	1	116.9020	0.000	1     120.2925       2.920      10      121.2526     2.757     15
988	210	210	2:2:1:1:	4:4:	4:4:	N-2:N-2:Cl-1:Cl-1:	P-4:P-4:	P-4:P-4:	P(NP)2(Cl)2	N(PCl2N)(PCl3)	N(PCl2N)(PCl3)	P(NP)2(Cl)2	N(PCl2N)(PCl3)	N(PCl2N)(PCl3)	118.1490	0.000	1	118.1490	0.000	1     120.2925       2.920      10      121.2526     2.757     15
