474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:3:4:2:  3:3:4:  4:2:  C[5,6a]-3:C[5]-3:C-4:N-2:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:N-2:  417_9820_1  416_3436_4  599_4335_0  109.5550  0.000  1  109.5550  0.000  1  109.5550  0.000  1  109.5550  0.000  1  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:1:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C-1:  417_9488_1  416_3442_1  599_4340_0  111.4480  0.000  1  111.4480  0.000  1  111.4480  0.000  1  111.4480  0.000  1  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:2:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C-2:  417_9098_1  416_2947_6  599_4357_0  114.4550  0.000  1  114.4550  0.000  1  114.4550  0.000  1  114.4065  0.005  2  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:2:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:N-2:  417_9152_1  416_2947_3  599_4364_0  114.3580  0.000  1  114.3580  0.000  1  114.3580  0.000  1  114.4065  0.005  2  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:3:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C-3:  417_9317_1  416_2947_15  599_4344_0  113.4220  0.000  1  113.4220  0.000  1  113.4847  0.190  3  113.4847  0.190  3  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:3:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C-3:  417_9317_1  416_2947_7  599_4348_0  113.0830  0.000  1  113.0830  0.000  1  113.4847  0.190  3  113.4847  0.190  3  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:3:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C-3:  417_9317_1  416_2947_7  599_4355_0  113.9490  0.000  1  113.9490  0.000  1  113.4847  0.190  3  113.4847  0.190  3  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:3:4:  4:4:  C[5,6a]-3:C[5]-4:N-2:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:P-4:  417_9321_1  416_2947_7  599_4368_0  113.4530  0.000  1  113.4530  0.000  1  113.4530  0.000  1  113.4530  0.000  1  111.1087  5.197  32  110.9651  5.435  35  
474  727  941  0:SP3_SP2_SP2  C[5]  C[5,6a]  N  3:4:2:1:  3:4:3:  4:2:  C[5,6a]-3:C[5,5]-4:N-2:H-1:  C[5,6a]-3:C[5]-4:C[6a]-3:  C[5]-4:N-2:  417_8796_1  416_3646_1  599_4276_0  113.9940  0.000  1  113.9940  0.000  1  113.9940  0.000  1  113.9940  0.000  1  111.1087  5.197  32  110.9651  5.435  35  
474  727  945  0:SP3_SP2_SP3  C[5]  C[5,6a]  P  3:3:3:1:  3:3:4:  4:4:4:  C[5,6a]-3:C[5]-3:P-3:H-1:  C[5,6a]-3:C[6a]-3:C[5]-4:  C[5]-4:C[5]-4:C[5]-4:  417_9248_1  416_2949_1  694_817_0  111.0510  0.756  3  111.0510  0.571  3  111.0510  0.571  3  111.0510  0.571  3  110.3095  14.206  10  110.3095  14.206  10  
474  727  945  0:SP3_SP2_SP3  C[5]  C[5,6a]  P  3:3:3:1:  3:4:3:  4:3:3:  C[5,6a]-3:C[5,6a]-3:P-3:H-1:  C[5,6a]-3:C[5]-4:C[6a]-3:  C[5]-4:C[5]-3:N-3:  417_10899_1  416_2020_1  694_791_0  109.8100  3.895  2  109.8100  15.169  2  109.8100  15.169  2  109.8100  15.169  2  110.3095  14.206  10  110.3095  14.206  10  
