422	542	762	3:3:3:3:	4:3:3:	4:3:3:	C[5,5,6a]-3:N[5]-3:N[5]-3:C[6a]-3:	Se[5,5]-4:C[5]-3:C[6a]-3:	Se[5,5]-4:C[6a]-3:C[6a]-3:	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2)	N[5](Se[5,5]C[5,5,6a]C[6a]N[5])(C[5]C[5,6a]O)(C[6a]C[6a]2)	C[6a](Se[5,5]C[5,5,6a]N[5]2)(C[6a]C[6a]H)2	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2){2|H<1>,2|O<1>,8|C<3>}	N[5](Se[5,5]C[5,5,6a]C[6a]N[5])(C[5]C[5,6a]O)(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[6a](Se[5,5]C[5,5,6a]N[5]2)(C[6a]C[6a]H)2{2|H<1>,7|C<3>}	91.0049	0.241	2	91.0049	0.241	2     91.0049       0.241      2      91.0049     0.241     2
422	542	818	3:3:3:3:	4:3:3:	4:3:3:	C[5,5,6a]-3:N[5]-3:N[5]-3:C[6a]-3:	Se[5,5]-4:C[5]-3:C[6a]-3:	Se[5,5]-4:C[5,6a]-3:C[5,6a]-3:	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2)	N[5](Se[5,5]C[5,5,6a]C[6a]N[5])(C[5]C[5,6a]O)(C[6a]C[6a]2)	C[5,5,6a](Se[5,5]C[6a]N[5]2)(C[5,6a]C[6a]C[5])2	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2){2|H<1>,2|O<1>,8|C<3>}	N[5](Se[5,5]C[5,5,6a]C[6a]N[5])(C[5]C[5,6a]O)(C[6a]C[6a]2){2|H<1>,8|C<3>}	C[5,5,6a](Se[5,5]C[6a]N[5]2)(C[5,6a]C[6a]C[5])2{2|H<1>,2|O<1>,5|C<3>}	80.9691	0.755	2	80.9691	0.755	2     80.9691       0.755      2      80.9691     0.755     2
422	762	818	3:3:2:2:	4:3:3:	4:3:3:	C[5,5,6a]-3:C[6a]-3:O[5]-2:O[5]-2:	Se[5,5]-4:C[6a]-3:C[6a]-3:	Se[5,5]-4:C[5,6a]-3:C[5,6a]-3:	Se[5,5](C[5,5,6a]C[5,6a]2)(C[6a]C[6a]2)(O[5]C[5])2	C[6a](Se[5,5]C[5,5,6a]O[5]2)(C[6a]C[6a]H)2	C[5,5,6a](Se[5,5]C[6a]O[5]2)(C[5,6a]C[6a]C[5])2	Se[5,5](C[5,5,6a]C[5,6a]2)(C[6a]C[6a]2)(O[5]C[5])2{2|H<1>,2|O<1>,4|C<3>}	C[6a](Se[5,5]C[5,5,6a]O[5]2)(C[6a]C[6a]H)2{2|H<1>,5|C<3>}	C[5,5,6a](Se[5,5]C[6a]O[5]2)(C[5,6a]C[6a]C[5])2{2|H<1>,2|O<1>,3|C<3>}	103.3300	0.000	1	103.3300	0.000	1     103.3300       0.000      1      103.3300     0.000     1
422	762	818	3:3:3:1:	4:3:3:	3:4:3:	C[5,6a]-3:Se[5]-3:C[6a]-3:Br-1:	Se[5]-4:C[6a]-3:C[6a]-3:	C[5,6a,6a]-3:Se[5]-4:C[6a]-3:	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H)	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br){3|H<1>,7|C<3>}	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2{2|H<1>,5|C<3>}	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H){1|H<1>,6|C<3>}	100.6180	0.000	1	100.6180	0.000	1     100.6180       0.000      1      100.6180     0.000     1
422	762	818	3:3:3:3:	4:3:3:	4:3:3:	C[5,5,6a]-3:N[5]-3:N[5]-3:C[6a]-3:	Se[5,5]-4:C[6a]-3:C[6a]-3:	Se[5,5]-4:C[5,6a]-3:C[5,6a]-3:	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2)	C[6a](Se[5,5]C[5,5,6a]N[5]2)(C[6a]C[6a]H)2	C[5,5,6a](Se[5,5]C[6a]N[5]2)(C[5,6a]C[6a]C[5])2	Se[5,5](C[5,5,6a]C[5,6a]2)(N[5]C[6a]C[5])2(C[6a]C[6a]2){2|H<1>,2|O<1>,8|C<3>}	C[6a](Se[5,5]C[5,5,6a]N[5]2)(C[6a]C[6a]H)2{2|H<1>,7|C<3>}	C[5,5,6a](Se[5,5]C[6a]N[5]2)(C[5,6a]C[6a]C[5])2{2|H<1>,2|O<1>,5|C<3>}	103.2260	0.000	1	103.2260	0.000	1     103.2260       0.000      1      103.2260     0.000     1
422	762	981	3:3:3:1:	4:3:3:	4:	C[5,6a]-3:Se[5]-3:C[6a]-3:Br-1:	Se[5]-4:C[6a]-3:C[6a]-3:	Se[5]-4:	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2	Br(Se[5]C[5,6a]C[6a]Se[5])	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br){3|H<1>,7|C<3>}	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2{2|H<1>,5|C<3>}	Br(Se[5]C[5,6a]C[6a]Se[5])	93.3412	0.000	1	93.3412	0.000	1     93.3412       0.000      1      93.3412     0.000     1
422	762	993	3:3:3:1:	4:3:3:	3:4:3:	C[5,6a]-3:Se[5]-3:C[6a]-3:Br-1:	Se[5]-4:C[6a]-3:C[6a]-3:	C[5,6a]-3:Se[5]-4:C[6a]-3:	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br)	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a]Br)(C[6a]C[6a]2)	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br){3|H<1>,7|C<3>}	C[6a](Se[5]C[5,6a]Se[5]Br)(C[6a]C[6a]H)2{2|H<1>,5|C<3>}	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a]Br)(C[6a]C[6a]2){3|H<1>,7|C<3>}	92.1400	0.000	1	92.1400	0.000	1     92.1400       0.000      1      92.1400     0.000     1
422	790	993	3:4:4:1:	4:	4:4:4:	Se[5,5]-3:C[5]-4:C[5]-4:Cl-1:	Se[5,5]-4:	Se[5,5]-4:C[5]-4:C[5]-4:	Se[5,5](Se[5,5]C[5]2)(C[5]C[5]HH)2(Cl)	Cl(Se[5,5]Se[5,5]C[5]2)	Se[5,5](Se[5,5]C[5]2Cl)(C[5]C[5]HH)2	Se[5,5](Se[5,5]C[5]2)(C[5]C[5]HH)2(Cl){8|H<1>}	Cl(Se[5,5]Se[5,5]C[5]2)	Se[5,5](Se[5,5]C[5]2Cl)(C[5]C[5]HH)2{8|H<1>}	175.2280	0.000	1	175.2280	0.000	1     175.2280       0.000      1      175.2280     0.000     1
422	818	981	3:3:3:1:	3:4:3:	4:	C[5,6a]-3:Se[5]-3:C[6a]-3:Br-1:	C[5,6a,6a]-3:Se[5]-4:C[6a]-3:	Se[5]-4:	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br)	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H)	Br(Se[5]C[5,6a]C[6a]Se[5])	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br){3|H<1>,7|C<3>}	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H){1|H<1>,6|C<3>}	Br(Se[5]C[5,6a]C[6a]Se[5])	98.9945	0.000	1	98.9945	0.000	1     98.9945       0.000      1      98.9945     0.000     1
422	818	993	3:3:3:1:	3:4:3:	3:4:3:	C[5,6a]-3:Se[5]-3:C[6a]-3:Br-1:	C[5,6a,6a]-3:Se[5]-4:C[6a]-3:	C[5,6a]-3:Se[5]-4:C[6a]-3:	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br)	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H)	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a]Br)(C[6a]C[6a]2)	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a])(C[6a]C[6a]2)(Br){3|H<1>,7|C<3>}	C[5,6a](C[5,6a,6a]C[6a,6a]C[5,6a])(Se[5]C[6a]Se[5]Br)(C[6a]C[6a]H){1|H<1>,6|C<3>}	Se[5](C[5,6a]C[5,6a,6a]C[6a])(Se[5]C[5,6a]C[6a]Br)(C[6a]C[6a]2){3|H<1>,7|C<3>}	85.5605	0.000	1	85.5605	0.000	1     85.5605       0.000      1      85.5605     0.000     1
