454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[5]H)	C[5](C[5]N[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NC[5]H){1|C<4>,1|H<1>}	C[5](C[5]N[5]C)(S[5]C[5])(H){1|N<3>}	88.0468	0.000	1	88.0468	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[5]H)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NC[5]H){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	88.9555	0.000	1	88.9555	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]C)	C[5](C[5]N[5]O)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|O<2>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]C){1|H<1>,1|O<2>}	C[5](C[5]N[5]O)(S[5]C[5])(H){1|N<3>}	88.6853	0.027	2	88.6853	0.027	2     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H)	C[5](C[5]C[6a]N[5])(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|C<3>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H){1|C<3>,1|H<1>}	C[5](C[5]C[6a]N[5])(S[5]C[5])(H){1|N<3>,2|C<3>}	88.7076	0.000	1	88.7076	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	88.9120	0.034	2	88.9120	0.034	2     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|C<3>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|C<3>,1|H<1>}	C[5](C[5]N[5]C)(S[5]C[5])(H){1|N<3>}	89.1545	0.417	3	89.0312	0.364	5     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|C<4>,1|H<1>}	C[5](C[5]N[5]C)(S[5]C[5])(H){1|N<3>}	88.8462	0.262	2	89.0312	0.364	5     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHH){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	89.1514	0.133	3	89.1514	0.133	3     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHN)	C[5](C[5]N[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NHN){1|C<4>,1|H<1>}	C[5](C[5]N[5]C)(S[5]C[5])(H){1|N<3>}	88.0083	0.000	1	88.0083	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHN)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHN){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	88.1481	0.000	1	88.1481	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHP)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHP){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	89.0181	0.000	1	89.0181	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHS)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHS){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	90.8138	0.000	1	90.8138	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NPtC)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NPtC){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	88.3158	0.000	1	88.3158	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]H)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NSiTi)	C[5](C[5]N[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]H)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NSiTi){2|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(H){1|N<3>}	89.3346	0.000	1	89.3346	0.000	1     88.7051       0.547      48      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	N[5]-3:S[5]-2:O-1:	S[5](C[5]N[5]N)(C[5]N[5]O)	C[5](N[5]N[5])(S[5]C[5])(NHH)	C[5](N[5]N[5]H)(S[5]C[5])(O)	S[5](C[5]N[5]N)(C[5]N[5]O){1|H<1>}	C[5](N[5]N[5])(S[5]C[5])(NHH){1|H<1>,1|O<1>}	C[5](N[5]N[5]H)(S[5]C[5])(O){1|N<3>}	88.6361	0.134	3	88.6361	0.134	3     88.6361       0.134      3      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	N[5]-3:S[5]-2:S-1:	S[5](C[5]N[5]N)(C[5]N[5]S)	C[5](N[5]N[5])(S[5]C[5])(NCH)	C[5](N[5]N[5]H)(S[5]C[5])(S)	S[5](C[5]N[5]N)(C[5]N[5]S){1|H<1>}	C[5](N[5]N[5])(S[5]C[5])(NCH){1|H<1>,1|S<1>}	C[5](N[5]N[5]H)(S[5]C[5])(S){1|N<3>}	88.9688	0.000	1	88.9688	0.000	1     89.3338       0.516      2      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:1:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	N[5]-3:S[5]-2:S-1:	S[5](C[5]N[5]N)(C[5]N[5]S)	C[5](N[5]N[5])(S[5]C[5])(NHH)	C[5](N[5]N[5]H)(S[5]C[5])(S)	S[5](C[5]N[5]N)(C[5]N[5]S){1|H<1>}	C[5](N[5]N[5])(S[5]C[5])(NHH){1|H<1>,1|S<1>}	C[5](N[5]N[5]H)(S[5]C[5])(S){1|N<3>}	89.6989	0.000	1	89.6989	0.000	1     89.3338       0.516      2      88.7672     0.572     67
454	818	818	3:3:	2:2:3:	3:2:2:	C[5,5]-3:C[5]-3:	S[5]-2:S[5]-2:C[5]-3:	C[5,5]-3:S[5]-2:S[5]-2:	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5])	C[5](S[5]C[5,5])2(C[5]C[5]2)	C[5,5](C[5,5]S[5]2)(S[5]C[5])2	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5]){1|C<3>,1|S<2>,2|C<4>}	C[5](S[5]C[5,5])2(C[5]C[5]2){2|C<4>,2|S<2>,4|H<1>}	C[5,5](C[5,5]S[5]2)(S[5]C[5])2{2|C<3>}	93.7651	0.310	6	93.7651	0.310	6     93.9702       0.453      104      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5,5]-3:C[5]-3:	S[5]-2:S[5]-2:C[5]-3:	C[5,5]-3:S[5]-2:S[5]-2:	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5])	C[5](S[5]C[5,5])2(C[5]S[5]2)	C[5,5](C[5,5]S[5]2)(S[5]C[5])2	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5]){1|C<3>,3|S<2>}	C[5](S[5]C[5,5])2(C[5]S[5]2){2|C<3>,2|S<2>}	C[5,5](C[5,5]S[5]2)(S[5]C[5])2{2|C<3>}	93.9799	0.462	96	93.9828	0.458	98     93.9702       0.453      104      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5,5]-3:C[5]-3:	S[5]-2:S[5]-2:C[5]-3:	C[5,5]-3:S[5]-2:S[5]-2:	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5])	C[5](S[5]C[5,5])2(C[5]S[5]2)	C[5,5](C[5,5]S[5]2)(S[5]C[5])2	S[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5]){1|C<3>,3|S<2>}	C[5](S[5]C[5,5])2(C[5]S[5]2){2|C<4>,2|S<2>}	C[5,5](C[5,5]S[5]2)(S[5]C[5])2{2|C<3>}	94.1209	0.115	2	93.9828	0.458	98     93.9702       0.453      104      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5,5]-3:C[5]-3:	S[5]-2:S[5]-2:C[6]-3:	C[5,5]-3:S[5]-2:S[5]-2:	S[5](C[5,5]C[5,5]S[5])(C[5]C[6]S[5])	C[5](S[5]C[5,5])2(C[6]S[6]2)	C[5,5](C[5,5]S[5]2)(S[5]C[5])2	S[5](C[5,5]C[5,5]S[5])(C[5]C[6]S[5]){1|C<3>,3|S<2>}	C[5](S[5]C[5,5])2(C[6]S[6]2){2|C<4>,2|S<2>}	C[5,5](C[5,5]S[5]2)(S[5]C[5])2{2|C<3>}	93.9385	0.376	21	93.9385	0.376	21     93.9385       0.376      21      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5]-3:C[5]-3:	C[5]-2:S[5]-2:C-3:	C[5]-3:S[5]-2:S[5]-2:	S[5](C[5]C[5]S[5])(C[5]C[5]C)	C[5](C[5]S[5])(S[5]C[5])(CNO)	C[5](C[5]S[5]2)(S[5]C[5])2	S[5](C[5]C[5]S[5])(C[5]C[5]C){2|S<2>}	C[5](C[5]S[5])(S[5]C[5])(CNO){1|C<3>}	C[5](C[5]S[5]2)(S[5]C[5])2{3|C<3>}	93.0323	1.421	2	93.0323	1.421	2     93.0323       1.421      2      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	N[5]-3:S[5]-2:S-2:	S[5](C[5]N[5]N)(C[5]N[5]S)	C[5](N[5]N[5])(S[5]C[5])(NHH)	C[5](N[5]N[5]Cd)(S[5]C[5])(SCd)	S[5](C[5]N[5]N)(C[5]N[5]S){1|Cd<4>}	C[5](N[5]N[5])(S[5]C[5])(NHH){1|Cd<4>,1|S<2>}	C[5](N[5]N[5]Cd)(S[5]C[5])(SCd){1|N<3>}	87.6154	0.000	1	87.6154	0.000	1     87.6154       0.000      1      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:2:	C[5]-3:C[5]-3:	S[5]-2:S[5]-2:C-3:	C[5]-3:S[5]-2:S-2:	S[5](C[5]C[5]S)(C[5]S[5]C)	C[5](S[5]C[5])2(CC[6a]C)	C[5](C[5]S[5]C)(S[5]C[5])(SC)	S[5](C[5]C[5]S)(C[5]S[5]C){1|C<4>}	C[5](S[5]C[5])2(CC[6a]C){1|C<4>,1|S<2>}	C[5](C[5]S[5]C)(S[5]C[5])(SC){1|C<3>}	96.1952	0.261	3	96.1952	0.261	3     96.1952       0.261      3      93.9533     0.799     131
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCC)	C[5](C[5]N[5]O)(S[5]C[5])(CC[6a]H)	S[5](C[5]C[5]C)(C[5]N[5]N){1|O<1>}	C[5](N[5]C[5])(S[5]C[5])(NCC){1|C<3>,1|O<1>}	C[5](C[5]N[5]O)(S[5]C[5])(CC[6a]H){1|N<3>}	88.7938	0.000	1	88.7938	0.000	1     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCH)	C[5](C[5]N[5]C)(S[5]C[5])(COO)	S[5](C[5]C[5]C)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NCH){1|C<3>,1|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(COO){1|N<3>}	88.4923	0.148	3	88.4923	0.148	3     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCH)	C[5](C[5]N[5]H)(S[5]C[5])(COO)	S[5](C[5]C[5]C)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NCH){1|C<3>,1|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(COO){1|N<3>}	88.1018	0.250	2	88.1018	0.250	2     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCN)	C[5](C[5]N[5]O)(S[5]C[5])(CCH)	S[5](C[5]C[5]C)(C[5]N[5]N){1|O<1>}	C[5](N[5]C[5])(S[5]C[5])(NCN){1|C<3>,1|O<1>}	C[5](C[5]N[5]O)(S[5]C[5])(CCH){1|N<3>}	87.5042	0.000	1	87.5042	0.000	1     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H)	C[5](C[5]N[5]C)(S[5]C[5])(CCO)	S[5](C[5]C[5]C)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H){1|C<3>,1|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(CCO){1|N<3>}	88.6497	0.086	4	88.6497	0.086	4     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H)	C[5](C[5]N[5]H)(S[5]C[5])(CHO)	S[5](C[5]C[5]C)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H){1|C<3>,1|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(CHO){1|N<3>}	88.1333	0.000	1	88.1333	0.000	1     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]C)(S[5]C[5])(COO)	S[5](C[5]C[5]C)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|C<3>,1|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(COO){1|N<3>}	88.8402	0.220	2	88.8402	0.220	2     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-3:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]O)(S[5]C[5])(CC[6a]H)	S[5](C[5]C[5]C)(C[5]N[5]N){1|O<1>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|C<3>,1|O<1>}	C[5](C[5]N[5]O)(S[5]C[5])(CC[6a]H){1|N<3>}	88.1881	0.298	3	88.1881	0.298	3     88.4091       0.384      17      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:N-3:	S[5](C[5]C[5]N)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCH)	C[5](C[5]N[5]H)(S[5]C[5])(NOO)	S[5](C[5]C[5]N)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NCH){1|H<1>,1|N<3>}	C[5](C[5]N[5]H)(S[5]C[5])(NOO){1|N<3>}	86.5924	0.464	5	86.5924	0.464	5     86.7482       0.564      6      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:N-3:	S[5](C[5]C[5]N)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]H)(S[5]C[5])(NOO)	S[5](C[5]C[5]N)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|H<1>,1|N<3>}	C[5](C[5]N[5]H)(S[5]C[5])(NOO){1|N<3>}	87.5272	0.000	1	87.5272	0.000	1     86.7482       0.564      6      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:P-3:	S[5](C[5]C[5]P)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCC)	C[5](C[5]N[5]C)(S[5]C[5])(PC[6a]2)	S[5](C[5]C[5]P)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NCC){1|C<4>,1|P<3>}	C[5](C[5]N[5]C)(S[5]C[5])(PC[6a]2){1|N<3>}	89.0427	0.202	2	89.0427	0.202	2     89.2878       0.448      3      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:3:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:P-3:	S[5](C[5]C[5]P)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]H)(S[5]C[5])(PC[6a]2)	S[5](C[5]C[5]P)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|H<1>,1|P<3>}	C[5](C[5]N[5]H)(S[5]C[5])(PC[6a]2){1|N<3>}	89.7779	0.000	1	89.7779	0.000	1     89.2878       0.448      3      88.1272     0.920     26
454	818	818	3:3:	2:2:3:	3:2:4:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-4:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NCH)	C[5](C[5]N[5]H)(S[5]C[5])(CH3)	S[5](C[5]C[5]C)(C[5]N[5]N){1|H<1>}	C[5](N[5]C[5])(S[5]C[5])(NCH){1|C<4>,1|H<1>}	C[5](C[5]N[5]H)(S[5]C[5])(CH3){1|N<3>}	89.1368	0.243	12	89.1368	0.243	12     89.2098       0.282      15      90.5168     2.994     21
454	818	818	3:3:	2:2:3:	3:2:4:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-4:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H)	C[5](C[5]N[5]C)(S[5]C[5])(CH3)	S[5](C[5]C[5]C)(C[5]N[5]N){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(NC[6a]H){2|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(CH3){1|N<3>}	89.4060	0.303	2	89.4060	0.303	2     89.2098       0.282      15      90.5168     2.994     21
454	818	818	3:3:	2:2:3:	3:2:4:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:N-3:	C[5]-3:S[5]-2:C-4:	S[5](C[5]C[5]C)(C[5]N[5]N)	C[5](N[5]C[5])(S[5]C[5])(NHH)	C[5](C[5]N[5]C)(S[5]C[5])(CCCH)	S[5](C[5]C[5]C)(C[5]N[5]N){1|C<3>}	C[5](N[5]C[5])(S[5]C[5])(NHH){1|C<3>,1|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(CCCH){1|N<3>}	89.6933	0.000	1	89.6933	0.000	1     89.2098       0.282      15      90.5168     2.994     21
454	818	818	3:3:	2:2:3:	3:2:4:	C[5]-3:C[5]-3:	N[5]-2:S[5]-2:P-3:	C[5]-3:S[5]-2:C-4:	S[5](C[5]C[5]C)(C[5]N[5]P)	C[5](N[5]C[5])(S[5]C[5])(PC[5]2)	C[5](C[5]N[5]C)(S[5]C[5])(CH3)	S[5](C[5]C[5]C)(C[5]N[5]P){1|C<4>}	C[5](N[5]C[5])(S[5]C[5])(PC[5]2){2|C<4>}	C[5](C[5]N[5]C)(S[5]C[5])(CH3){1|P<3>}	89.9591	0.104	3	89.9591	0.104	3     89.9591       0.104      3      90.5168     2.994     21
454	818	818	3:3:	2:2:3:	3:2:4:	C[5]-3:C[5]-3:	S[5]-2:S[5]-2:C-3:	C[5]-3:S[5]-2:C-4:	S[5](C[5]C[5]C)(C[5]S[5]C)	C[5](S[5]C[5])2(CC[6a]C)	C[5](C[5]S[5]S)(S[5]C[5])(CH3)	S[5](C[5]C[5]C)(C[5]S[5]C){1|S<2>}	C[5](S[5]C[5])2(CC[6a]C){1|C<4>,1|S<2>}	C[5](C[5]S[5]S)(S[5]C[5])(CH3){1|C<3>}	97.6098	0.583	3	97.6098	0.583	3     97.6098       0.583      3      90.5168     2.994     21
454	818	818	3:3:	2:2:3:	3:3:2:	C[5,6a]-3:C[5]-3:	N[5]-2:S[5]-2:C[6]-3:	C[5,6a]-3:C[6a]-3:S[5]-2:	S[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6]N[5])	C[5](N[5]C[5,6a])(S[5]C[5,6a])(C[6]C[6]2)	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(S[5]C[5])	S[5](C[5,6a]C[5,6a]C[6a])(C[5]C[6]N[5]){1|H<1>,4|C<3>}	C[5](N[5]C[5,6a])(S[5]C[5,6a])(C[6]C[6]2){1|H<1>,1|N<2>,1|O<2>,3|C<3>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(S[5]C[5]){2|C<3>,2|H<1>}	89.1639	0.000	1	89.1639	0.000	1     89.1639       0.000      1      88.5218     0.560     3
454	818	818	3:3:	2:2:3:	3:3:2:	C[5,6a]-3:C[5]-3:	N[5]-2:S[5]-2:N[5]-3:	C[5,6a]-3:C[6a]-3:S[5]-2:	S[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]2)	C[5](N[5]C[5,6a])(S[5]C[5,6a])(N[5]C[5]2)	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(S[5]C[5])	S[5](C[5,6a]C[5,6a]C[6a])(C[5]N[5]2){1|C<4>,1|H<1>,3|C<3>}	C[5](N[5]C[5,6a])(S[5]C[5,6a])(N[5]C[5]2){1|C<4>,1|H<1>,1|N<3>,1|O<1>,1|O<2>,2|C<3>}	C[5,6a](C[5,6a]C[6a]N[5])(C[6a]C[6a]H)(S[5]C[5]){1|C<3>,1|N<3>,2|H<1>}	88.2675	0.000	1	88.2008	0.094	2     88.2008       0.094      2      88.5218     0.560     3
