466	762	790	3:4:1:1:	3:4:1:	4:	C[6]-3:C[6]-4:Cl-1:Cl-1:	C[6,6a]-3:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6a]O)(C[6]C[6]Cl2)(Cl)2	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]Cl2)(O)	Cl(C[6]C[6]2Cl)	C[6](C[6]C[6,6a]O)(C[6]C[6]Cl2)(Cl)2{1|O<1>,2|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]Cl2)(O){2|Cl<1>,1|H<1>,1|N<2>,2|C<3>}	Cl(C[6]C[6]2Cl)	108.1705	3.239	2	108.1705	3.239	2     107.8840       2.943      10      108.5257     2.739     16
466	762	790	3:4:1:1:	3:4:1:	4:	C[6]-3:C[6]-4:Cl-1:Cl-1:	C[6,6a]-3:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6a]O)(C[6]C[6]Cl2)(Cl)2	C[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]Cl2)(O)	Cl(C[6]C[6]2Cl)	C[6](C[6]C[6,6a]O)(C[6]C[6]Cl2)(Cl)2{1|C<3>,1|N<2>,1|O<1>}	C[6](C[6,6a]C[6,6a]N[6a])(C[6]C[6]Cl2)(O){2|Cl<1>,3|C<3>}	Cl(C[6]C[6]2Cl)	107.4800	3.311	2	107.4800	3.311	2     107.8840       2.943      10      108.5257     2.739     16
466	762	790	3:4:1:1:	3:4:1:	4:	C[6]-3:C[6]-4:Cl-1:Cl-1:	C[6,6a]-3:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6a]O)(C[6]C[6]HH)(Cl)2	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]Cl2)(O)	Cl(C[6]C[6]2Cl)	C[6](C[6]C[6,6a]O)(C[6]C[6]HH)(Cl)2{2|C<3>,2|H<1>}	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]Cl2)(O){1|C<4>,2|C<3>,3|H<1>}	Cl(C[6]C[6]2Cl)	107.9232	3.347	6	107.9232	3.347	6     107.8840       2.943      10      108.5257     2.739     16
466	762	790	3:4:1:1:	3:4:1:	4:	C[6]-3:C[6]-4:Cl-1:H-1:	C[6,6]-3:C[6]-4:H-1:	C[6]-4:	C[6](C[6]C[6,6]H)(C[6]C[6]HO)(Cl)(H)	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]ClH)(H)	Cl(C[6]C[6]2H)	C[6](C[6]C[6,6]H)(C[6]C[6]HO)(Cl)(H){1|H<1>,1|O<2>,2|C<4>}	C[6](C[6,6]C[6,6]C[6])(C[6]C[6]ClH)(H){1|C<4>,3|O<2>,4|H<1>}	Cl(C[6]C[6]2H)	110.0355	0.087	2	110.0355	0.087	2     110.0355       0.087      2      108.5257     2.739     16
466	762	790	3:4:1:1:	3:4:1:	4:	C[6]-3:S[6]-4:Cl-1:Cl-1:	C[6,6a]-3:C[6]-4:O-1:	C[6]-4:	C[6](C[6]C[6,6a]O)(S[6]N[6]OO)(Cl)2	C[6](C[6,6a]C[6,6a]C[6a])(C[6]S[6]Cl2)(O)	Cl(C[6]C[6]S[6]Cl)	C[6](C[6]C[6,6a]O)(S[6]N[6]OO)(Cl)2{1|C<4>,2|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(C[6]S[6]Cl2)(O){1|H<1>,1|N<3>,2|C<3>,2|O<1>}	Cl(C[6]C[6]S[6]Cl)	109.3750	2.768	4	109.3750	2.768	4     109.3750       2.768      4      108.5257     2.739     16
466	762	790	3:4:1:1:	3:4:2:	4:	C[6]-3:S[6]-4:Cl-1:H-1:	C[6,6a]-3:C[6]-4:N-2:	C[6]-4:	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(Cl)(H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]S[6]ClH)(NN)	Cl(C[6]C[6]S[6]H)	C[6](C[6]C[6,6a]N)(S[6]N[6]OO)(Cl)(H){1|C<4>,2|C<3>}	C[6](C[6,6a]C[6,6a]C[6a])(C[6]S[6]ClH)(NN){1|H<1>,1|N<3>,2|C<3>,2|O<1>}	Cl(C[6]C[6]S[6]H)	110.7717	0.769	6	110.7717	0.769	6     110.7717       0.769      6      110.7717     0.769     6
466	762	790	3:4:1:1:	3:4:3:	4:	C[6,6a]-3:C[6]-4:Cl-1:Cl-1:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6]-4:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]N[6]HN)(Cl)2	C[6,6a](C[6,6a]C[6a]S[6])(C[6]C[6]Cl2)(C[6a]C[6a]H)	Cl(C[6]C[6,6a]C[6]Cl)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]N[6]HN)(Cl)2{1|H<1>,1|S<3>,1|S<4>,2|C<3>}	C[6,6a](C[6,6a]C[6a]S[6])(C[6]C[6]Cl2)(C[6a]C[6a]H){1|C<3>,1|N<2>,2|N<3>,3|H<1>}	Cl(C[6]C[6,6a]C[6]Cl)	110.7495	2.804	2	110.7495	2.804	2     110.7495       2.804      2      110.2412     1.577     5
466	762	790	3:4:1:1:	3:4:3:	4:	C[6,6a]-3:C[6]-4:Cl-1:H-1:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6]-4:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClH)(Cl)(H)	C[6,6a](C[6,6a]C[6a]C[6])(C[6]C[6]ClH)(C[6a]C[6a]H)	Cl(C[6]C[6,6a]C[6]H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClH)(Cl)(H){1|C<4>,1|O<2>,2|C<3>,2|H<1>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6]C[6]ClH)(C[6a]C[6a]H){1|Cl<1>,1|C<3>,1|C<4>,5|H<1>}	Cl(C[6]C[6,6a]C[6]H)	110.2370	0.000	1	109.6220	0.870	2     109.9023       0.784      3      110.2412     1.577     5
466	762	790	3:4:1:1:	3:4:3:	4:	C[6,6a]-3:C[6]-4:Cl-1:H-1:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6]-4:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClH)(Cl)(H)	C[6,6a](C[6,6a]C[6a]C[6])(C[6]C[6]ClH)(C[6a]C[6a]H)	Cl(C[6]C[6,6a]C[6]H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]ClH)(Cl)(H){1|C<4>,2|C<3>,3|H<1>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6]C[6]ClH)(C[6a]C[6a]H){1|Cl<1>,1|C<3>,1|C<4>,5|H<1>}	Cl(C[6]C[6,6a]C[6]H)	109.0070	0.000	1	109.6220	0.870	2     109.9023       0.784      3      110.2412     1.577     5
466	762	790	3:4:1:1:	3:4:3:	4:	C[6,6a]-3:C[6]-4:Cl-1:H-1:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6]-4:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(Cl)(H)	C[6,6a](C[6,6a]C[6a]O[6])(C[6]C[6]ClH)(C[6a]C[6a]H)	Cl(C[6]C[6,6a]C[6]H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(Cl)(H){1|O<2>,2|H<1>,3|C<3>}	C[6,6a](C[6,6a]C[6a]O[6])(C[6]C[6]ClH)(C[6a]C[6a]H){1|Cl<1>,1|C<3>,1|C<4>,3|H<1>}	Cl(C[6]C[6,6a]C[6]H)	110.4630	0.000	1	110.4630	0.000	1     109.9023       0.784      3      110.2412     1.577     5
