466	670	930	3:3:3:3:	4:2:1:	4:4:2:	C[6]-3:C[6]-3:C-3:N-3:	C[6]-4:O-2:H-1:	C[6]-4:C-4:N-2:	C[6](C[6]O[6]O)2(CCN)(NHO)	N(C[6]C[6]2C)(OH)(H)	C(C[6]C[6]2N)(CH3)(NO)	C[6](C[6]O[6]O)2(CCN)(NHO){1|C<4>}	N(C[6]C[6]2C)(OH)(H)	C(C[6]C[6]2N)(CH3)(NO)	106.5050	0.000	1	106.5050	0.000	1     107.7867       1.161      3      107.7867     1.161     3
466	670	930	3:4:3:3:	4:3:1:	4:2:1:	C[6,6a]-3:C[6]-4:N-3:C-3:	C[6]-4:C[6a]-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(NC[6a]H)(COO)	N(C[6]C[6,6a]C[6]C)(C[6a]C[6a]2)(H)	C(C[6]C[6,6a]C[6]N)(OC)(O)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(NC[6a]H)(COO){1|C<4>,1|H<1>,1|N<3>,3|C<3>}	N(C[6]C[6,6a]C[6]C)(C[6a]C[6a]2)(H)	C(C[6]C[6,6a]C[6]N)(OC)(O)	108.6105	5.450	2	108.6105	5.450	2     108.6105       5.450      2      108.6105     5.450     2
466	670	930	4:3:3:3:	4:3:1:	4:2:1:	C[6]-4:C[6]-3:C-3:N-3:	C[6]-4:C-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)(C[6]C[6]O)(COO)(NCH)	N(C[6]C[6]2C)(CCO)(H)	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6]HH)(C[6]C[6]O)(COO)(NCH){1|C<3>,3|H<1>}	N(C[6]C[6]2C)(CCO)(H)	C(C[6]C[6]2N)(OC)(O)	111.8410	0.000	1	111.8410	0.000	1     111.8410       0.000      1      107.8497     3.485     3
466	670	930	4:3:3:3:	4:3:1:	4:2:1:	C[6]-4:C[6]-3:C-3:N-3:	C[6]-4:N-3:O-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)(C[6]C[6]O)(COO)(NNO)	N(C[6]C[6]2C)(NC[6]O)(O)	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6]HH)(C[6]C[6]O)(COO)(NNO){1|C<4>,4|H<1>}	N(C[6]C[6]2C)(NC[6]O)(O)	C(C[6]C[6]2N)(OC)(O)	105.4070	0.000	1	105.4070	0.000	1     105.4070       0.000      1      107.8497     3.485     3
466	670	930	4:3:3:3:	4:3:1:	4:2:1:	C[6]-4:N[6]-3:C-3:N-3:	C[6]-4:C-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)(N[6]N[6]C)(COO)(NCH)	N(C[6]C[6]N[6]C)(CCO)(H)	C(C[6]C[6]N[6]N)(OC)(O)	C[6](C[6]C[6]HH)(N[6]N[6]C)(COO)(NCH){1|H<1>,2|C<3>}	N(C[6]C[6]N[6]C)(CCO)(H)	C(C[6]C[6]N[6]N)(OC)(O)	106.3010	0.000	1	106.3010	0.000	1     106.3010       0.000      1      107.8497     3.485     3
466	670	930	4:4:3:3:	4:1:1:	3:4:3:	C[6]-4:C[6]-4:C-3:N-3:	C[6]-4:O-1:O-1:	C[6a]-3:C[6]-4:C-3:	C[6](C[6]C[6]HH)2(CC[6a]C)(NOO)	N(C[6]C[6]2C)(O)2	C(C[6a]C[6a]2)(C[6]C[6]2N)(CHH)	C[6](C[6]C[6]HH)2(CC[6a]C)(NOO){1|C<3>,1|C<4>,3|H<1>}	N(C[6]C[6]2C)(O)2	C(C[6a]C[6a]2)(C[6]C[6]2N)(CHH)	106.4760	0.366	2	106.4760	0.366	2     106.4760       0.366      2      106.4760     0.366     2
466	670	930	4:4:3:3:	4:1:1:	4:2:1:	C[6]-4:C[6]-4:C-3:N-3:	C[6]-4:O-1:O-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6a]N[6]H)(C[6]C[6]HH)(COO)(NOO)	N(C[6]C[6]2C)(O)2	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6a]N[6]H)(C[6]C[6]HH)(COO)(NOO){1|H<1>,1|O<2>,4|C<3>}	N(C[6]C[6]2C)(O)2	C(C[6]C[6]2N)(OC)(O)	104.4010	0.624	2	104.4010	0.624	2     104.4010       0.624      2      104.4010     0.624     2
466	670	930	4:4:3:3:	4:3:1:	4:2:1:	C[6]-4:C[6]-4:C-3:N-3:	C[6]-4:C-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)2(COO)(NCH)	N(C[6]C[6]2C)(CCO)(H)	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6]HH)2(COO)(NCH){1|C<4>,4|H<1>}	N(C[6]C[6]2C)(CCO)(H)	C(C[6]C[6]2N)(OC)(O)	109.9057	1.274	3	109.9057	1.274	3     108.6887       2.610      12      108.6887     2.610     12
466	670	930	4:4:3:3:	4:3:1:	4:2:1:	C[6]-4:C[6]-4:C-3:N-3:	C[6]-4:C-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)2(COO)(NCH)	N(C[6]C[6]2C)(CC[6a]O)(H)	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6]HH)2(COO)(NCH){1|C<3>,4|H<1>}	N(C[6]C[6]2C)(CC[6a]O)(H)	C(C[6]C[6]2N)(OC)(O)	108.7130	1.640	2	108.7130	1.640	2     108.6887       2.610      12      108.6887     2.610     12
466	670	930	4:4:3:3:	4:3:1:	4:2:1:	C[6]-4:C[6]-4:C-3:N-3:	C[6]-4:C-3:H-1:	C[6]-4:O-2:O-1:	C[6](C[6]C[6]HH)2(COO)(NCH)	N(C[6]C[6]2C)(COO)(H)	C(C[6]C[6]2N)(OC)(O)	C[6](C[6]C[6]HH)2(COO)(NCH){1|C<4>,4|H<1>}	N(C[6]C[6]2C)(COO)(H)	C(C[6]C[6]2N)(OC)(O)	108.9790	0.000	1	108.9790	0.000	1     108.6887       2.610      12      108.6887     2.610     12
