362  362  951  0:SPD6_SP-NON_SPD6  C[3,3,4,4,6]  C[3,3,4,4,6]  H  7:6:6:2:2:1:  7:6:6:2:2:1:  6:  C[6x3]-7:C[3x3,4,6]-6:C[3,3,4,4,6]-6:H[4]-2:H[4]-2:H-1:  C[6x3]-7:C[3x3,4,6]-6:C[3,3,4,4,6]-6:H[4]-2:H[4]-2:H-1:  C[3,3,4,4,6]-6:  246_0_1  246_0_1  567_2182_0  92.1760  1.049  2  92.1760  1.101  2  92.1760  1.101  2  92.1760  1.101  2  92.1760  1.101  2  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,3,4,4,6]  C[3x3,4,6]  H  7:6:6:2:2:1:  7:7:6:3:2:1:  6:  C[6x3]-7:C[3x3,4,6]-6:C[3,3,4,4,6]-6:H[4]-2:H[4]-2:H-1:  C[6x3]-7:C[4x3,4,6]-7:C[3,3,4,4,6]-6:H[3,3]-3:H[4]-2:H-1:  C[3,3,4,4,6]-6:  246_0_1  317_0_1  567_2182_0  84.4330  1.843  2  84.4330  3.396  2  84.4330  3.396  2  84.4330  3.396  2  84.4330  3.396  2  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,3]  C[3x3]  H  7:6:6:1:1:1:  7:5:6:2:1:1:  6:  C[4x3,4,4]-7:C[3x3]-6:C[3x3]-6:H-1:H-1:H-1:  C[4x3,4,4]-7:C[3,3,3x4]-5:C[3,3]-6:H[3]-2:H-1:H-1:  C[3,3]-6:  260_37_1  333_18_1  567_2220_0  108.9600  52.461  3  108.9600  2752.202  3  108.9600  2752.202  3  108.9600  2752.202  3  108.8919  1704.198  6  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,3]  C[3x3]  H  7:6:6:1:1:1:  7:6:5:2:1:1:  6:  C[4x3,4,4]-7:C[3x3]-6:C[3x3]-6:H-1:H-1:H-1:  C[4x3,4,4]-7:C[3,3]-6:C[3,3]-5:H[3]-2:H-1:H-1:  C[3,3]-6:  260_37_1  333_19_1  567_2220_0  108.8238  38.837  3  108.8238  1508.279  3  108.8238  1508.279  3  108.8238  1508.279  3  108.8919  1704.198  6  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,3x4,4x5]  C[3x3,4,5,5]  H  7:6:2:2:4:1:  7:6:5:2:2:1:  6:  C[3x3,3x4,5,5]-7:C[3x3,4,5,5]-6:H[4,4,5]-2:H[4,4,5]-2:C[4,5,5]-4:H-1:  C[3x3,3x4,5,5]-7:C[3,3x4,4x5]-6:S[4,5,5]-5:H[3]-2:H[3]-2:H-1:  C[3,3x4,4x5]-6:  261_0_1  315_0_1  567_2229_0  109.5640  0.000  1  109.5640  0.000  1  109.5640  0.000  1  109.5640  0.000  1  109.5640  0.000  1  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,4,6]  C[3,4,6]  H  6:2:2:2:2:1:  6:5:2:2:1:1:  6:  C[3,4,6]-6:H[4]-2:S[6]-2:H[3]-2:H[3]-2:H-1:  C[3,4,6]-6:C[3,4]-5:H[3]-2:S[6]-2:H-1:H-1:  C[3,4,6]-6:  278_0_1  278_3_1  567_2240_0  115.5240  0.000  1  115.5240  0.000  1  115.5240  0.000  1  115.5240  0.000  1  117.9782  414.691  3  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,4,6]  C[3,4,6]  H  6:5:2:2:1:1:  6:2:2:2:2:1:  6:  C[3,4,6]-6:C[3,4]-5:H[3]-2:S[6]-2:H-1:H-1:  C[3,4,6]-6:H[4]-2:S[6]-2:H[3]-2:H[3]-2:H-1:  C[3,4,6]-6:  278_3_1  278_0_1  567_2238_0  119.2053  28.642  2  119.2053  820.348  2  119.2053  820.348  2  119.2053  820.348  2  117.9782  414.691  3  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,8x4,8x5,6,6]  C[3,3,5x4,14x5,6]  H  6:6:3:3:3:1:  6:3:3:3:3:3:  6:  C[3,8x4,8x5,6,6]-6:C[3,3,5x4,14x5,6]-6:H[3,3,4,4,5,5]-3:H[3,3,4,4,5,5]-3:S[3x4,5,5,3x6]-3:H-1:  C[3,8x4,8x5,6,6]-6:H[3,3,4,4,5,5]-3:H[3,3,4,4,5,5]-3:S[3x4,5,5,3x6]-3:H[3,3,7x5]-3:H[3,3,7x5]-3:  C[3,8x4,8x5,6,6]-6:  294_0_1  257_0_1  567_2413_0  109.4840  0.000  1  109.4840  0.000  1  109.4840  0.000  1  109.4840  0.000  1  109.4840  0.000  1  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3,8x4,8x5,6,6]  C[3,8x4,8x5,6,6]  H  6:6:3:3:3:1:  6:6:3:3:3:1:  6:  C[3,8x4,8x5,6,6]-6:C[3,3,5x4,14x5,6]-6:H[3,3,4,4,5,5]-3:H[3,3,4,4,5,5]-3:S[3x4,5,5,3x6]-3:H-1:  C[3,8x4,8x5,6,6]-6:C[3,3,5x4,14x5,6]-6:H[3,3,4,4,5,5]-3:H[3,3,4,4,5,5]-3:S[3x4,5,5,3x6]-3:H-1:  C[3,8x4,8x5,6,6]-6:  294_0_1  294_0_1  567_2413_0  80.5122  0.000  1  80.5122  0.000  1  80.5122  0.000  1  80.5122  0.000  1  80.5122  0.000  1  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[3x3,4,5,5]  C[3,3x4,4x5]  H  7:6:5:2:2:1:  7:6:2:2:4:1:  6:  C[3x3,3x4,5,5]-7:C[3,3x4,4x5]-6:S[4,5,5]-5:H[3]-2:H[3]-2:H-1:  C[3x3,3x4,5,5]-7:C[3x3,4,5,5]-6:H[4,4,5]-2:H[4,4,5]-2:C[4,5,5]-4:H-1:  C[3x3,4,5,5]-6:  315_0_1  261_0_1  567_2622_0  109.7360  0.000  1  109.7360  0.000  1  109.7360  0.000  1  109.7360  0.000  1  109.7360  0.000  1  117.5772  103.967  352  
