474	466	762	3:2:4:3:	4:4:4:1:	4:3:2:	C[5]-3:O[5]-2:C[6]-4:C[6]-3:	C[5,6]-4:C[6]-4:C-4:H-1:	C[5,6]-4:C[6]-3:O-2:	C[5,6](C[5]C[5,6a]O)(O[5]C[5,6a])(C[6]C[6]CH)(C[6]C[6]O)	C[6](C[5,6]C[5]C[6]O[5])(C[6]C[6]HH)(CH3)(H)	C[6](C[5,6]C[5]C[6]O[5])(C[6]C[6]H)(OC)	C[5,6](C[5]C[5,6a]O)(O[5]C[5,6a])(C[6]C[6]CH)(C[6]C[6]O){3|C<3>,3|H<1>}	C[6](C[5,6]C[5]C[6]O[5])(C[6]C[6]HH)(CH3)(H){1|O<2>,2|O<1>,3|C<3>}	C[6](C[5,6]C[5]C[6]O[5])(C[6]C[6]H)(OC){1|H<1>,2|C<3>,2|C<4>,2|O<1>}	113.1070	0.809	2	113.1070	0.809	2     113.1070       0.809      2      113.1070     0.809     2
474	466	762	3:3:2:4:	4:4:1:1:	4:3:1:	C[5,6]-3:C[6]-3:O[5,6]-2:C[6]-4:	C[5,6,6]-4:C[6]-4:H-1:H-1:	C[5,6,6]-4:C[6,6a]-3:O-1:	C[5,6,6](C[5,6]C[5]C[6])(C[6]C[6,6a]O)(O[5,6]C[5,6])(C[6]C[6]HH)	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]O[6]HH)(H)2	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6,6a]C[6,6a]C[6a])(O)	C[5,6,6](C[5,6]C[5]C[6])(C[6]C[6,6a]O)(O[5,6]C[5,6])(C[6]C[6]HH){1|O<2>,2|C<3>,6|H<1>}	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6]O[6]HH)(H)2{1|O<1>,2|C<3>,2|C<4>}	C[6](C[5,6,6]C[5,6]O[5,6]C[6])(C[6,6a]C[6,6a]C[6a])(O){3|C<3>,3|C<4>,3|H<1>}	114.6210	0.000	1	114.6210	0.000	1     114.6210       0.000      1      114.6210     0.000     1
474	466	762	3:3:3:4:	4:2:1:1:	4:3:3:	C[6,6a]-3:C[5]-3:N[5]-3:C[6]-4:	C[5,6]-4:O[6]-2:H-1:H-1:	C[5,6]-4:C[6,6a]-3:C[6a]-3:	C[5,6](C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]H)(N[5]C[5,6]S)(C[6]O[6]HH)	C[6](C[5,6]C[6,6a]C[5]N[5])(O[6]C[6])(H)2	C[6,6a](C[5,6]C[5]C[6]N[5])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H)	C[5,6](C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]H)(N[5]C[5,6]S)(C[6]O[6]HH){2|C<3>,2|H<1>,3|C<4>}	C[6](C[5,6]C[6,6a]C[5]N[5])(O[6]C[6])(H)2{1|C<4>,1|S<4>,3|C<3>,3|H<1>}	C[6,6a](C[5,6]C[5]C[6]N[5])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H){1|C<4>,1|O<2>,1|S<4>,2|C<3>,7|H<1>}	111.0120	0.000	1	111.0120	0.000	1     111.0120       0.000      1      111.0120     0.000     1
474	466	762	3:3:3:4:	4:3:1:1:	4:3:3:	N[5,6]-3:C[5]-3:C[6a]-3:C[6]-4:	C[5,6]-4:C[6]-3:H-1:H-1:	C[5,6]-4:C[6a]-3:C[6a]-3:	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]O)(C[6a]C[6a]2)(C[6]C[6]HH)	C[6](C[5,6]N[5,6]C[6a]C[5])(C[6]C[6]H)(H)2	C[6a](C[5,6]N[5,6]C[5]C[6])(C[6a]C[6a]H)2	C[5,6](N[5,6]C[5,6a]C[6])(C[5]C[5,6a]O)(C[6a]C[6a]2)(C[6]C[6]HH){1|C<4>,4|H<1>,5|C<3>}	C[6](C[5,6]N[5,6]C[6a]C[5])(C[6]C[6]H)(H)2{1|C<4>,1|O<1>,5|C<3>}	C[6a](C[5,6]N[5,6]C[5]C[6])(C[6a]C[6a]H)2{1|C<4>,1|O<1>,4|C<3>,4|H<1>}	114.1410	0.249	2	114.1410	0.249	2     114.1410       0.249      2      114.1410     0.249     2
474	466	762	3:3:3:4:	4:4:1:1:	4:3:3:	C[6,6a]-3:C[5,6]-3:N[5,6]-3:C[6]-4:	C[5,6,6]-4:C[6]-4:H-1:H-1:	C[5,6,6]-4:C[6,6a]-3:C[6a]-3:	C[5,6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5]C[6])(N[5,6]C[5]C[6])(C[6]C[6]HH)	C[6](C[5,6,6]C[6,6a]C[5,6]N[5,6])(C[6]C[6]HO)(H)2	C[6,6a](C[5,6,6]C[5,6]N[5,6]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H)	C[5,6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5]C[6])(N[5,6]C[5]C[6])(C[6]C[6]HH){1|C<4>,1|O<2>,3|C<3>,8|H<1>}	C[6](C[5,6,6]C[6,6a]C[5,6]N[5,6])(C[6]C[6]HO)(H)2{1|H<1>,2|C<4>,4|C<3>}	C[6,6a](C[5,6,6]C[5,6]N[5,6]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H){1|O<2>,3|C<3>,3|C<4>,5|H<1>}	110.1807	0.155	3	110.1807	0.155	3     110.1807       0.155      3      110.1807     0.155     3
474	466	762	3:3:3:4:	4:4:3:1:	4:3:3:	C[6,6,6a]-3:C[5,6,6]-3:C[5,6a]-3:C[3x6]-4:	C[5,3x6]-4:C[3x6]-4:C[6]-3:H-1:	C[5,3x6]-4:C[6,6,6a]-3:C[6a]-3:	C[5,3x6](C[6,6,6a]C[6,6,6a]C[6a])(C[5,6,6]C[5,6,6]C[5])(C[5,6a]C[5,6a]C[6a])(C[3x6]C[3x6]C[6]H)	C[3x6](C[5,3x6]C[6,6,6a]C[5,6,6]C[5,6a])(C[3x6]C[5,3x6]C[6,6a]H)(C[6]C[6]H)(H)	C[6,6,6a](C[5,3x6]C[5,6,6]C[5,6a]C[3x6])(C[6,6,6a]C[5,3x6]C[6a])(C[6a]C[6a]H)	C[5,3x6](C[6,6,6a]C[6,6,6a]C[6a])(C[5,6,6]C[5,6,6]C[5])(C[5,6a]C[5,6a]C[6a])(C[3x6]C[3x6]C[6]H){1|C<4>,4|H<1>,8|C<3>}	C[3x6](C[5,3x6]C[6,6,6a]C[5,6,6]C[5,6a])(C[3x6]C[5,3x6]C[6,6a]H)(C[6]C[6]H)(H){1|H<1>,9|C<3>}	C[6,6,6a](C[5,3x6]C[5,6,6]C[5,6a]C[3x6])(C[6,6,6a]C[5,3x6]C[6a])(C[6a]C[6a]H){1|C<4>,3|H<1>,7|C<3>}	105.1470	0.000	1	105.1470	0.000	1     105.1470       0.000      1      105.1470     0.000     1
474	466	762	3:3:3:4:	4:4:4:1:	4:3:3:	C[5,6a]-3:C[6,6a]-3:C[5]-3:C[6]-4:	C[5,6]-4:C[6]-4:C-4:H-1:	C[5,6]-4:C[6,6a]-3:C[6a]-3:	C[5,6](C[5,6a]C[5,6,6a]C[6a])(C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]C[6a])(C[6]C[6]CH)	C[6](C[5,6]C[5,6a]C[6,6a]C[5])(C[6]C[6]HH)(CCHH)(H)	C[6,6a](C[5,6]C[5,6a]C[5]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H)	C[5,6](C[5,6a]C[5,6,6a]C[6a])(C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]C[6a])(C[6]C[6]CH){1|O<2>,3|H<1>,8|C<3>}	C[6](C[5,6]C[5,6a]C[6,6a]C[5])(C[6]C[6]HH)(CCHH)(H){1|O<1>,6|C<3>}	C[6,6a](C[5,6]C[5,6a]C[5]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H){1|H<1>,1|O<1>,2|C<4>,2|O<2>,5|C<3>}	112.9100	0.000	1	114.0283	1.456	3     114.0283       1.456      3      114.0283     1.456     3
474	466	762	3:3:3:4:	4:4:4:1:	4:3:3:	C[5,6a]-3:C[6,6a]-3:C[5]-3:C[6]-4:	C[5,6]-4:C[6]-4:C-4:H-1:	C[5,6]-4:C[6,6a]-3:C[6a]-3:	C[5,6](C[5,6a]C[5,6,6a]C[6a])(C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]C[6a])(C[6]C[6]CH)	C[6](C[5,6]C[5,6a]C[6,6a]C[5])(C[6]C[6]HH)(CCHH)(H)	C[6,6a](C[5,6]C[5,6a]C[5]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H)	C[5,6](C[5,6a]C[5,6,6a]C[6a])(C[6,6a]C[6,6a]C[6a])(C[5]C[5,6]C[6a])(C[6]C[6]CH){4|H<1>,8|C<3>}	C[6](C[5,6]C[5,6a]C[6,6a]C[5])(C[6]C[6]HH)(CCHH)(H){1|O<1>,6|C<3>}	C[6,6a](C[5,6]C[5,6a]C[5]C[6])(C[6,6a]C[6a]C[6])(C[6a]C[6a]H){1|O<1>,1|O<2>,2|C<4>,2|H<1>,5|C<3>}	114.5875	1.538	2	114.0283	1.456	3     114.0283       1.456      3      114.0283     1.456     3
474	466	762	3:3:4:2:	4:4:1:1:	4:3:1:	C[5,6a]-3:C[6]-3:C[6]-4:O[5]-2:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6,6a]-3:O-1:	C[5,6](C[5,6a]C[5,6a]C[6a])(C[6]C[6,6a]O)(C[6]C[6]HH)(O[5]C[5])	C[6](C[5,6]C[5,6a]C[6]O[5])(C[6]C[6,6a]HH)(H)2	C[6](C[5,6]C[5,6a]C[6]O[5])(C[6,6a]C[6,6a]C[6a])(O)	C[5,6](C[5,6a]C[5,6a]C[6a])(C[6]C[6,6a]O)(C[6]C[6]HH)(O[5]C[5]){1|Br<1>,1|O<1>,2|H<1>,4|C<3>}	C[6](C[5,6]C[5,6a]C[6]O[5])(C[6]C[6,6a]HH)(H)2{1|O<1>,5|C<3>}	C[6](C[5,6]C[5,6a]C[6]O[5])(C[6,6a]C[6,6a]C[6a])(O){1|C<4>,3|H<1>,5|C<3>}	113.6870	0.000	1	113.6870	0.000	1     113.6870       0.000      1      113.6870     0.000     1
474	466	762	3:3:4:2:	4:4:3:1:	4:3:3:	C[5,6a]-3:C[6a]-3:C[6]-4:O[5]-2:	C[5]-4:C[6]-4:C[6]-3:H-1:	C[5]-4:C[6a]-3:C[6a]-3:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[6]C[6]2H)(O[5]C[5])	C[6](C[5]C[5,6a]C[6a]O[5])(C[6]C[6]HH)(C[6]C[6]C)(H)	C[6a](C[5]C[5,6a]C[6]O[5])(C[6a]C[6a]H)2	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[6]C[6]2H)(O[5]C[5]){2|C<4>,5|H<1>,7|C<3>}	C[6](C[5]C[5,6a]C[6a]O[5])(C[6]C[6]HH)(C[6]C[6]C)(H){2|C<4>,4|C<3>,4|H<1>}	C[6a](C[5]C[5,6a]C[6]O[5])(C[6a]C[6a]H)2{2|C<4>,3|H<1>,4|C<3>}	111.7560	0.000	1	111.7560	0.000	1     111.7560       0.000      1      111.7560     0.000     1
