643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:1:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:  451_21816_1  451_15702_3  240_35742_0  121.3185  1.552  2  121.0974  5.964  18  120.6283  21.070  26  120.7954  19.070  29  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:1:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:  451_21816_1  451_15702_4  240_35742_0  121.3600  9.182  2  121.0974  5.964  18  120.6283  21.070  26  120.7954  19.070  29  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:1:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:  451_21816_1  451_15702_5  240_35742_0  121.0433  1.154  6  121.0974  5.964  18  120.6283  21.070  26  120.7954  19.070  29  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:1:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:  451_25382_1  451_16739_1  240_35742_0  118.4190  0.000  1  118.4190  0.000  1  120.6283  21.070  26  120.7954  19.070  29  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:2:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:N-2:  C[6a]-3:  451_19326_1  451_16771_1  240_35742_0  120.0815  1.216  4  120.0815  1.478  4  120.0815  1.478  4  120.0815  1.478  4  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  3:3:3:  3:  C[6a]-3:C[6a]-3:C-1:  C[6a]-3:C[6a]-3:C[5]-3:  C[6a]-3:  451_17586_1  451_15678_1  240_35742_0  121.5290  0.000  1  121.5290  0.000  1  121.5290  0.000  1  121.5290  0.000  1  121.1930  22.561  36  121.1930  22.561  36  
643  643  899  0:SP2_SP-NON_SP2  C[6a]  C[6a]  C  3:3:1:  4:3:3:  3:  C[6a]-3:C[6a]-3:C-1:  C-4:C[6a]-3:C[6a]-3:  C[6a]-3:  451_15510_1  451_604_1  240_35742_0  136.7360  0.000  1  136.7360  0.000  1  136.7360  0.000  1  136.7360  0.000  1  121.1930  22.561  36  121.1930  22.561  36  
643  643  900  0:SP2_SP-NON_SP2  C[6a]  C[6a]  Cl  3:2:2:  3:3:1:  3:3:  C[6a]-3:N[6a]-2:Cl-2:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:C[6a]-3:  451_21632_1  451_26894_9  458_554_0  124.8500  0.000  1  124.8500  0.000  1  124.8500  0.000  1  124.8500  0.000  1  118.4848  15.442  5  118.4848  15.442  5  
643  643  900  0:SP2_SP-NON_SP2  C[6a]  C[6a]  Cl  3:3:2:  3:3:1:  3:3:  C[6a]-3:C[6a]-3:Cl-2:  C[6a]-3:C[6a]-3:H-1:  C[6a]-3:C[6a]-3:  451_22638_1  451_18218_40  458_552_0  117.2045  3.241  2  117.2045  10.502  2  117.2045  10.502  2  117.2045  10.502  2  118.4848  15.442  5  118.4848  15.442  5  
643  643  900  0:SP2_SP-NON_SP2  C[6a]  C[6a]  Cl  3:3:2:  3:3:4:  3:3:  C[6a]-3:C[6a]-3:Cl-2:  C[6a]-3:C[6a]-3:C-4:  C[6a]-3:C[6a]-3:  451_16713_1  451_18169_7  458_552_0  116.5825  0.486  2  116.5825  0.236  2  116.5825  0.236  2  116.5825  0.236  2  118.4848  15.442  5  118.4848  15.442  5  
