474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<2>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	112.2850	0.000	1	112.3010	0.023	2     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]FH)(F)(H){1|C<4>,1|H<1>,2|C<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	112.3170	0.000	1	112.3010	0.023	2     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(F)(H){1|C<3>,1|C<4>,1|H<1>,1|N<2>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	109.0150	0.000	1	110.2890	1.802	2     111.1533       1.288      16      110.8735     1.447     19
474	690	830	4:4:1:1:	4:	4:	C[5]-4:C[5]-4:F-1:H-1:	C[5]-4:	C[5]-4:	C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(F)(H)	H(C[5]C[5]2F)	F(C[5]C[5]2H)	C[5](C[5]N[6a]O[5]H)(C[5]C[5]HO)(F)(H){1|C<4>,1|H<1>,2|C<3>}	H(C[5]C[5]2F)	F(C[5]C[5]2H)	111.5630	0.000	1	110.2890	1.802	2     111.1533       1.288      16      110.8735     1.447     19
474	690	854	4:4:4:1:	4:	3:4:1:1:	C[5,6]-4:N[6]-4:C[5]-4:H-1:	C[5,6]-4:	C[6,6a]-3:C[5,6]-4:H-1:H-1:	C[5,6](C[5,6]C[5]C[6]H)(N[6]C[6,6a]HH)(C[5]C[5]CC)(H)	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(H)2	C[5,6](C[5,6]C[5]C[6]H)(N[6]C[6,6a]HH)(C[5]C[5]CC)(H){3|C<3>,5|H<1>}	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]C[5]H)(H)2{2|C<3>,2|H<1>,5|C<4>}	107.5580	0.000	1	107.5580	0.000	1     107.5580       0.000      1      107.5580     0.000     1
474	690	854	4:4:4:1:	4:	4:4:1:1:	C[5,6]-4:C[5]-4:N[6]-4:H-1:	C[5,6]-4:	C[5,6]-4:C[6]-4:H-1:H-1:	C[5,6](C[5,6]C[5]C[6]H)(C[5]N[5]HH)(N[6]C[6]HH)(H)	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(H)2	C[5,6](C[5,6]C[5]C[6]H)(C[5]N[5]HH)(N[6]C[6]HH)(H){1|C<3>,1|C<4>,6|H<1>}	H(C[5,6]C[5,6]C[5]N[6])	N[6](C[5,6]C[5,6]C[5]H)(C[6]C[6]HH)(H)2{1|N<3>,2|C<4>,5|H<1>}	109.1383	0.707	3	109.1383	0.707	3     109.1383       0.707      3      109.1383     0.707     3
474	690	854	4:4:4:1:	4:	4:4:4:1:	C[5,3x6]-4:C[5,6]-4:N[6]-4:H-1:	C[5,6,6]-4:	C[5,6,6]-4:C[6]-4:C-4:H-1:	C[5,6,6](C[5,3x6]C[5,6,6]C[5,6]C[6])(C[5,6]C[6,6]C[5]H)(N[6]C[6]CH)(H)	H(C[5,6,6]C[5,3x6]C[5,6]N[6])	N[6](C[5,6,6]C[5,3x6]C[5,6]H)(C[6]C[6,6]HH)(CH3)(H)	C[5,6,6](C[5,3x6]C[5,6,6]C[5,6]C[6])(C[5,6]C[6,6]C[5]H)(N[6]C[6]CH)(H){3|O<2>,5|C<4>,6|H<1>}	H(C[5,6,6]C[5,3x6]C[5,6]N[6])	N[6](C[5,6,6]C[5,3x6]C[5,6]H)(C[6]C[6,6]HH)(CH3)(H){1|H<1>,7|C<4>}	110.3320	0.000	1	110.3320	0.000	1     110.3320       0.000      1      108.6025     2.446     2
474	690	854	4:4:4:1:	4:	4:4:4:1:	C[5]-4:C[5]-4:N[6]-4:H-1:	C[5]-4:	C[5]-4:C[6]-4:C[6]-4:H-1:	C[5](C[5]C[5]BH)(C[5]C[5]HH)(N[6]C[6]2H)(H)	H(C[5]C[5]2N[6])	N[6](C[5]C[5]2H)(C[6]C[6]HH)2(H)	C[5](C[5]C[5]BH)(C[5]C[5]HH)(N[6]C[6]2H)(H){2|C<4>,8|H<1>}	H(C[5]C[5]2N[6])	N[6](C[5]C[5]2H)(C[6]C[6]HH)2(H){1|B<4>,3|C<4>,7|H<1>}	106.8730	0.000	1	106.8730	0.000	1     106.8730       0.000      1      108.6025     2.446     2
474	690	874	4:4:4:1:	4:	4:3:3:2:	C[5,5,6]-4:C[5,6,6]-4:B[6]-4:H-1:	C[5,6,6]-4:	C[5,6,6]-4:C[6a]-3:C[6a]-3:O[6]-2:	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]P[6]H)(B[6]C[6a]2O[6])(H)	H(C[5,6,6]C[5,5,6]C[5,6,6]B[6])	B[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6a]C[6a]2)2(O[6]C[6])	C[5,6,6](C[5,5,6]C[5,5]C[5,6]H)(C[5,6,6]C[5,5,6]P[6]H)(B[6]C[6a]2O[6])(H){2|C<4>,5|H<1>,6|C<3>}	H(C[5,6,6]C[5,5,6]C[5,6,6]B[6])	B[6](C[5,6,6]C[5,5,6]C[5,6,6]H)(C[6a]C[6a]2)2(O[6]C[6]){1|P<4>,3|C<4>,3|H<1>,4|F<1>,5|C<3>}	108.1350	0.000	1	108.1350	0.000	1     108.1350       0.000      1      108.1350     0.000     1
474	690	874	4:4:4:1:	4:	4:3:3:4:	C[5,6]-4:B[6]-4:C[5,6]-4:H-1:	C[5,6]-4:	C[5,6]-4:C[6a]-3:C[6a]-3:C[6]-4:	C[5,6](C[5,6]C[5]P[6]H)(B[6]C[6a]2C[6])(C[5,6]C[5,6]2H)(H)	H(C[5,6]C[5,6]2B[6])	B[6](C[5,6]C[5,6]2H)(C[6a]C[6a]2)2(C[6]C[6]HH)	C[5,6](C[5,6]C[5]P[6]H)(B[6]C[6a]2C[6])(C[5,6]C[5,6]2H)(H){2|C<4>,4|H<1>,8|C<3>}	H(C[5,6]C[5,6]2B[6])	B[6](C[5,6]C[5,6]2H)(C[6a]C[6a]2)2(C[6]C[6]HH){1|C<4>,1|P<4>,4|F<1>,4|H<1>,6|C<3>}	104.7160	0.000	1	104.7160	0.000	1     104.7160       0.000      1      104.7160     0.000     1
