849  727  977  0:SP3_SP-NON_SP2  P[6]  C[5a,6]  S  3:4:3:1:  3:4:2:  4:  C[5a,6]-3:C[6]-4:C[6a]-3:S-1:  C[5a,6]-3:P[6]-4:S[5a]-2:  P[6]-4:  748_51_1  422_186_1  749_2855_0  114.9710  0.000  1  114.9710  0.000  1  114.9710  0.000  1  114.9710  0.000  1  114.9710  0.000  1  114.9710  0.000  1  
849  727  983  0:SP3_SP1_SP2  P[6]  C[5a]  C  3:2:2:2:  3:3:4:  4:2:  C[5a]-3:N[6]-2:N[6]-2:C-2:  C[5a]-3:N[5a]-3:P[6]-4:  P[6]-4:C-2:  748_54_1  425_6997_1  240_54086_0  101.8840  0.000  1  101.8840  0.000  1  101.8840  0.000  1  101.8840  0.000  1  101.8840  0.000  1  101.8840  0.000  1  
849  762  762  6:SP3_SP2_SP2  P[3x6]  C[6,6]  C[6,6]  3:3:3:1:  4:3:3:  4:3:3:  C[6,6,6a]-3:C[6,6]-3:C[6,6]-3:Se-1:  P[3x6]-4:C[6,6]-3:C[6a]-3:  P[3x6]-4:C[6,6]-3:C[6a]-3:  719_7_1  446_6990_1  446_6990_1  98.5331  0.908  2  98.5331  0.825  2  98.5331  0.825  2  98.5331  0.825  2  98.5331  0.825  2  101.6739  5.481  7  
849  762  762  6:SP3_SP2_SP2  P[6]  C[6]  C[6]  3:3:3:3:  4:3:1:  4:3:1:  C[6]-3:C[6]-3:N[6]-3:N[6]-3:  P[6]-4:C[6]-3:H-1:  P[6]-4:C[6]-3:H-1:  748_123_1  449_36271_1  449_36271_1  104.7640  0.000  1  104.7640  0.000  1  104.7640  0.000  1  104.7640  0.000  1  102.9302  1.110  5  101.6739  5.481  7  
849  762  762  6:SP3_SP2_SP2  P[6]  C[6]  C[6]  3:3:3:3:  4:3:2:  4:3:2:  C[6a]-3:C[6a]-3:C[6]-3:C[6]-3:  P[6]-4:C[6]-3:C-2:  P[6]-4:C[6]-3:C-2:  748_203_1  449_36297_1  449_36297_1  102.5593  0.268  3  102.4718  0.079  4  102.4718  0.079  4  102.4718  0.079  4  102.9302  1.110  5  101.6739  5.481  7  
849  762  762  6:SP3_SP2_SP2  P[6]  C[6]  C[6]  3:3:3:3:  4:3:2:  4:3:2:  C[6a]-3:C[6a]-3:C[6]-3:C[6]-3:  P[6]-4:C[6]-3:C-2:  P[6]-4:C[6]-3:C-2:  748_203_1  449_36297_2  449_36297_2  102.2090  0.000  1  102.4718  0.079  4  102.4718  0.079  4  102.4718  0.079  4  102.9302  1.110  5  101.6739  5.481  7  
849  762  818  6:SP3_SP2_SP2  P[6,6]  C[6,6]  C[5,6]  3:3:3:1:  3:3:4:  4:3:3:  C[5,6]-3:C[5,6]-3:C[6,6]-3:O-1:  C[5a,6]-3:C[5a,6]-3:P[6,6]-4:  P[6,6]-4:C[5,6a]-3:C[5,6]-3:  747_15_1  446_2797_1  414_9031_1  101.4652  2.503  2  101.4652  6.264  2  101.4652  6.264  2  101.4652  6.264  2  101.4652  6.264  2  101.4652  6.264  2  
849  762  856  0:SP3_SP2_SP3  P[6]  C[6]  N[6]  3:3:3:3:  4:3:1:  4:4:4:  C[6]-3:C[6]-3:N[6]-3:N[6]-3:  P[6]-4:C[6]-3:H-1:  P[6]-4:C[6]-4:C[6]-4:  748_123_1  449_36271_1  661_5074_1  113.3742  4.184  4  113.3742  17.506  4  113.3742  17.506  4  113.3742  17.506  4  113.3742  17.506  4  113.3742  17.506  4  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:2:1:  3:3:4:  3:4:1:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  C[6,6a]-3:P[6]-4:H-1:  748_135_1  449_18733_1  661_1776_1  103.2180  0.000  1  103.2180  0.000  1  103.9818  0.260  4  103.9818  0.260  4  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:2:1:  3:3:4:  3:4:1:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  C[6,6a]-3:P[6]-4:H-1:  748_136_1  449_18733_1  661_1645_1  104.2363  0.035  3  104.2363  0.001  3  103.9818  0.260  4  103.9818  0.260  4  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:3:3:  4:4:3:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:C[6]-3:P-3:  B[6]-4:P[6]-4:C[6a]-3:  748_257_1  449_36308_1  661_121_1  109.0590  0.000  1  109.0590  0.000  1  109.0590  0.000  1  109.0590  0.000  1  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:4:1:  4:3:2:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:P[6]-4:H-1:  P[6]-4:C[6a]-3:Ga[6]-2:  748_268_1  449_36311_1  661_5080_1  110.9725  0.575  2  110.9725  0.330  2  110.9725  0.330  2  112.4723  17.518  4  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:4:1:  4:3:2:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:P[6]-4:H-1:  P[6]-4:C[6a]-3:In[6]-2:  748_269_1  449_36311_3  661_5081_1  113.9720  6.575  2  113.9720  43.226  2  113.9720  43.226  2  112.4723  17.518  4  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:4:1:  4:3:4:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:P[6]-4:Cl-1:  P[6]-4:C[6a]-3:B[6]-4:  748_259_1  449_36310_1  661_5079_1  107.8015  1.371  2  107.8015  1.880  2  107.8015  1.880  2  107.8015  1.880  2  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:4:1:  4:4:3:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:P[6]-4:H-1:  P[6]-4:Ga[6]-4:C[6a]-3:  748_268_2  449_36311_2  661_5083_1  107.9910  1.298  2  107.9910  1.685  2  107.9910  1.685  2  107.9910  1.685  2  108.3739  14.682  15  108.3739  14.682  15  
849  762  856  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:3:3:3:  4:4:3:  4:4:3:  N[6]-3:C[6a]-3:C[6a]-3:C[6]-3:  P[6]-4:P[6]-4:C-3:  B[6]-4:P[6]-4:C[6a]-3:  748_258_1  449_36309_1  661_121_2  109.5745  0.029  2  109.5745  0.001  2  109.5745  0.001  2  109.5745  0.001  2  108.3739  14.682  15  108.3739  14.682  15  
849  762  863  0:SP3_SP2_SP2  P[6,6]  C[6,6]  O  3:3:3:1:  3:3:4:  4:  C[5,6]-3:C[5,6]-3:C[6,6]-3:O-1:  C[5a,6]-3:C[5a,6]-3:P[6,6]-4:  P[6,6]-4:  747_15_1  446_2797_1  665_6659_0  116.6080  0.000  1  116.6080  0.000  1  116.6080  0.000  1  116.6080  0.000  1  116.6080  0.000  1  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6,6]  O  3:3:3:1:  4:3:3:  4:  C[6,6a]-3:C[6,6]-3:C[6a]-3:O-1:  P[6]-4:C[6,6]-3:C[6]-3:  P[6]-4:  748_78_1  446_7054_1  665_6678_0  113.2010  0.000  1  113.2010  0.000  1  113.2010  0.000  1  113.2010  0.000  1  113.2010  0.000  1  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  2:3:2:1:  3:4:3:  4:  O[6]-2:C[6]-3:O-2:O-1:  C[6]-3:P[6]-4:C-3:  P[6]-4:  748_378_1  449_19469_1  665_6701_0  119.3220  0.033  3  119.3220  0.001  3  118.9465  0.565  4  118.9465  0.565  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  2:3:2:1:  3:4:3:  4:  O[6]-2:C[6]-3:O-2:O-1:  C[6]-3:P[6]-4:C-3:  P[6]-4:  748_378_1  449_19470_1  665_6701_0  117.8200  0.000  1  117.8200  0.000  1  118.9465  0.565  4  118.9465  0.565  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:2:2:1:  3:4:3:  4:  C[6]-3:O[6]-2:O[6]-2:O-1:  C[6]-3:P[6]-4:C[6]-3:  P[6]-4:  748_118_1  449_18781_1  665_6696_0  113.6100  0.000  1  113.6100  0.000  1  113.6100  0.000  1  113.6100  0.000  1  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:2:2:1:  4:4:3:  4:  C[6]-3:O[6]-2:O[6]-2:O-1:  C[6]-4:P[6]-4:C[6]-3:  P[6]-4:  748_118_3  449_23814_1  665_6696_0  111.9000  0.000  1  111.9000  0.000  1  114.1368  2.392  4  114.1368  2.392  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:2:2:1:  4:4:3:  4:  C[6]-3:O[6]-2:O[6]-2:O-1:  C[6]-4:P[6]-4:C[6]-3:  P[6]-4:  748_118_2  449_27211_1  665_6696_0  114.8823  0.503  3  114.8823  0.253  3  114.1368  2.392  4  114.1368  2.392  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:2:1:  3:3:4:  4:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  P[6]-4:  748_135_1  449_18733_1  665_6693_0  117.6600  0.000  1  117.6600  0.000  1  118.4360  1.182  4  118.4360  1.182  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:2:1:  3:3:4:  4:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  P[6]-4:  748_136_1  449_18733_1  665_6693_0  118.6947  1.171  3  118.6947  1.371  3  118.4360  1.182  4  118.4360  1.182  4  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:3:1:  4:3:1:  4:  C[6,6a]-3:C[6a]-3:C[6]-3:O-1:  P[6]-4:C[6]-3:H-1:  P[6]-4:  748_85_1  449_36243_1  665_6679_0  115.4530  0.000  1  115.4530  0.000  1  115.7775  0.211  2  115.7775  0.211  2  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:3:1:  4:3:1:  4:  C[6,6a]-3:C[6a]-3:C[6]-3:O-1:  P[6]-4:C[6]-3:H-1:  P[6]-4:  748_85_1  449_36245_1  665_6679_0  116.1020  0.000  1  116.1020  0.000  1  115.7775  0.211  2  115.7775  0.211  2  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:3:1:  4:3:3:  4:  C[6,6a]-3:C[6a]-3:C[6]-3:O-1:  P[6]-4:C[6]-3:C[6]-3:  P[6]-4:  748_82_1  449_36246_1  665_6679_0  115.1105  1.295  2  115.1105  1.676  2  115.1105  1.676  2  115.1105  1.676  2  116.5076  5.266  18  116.3473  5.260  20  
849  762  863  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:3:1:  4:3:4:  4:  C[6,6a]-3:C[6a]-3:C[6]-3:O-1:  P[6]-4:C[6]-3:C-4:  P[6]-4:  748_84_1  449_36244_1  665_6679_0  115.6740  0.000  1  115.6740  0.000  1  115.6740  0.000  1  115.6740  0.000  1  116.5076  5.266  18  116.3473  5.260  20  
849  762  893  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:2:1:  3:3:4:  4:3:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  P[6]-4:C[6]-3:  748_135_1  449_18733_1  665_6694_0  108.8780  0.000  1  108.8780  0.000  1  108.8780  0.000  1  103.8438  12.238  4  103.8438  12.238  4  103.8438  12.238  4  
849  762  893  0:SP3_SP2_SP2  P[6]  C[6]  O  3:3:2:1:  3:3:4:  4:3:  C[6]-3:N[6]-3:O-2:O-1:  C[6]-3:C[6a]-3:P[6]-4:  P[6]-4:C[6a]-3:  748_136_1  449_18733_1  665_6695_0  102.1657  1.209  3  102.1657  1.461  3  102.1657  1.461  3  103.8438  12.238  4  103.8438  12.238  4  103.8438  12.238  4  
849  762  893  0:SP3_SP2_SP3  P[6]  C[6]  O  2:3:2:1:  3:4:3:  4:4:  O[6]-2:C[6]-3:O-2:O-1:  C[6]-3:P[6]-4:C-3:  P[6]-4:C-4:  748_378_1  449_19469_1  665_6703_0  105.0307  0.443  3  105.0307  0.196  3  105.7373  2.128  4  105.7373  2.128  4  105.7373  2.128  4  105.7373  2.128  4  
849  762  893  0:SP3_SP2_SP3  P[6]  C[6]  O  2:3:2:1:  3:4:3:  4:4:  O[6]-2:C[6]-3:O-2:O-1:  C[6]-3:P[6]-4:C-3:  P[6]-4:C-4:  748_378_1  449_19470_1  665_6703_0  107.8570  0.000  1  107.8570  0.000  1  105.7373  2.128  4  105.7373  2.128  4  105.7373  2.128  4  105.7373  2.128  4  
849  762  909  0:SP3_SP2_SP3  P[6]  C[6,6]  S  3:2:2:1:  3:4:2:  4:4:  C[6,6]-3:S[6]-2:S-2:S-1:  C[6,6,6a]-3:P[6]-4:C[6]-2:  P[6]-4:Si-4:  748_58_1  446_2884_1  749_2857_0  102.6180  0.000  1  102.6180  0.000  1  102.6180  0.000  1  102.6180  0.000  1  102.6180  0.000  1  102.6180  0.000  1  
849  762  914  0:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:2:3:2:  4:3:3:  4:4:  C[6a]-3:N[6]-2:C[6]-3:N[6]-2:  P[6]-4:C[6]-3:C[6]-3:  P[6]-4:P[6,6]-4:  748_181_1  449_36342_1  661_5098_1  107.5580  0.000  1  107.5580  0.000  1  107.5580  0.000  1  108.9370  3.803  2  108.9370  3.803  2  108.9370  3.803  2  
849  762  914  0:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:2:3:2:  4:3:3:  4:4:  C[6a]-3:N[6]-2:C[6]-3:N[6]-2:  P[6]-4:C[6]-3:C[6]-3:  P[6]-4:P[6]-4:  748_181_1  449_36342_1  661_5099_1  110.3160  0.000  1  110.3160  0.000  1  110.3160  0.000  1  108.9370  3.803  2  108.9370  3.803  2  108.9370  3.803  2  
849  762  914  6:SP3_SP2_SP2  P[6]  C[6]  N[6]  3:2:4:4:  4:2:2:  4:3:  C[6]-3:N[6]-2:C-4:C-4:  P[6]-4:N[6]-2:N-2:  P[6]-4:C[6]-3:  748_157_1  449_36355_1  661_5075_1  113.3350  0.000  1  113.3350  0.000  1  113.3350  0.000  1  113.3350  0.000  1  113.3350  0.000  1  113.3350  0.000  1  
