478	790	790	4:4:1:1:	4:	4:	C[4,4]-4:C[4]-4:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4,4]C[4,4]C[6a]C[4])(C[4]C[4,4]Cl2)(Cl)2	Cl(C[4]C[4,4]C[4]Cl)	Cl(C[4]C[4,4]C[4]Cl)	C[4](C[4,4]C[4,4]C[6a]C[4])(C[4]C[4,4]Cl2)(Cl)2{1|C<4>,2|H<1>,3|C<3>}	Cl(C[4]C[4,4]C[4]Cl)	Cl(C[4]C[4,4]C[4]Cl)	106.6965	1.010	2	106.6965	1.010	2     107.3483       1.269      4      106.9973     1.190     6
478	790	790	4:4:1:1:	4:	4:	C[4,4]-4:C[4]-4:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4,4]C[4]2O[4])(C[4]C[4]CH)(Cl)2	Cl(C[4]C[4,4]C[4]Cl)	Cl(C[4]C[4,4]C[4]Cl)	C[4](C[4,4]C[4]2O[4])(C[4]C[4]CH)(Cl)2{1|Cl<1>,1|C<3>,1|C<4>,2|H<1>}	Cl(C[4]C[4,4]C[4]Cl)	Cl(C[4]C[4,4]C[4]Cl)	108.0000	1.454	2	108.0000	1.454	2     107.3483       1.269      4      106.9973     1.190     6
478	790	790	4:4:1:1:	4:	4:	C[4,5]-4:C[4]-4:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4,5]C[4]C[5]2)(C[4]C[4]CH)(Cl)2	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	C[4](C[4,5]C[4]C[5]2)(C[4]C[4]CH)(Cl)2{1|C<4>,2|C<3>,4|H<1>}	Cl(C[4]C[4,5]C[4]Cl)	Cl(C[4]C[4,5]C[4]Cl)	106.9140	0.000	1	106.9140	0.000	1     106.9140       0.000      1      106.9973     1.190     6
478	790	790	4:4:1:1:	4:	4:	C[4]-4:C[4]-4:Cl-1:Cl-1:	C[4]-4:	C[4]-4:	C[4](C[4]C[4,5]CC)2(Cl)2	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	C[4](C[4]C[4,5]CC)2(Cl)2{1|C<4>,1|S<2>}	Cl(C[4]C[4]2Cl)	Cl(C[4]C[4]2Cl)	105.6770	0.000	1	105.6770	0.000	1     105.6770       0.000      1      106.9973     1.190     6
478	790	818	3:4:4:1:	4:	3:4:3:	C[5,6a]-3:C[4,5]-4:C[4,5]-4:Cl-1:	C[4,5]-4:	C[5,6a]-3:C[4,5]-4:C[6a]-3:	C[4,5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[5]Cl)2(Cl)	Cl(C[4,5]C[5,6a]C[4,5]2)	C[5,6a](C[5,6a]C[6a]C[5])(C[4,5]C[4,5]2Cl)(C[6a]C[6a]Cl)	C[4,5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[5]Cl)2(Cl){2|Cl<1>,2|O<1>,4|C<3>}	Cl(C[4,5]C[5,6a]C[4,5]2)	C[5,6a](C[5,6a]C[6a]C[5])(C[4,5]C[4,5]2Cl)(C[6a]C[6a]Cl){4|Cl<1>,1|C<4>,1|O<1>,2|C<3>}	112.2120	0.000	1	112.2120	0.000	1     111.4635       1.059      2      111.4635     1.059     2
478	790	818	3:4:4:1:	4:	3:4:3:	C[5,6a]-3:C[4,5]-4:C[4,5]-4:Cl-1:	C[4,5]-4:	C[5,6a]-3:C[4,5]-4:C[6a]-3:	C[4,5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[5]Cl)2(Cl)	Cl(C[4,5]C[5,6a]C[4,5]2)	C[5,6a](C[5,6a]C[6a]C[5])(C[4,5]C[4,5]2Cl)(C[6a]C[6a]H)	C[4,5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[5]Cl)2(Cl){1|Cl<1>,1|H<1>,2|O<1>,4|C<3>}	Cl(C[4,5]C[5,6a]C[4,5]2)	C[5,6a](C[5,6a]C[6a]C[5])(C[4,5]C[4,5]2Cl)(C[6a]C[6a]H){2|Cl<1>,1|C<4>,1|O<1>,2|C<3>,2|H<1>}	110.7150	0.000	1	110.7150	0.000	1     111.4635       1.059      2      111.4635     1.059     2
478	790	818	4:3:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-3:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]C)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[5]C)(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]C)(C[5]N[5]O)(Cl){1|C<3>,1|C<4>,1|H<1>,1|O<1>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[5]C)(O){1|Cl<1>,1|C<3>,1|C<4>,1|O<1>}	111.8400	0.000	1	111.8400	0.000	1     111.3220       0.647      3      111.3220     0.647     3
478	790	818	4:3:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-3:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]H)(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[4]H)(C[5]N[5]O)(Cl){1|O<1>,2|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O){1|Cl<1>,1|H<1>,1|O<1>,3|C<3>}	110.5970	0.000	1	110.5970	0.000	1     111.3220       0.647      3      111.3220     0.647     3
478	790	818	4:3:3:1:	4:	4:3:1:	C[4,5]-4:C[4]-3:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:N[5]-3:O-1:	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]C[4])(C[5]N[5]O)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O)	C[4,5](C[4,5]C[4]C[5]Cl)(C[4]C[6a]C[4])(C[5]N[5]O)(Cl){1|H<1>,1|O<1>,3|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(N[5]C[6a]C[5])(O){1|Cl<1>,1|O<1>,4|C<3>}	111.5290	0.000	1	111.5290	0.000	1     111.3220       0.647      3      111.3220     0.647     3
478	790	818	4:3:3:1:	4:	4:4:3:	C[4,5]-4:C[4]-3:C[5]-3:Cl-1:	C[4,5]-4:	C[4,5]-4:C[5]-4:C-3:	C[4,5](C[4,5]C[6a]N[4]O[5])(C[4]N[4]O)(C[5]C[5]C)(Cl)	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(C[5]O[5]HH)(CClC)	C[4,5](C[4,5]C[6a]N[4]O[5])(C[4]N[4]O)(C[5]C[5]C)(Cl){2|H<1>,3|C<3>}	Cl(C[4,5]C[4,5]C[4]C[5])	C[5](C[4,5]C[4,5]C[4]Cl)(C[5]O[5]HH)(CClC){1|C<3>,1|N<3>,1|O<1>}	116.5110	0.000	1	116.5110	0.000	1     116.5110       0.000      1      116.5110     0.000     1
