466	466	474	3:4:4:1:	4:4:2:1:	4:4:4:1:	C[6,6a]-3:C[5,6]-4:C[6,6]-4:H-1:	C[6,6]-4:C[6]-4:O[6]-2:H-1:	C[6,6]-4:C[5,6]-4:N[5]-4:H-1:	C[6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(C[6,6]C[6]O[6]H)(H)	C[6,6](C[6,6]C[6,6a]C[5,6]H)(C[6]C[6]HO)(O[6]C[6])(H)	C[5,6](C[6,6]C[6,6a]C[6,6]H)(C[5,6]C[5]C[6]H)(N[5]C[5]CH)(H)	C[6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(C[6,6]C[6]O[6]H)(H){1|O<2>,3|C<3>,4|C<4>,4|H<1>}	C[6,6](C[6,6]C[6,6a]C[5,6]H)(C[6]C[6]HO)(O[6]C[6])(H){1|C<4>,1|N<4>,1|O<1>,2|C<3>,3|H<1>}	C[5,6](C[6,6]C[6,6a]C[6,6]H)(C[5,6]C[5]C[6]H)(N[5]C[5]CH)(H){1|C<4>,1|O<2>,2|C<3>,7|H<1>}	109.3827	0.989	3	109.3827	0.989	3     109.3827       0.989      3      109.3827     0.989     3
466	466	474	3:4:4:2:	4:4:1:1:	4:2:3:1:	C[6,6a]-3:C[5]-4:C[6]-4:O-2:	C[6]-4:C[6]-4:H-1:H-1:	C[6]-4:O[5]-2:C[5]-3:H-1:	C[6](C[6,6a]C[6,6a]C[6a])(C[5]C[5]O[5]H)(C[6]C[6]HH)(OH)	C[6](C[6]C[6,6a]C[5]O)(C[6]C[6]HH)(H)2	C[5](C[6]C[6,6a]C[6]O)(O[5]C[5,5])(C[5]C[5]H)(H)	C[6](C[6,6a]C[6,6a]C[6a])(C[5]C[5]O[5]H)(C[6]C[6]HH)(OH){1|N<3>,2|C<4>,3|C<3>,3|H<1>}	C[6](C[6]C[6,6a]C[5]O)(C[6]C[6]HH)(H)2{1|O<2>,3|C<3>,3|H<1>}	C[5](C[6]C[6,6a]C[6]O)(O[5]C[5,5])(C[5]C[5]H)(H){1|N<3>,2|C<3>,2|C<4>,3|H<1>}	106.2010	0.000	1	106.2010	0.000	1     106.2460       0.181      3      106.2460     0.181     3
466	466	474	3:4:4:2:	4:4:1:1:	4:2:3:1:	C[6,6a]-3:C[5]-4:C[6]-4:O-2:	C[6]-4:C[6]-4:H-1:H-1:	C[6]-4:O[5]-2:C[5]-3:H-1:	C[6](C[6,6a]C[6,6a]C[6a])(C[5]C[5]O[5]H)(C[6]C[6]HH)(OH)	C[6](C[6]C[6,6a]C[5]O)(C[6]C[6]HH)(H)2	C[5](C[6]C[6,6a]C[6]O)(O[5]C[5,6])(C[5]C[5]H)(H)	C[6](C[6,6a]C[6,6a]C[6a])(C[5]C[5]O[5]H)(C[6]C[6]HH)(OH){1|N<3>,2|C<4>,3|C<3>,3|H<1>}	C[6](C[6]C[6,6a]C[5]O)(C[6]C[6]HH)(H)2{1|O<2>,3|C<3>,3|H<1>}	C[5](C[6]C[6,6a]C[6]O)(O[5]C[5,6])(C[5]C[5]H)(H){1|C<4>,1|N<3>,3|C<3>,3|H<1>}	106.2685	0.250	2	106.2685	0.250	2     106.2460       0.181      3      106.2460     0.181     3
466	466	474	3:4:4:2:	4:4:2:1:	4:3:3:1:	C[6,6a]-3:C[5,6]-4:C[6,6]-4:O-2:	C[6,6]-4:C[6]-4:O[6]-2:H-1:	C[6,6]-4:C[5,6]-3:N[5]-3:H-1:	C[6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(C[6,6]C[6]O[6]H)(OH)	C[6,6](C[6,6]C[6,6a]C[5,6]O)(C[6]C[6]HO)(O[6]C[6])(H)	C[5,6](C[6,6]C[6,6a]C[6,6]O)(C[5,6]C[5]C[6])(N[5]C[5]C)(H)	C[6,6](C[6,6a]C[6,6a]C[6a])(C[5,6]C[5,6]N[5]H)(C[6,6]C[6]O[6]H)(OH){1|O<2>,2|H<1>,3|C<4>,4|C<3>}	C[6,6](C[6,6]C[6,6a]C[5,6]O)(C[6]C[6]HO)(O[6]C[6])(H){1|N<3>,1|O<1>,2|H<1>,3|C<3>}	C[5,6](C[6,6]C[6,6a]C[6,6]O)(C[5,6]C[5]C[6])(N[5]C[5]C)(H){1|C<4>,1|O<2>,2|C<3>,6|H<1>}	108.6670	0.201	2	108.6670	0.201	2     108.6670       0.201      2      108.6670     0.201     2
466	466	474	3:4:4:4:	4:4:1:1:	4:4:4:1:	C[6,6]-3:C[5,6,6]-4:C[6]-4:C-4:	C[6,6]-4:C[6]-4:H-1:H-1:	C[5,6]-4:C[6,6]-4:C[5,6]-4:H-1:	C[6,6](C[6,6]C[3,6,6]C[6])(C[5,6,6]C[5,6]2H)(C[6]C[6]HH)(CH3)	C[6](C[6,6]C[5,6,6]C[6,6]C)(C[6]C[6]HH)(H)2	C[5,6,6](C[5,6]C[3,6]O[5]H)(C[6,6]C[6,6]C[6]C)(C[5,6]C[5]C[6]C)(H)	C[6,6](C[6,6]C[3,6,6]C[6])(C[5,6,6]C[5,6]2H)(C[6]C[6]HH)(CH3){2|C<3>,2|O<2>,4|C<4>,4|H<1>}	C[6](C[6,6]C[5,6,6]C[6,6]C)(C[6]C[6]HH)(H)2{1|C<3>,3|C<4>,3|H<1>}	C[5,6,6](C[5,6]C[3,6]O[5]H)(C[6,6]C[6,6]C[6]C)(C[5,6]C[5]C[6]C)(H){1|C<3>,1|O<1>,1|O<2>,2|C<4>,5|H<1>}	107.4680	0.309	3	107.4680	0.309	3     107.4680       0.309      3      107.4680     0.309     3
466	466	474	4:2:4:1:	4:4:1:1:	3:4:4:1:	C[5,6,6]-4:O[6]-2:C[6]-4:H-1:	C[6,6]-4:C[6]-4:H-1:H-1:	C[5,6]-3:C[5,6]-4:C[6,6]-4:H-1:	C[6,6](C[5,6,6]C[5,6]2H)(O[6]C[6,6a])(C[6]C[6]HH)(H)	C[6](C[6,6]C[5,6,6]O[6]H)(C[6]C[6]HH)(H)2	C[5,6,6](C[5,6]C[6,6a]N[5])(C[5,6]C[6]O[5]H)(C[6,6]C[6]O[6]H)(H)	C[6,6](C[5,6,6]C[5,6]2H)(O[6]C[6,6a])(C[6]C[6]HH)(H){1|C<4>,1|N<2>,1|O<2>,2|C<3>,3|H<1>}	C[6](C[6,6]C[5,6,6]O[6]H)(C[6]C[6]HH)(H)2{1|C<4>,2|C<3>,3|H<1>}	C[5,6,6](C[5,6]C[6,6a]N[5])(C[5,6]C[6]O[5]H)(C[6,6]C[6]O[6]H)(H){1|C<4>,2|C<3>,4|H<1>}	112.8220	0.000	1	112.8220	0.000	1     112.8220       0.000      1      112.8220     0.000     1
466	466	474	4:2:4:1:	4:4:1:1:	4:4:2:1:	C[5,6]-4:O[6,6]-2:C[6]-4:H-1:	C[6,6]-4:C[6]-4:H-1:H-1:	C[6,6]-4:C[5,6]-4:O[5]-2:H-1:	C[6,6](C[5,6]C[5,6]O[5]H)(O[6,6]C[6,6])(C[6]C[6]HH)(H)	C[6](C[6,6]C[5,6]O[6,6]H)(C[6]C[6]CC)(H)2	C[5,6](C[6,6]O[6,6]C[6]H)(C[5,6]C[6]O[5]H)(O[5]C[5])(H)	C[6,6](C[5,6]C[5,6]O[5]H)(O[6,6]C[6,6])(C[6]C[6]HH)(H){1|H<1>,2|O<2>,5|C<4>}	C[6](C[6,6]C[5,6]O[6,6]H)(C[6]C[6]CC)(H)2{2|C<4>,2|H<1>,2|O<2>}	C[5,6](C[6,6]O[6,6]C[6]H)(C[5,6]C[6]O[5]H)(O[5]C[5])(H){2|F<1>,2|H<1>,4|C<4>}	114.3980	0.000	1	114.3980	0.000	1     114.3980       0.000      1      114.3980     0.000     1
466	466	474	4:2:4:3:	4:3:1:1:	4:3:2:1:	C[5]-4:O[6]-2:C[6]-4:C-3:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-4:C[5]-3:O[5]-2:H-1:	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO)	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2	C[5](C[6]C[6]O[6]C)(C[5]C[5]H)(O[5]C[5])(H)	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO){1|H<1>,1|O<1>,4|C<3>}	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2{1|H<1>,1|O<2>,3|C<3>}	C[5](C[6]C[6]O[6]C)(C[5]C[5]H)(O[5]C[5])(H){1|O<1>,2|C<3>,3|H<1>}	113.4420	0.000	1	113.4420	0.000	1     113.4420       0.000      1      113.4420     0.000     1
466	466	474	4:2:4:3:	4:3:1:1:	4:4:2:1:	C[5]-4:O[6]-2:C[6]-4:C-3:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-4:C[5]-4:O[5]-2:H-1:	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO)	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2	C[5](C[6]C[6]O[6]C)(C[5]C[5]CH)(O[5]C[5])(H)	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO){1|H<1>,1|O<1>,2|C<4>,3|C<3>}	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2{1|C<4>,1|H<1>,1|O<2>,2|C<3>}	C[5](C[6]C[6]O[6]C)(C[5]C[5]CH)(O[5]C[5])(H){1|O<1>,2|C<3>,4|H<1>}	112.5410	5.767	2	112.5410	5.767	2     111.8845       3.603      4      111.8845     3.603     4
466	466	474	4:2:4:3:	4:3:1:1:	4:4:2:1:	C[5]-4:O[6]-2:C[6]-4:C-3:	C[6]-4:C[6]-3:H-1:H-1:	C[6]-4:C[5]-4:O[5]-2:H-1:	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO)	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2	C[5](C[6]C[6]O[6]C)(C[5]C[5]HH)(O[5]C[5])(H)	C[6](C[5]C[5]O[5]H)(O[6]C[6,6a])(C[6]C[6]HH)(COO){1|C<4>,1|O<1>,2|H<1>,3|C<3>}	C[6](C[6]C[5]O[6]C)(C[6]C[6,6a]O)(H)2{1|C<4>,1|H<1>,1|O<2>,2|C<3>}	C[5](C[6]C[6]O[6]C)(C[5]C[5]HH)(O[5]C[5])(H){1|O<1>,2|C<3>,4|H<1>}	111.2280	1.993	2	111.2280	1.993	2     111.8845       3.603      4      111.8845     3.603     4
