474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[5,6a]-3:C[6a]-3:C[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(COO)	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)(C[6a]C[6a]O)	C(C[5]C[5,6a]C[6a]C[5])(OC)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(COO){1|O<2>,2|H<1>,5|C<3>}	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)(C[6a]C[6a]O){1|N<3>,1|O<1>,2|H<1>,3|C<3>}	C(C[5]C[5,6a]C[6a]C[5])(OC)(O)	115.2610	0.000	1	115.2610	0.000	1     114.1440       1.580      2      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[5,6a]-3:C[6a]-3:C[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(COO)	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]C[5])(OC[6a])(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(COO){1|C<4>,3|H<1>,4|C<3>}	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2{1|N<3>,1|O<1>,2|H<1>,3|C<3>}	C(C[5]C[5,6a]C[6a]C[5])(OC[6a])(O)	113.0270	0.000	1	113.0270	0.000	1     114.1440       1.580      2      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[5,6a]-3:C[6a]-3:N[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(N[5]C[5]H)(COO)	C[6a](C[5]C[5,6a]N[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]N[5])(OC)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(N[5]C[5]H)(COO){1|O<2>,3|H<1>,5|C<3>}	C[6a](C[5]C[5,6a]N[5]C)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,3|H<1>}	C(C[5]C[5,6a]C[6a]N[5])(OC)(O)	112.7125	0.945	4	112.7125	0.945	4     111.8815       1.184      8      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[5,6a]-3:C[6a]-3:N[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(N[5]S[5]C)(COO)	C[6a](C[5]C[5,6a]N[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]N[5])(OC)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(N[5]S[5]C)(COO){1|F<1>,2|H<1>,2|O<1>,4|C<3>}	C[6a](C[5]C[5,6a]N[5]C)(C[6a]C[6a]H)2{1|C<4>,1|S<4>,2|H<1>,3|C<3>}	C(C[5]C[5,6a]C[6a]N[5])(OC)(O)	111.0505	0.732	4	111.0505	0.732	4     111.8815       1.184      8      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[5]-3:N[5]-3:C[6a]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[5]C[5,6a]O)(N[5]C[5,6a]C)(C[6a]C[6a]2)(COO)	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2	C(C[5]C[6a]C[5]N[5])(OC)(O)	C[5](C[5]C[5,6a]O)(N[5]C[5,6a]C)(C[6a]C[6a]2)(COO){2|H<1>,4|C<3>}	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2{1|C<4>,1|H<1>,1|O<1>,1|O<2>,3|C<3>}	C(C[5]C[6a]C[5]N[5])(OC)(O)	112.2080	0.000	1	112.2080	0.000	1     112.2080       0.000      1      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[6a]-3:C[5]-3:N[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[6a]C[6a]2)(C[5]C[5]H)(N[5]C[5]C)(COO)	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2	C(C[5]C[6a]C[5]N[5])(OC)(O)	C[5](C[6a]C[6a]2)(C[5]C[5]H)(N[5]C[5]C)(COO){3|H<1>,4|C<3>}	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,3|H<1>}	C(C[5]C[6a]C[5]N[5])(OC)(O)	110.7520	0.000	1	110.7520	0.000	1     110.7990       0.066      2      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:2:1:	C[6a]-3:C[5]-3:N[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:O-2:O-1:	C[5](C[6a]C[6a]2)(C[5]N[5]O)(N[5]C[5]H)(COO)	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2	C(C[5]C[6a]C[5]N[5])(OC)(O)	C[5](C[6a]C[6a]2)(C[5]N[5]O)(N[5]C[5]H)(COO){1|O<1>,2|C<3>,3|H<1>}	C[6a](C[5]C[5]N[5]C)(C[6a]C[6a]H)2{1|N<3>,1|O<1>,2|C<3>,3|H<1>}	C(C[5]C[6a]C[5]N[5])(OC)(O)	110.8460	0.000	1	110.8460	0.000	1     110.7990       0.066      2      111.9749     1.435     14
474	762	930	3:3:3:3:	4:3:3:	4:3:1:	C[5,6a]-3:C[6a]-3:C[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:N-3:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(CNO)	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]C[5])(NCO)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(CNO){4|C<3>,4|H<1>}	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2{1|N<3>,1|O<1>,2|H<1>,3|C<3>}	C(C[5]C[5,6a]C[6a]C[5])(NCO)(O)	108.3870	0.000	1	108.3870	0.000	1     108.3870       0.000      1      110.2453     1.323     4
474	762	930	3:3:3:3:	4:3:3:	4:3:1:	C[5,6a]-3:C[6a]-3:C[5]-3:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:N[5]-3:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(CN[5]O)	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]C[5])(N[5]C[5]2)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]N[5]O)(CN[5]O){4|C<3>,4|H<1>}	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2{1|N<3>,1|O<1>,2|H<1>,3|C<3>}	C(C[5]C[5,6a]C[6a]C[5])(N[5]C[5]2)(O)	110.8647	0.570	3	110.8647	0.570	3     110.8647       0.570      3      110.2453     1.323     4
474	762	930	3:3:4:3:	4:3:3:	4:3:1:	C[5,6a]-3:C[6a]-3:C[5]-4:C-3:	C[5]-4:C[6a]-3:C[6a]-3:	C[5]-4:N-3:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]C[5]HH)(CNO)	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2	C(C[5]C[5,6a]C[6a]C[5])(NCH)(O)	C[5](C[5,6a]C[5,6a]C[6a])(C[6a]C[6a]2)(C[5]C[5]HH)(CNO){4|C<3>,5|H<1>}	C[6a](C[5]C[5,6a]C[5]C)(C[6a]C[6a]H)2{1|C<4>,3|C<3>,4|H<1>}	C(C[5]C[5,6a]C[6a]C[5])(NCH)(O)	112.8280	0.000	1	112.8280	0.000	1     112.8280       0.000      1      113.3795     0.780     2
