930	953	987	0:SP2_SP2_SP3	C	N[6]	S	3:4:4:	3:3:3:	3:3:1:1:	N[6]-3:S-4:S-4:	C[6]-3:C[6]-3:C-3:	C[6a]-3:C-3:O-1:O-1:	C(N[6]C[6]2)(SC[6a]OO)2	N[6](C[6]C[6]H)2(CSS)	S(C[6a]C[6a]2)(CN[6]S)(O)2	C(N[6]C[6]2)(SC[6a]OO)2	N[6](C[6]C[6]H)2(CSS){1|C<3>,2|H<1>}	S(C[6a]C[6a]2)(CN[6]S)(O)2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2	117.4915	0.500	2
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:C-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(CN[6]S)(S)	N[6](C[6]C[6]HH)2(CCS)	S(CN[6]C)	C(N[6]C[6]2)(CN[6]S)(S)	N[6](C[6]C[6]HH)2(CCS){1|O<2>,4|H<1>}	S(CN[6]C)	126.9175	0.589	2	126.9175	0.589	2	127.2327	0.687	3	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]CH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]CH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	125.7775	1.300	2	125.7775	1.300	2	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	126.1245	0.336	2	124.8168	1.527	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|N<3>,4|H<1>}	S(CN[6]N)	122.9185	0.221	2	124.8168	1.527	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NCH)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	125.4075	0.409	2	124.8168	1.527	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[3x6]H)(S)	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[3x6]H)(S)	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CNS){2|C<3>,2|H<1>}	S(CN[6]N)	122.5000	0.000	1	122.5000	0.000	1	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	123.9740	0.000	1	124.7330	0.730	3	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]C)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	125.1125	0.449	2	124.7330	0.730	3	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|C<4>,4|H<1>}	S(CN[6]N)	122.1210	0.604	3	122.3177	0.533	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|N<3>,4|H<1>}	S(CN[6]N)	122.1630	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	123.0610	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NC[6a]H)(S)	N[6](C[6]C[6]HH)2(CNS){1|S<2>,4|H<1>}	S(CN[6]N)	122.3190	0.000	1	122.3177	0.533	6	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	3:3:1:	4:4:3:	3:	N[6]-3:N-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(NHN)(S)	N[6](C[6]C[6]HH)2(CNS)	S(CN[6]N)	C(N[6]C[6]2)(NHN)(S)	N[6](C[6]C[6]HH)2(CNS){1|O<2>,4|H<1>}	S(CN[6]N)	124.1030	0.000	1	124.1030	0.000	1	123.9560	1.615	19	124.5256	1.858	25	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP2	C	N[6]	S	4:3:1:	4:4:3:	3:	C[6]-4:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[6]C[6]2H)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6]S)	S(CC[6]N[6])	C(C[6]C[6]2H)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[6]S){1|O<2>,4|H<1>}	S(CC[6]N[6])	122.2700	0.000	2	122.2700	0.000	2	122.2700	0.000	2	122.2700	0.000	2	124.3182	1.705	55	124.3182	1.705	55
930	953	996	0:SP2_SP-NON_SP3	C	N[6]	S	3:2:1:	4:4:3:	3:	N[6]-3:S-2:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS)	S(CN[6]S)	C(N[6]C[6]2)(SC)(S)	N[6](C[6]C[6]HH)2(CSS){1|C<4>,4|H<1>}	S(CN[6]S)	125.1760	0.298	2	125.1760	0.298	2	125.1760	0.298	2	125.1760	0.298	2	124.1713	1.647	4	124.1713	1.647	4
930	953	996	0:SP2_SP-NON_SP3	C	N[6]	S	3:3:1:	3:4:3:	3:	N[6]-3:C[6a]-3:S-1:	C[6,6a]-3:C[6]-4:C-3:	C-3:	C(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(S)	N[6](C[6,6a]C[6,6a]2)(C[6]C[6]HH)(CC[6a]S)	S(CC[6a]N[6])	C(N[6]C[6,6a]C[6])(C[6a]C[6a]2)(S)	N[6](C[6,6a]C[6,6a]2)(C[6]C[6]HH)(CC[6a]S){1|C<4>,1|N<3>,2|C<3>,2|H<1>}	S(CC[6a]N[6])	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1	121.7500	0.000	1	124.1713	1.647	4	124.1713	1.647	4
930	953	996	0:SP2_SP-NON_SP3	C	N[6]	S	3:3:1:	4:4:3:	3:	C[5]-3:N[6]-3:S-1:	C[6]-4:C[6]-4:C-3:	C-3:	C(C[5]C[5]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[5]S)	S(CC[5]N[6])	C(C[5]C[5]2)(N[6]C[6]2)(S)	N[6](C[6]C[6]HH)2(CC[5]S){1|C<4>,4|H<1>}	S(CC[5]N[6])	124.5830	0.000	1	124.5830	0.000	1	124.5830	0.000	1	124.5830	0.000	1	124.1713	1.647	4	124.1713	1.647	4
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	C-1:O-1:O-1:	C-3:	C-3:	C(C)(O)2	O(CCO)	O(CCO)	C(C)(O)2	O(CCO)	O(CCO)	90.6964	0.000	1	90.6964	0.000	1	90.6964	0.000	1	122.2683	5.335	67	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	H-1:O-1:O-1:	C-3:	C-3:	C(H)(O)2	O(CHO)	O(CHO)	C(H)(O)2	O(CHO)	O(CHO)	127.0176	1.525	26	127.0176	1.525	26	127.0176	1.525	26	122.2683	5.335	67	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	1:1:1:	3:	3:	O-1:O-1:O-1:	C-3:	C-3:	C(O)3	O(COO)	O(COO)	C(O)3	O(COO)	O(COO)	119.9705	0.810	40	119.9705	0.810	40	119.9705	0.810	40	122.2683	5.335	67	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	C-2:O-1:O-1:	C-3:	C-3:	C(CC)(O)2	O(CCO)	O(CCO)	C(CC)(O)2	O(CCO)	O(CCO)	126.2890	1.105	8	126.2890	1.105	8	126.2890	1.105	8	125.9026	1.800	26	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	O-2:O-1:O-1:	C-3:	C-3:	C(OC)(O)2	O(COO)	O(COO)	C(OC)(O)2	O(COO)	O(COO)	127.6485	0.931	4	127.6485	0.931	4	125.7309	2.039	18	125.9026	1.800	26	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	2:1:1:	3:	3:	O-2:O-1:O-1:	C-3:	C-3:	C(OH)(O)2	O(COO)	O(COO)	C(OH)(O)2	O(COO)	O(COO)	125.1830	1.945	14	125.1830	1.945	14	125.7309	2.039	18	125.9026	1.800	26	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CBrC)(O)2	O(CCO)	O(CCO)	C(CBrC)(O)2	O(CCO)	O(CCO)	126.1140	0.000	1	126.1140	0.000	1	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCC)(O)2	O(CCO)	O(CCO)	C(CCC)(O)2	O(CCO)	O(CCO)	125.4278	0.987	5	125.4278	0.987	5	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCH)(O)2	O(CCO)	O(CCO)	C(CCH)(O)2	O(CCO)	O(CCO)	123.8932	0.990	218	123.8932	0.990	218	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCN)(O)2	O(CCO)	O(CCO)	C(CCN)(O)2	O(CCO)	O(CCO)	125.8040	0.000	1	125.8040	0.000	1	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCO)(O)2	O(CCO)	O(CCO)	C(CCO)(O)2	O(CCO)	O(CCO)	126.4250	0.000	1	126.4250	0.000	1	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[5]N)(O)2	O(CCO)	O(CCO)	C(CC[5]N)(O)2	O(CCO)	O(CCO)	128.3200	0.000	1	128.3200	0.000	1	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[6]O)(O)2	O(CCO)	O(CCO)	C(CC[6]O)(O)2	O(CCO)	O(CCO)	126.8595	0.671	2	126.8595	0.671	2	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[6a]N)(O)2	O(CCO)	O(CCO)	C(CC[6a]N)(O)2	O(CCO)	O(CCO)	127.7405	0.944	2	127.7405	0.944	2	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CNO)(O)2	O(CCO)	O(CCO)	C(CNO)(O)2	O(CCO)	O(CCO)	127.5065	0.555	8	127.5065	0.555	8	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(COO)(O)2	O(CCO)	O(CCO)	C(COO)(O)2	O(CCO)	O(CCO)	126.4840	0.935	247	126.4840	0.935	247	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CPP)(O)2	O(CCO)	O(CCO)	C(CPP)(O)2	O(CCO)	O(CCO)	127.7070	0.000	1	127.7070	0.000	1	125.3409	1.626	487	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5,6]-3:O-1:O-1:	C-3:	C-3:	C(C[5,6]C[5,5,6]C[5,6])(O)2	O(CC[5,6]O)	O(CC[5,6]O)	C(C[5,6]C[5,5,6]C[5,6])(O)2	O(CC[5,6]O)	O(CC[5,6]O)	126.4550	0.000	1	126.4550	0.000	1	126.4550	0.000	1	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5,6a]C[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5,6a]C[5])(O)2	O(CC[5]O)	O(CC[5]O)	122.6790	0.000	1	122.6790	0.000	1	126.5248	2.606	69	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	124.4038	1.171	6	124.4038	1.171	6	126.5248	2.606	69	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]N[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]N[5])(O)2	O(CC[5]O)	O(CC[5]O)	126.1768	1.752	22	126.1768	1.752	22	126.5248	2.606	69	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]C[5]S[5])(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]C[5]S[5])(O)2	O(CC[5]O)	O(CC[5]O)	124.8997	1.759	22	124.8997	1.759	22	126.5248	2.606	69	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5]-3:O-1:O-1:	C-3:	C-3:	C(C[5]N[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	C(C[5]N[5]2)(O)2	O(CC[5]O)	O(CC[5]O)	129.8570	1.164	18	129.8570	1.164	18	126.5248	2.606	69	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a,6a]C[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a,6a]C[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	123.5400	0.000	1	123.5400	0.000	1	124.9981	0.946	42	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]2)(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]2)(O)2	O(CC[5a]O)	O(CC[5a]O)	124.7460	0.000	1	124.7460	0.000	1	124.9981	0.946	42	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]N[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]N[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	125.1344	0.875	30	125.1344	0.875	30	124.9981	0.946	42	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5a]-3:O-1:O-1:	C-3:	C-3:	C(C[5a]C[5a]O[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	C(C[5a]C[5a]O[5a])(O)2	O(CC[5a]O)	O(CC[5a]O)	124.7600	1.113	10	124.7600	1.113	10	124.9981	0.946	42	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[6,6]-3:O-1:O-1:	C-3:	C-3:	C(C[6,6]C[3x6]C[6,6])(O)2	O(CC[6,6]O)	O(CC[6,6]O)	C(C[6,6]C[3x6]C[6,6])(O)2	O(CC[6,6]O)	O(CC[6,6]O)	127.8940	0.000	1	127.8940	0.000	1	127.8940	0.000	1	124.8369	1.582	2701	125.0611	1.812	4876	125.0611	1.812	4876
