610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[5]-3:C[5]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[5]N[5]O[5])2(C[6a]C[6a]2)(CH3)	C(BC[6a]C[5]2)(H)3	C[6a](C[6a]C[6a]H)2(BC[5]2C)	B(C[5]N[5]O[5])2(C[6a]C[6a]2)(CH3)	C(BC[6a]C[5]2)(H)3	C[6a](C[6a]C[6a]H)2(BC[5]2C){1|C<3>,2|H<1>}	115.3990	0.000	1	115.3990	0.000	1     115.3990       0.000      1      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[5]-3:N[6]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)(C[5]C[5]2)(N[6]C[6]2)(CH3)	C(BC[6a]C[5]N[6])(H)3	C[6a](C[6a]C[6a]F)2(BC[5]N[6]C)	B(C[6a]C[6a]2)(C[5]C[5]2)(N[6]C[6]2)(CH3)	C(BC[6a]C[5]N[6])(H)3	C[6a](C[6a]C[6a]F)2(BC[5]N[6]C){1|C<3>,2|F<1>}	108.5500	0.000	1	108.5500	0.000	1     108.5500       0.000      1      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,1|F<1>,1|F<2>}	114.8570	0.000	1	109.5542	4.338	63     109.5421       4.253      66      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.4687	4.320	62	109.5542	4.338	63     109.5421       4.253      66      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]H)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CH3)	C(BC[6a]3)(H)3	C[6a](C[6a]C[6a]H)2(BC[6a]2C){1|C<3>,2|H<1>}	109.2870	2.125	3	109.2870	2.125	3     109.5421       4.253      66      109.6136     4.251     68
610	490	762	3:3:3:4:	4:1:1:1:	4:3:3:	C[5]-3:C[6a]-3:C[6a]-3:C-4:	B-4:H-1:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(C[5]C[5]P[5])(C[6a]C[6a]2)2(CH3)	C(BC[6a]2C[5])(H)3	C[6a](BC[6a]C[5]C)(C[6a]C[6a]F)2	B(C[5]C[5]P[5])(C[6a]C[6a]2)2(CH3)	C(BC[6a]2C[5])(H)3	C[6a](BC[6a]C[5]C)(C[6a]C[6a]F)2{1|C<3>,2|F<1>}	109.7530	6.882	2	109.7530	6.882	2     109.7530       6.882      2      109.7530     6.882     2
610	490	762	3:3:3:4:	4:3:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.7507	5.099	6	109.7507	5.099	6     109.4094       3.657      21      109.4094     3.657     21
610	490	762	3:3:3:4:	4:3:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CCN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.9380	3.018	6	109.9380	3.018	6     109.4094       3.657      21      109.4094     3.657     21
610	490	762	3:3:3:4:	4:3:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CC[6a]N)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CC[6a]N)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.2673	3.395	3	109.2673	3.395	3     109.4094       3.657      21      109.4094     3.657     21
610	490	762	3:3:3:4:	4:3:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-3:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CTiC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CCHH)	C(BC[6a]3)(CTiC)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	108.4167	4.338	3	108.4167	4.338	3     109.4094       3.657      21      109.4094     3.657     21
