74	478	991	4:4:4:	4:3:1:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:H-1:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(H)2	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(H)2{1|C<4>,1|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	123.0020	0.000	1	123.0020	0.000	1     123.6385       1.869      8      123.7744     1.698     10
74	478	991	4:4:4:	4:3:1:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:H-1:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]HH)2(SC[6a]OO)	C[4](C[4]C[4]CC)(N[4]C[4]S)(H)2	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]HH)2(SC[6a]OO){2|C<4>}	C[4](C[4]C[4]CC)(N[4]C[4]S)(H)2{2|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	122.3005	0.773	4	122.3005	0.773	4     123.6385       1.869      8      123.7744     1.698     10
74	478	991	4:4:4:	4:3:1:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:H-1:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]HH)2(SC[6a]OO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(H)2	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]HH)2(SC[6a]OO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(H)2{2|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	126.2630	0.881	2	126.2630	0.881	2     123.6385       1.869      8      123.7744     1.698     10
74	478	991	4:4:4:	4:3:3:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-3:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)2(SC[6a]OO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(COO)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)2(SC[6a]OO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(COO)(H){1|C<4>,1|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	122.1430	0.000	1	122.1430	0.000	1     122.1430       0.000      1      122.1430     0.000     1
74	478	991	4:4:4:	4:3:4:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO)	C[4](C[4]C[4]CH)(N[4]C[4]S)(CSiHH)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO){1|C<4>,1|H<1>}	C[4](C[4]C[4]CH)(N[4]C[4]S)(CSiHH)(H){2|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	125.2980	0.000	1	125.2980	0.000	1     123.7070       1.378      3      125.4505     3.664     4
74	478	991	4:4:4:	4:3:4:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(CSiHH)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)(C[4]C[4]HH)(SC[6a]OO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(CSiHH)(H){2|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	122.9530	0.000	1	122.9530	0.000	1     123.7070       1.378      3      125.4505     3.664     4
74	478	991	4:4:4:	4:3:4:1:	3:3:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	C[6a]-3:N[4]-3:O-1:O-1:	N[4](C[4]C[4]CH)2(SC[6a]OO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(CHHO)(H)	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	N[4](C[4]C[4]CH)2(SC[6a]OO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(CHHO)(H){1|C<3>,1|H<1>}	S(C[6a]C[6a]2)(N[4]C[4]2)(O)2	122.8700	0.000	1	122.8700	0.000	1     123.7070       1.378      3      125.4505     3.664     4
74	478	991	4:4:4:	4:3:4:1:	3:3:1:1:	C[4]-4:S[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	N[4]-3:C[6a]-3:O-1:O-1:	N[4](C[4]C[4]CH)(S[4]C[4]OO)(SC[6a]OO)	C[4](C[4]S[4]CH)(N[4]S[4]S)(CCl3)(H)	S(N[4]C[4]S[4])(C[6a]C[6a]2)(O)2	N[4](C[4]C[4]CH)(S[4]C[4]OO)(SC[6a]OO){1|C<4>,1|H<1>}	C[4](C[4]S[4]CH)(N[4]S[4]S)(CCl3)(H){2|O<1>}	S(N[4]C[4]S[4])(C[6a]C[6a]2)(O)2	130.6810	0.000	1	130.6810	0.000	1     130.6810       0.000      1      125.4505     3.664     4
74	478	991	4:4:4:	4:3:4:1:	3:4:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	N[4]-3:C-4:O-1:O-1:	N[4](C[4]C[4]CH)2(SCOO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(CCHH)(H)	S(N[4]C[4]2)(CC3)(O)2	N[4](C[4]C[4]CH)2(SCOO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(CCHH)(H){1|C<4>,1|H<1>}	S(N[4]C[4]2)(CC3)(O)2	126.2220	0.000	1	126.2220	0.000	1     128.1905       2.784      2      128.1905     2.784     2
74	478	991	4:4:4:	4:3:4:1:	3:4:1:1:	C[4]-4:C[4]-4:S-4:	C[4]-4:N[4]-3:C-4:H-1:	N[4]-3:C-4:O-1:O-1:	N[4](C[4]C[4]CH)2(SCOO)	C[4](C[4]C[4]HH)(N[4]C[4]S)(CHHO)(H)	S(N[4]C[4]2)(CC3)(O)2	N[4](C[4]C[4]CH)2(SCOO){2|H<1>}	C[4](C[4]C[4]HH)(N[4]C[4]S)(CHHO)(H){1|C<4>,1|H<1>}	S(N[4]C[4]2)(CC3)(O)2	130.1590	0.000	1	130.1590	0.000	1     128.1905       2.784      2      128.1905     2.784     2
