818	818	969	3:4:3:	3:3:2:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[6]-3:S[5]-2:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5])	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<1>}	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5]){1|Cl<1>,1|C<3>,1|H<1>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	115.9193	0.166	3	116.4659	0.395	14     116.4659       0.395      14      116.4659     0.395     14
818	818	969	3:4:3:	3:3:2:	3:3:1:1:	C[5,6]-3:S[6]-4:C[5]-3:	C[5,6]-3:C[6]-3:S[5]-2:	C[5,6]-3:N[6]-3:O-1:O-1:	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H)	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5])	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2	C[5,6](C[5,6]C[6]S[5])(S[6]N[6]OO)(C[5]C[5]H){1|Cl<1>,1|C<3>,1|C<4>,1|O<2>}	C[5,6](C[5,6]C[5]S[6])(C[6]C[6]O)(S[5]C[5]){1|Cl<1>,1|C<3>,1|H<1>,1|N<3>,2|O<1>}	S[6](C[5,6]C[5,6]C[5])(N[6]C[6]C)(O)2{1|H<1>,1|S<2>,3|C<3>}	116.6575	0.127	2	116.4659	0.395	14     116.4659       0.395      14      116.4659     0.395     14
818	818	972	3:2:3:	3:3:3:	3:3:1:	C[5]-3:S[5]-2:S-3:	C[6a]-3:C[5]-3:C[5]-3:	C[5]-3:C[5]-3:O-1:	C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5]O)	C[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]S[5]S)	S(C[5]C[5]S[5])2(O)	C[5](C[5]C[6a]C[5])(S[5]C[5])(SC[5]O){2|C<3>,2|H<1>}	C[5](C[6a]C[6a]2)(C[5]C[5]H)(C[5]S[5]S){2|H<1>,3|C<3>}	S(C[5]C[5]S[5])2(O)	129.1520	0.553	2	129.1520	0.553	2     129.1520       0.553      2      129.1520     0.553     2
818	818	972	3:2:3:	3:3:4:	3:3:1:	C[5a]-3:O[5a]-2:S-3:	C[5a]-3:C[5a]-3:C-4:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC[6a]O)	C[5a](C[5a]C[5a]H)(C[5a]O[5a]S)(CC[6a]HO)	S(C[5a]C[5a]O[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC[6a]O){2|H<1>}	C[5a](C[5a]C[5a]H)(C[5a]O[5a]S)(CC[6a]HO){1|H<1>}	S(C[5a]C[5a]O[5a])(C[6a]C[6a]2)(O)	129.4190	0.000	1	129.4190	0.000	1     129.4190       0.000      1      129.4190     0.000     1
818	818	972	3:2:3:	3:3:4:	3:4:1:	C[5a]-3:N[5a]-2:S-3:	N[5a,6a]-3:C[5a]-3:S-4:	C[5a]-3:C-4:O-1:	C[5a](C[5a]N[5a,6a]S)(N[5a]C[5a,6a])(SCO)	C[5a](N[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]S)(SNOO)	S(C[5a]C[5a]N[5a])(CCHH)(O)	C[5a](C[5a]N[5a,6a]S)(N[5a]C[5a,6a])(SCO){2|C<3>}	C[5a](N[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]S)(SNOO){1|H<1>,2|C<3>}	S(C[5a]C[5a]N[5a])(CCHH)(O)	128.7820	0.000	1	128.7820	0.000	1     128.7820       0.000      1      128.7820     0.000     1
818	818	972	3:3:3:	3:2:3:	3:3:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SC[6a]O)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SC[6a]O){5|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	121.0422	1.470	4	121.0422	1.470	4     125.8657       2.906      18      125.8657     2.906     18
818	818	972	3:3:3:	3:2:3:	3:3:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C[6a]-3:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SC[6a]O)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SC[6a]O){1|H<1>,4|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)	127.2439	1.158	14	127.2439	1.158	14     125.8657       2.906      18      125.8657     2.906     18
818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO){5|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CCHH)(O)	121.5400	0.000	1	121.5400	0.000	1     126.2793       1.657      67      126.2793     1.657     67
818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO){5|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CH3)(O)	121.5343	0.473	3	121.5343	0.473	3     126.2793       1.657      67      126.2793     1.657     67
818	818	972	3:3:3:	3:2:3:	3:4:1:	C[5a,6a]-3:C[5a]-3:S-3:	C[5a]-3:O[5a]-2:C[6a]-3:	C[5a]-3:C-4:O-1:	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2)	S(C[5a]C[5a,6a]C[5a])(CCCH)(O)	C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}	C[5a](C[5a]C[5a,6a]S)(O[5a]C[5a,6a])(C[6a]C[6a]2){2|H<1>,4|C<3>}	S(C[5a]C[5a,6a]C[5a])(CCCH)(O)	126.2230	0.000	1	126.2230	0.000	1     126.2793       1.657      67      126.2793     1.657     67
