956	490	562	0:SP3_SP3_SP3	N	C	Si[5]	4:4:4:	3:3:1:1:	4:4:3:1:	Si[5]-4:C-4:C-4:	C[6a]-3:N-3:H-1:H-1:	C[5]-4:C[5]-4:N-3:H-1:	N(Si[5]C[5]2H)(CC[6a]HH)2	C(C[6a]C[6a]2)(NSi[5]C)(H)2	Si[5](C[5]C[5]Si2)2(NCC)(H)	N(Si[5]C[5]2H)(CC[6a]HH)2	C(C[6a]C[6a]2)(NSi[5]C)(H)2	Si[5](C[5]C[5]Si2)2(NCC)(H){4|H<1>}	119.1040	4.356	2	119.1040	18.973	2	119.1040	18.973	2	119.1040	18.973	2	119.2260	9.531	3	119.2260	9.531	3
956	490	562	0:SP3_SP3_SP3	N	C	Si[5]	4:4:4:	3:4:4:4:	3:2:3:3:	Si[5]-4:Si-4:C-4:	N-3:C-4:C-4:C-4:	N[5]-3:O[5]-2:N-3:N-3:	N(Si[5]N[5]O[5]N)(SiC3)(CC3)	C(NSi[5]Si)(CH3)3	Si[5](N[5]C[5]C)(O[5]C[5])(NSiC)(NSiH)	N(Si[5]N[5]O[5]N)(SiC3)(CC3)	C(NSi[5]Si)(CH3)3	Si[5](N[5]C[5]C)(O[5]C[5])(NSiC)(NSiH){2|C<3>}	119.4700	0.000	1	119.4700	0.000	1	119.4700	0.000	1	119.4700	0.000	1	119.2260	9.531	3	119.2260	9.531	3
956	490	598	0:SP2_SP2_SP3	N	C	Si[4]	3:4:4:	3:1:1:1:	3:3:3:	Si[4]-3:C-4:C-4:	N-3:H-1:H-1:H-1:	N[4]-3:N[4]-3:N-3:	N(Si[4]N[4]2)(CH3)2	C(NSi[4]C)(H)3	Si[4](N[4]C[4]C)2(NCC)	N(Si[4]N[4]2)(CH3)2	C(NSi[4]C)(H)3	Si[4](N[4]C[4]C)2(NCC){1|C<3>}	123.3787	2.228	4	123.3787	4.963	4	123.4582	8.148	6	123.4582	8.148	6	123.1786	6.866	8	123.1786	6.866	8
956	490	598	0:SP2_SP2_SP3	N	C	Si[4]	3:4:4:	3:1:1:1:	3:3:3:	Si[4]-3:C-4:C-4:	N-3:H-1:H-1:H-1:	N[4]-3:N[4]-3:N-3:	N(Si[4]N[4]2)(CH3)2	C(NSi[4]C)(H)3	Si[4](N[4]C[6a]C[4])2(NCC)	N(Si[4]N[4]2)(CH3)2	C(NSi[4]C)(H)3	Si[4](N[4]C[6a]C[4])2(NCC){5|C<3>}	123.6170	5.077	2	123.6170	25.776	2	123.4582	8.148	6	123.4582	8.148	6	123.1786	6.866	8	123.1786	6.866	8
956	490	598	0:SP2_SP2_SP3	N	C	Si[4]	3:4:4:	3:4:4:1:	3:3:3:	Si[4]-3:C-4:C-4:	N-3:C-4:C-4:H-1:	N[4]-3:N[4]-3:N-3:	N(Si[4]N[4]2)(CCCH)2	C(NSi[4]C)(CH3)2(H)	Si[4](N[4]C[4]C)2(NCC)	N(Si[4]N[4]2)(CCCH)2	C(NSi[4]C)(CH3)2(H)	Si[4](N[4]C[4]C)2(NCC){1|C<3>}	122.3400	2.333	2	122.3400	5.445	2	122.3400	5.445	2	122.3400	5.445	2	123.1786	6.866	8	123.1786	6.866	8
956	490	610	0:SP2_SP3_SP3	N	C	B	3:4:4:	3:3:1:1:	3:1:1:1:	C[6]-3:C-4:B-4:	C[6a]-3:N-3:H-1:H-1:	N-3:F-1:F-1:F-1:	N(C[6]C[6]2)(CC[6a]HH)(BF3)	C(C[6a]C[6a]2)(NC[6]B)(H)2	B(NC[6]C)(F)3	N(C[6]C[6]2)(CC[6a]HH)(BF3)	C(C[6a]C[6a]2)(NC[6]B)(H)2	B(NC[6]C)(F)3	116.0600	0.000	1	116.0600	0.000	1	116.0600	0.000	1	116.0600	0.000	1	116.0575	14.934	6	116.0575	14.934	6
956	490	610	0:SP2_SP3_SP3	N	C	B	3:4:4:	3:4:4:1:	3:1:1:1:	C[6]-3:C-4:B-4:	N-3:C-4:C-4:H-1:	N-3:H-1:H-1:H-1:	N(C[6]N[6]2)(CCCH)(BH3)	C(NC[6]B)(CH3)2(H)	B(NC[6]C)(H)3	N(C[6]N[6]2)(CCCH)(BH3)	C(NC[6]B)(CH3)2(H)	B(NC[6]C)(H)3	118.7040	0.000	1	118.7040	0.000	1	118.7040	0.000	1	118.7040	0.000	1	116.0575	14.934	6	116.0575	14.934	6
956	490	610	0:SP2_SP3_SP3	N	C	B	4:3:4:	4:3:1:1:	3:3:3:3:	B-4:C-3:C-4:	C-4:N-3:H-1:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:N-3:	N(BC[6a]3)(CC[6a]H)(CCHH)	C(CCHH)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	N(BC[6a]3)(CC[6a]H)(CCHH)	C(CCHH)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	115.0340	0.000	1	115.0340	0.000	1	115.0340	0.000	1	115.0340	0.000	1	116.0575	14.934	6	116.0575	14.934	6
956	490	610	0:SP2_SP3_SP3	N	C	B	4:4:3:	3:3:1:1:	3:3:3:3:	C-4:B-4:C-3:	C[6a]-3:N-3:H-1:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:N-3:	N(CC[6a]HH)(BC[6a]3)(CC[6a]C)	C(C[6a]C[6a]2)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	N(CC[6a]HH)(BC[6a]3)(CC[6a]C)	C(C[6a]C[6a]2)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	110.5150	0.000	1	110.5150	0.000	1	112.3870	7.009	2	112.3870	7.009	2	116.0575	14.934	6	116.0575	14.934	6
956	490	610	0:SP2_SP3_SP3	N	C	B	4:4:3:	3:3:1:1:	3:3:3:3:	C-4:B-4:C-3:	C[6a]-3:N-3:H-1:H-1:	C[6a]-3:C[6a]-3:C[6a]-3:N-3:	N(CC[6a]HH)(BC[6a]3)(CC[6a]H)	C(C[6a]C[6a]2)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	N(CC[6a]HH)(BC[6a]3)(CC[6a]H)	C(C[6a]C[6a]2)(NBC)(H)2	B(C[6a]C[6a]2)3(NCC)	114.2590	0.000	1	114.2590	0.000	1	112.3870	7.009	2	112.3870	7.009	2	116.0575	14.934	6	116.0575	14.934	6
